DH	D IY
HARDHEADEDNESS	HH AA R D HH EH D AH D N AH S
HARDHEADEDNESSES	HH AA R D HH EH D AH D N AH S IH Z
HARDHEADS	HH AA R D HH EH D Z
HARDHEARTED	HH AA R D HH AA R T IH D
HARDHEARTEDLY	HH AA R D HH AA R T AH D L IY
HARDHEARTEDNESS	HH AA R D HH AA R T AH D N AH S
HARDHEARTEDNESSES	HH AA R D HH AA R T AH D N AH S IH Z
HEADHUNT	HH EH D HH AH N T
HEADHUNTED	HH EH D HH AH N T IH D
HEADHUNTER	HH EH D HH AH N T ER
HEADHUNTERS	HH EH D HH AH N T ER Z
HEADHUNTING	HH EH D HH AH N T IH NG
HEADHUNTS	HH EH D HH AH N T S
JODHPUR	JH AO D P ER
JODHPURS	JH AA D HH P Y AH R Z
KINDHEARTED	K AY N D HH AA R T IH D
KINDHEARTEDLY	K AY N D HH AA R T AH D L IY
KINDHEARTEDNESS	K AY N D HH AA R T AH D N AH S
KINDHEARTEDNESSES	K AY N D HH AA R T AH D N AH S IH Z
LAMEDH	L AE M AH D
LAMEDHS	L AE M AH D Z
LANDHOLDER	L AE N D HH OW L D ER
LANDHOLDERS	L AE N D HH OW L D ER Z
LANDHOLDING	L AE N D HH OW L D IH NG
LANDHOLDINGS	L AE N D HH OW L D IH NG Z
MADHOUSE	M AE D HH AW S
MADHOUSES	M AE D HH AW S IH Z
MAIDHOOD	M EY D HH UH D
MAIDHOODS	M EY D HH UH D Z
MUDHOLE	M AH D HH OW L
MUDHOLES	M AH D HH OW L Z
NONADHESIVE	N AA N AE D HH IY S IH V
PROUDHEARTED	P R AW D HH AA R T IH D
REDHEAD	R EH D HH EH D
REDHEADED	R EH D HH EH D IH D
REDHEADS	R EH D HH EH D Z
REDHORSE	R EH D HH AO R S
REDHORSES	R EH D HH AO R S IH Z
ROADHOLDING	R OW D HH OW L D IH NG
ROADHOLDINGS	R OW D HH OW L D IH NG Z
ROADHOUSE	R OW D HH AW S
ROADHOUSES	R OW D HH AW S IH Z
ROUNDHEADED	R AW N D HH EH D IH D
ROUNDHEADEDNESS	R AW N D HH EH D AH D N AH S
ROUNDHEADEDNESSES	R AW N D HH EH D AH D N AH S IH Z
ROUNDHOUSE	R AW N D HH AW S
ROUNDHOUSES	R AW N D HH AW S IH Z
SADDHU	S AE D HH UW
SADDHUS	S AE D AH S
SADHE	S AE D HH
SADHES	S AE D Z
SADHU	S AE D HH UW
SADHUS	S AE D AH S
SANDHI	S AE N D HH IY
SANDHIS	S AE N D AH S
SANDHOG	S AE N D HH AO G
SANDHOGS	S AE N D HH AO G Z
SECONDHAND	S EH K AH N D HH AE N D
SRADDHA	S R AE D HH AH
SRADDHAS	S R AE D HH AH Z
SRADHA	S R AE D HH AH
SRADHAS	S R AE D HH AH Z
STUDHORSE	S T AH D HH AO R S
STUDHORSES	S T AH D HH AO R S IH Z
THIRDHAND	TH ER D HH AE N D
WINDHOVER	W IH N D HH AH V ER
WINDHOVERS	W IH N D HH AH V ER Z
WOODHEN	W UH D HH EH N
WOODHENS	W UH D HH EH N Z
YODH	Y AA D
YODHS	Y AA D Z
IGUANA	IH G W AA N AH
CAOUTCHOUC	K EY AW CH AW K
OMOPHAGIES	AH M AA F AH JH AY Z
KHADDAR	K HH AE D AH R
MO	M OW
OEILLADE	OW AH AH L EY D
FEAL	F IY AH L
