LL	EH L
ALLEGORICALLY	AH L EH JH ER IH K AH L IY
ALLEGORICALNESS	AH L EH JH ER IH K AH L N AH S
ALLEGORICALNESSES	AH L EH JH ER IH K AH L N AH S IH Z
ALLEGORIES	AE L AH G AO R IY Z
ALLEGORISE	AO L IY G OW R AY Z
ALLEGORISED	AE L AH G AO R IY Z D
ALLEGORISES	AE L AH G AO R IY Z IH Z
ALLEGORISING	AE L AH G AO R IY Z IH NG
ALLEGORIST	AH L EH JH ER IH S T
ALLEGORISTS	AH L EH JH ER IH S T S
ALLEGORIZATION	AH L EH JH ER AH Z EY SH AH N
ALLEGORIZATIONS	AH L EH JH ER AH Z EY SH AH N Z
ALLEGORIZE	AH L EH JH ER AY Z
ALLEGORIZED	AH L EH JH ER AY Z D
ALLEGORIZER	AH L EH JH ER AY Z ER
ALLEGORIZERS	AH L EH JH ER AY Z ER Z
ALLEGORIZES	AH L EH JH ER AY Z IH Z
ALLEGORIZING	AH L EH JH ER AY Z IH NG
ALLEGORY	AE L AH G AO R IY
ALLEGRETTO	AE L AH G R EH T OW
ALLEGRETTOS	AE L AH G R EH T AH Z
ALLEGRO	AH L EH G R OW
ALLEGROS	AH L EH G R OW Z
ALLELE	AH L EH L IY
ALLELES	AH L EH L IY Z
ALLELIC	AH L EH L IH K
ALLELISM	AE L AH L IH Z AH M
ALLELISMS	AE L AH L AH Z AH M Z
ALLELOMORPH	AE L EH L AH M AH R F
ALLELOMORPHIC	AE L EH L AH M AH R F AH K
ALLELOMORPHISM	AE L EH L AH M AH R F IH Z AH M
ALLELOMORPHISMS	AE L AH L AH M AO R F AH Z AH M Z
ALLELOMORPHS	AE L EH L AH M AH R F S
ALLELOPATHIC	AE L EH L AH P AH TH AH K
ALLELOPATHIES	AE L AH L AA P AH TH AY Z
ALLELOPATHY	AE L AH L AA P AH TH IY
ALLELUIA	AE L EH L UW Y AA
ALLELUIAS	AE L EH L UW AH Z
ALLEMANDE	AE L AH M AH N D
ALLEMANDES	AE L AH M AH N D Z
ALLERGEN	AE L ER JH AH N
ALLERGENIC	AO L ER JH IY N IH K
ALLERGENICITIES	AO L ER JH IY N IH K S AH T IY Z
ALLERGENICITY	AO L ER JH IY N IH K S AH T IY
ALLERGENS	AE L ER JH AH N Z
ALLERGIC	AH L ER JH IH K
ALLERGIES	AE L ER JH IY Z
ALLERGIN	AO L ER JH IH N
ALLERGINS	AO L ER JH IH N Z
ALLERGIST	AE L ER JH AH S T
ALLERGISTS	AE L ER JH AH S T S
ALLERGISTS(2)	AE L ER JH AH S
ALLERGY	AE L ER JH IY
ALLETHRIN	AE L EH TH R AH N
ALLETHRINS	AE L EH TH R AH N Z
ALLEVIATE	AH L IY V IY EY T
ALLEVIATED	AH L IY V IY EY T IH D
ALLEVIATES	AH L IY V IY EY T S
ALLEVIATING	AH L IY V IY EY T IH NG
ALLEVIATION	AH L IY V IY EY SH AH N
ALLEVIATIONS	AH L IY V IY EY SH AH N Z
ALLEVIATOR	AH L IY V IY AH T ER
ALLEVIATORS	AH L IY V IY AH T ER Z
ALLEY	AE L IY
ALLEYS	AE L IY Z
ALLEYWAY	AE L IY W EY
ALLEYWAYS	AE L IY W EY Z
ALLHEAL	AO L HH IY L
ALLHEALS	AO L HH IY L Z
ALLIABLE	AH L AY AH B AH L
ALLIACEOUS	AE L IY AH S IY AH S
ALLIANCE	AH L AY AH N S
ALLIANCES	AH L AY AH N S IH Z
ALLICIN	AO L IH K S IH N
ALLICINS	AO L IH K S IH N Z
ALLIED	AH L AY D
ALLIED(2)	AE L AY D
ALLIES	AE L AY Z
ALLIES(2)	AH L AY Z
ALLIGATOR	AE L AH G EY T ER
ALLIGATORS	AE L AH G EY T ER Z
ALLITERATE	AH L IH T AH R EY T
ALLITERATED	AH L IH T AH R EY T IH D
ALLITERATES	AH L IH T AH R EY T S
ALLITERATING	AH L IH T AH R EY T IH NG
ALLITERATION	AH L IH T ER EY SH AH N
ALLITERATIONS	AH L IH T AH R EY SH AH N Z
ALLITERATIVE	AH L IH T ER AH T IH V
ALLITERATIVE(2)	AH L IH T ER EY T IH V
ALLITERATIVELY	AH L IH T AH R EY T IH V L IY
ALLIUM	AE L IY AH M
ALLIUMS	AE L IY AH M Z
ALLOANTIBODIES	AE L OW N T IH B AH D AY Z
ALLOANTIBODY	AE L OW N T IH B AH D IY
ALLOANTIGEN	AE L OW N T AH JH AH N
ALLOANTIGENS	AE L OW N T AH JH AH N Z
ALLOBAR	AE L AH B AH R
ALLOBARS	AE L AH B AH R Z
ALLOCABLE	AE L AH K AH B AH L
ALLOCATABLE	AE L AH K AH T AH B AH L
ALLOCATE	AE L AH K EY T
ALLOCATED	AE L AH K EY T IH D
ALLOCATES	AE L AH K EY T S
ALLOCATING	AE L AH K EY T IH NG
ALLOCATION	AE L AH K EY SH AH N
ALLOCATIONS	AE L AH K EY SH AH N Z
ALLOCATOR	AE L AH K EY T ER
ALLOCATORS	AE L AH K EY T ER Z
ALLOCUTION	AE L AH K Y UW SH AH N
ALLOCUTIONS	AE L AH K Y UW T IY AH N Z
ALLOD	AE L AH D
ALLODIA	AE L OW D IY AH
ALLODIAL	AE L OW D IY AH L
ALLODIUM	AE L OW D IY AH M
ALLODS	AE L AH D Z
ALLOGAMIES	AE L AA G AH M AY Z
ALLOGAMOUS	AE L AA G AH M AH S
ALLOGAMY	AE L AA G AH M IY
ALLOGENEIC	AE L AH JH IY N IY AH K
ALLOGENIC	AE L AH JH AH N AH K
ALLOGRAFT	AE L AA G R AH F T
ALLOGRAFTED	AE L AA G R AE F T AH D
ALLOGRAFTING	AE L AA G R AE F T AH NG
ALLOGRAFTS	AE L AA G R AH F T S
ALLOGRAPH	AE L AH G R AE F
ALLOGRAPHIC	AE L AA G R AH F AH K
ALLOGRAPHS	AE L AH G R AE F S
ALLOMETRIC	AE L AH M AH T R AH K
ALLOMETRIES	AE L AH M EH T R AY Z
ALLOMETRY	AE L AH M EH T R IY
ALLOMORPH	AE L AH M AO R F
ALLOMORPHIC	AE L AH M AH R F AH K
ALLOMORPHISM	AE L AH M AH R F IH Z AH M
ALLOMORPHISMS	AE L AH M AO R F AH Z AH M Z
ALLOMORPHS	AE L AH M AO R F S
ALLONGE	AE L AH N JH
ALLONGES	AE L AA N JH AH Z
ALLONYM	AE L AH N AH M
ALLONYMS	AE L AH N AH M Z
ALLOPATH	AE L AH P AH TH
ALLOPATHS	AE L AH P AH TH S
ALLOPATRIC	AE L AH P AH T R AH K
ALLOPATRICALLY	AE L AH P AE T R AH K AE L IY
ALLOPATRIES	AE L AH P AE T R AY Z
ALLOPATRY	AE L AH P AE T R IY
ALLOPHANE	AE L AH F EY N
ALLOPHANES	AE L AH F EY N Z
ALLOPHONE	AE L AH F OW N
ALLOPHONES	AE L AH F OW N Z
ALLOPHONIC	AE L AH F AA N IH K
ALLOPOLYPLOID	AE L AH P AA L AH P L OY D
ALLOPOLYPLOIDIES	AE L AA P AH L IH P L OY D AY Z
ALLOPOLYPLOIDS	AE L AH P AA L AH P L OY D Z
ALLOPOLYPLOIDY	AE L AH P AA L AH P L OY D IY
ALLOPURINOL	AE L AH P Y UH R AH N AH L
ALLOPURINOLS	AE L AH P Y UH R AH N AH L Z
ALLOSAURUS	AE L AH S EY Y AH R AH S
ALLOSAURUSES	AE L AA S AH R UW Z AH Z
ALLOSTERIC	AE L AA S T AH R AH K
ALLOSTERICALLY	AE L AA S T EH R AH K AE L IY
ALLOSTERIES	AE L AA S T AH R AY Z
ALLOSTERY	AE L AH S T EH R IY
ALLOT	AH L AA T
ALLOTETRAPLOID	AE L AH T EH T R AH P L OY D
ALLOTETRAPLOIDIES	AE L AH T EH T R AE P L OY D AY Z
ALLOTETRAPLOIDS	AE L AH T EH T R AH P L OY D Z
ALLOTETRAPLOIDY	AE L AH T EH T R AH P L OY D IY
ALLOTMENT	AH L AA T M AH N T
ALLOTMENTS	AH L AA T M AH N T S
ALLOTROPE	AE L AH T R OW P
ALLOTROPES	AE L AH T R OW P S
ALLOTROPIC	AH L AA T R OW P IH K
ALLOTROPIES	AH L AA T R OW P IY Z
ALLOTROPY	AH L AA T R OW P IY
ALLOTS	AH L AA T S
ALLOTTED	AH L AA T IH D
ALLOTTEE	AH L AA T IY
ALLOTTEES	AH L AA T IY Z
ALLOTTER	AH L AA T ER
ALLOTTERS	AH L AA T ER Z
ALLOTTING	AH L AA T IH NG
ALLOTYPE	AE L AH T AY P
ALLOTYPES	AE L AH T AY P S
ALLOTYPIC	AE L AH T AH P AH K
ALLOTYPICALLY	AE L AH T IH P AH K AE L IY
ALLOTYPIES	AH L AA T IY P AY Z
ALLOTYPY	AE L AA T AH P IY
ALLOVER	AO L OW V ER
ALLOVERS	AO L OW V ER Z
ALLOW	AH L AW
ALLOWABLE	AH L AW AH B AH L
ALLOWABLY	AH L AW AH B L IY
ALLOWANCE	AH L AW AH N S
ALLOWANCED	AH L AW AH N S T
ALLOWANCES	AH L AW AH N S IH Z
ALLOWANCING	AH L AW AH N S IH NG
ALLOWED	AH L AW D
ALLOWEDLY	AH L AW AH D L IY
ALLOWING	AH L AW IH NG
ALLOWS	AH L AW Z
ALLOXAN	AE L AA K S AH N
ALLOXANS	AE L AA K S AH N Z
ALLOY	AE L OY
ALLOYED	AE L OY D
ALLOYING	AE L OY IH NG
ALLOYS	AE L OY Z
ALLS	AO L Z
ALLSEED	AO L S IY D
ALLSEEDS	AO L S IY D Z
ALLSPICE	AO L S P AY S
ALLSPICES	AO L S P AY S IH Z
ALLUDE	AH L UW D
ALLUDED	AH L UW D AH D
ALLUDES	AH L UW D Z
ALLUDING	AH L UW D IH NG
ALLURE	AH L UH R
ALLURED	AH L UH R D
ALLUREMENT	AH L UH R M AH N T
ALLUREMENTS	AH L UH R M AH N T S
ALLURER	AH L UH R ER
ALLURERS	AH L UH R ER Z
ALLURES	AH L UH R Z
ALLURING	AH L UH R IH NG
ALLURINGLY	AH L UH R IH NG L IY
ALLUSION	AH L UW ZH AH N
ALLUSIONS	AH L UW ZH AH N Z
ALLUSIVE	AH L UW S IH V
ALLUSIVELY	AH L UW S IH V L IY
ALLUSIVENESS	AH L UW S IH V N AH S
ALLUSIVENESSES	AH L UW S IH V N AH S IH Z
ALLUVIA	AE L UW V IY AH
ALLUVIAL	AE L UW V IY AH L
ALLUVIALS	AE L UW V IY AH L Z
ALLUVION	AE L UW V IY AH N
ALLUVIONS	AE L UW V IY AH N Z
ALLUVIUM	AE L UW V IY AH M
ALLUVIUMS	AE L UW V IY AH M Z
ALLY	AE L AY
ALLY(2)	AH L AY
ALLYING	AE L AY IH NG
ALLYING(2)	AH L AY IH NG
ALLYL	AE L AH L
ALLYLIC	AE L AH L AH K
ALLYLS	AE L AH L Z
ALOGICALLY	AH L AA JH IH K AH L IY
ALPHABETICALLY	AE L F AH B EH T IH K L IY
ALPHANUMERICALLY	AE L F AH N UH M EH R IH K AH L IY
ALTRUISTICALLY	AE L T R UH IH S T IH K AH L IY
AMARELLE	AE M AH R AH L
AMARELLES	AE M AH R AH L Z
AMARYLLIS	AE M ER IH L IH S
AMARYLLISES	AE M ER IH L IH S AH Z
AMBROSIALLY	AE M B R OW ZH IY AH L IY
AMINOPHYLLINE	AH M AH N AA F AH L AY N
AMINOPHYLLINES	AH M AH N AA F AH L AY N Z
AMITOTICALLY	AE M AH T AA T AH K AE L IY
AMONTILLADO	AE M AH N T IH L AH D OW
AMONTILLADOS	AE M AH N T IH L AH D AH Z
AMORALLY	EY M AO R AH L IY
AMOXICILLIN	AH M AO K S AH S IH L IH N
AMOXICILLINS	AH M AA K S AH S IH L AH N Z
AMOXYCILLIN	AH M AA K S AH S IH L AH N
AMOXYCILLINS	AH M AA K S AH S IH L AH N Z
AMPHITHEATRICALLY	AE M F AH TH IY T R AH K AE L IY
AMPICILLIN	AE M P AH S IH L AH N
AMPICILLINS	AE M P AH S IH L AH N Z
AMPULLA	AE M P UH L AH
AMPULLAE	AE M P UH L IY
AMPULLAR	AE M P UH L AH R
AMPULLARY	AE M P AH L EH R IY
ANACHRONISTICALLY	AH N AE K R AH N IH S T IH K AH L IY
ANACOLUTHICALLY	AE N AH K AH L AH TH AH K AE L IY
ANAEROBICALLY	AE N AH R OW B IH K AH L IY
ANAGOGICALLY	AE N AH G AA JH AH K AE L IY
ANAGRAMMATICALLY	AE N AH G R AE M AH T IH K AH L IY
ANALLY	AH N AE L IY
ANALOGICALLY	AE N AH L AA JH AH K AE L IY
ANALYTICALLY	AE N AH L IH T IH K L IY
ANAPHORICALLY	AE N AH F AO R AH K AE L IY
ANAPHYLACTICALLY	AE N AH F AH L AE K T AH K AE L IY
ANARCHICALLY	AE N AA R K IH K AH L IY
ANATOMICALLY	AE N AH T AA M AH K L IY
ANCESTRALLY	AE N S EH S T R AH L IY
ANCHORITICALLY	AE NG K AH R AY T IH K AH L IY
ANCILLA	AE N S IH L AH
ANCILLAE	AE N S IH L IY
ANCILLARIES	AE N S AH L EH R IY Z
ANCILLARY	AE N S AH L EH R IY
ANCILLAS	AE N S IH L AH Z
ANDOUILLE	AE N D AW AH L
ANDOUILLES	AE N D AW AH L Z
ANDOUILLETTE	AE N D AW AH L EH T
ANDOUILLETTES	AE N D AW IH L EH T S
ANECDOTALLY	AE N IH K D OW T AH L IY
ANECDOTICALLY	AE N IH K D OW T IH K AH L IY
ANEMICALLY	AH N IY M IH K AH L IY
ANESTHETICALLY	AE N AH S TH EH T IH K AH L IY
ANGELICALLY	AE N JH EH L IH K L IY
ANIMALLIKE	AE N AH M AH L AY K
ANIMALLY	AE N AH M AH L IY
ANISOTROPICALLY	AE N AH S AA T R AA P AH K AE L IY
ANNUALLY	AE N Y UW AH L IY
ANNULLED	AE N AH L D
ANNULLING	AE N AH L AH NG
ANODALLY	AE N OW D AH L IY
ANODICALLY	AE N OW D IH K AH L IY
ANTAGONISTICALLY	AE N T AE G AH N IH S T IH K AH L IY
ANTEBELLUM	AE N T IH B EH L AH M
ANTENATALLY	AE N T AH N AH T AH L IY
ANTHILL	AE N T HH IH L
ANTHILLS	AE N T HH IH L Z
ANTHOPHYLLITE	AE N TH AA F AH L AY T
ANTHOPHYLLITES	AE N TH AA F AH L AY T S
ANTHROPOCENTRICALLY	AE N TH R AH P AH S EH N T R AH K AE L IY
ANTHROPOLOGICALLY	AE N TH R AH P AH L AA JH IH K AH L IY
ANTHROPOMORPHICALLY	AE N TH R AH P AH M AO R F IH K AH L IY
ANTIALLERGENIC	AE N T AY AO L ER JH IY N IH K
ANTIALLERGENICS	AE N T AY AO L ER JH IY N IH K S
ANTIBILLBOARD	AE N T AY B IH L B OW R D
ANTIBIOTICALLY	AE N T AY B AY AA T IH K AH L IY
ANTICALLY	AE N T AY K AO L IY
ANTICELLULITE	AE N T AH S EH L AH L AY T
ANTICLIMACTICALLY	AE N T AY K L AY M AE K T IH K AH L IY
ANTICOLLISION	AE N T AY K AH L IH ZH AH N
ANTIDOTALLY	AE N T IH D OW T AH L IY
ANTIDROMICALLY	AE N T AY D R AA M AH K AE L IY
ANTIFERROMAGNETICALLY	AE N T AY F EH R OW M AE G N EH T IH K AH L IY
ANTIGENICALLY	AE N T IH JH AH N IH K AH L IY
ANTIGUERRILLA	AE N T AY G AH R IH L AH
ANTIGUERRILLAS	AE N T AY G AH R IH L AH Z
ANTIPARALLEL	AE N T AY P AE R AH L EH L
ANTIPATHETICALLY	AE N T AY P AH TH EH T IH K AH L IY
ANTIPHONALLY	AE N T IH F AH N AH L IY
ANTIPILL	AE N T AY P IH L
ANTIPOLLUTION	AE N T AY P AH L UW SH AH N
ANTIPOLLUTIONS	AE N T AY P AH L UW SH AH N Z
ANTIROLL	AE N T AY R OW L
ANTISATELLITE	AE N T AY S AE T AH L AY T
ANTISEPTICALLY	AE N T AH S EH P T IH K AH L IY
ANTISOCIALLY	AE N T AY S OW SH AH L IY
ANTISTROPHICALLY	AE N T AY S T R OW F IY IH K AH L IY
ANTITHETICALLY	AE N T AH TH EH T IH K AH L IY
ANVILLED	AE N V AH L D
ANVILLING	AE N V AH L IH NG
AORISTICALLY	AH OW R IH S T IH K AH L IY
APATHETICALLY	AE P AH TH EH T IH K AH L IY
APERIODICALLY	AH P IH R IY AA D IH K AH L IY
APHETICALLY	AH F EH T AH K AE L IY
APHORISTICALLY	AE F AH R IH S T AH K AE L IY
APHYLLIES	AH F IH L AY Z
APHYLLY	AH F IH L IY
APICALLY	EY P IH K AH L IY
APOCALYPTICALLY	AH P AA K AH L IH P T IH K AH L IY
APOCRYPHALLY	AH P AA K R AH F AH L IY
APODICTICALLY	AE P AH D IH K T AH K AE L IY
APOLITICALLY	AH P AH L IH T IH K AH L IY
APOLLO	AH P AA L OW
APOLLOS	AH P OW L AA S
APOLOGETICALLY	AH P AA L AH JH EH T IH K L IY
APOMICTICALLY	AE P AH M IH K T AH K AE L IY
APOPHYLLITE	AH P AA F AH L AY T
APOPHYLLITES	AH P AA F AH L AY T S
APOPLECTICALLY	AE P AH P L EH K T AH K AE L IY
APOSEMATICALLY	AH P OW Z M EY T IH K AH L IY
APOTROPAICALLY	AH P AA T R AH P AH K AE L IY
APPALL	AH P AO L
APPALLED	AH P AO L D
APPALLING	AH P AO L IH NG
APPALLINGLY	AH P AO L IH NG L IY
APPALLS	AH P AO L Z
APPARELLED	AH P AE R AH L D
APPARELLING	AH P AE R AH L IH NG
APPELLANT	AH P EH L AH N T
APPELLANTS	AH P EH L AH N T S
APPELLATE	AH P EH L IH T
APPELLATE(2)	AH P EH L EY T
APPELLATION	AE P AH L EY SH AH N
APPELLATIONS	AE P AH L EY SH AH N Z
APPELLATIVE	AH P EH L AH T IH V
APPELLATIVELY	AH P EH L AH T IH V L IY
APPELLATIVES	AH P EH L AH T IH V Z
APPELLEE	AH P EH L IY
APPELLEES	AH P EH L IY Z
APPELLOR	AH P EH L ER
APPELLORS	AH P EH L ER Z
APTITUDINALLY	AE P T AH T Y UW D AH N AE L IY
AQUARELLE	AE K W AH R AH L
AQUARELLES	AE K W AH R AH L Z
AQUARELLIST	AE K W AH R EH L AH S T
AQUARELLISTS	AE K W AH R EH L AH S T S
AQUATICALLY	AE K W AA T AH K AE L IY
ARBOREALLY	AA R B OW R IY AH L IY
ARCHAEOLOGICALLY	AA R K IY AH L AA JH IH K AH L IY
ARCHAICALLY	AA R K EY IH K AH L IY
ARCHEOLOGICALLY	AA R K IY AH L AA JH AH K AE L IY
ARCHETYPALLY	AA R K EH T AH P AE L IY
ARCHIEPISCOPALLY	AA R K AH P IH S AH P AE L IY
ARCHITECTONICALLY	AA R K AH T EH K T AA N IH K AH L IY
ARCHITECTURALLY	AA R K IH T EH K CH ER AH L IY
ARCHITECTURALLY(2)	AA R K IH T EH K CH R AH L IY
ARCTICALLY	AA R K T IH K AH L IY
AREALLY	AH R IY AH L AY
ARGILLACEOUS	AA R JH IH L AH S IY AH S
ARGILLITE	AA R JH AH L AY T
ARGILLITES	AA R JH AH L AY T S
ARGYLL	AA R G AY L
ARGYLLS	AA R JH AH L Z
ARILLATE	AE R AH L EY T
ARILLODE	AE R AH L OW D
ARILLODES	AE R AH L OW D Z
ARILLOID	AE R AH L OY D
ARISTOCRATICALLY	AH R IH S T AH K R AE T IH K AH L IY
ARITHMETICALLY	AE R IH TH M EH T IH K AH L IY
ARMADILLO	AA R M AH D IH L OW
ARMADILLOS	AA R M AH D IH L OW Z
ARMILLA	AA R M IH L AH
ARMILLAE	AA R M IH L IY
ARMILLAS	AA R M IH L AH Z
ARMORIALLY	AA R M AH R IY AH L IY
AROMATICALLY	AE R AH M AE T IH K AH L IY
ARTERIALLY	AA R T IH R IY AH L IY
ARTFULLY	AA R T F AH L IY
ARTHRITICALLY	AA R TH R IH T AH K AE L IY
ARTIFICIALLY	AA R T AH F IH SH AH L IY
ARTILLERIES	AA R T IH L AH R IY Z
ARTILLERIST	AA R T IH L ER IH S T
ARTILLERISTS	AA R T IH L ER IH S T S
ARTILLERY	AA R T IH L ER IY
ARTILLERYMAN	AA R T IH L AH R IY M AE N
ARTILLERYMEN	AA R T IH L AH R IY M EH N
ARTISTICALLY	AA R T IH S T IH K L IY
ASCETICALLY	AH S EH T IH K AH L IY
ASEPTICALLY	EY S EH P T IH K AH L IY
ASEXUALLY	AH S EH K SH AH W AH L IY
ASHFALL	AE SH F AO L
ASHFALLS	AE SH F AO L Z
ASPERGILLA	AE S AH R JH IH L AH
ASPERGILLI	AE S AH R JH IH L IY
ASPERGILLOSES	AH Z P ER G IH L AA S IH Z
ASPERGILLOSIS	AH Z P ER G IH L AA S IY Z
ASPERGILLUM	AE S AH R JH IH L AH M
ASPERGILLUMS	AE S AH R JH IH L AH M Z
ASPERGILLUS	AE S AH R JH IH L AH S
ASTHMATICALLY	AH Z TH M EY T IH K AH L IY
ASTRALLY	AE S T R AH L IY
ASTROLOGICALLY	AE S T R AH L AA JH AH K AE L IY
ASTRONAUTICALLY	AE S T R AH N AO T IH K AH L IY
ASTRONOMICALLY	AE S T R AH N AA M IH K L IY
ASTROPHYSICALLY	AH S T R OW F IY IY S IH K AH L IY
ASYMMETRICALLY	EY S AH M EH T R IH K AH L IY
ASYMPTOMATICALLY	AH S IH M P T AH M AE T IH K AH L IY
ASYMPTOTICALLY	AE S AH M T AA T IH K AH L IY
ASYNDETICALLY	AH S IH N D EH T AH K AE L IY
ATAVISTICALLY	AE T AH V IH S T IH K AH L IY
ATHEISTICALLY	EY TH IY IH S T IH K AH L IY
ATHLETICALLY	AE TH L EH T IH K L IY
ATMOSPHERICALLY	AE T M AH S F IH ER IH K AH L IY
ATOLL	AE T AA L
ATOLL(2)	AE T AO L
ATOLL(3)	AH T OW L
ATOLLS	AH T OW L Z
ATOMICALLY	AH T AA M IH K AH L IY
ATOMISTICALLY	AE T AH M IH S T IH K AH L IY
ATONALLY	EY T OW N AH L IY
ATTITUDINALLY	AE T AH T Y UW D AH N AE L IY
ATYPICALLY	EY T IH P IH K AH L IY
AURALLY	AO R AH L IY
AUTHENTICALLY	AO TH EH N T IH K L IY
AUTHENTICALLY(2)	AO TH EH N IH K L IY
AUTISTICALLY	AO T IH S T IH K AH L IY
AUTOBIOGRAPHICALLY	AO T AH B AY AH G R AE F IH K AH L IY
AUTOCATALYTICALLY	AO T OW K AE T AH L IH T IH K AH L IY
AUTOCRATICALLY	AO T AH K R AE T IH K AH L IY
AUTOGRAPHICALLY	AO T AH G R AE F IH K AH L IY
AUTOMATICALLY	AO T AH M AE T IH K L IY
AUTOMATICALLY(2)	AO T OW M AE T IH K L IY
AUTONOMICALLY	AO T AH N AA M IH K AH L IY
AUTOSOMALLY	AO T OW S AH M AH L IY
AUTOTROPHICALLY	AH T AA T R AA F AH K AE L IY
AUTUMNALLY	AO T AH M N AH L IY
AVELLAN	AH V EH L AH N
AVELLANE	AE V AH L EY N
AVOCATIONALLY	AE V AH K EY SH AH N AH L IY
AWFULLER	AO F AH L ER
AWFULLEST	AO F AH L AH S T
AWFULLY	AA F L IY
AWFULLY(2)	AO F AH L IY
AXENICALLY	AE K S AH N IH K AH L IY
AXIALLY	AE K S IY AH L IY
AXILLA	AE K S IH L AH
AXILLAE	AE K S IH L IY
AXILLAR	AE K S IH L ER
AXILLARIES	AE K S IH L EH R IY Z
AXILLARS	AE K S IH L ER Z
AXILLARY	AE K S IH L EH R IY
AXILLAS	AE K S IH L AH Z
AXIOLOGICALLY	AE K S IY AH L AA JH IH K AH L IY
AXIOMATICALLY	AE K S IY AH M AE T IH K AH L IY
AYATOLLAH	AY AH T OW L AH
AYATOLLAHS	AY AH T AA L AA Z
AZIMUTHALLY	AH Z IH M AH TH AE L IY
BACILLAR	B AH S IH L AH R
BACILLARY	B AE S AH L EH R IY
BACILLI	B AH S IH L IY
BACILLUS	B AH S IH L AH S
