CI	S IY
ACCIDENTALS	AE K S AH D EH N T AH L Z
ACCIDENTLY	AE K S AH D AH N T L IY
ACCIDENTS	AE K S AH D AH N T S
ACCIDIA	AE K S IH D IY AH
ACCIDIAS	AE K S IH D IY AH Z
ACCIDIE	AE K S AH D IY
ACCIDIES	AE K S AH D IY Z
ACCIPITER	AE K S AH P AY T AH R
ACCIPITERS	AE K S IH P AH T AH R Z
ACCIPITRINE	AE K S IH P AH T R AY N
ACCIPITRINES	AE K S IH P AH T R AY N Z
ACCOUNTANCIES	AH K AW N T AH N S IY Z
ACCURACIES	AE K Y ER AH S IY Z
ACICULA	AE S AH K Y UW L AH
ACICULAE	AE S AH K Y UW L IY
ACICULAR	AH S IH S Y AH L AH R
ACICULAS	AE S AH K Y UW L AH Z
ACICULUM	AE S AH K Y UW L AH M
ACICULUMS	AE S AH K Y UW L AH M Z
ACID	AE S AH D
ACIDEMIA	AE S AH D IY M IY AH
ACIDEMIAS	AE S AH D IY M IY AH Z
ACIDHEAD	AE S AH D HH EH D
ACIDHEADS	AE S AH D HH EH D Z
ACIDIC	AH S IH D IH K
ACIDIFICATION	AH S IH D AH F AH K EY SH AH N
ACIDIFICATIONS	AE S AH D AH F AH K EY SH AH N Z
ACIDIFIED	AH S IH D AH F AY D
ACIDIFIER	AE S AH D AH F AY ER
ACIDIFIERS	AE S AH D AH F AY ER Z
ACIDIFIES	AH S IH D AH F AY Z
ACIDIFY	AH S IH D AH F AY
ACIDIFYING	AE S AH D AH F AY IH NG
ACIDIMETER	AE S AH D IH M AH T AH R
ACIDIMETERS	AE S AH D IH M AH T AH R Z
ACIDIMETRIC	AH S IH D AH M AH T R AH K
ACIDIMETRIES	AE S AH D AH M EH T R AY Z
ACIDIMETRY	AE S AH D AH M EH T R IY
ACIDITIES	AH S IH D AH T IY Z
ACIDITY	AH S IH D AH T IY
ACIDLY	AE S AH D L IY
ACIDNESS	AE S AH D N AH S
ACIDNESSES	AE S AH D N AH S IH Z
ACIDOPHIL	AH S IH D AH F AH L
ACIDOPHILE	AH S IH D AH F AY L
ACIDOPHILES	AH S IH D AH F AY L Z
ACIDOPHILIC	AH S IH D AH F AY L AH K
ACIDOPHILS	AH S IH D AH F AY L Z
ACIDOSES	AE S AH D AA S IH Z
ACIDOSIS	AE S AH D OW S AH S
ACIDOTIC	AE S AH D AH T AH K
ACIDS	AE S AH D Z
ACIDULATE	AH S IH D Y AH L EY T
ACIDULATED	AH S IH D Y AH L EY T AH D
ACIDULATES	AH S IH D Y AH L EY T S
ACIDULATING	AH S IH D Y AH L EY T AH NG
ACIDULATION	AH S IH D Y AH L EY SH AH N
ACIDULATIONS	AH S IH D Y AH L EY T IY AH N Z
ACIDULENT	AH S IH D Y AH L AH N T
ACIDULOUS	AH S IH JH AH L AH S
ACIDURIA	AE S AH D UH R IY AH
ACIDURIAS	AE S AH D Y UH R IY AH Z
ACIDY	AE S AH D IY
ACIERATE	EY S IY ER AH T
ACIERATED	EY S IY ER EY T IH D
ACIERATES	EY S IY ER AH T S
ACIERATING	EY S IY ER EY T IH NG
ACIFORM	AE S AH F AH R M
ACINAR	AE S AH N AH R
ACING	EY S IH NG
ACINI	AE S AH N IY
ACINIC	AE S AH N AH K
ACINOSE	AE S AH N OW Z
ACINOUS	AE S AH N AH S
ACINUS	AE S AH N AH S
ACOUSTICIAN	AH K AW S T IH S IY AH N
ACOUSTICIANS	AE K AW S T IH S IY AH N Z
ACQUIESCING	AE K W IY EH S IH NG
ACTINOMYCIN	AE K T AH N AA M AH S AH N
ACTINOMYCINS	AE K T AH N AA M AH S AH N Z
ADAMANCIES	AH D EY M AH N S IY Z
ADDUCING	AH D UW S IH NG
ADENOCARCINOMA	AH D EH N AH K AH R S IH N AH M AH
ADENOCARCINOMAS	AH D EH N AH K AH R S IH N AH M AH Z
ADENOCARCINOMATA	AH D AH N AH K AA R S AH N AA M AH T AH
ADENOCARCINOMATOUS	AH D EH N AH K AA R S AH N AA M AH T AH S
ADEQUACIES	AE D IH K W AH S IY Z
ADJACENCIES	AH JH EY S AH N S IY Z
ADJUTANCIES	AE JH AH T AE N S AY Z
ADSCITITIOUS	AE D Z S AY T AH T IY AH S
ADVANCING	AH D V AE N S IH NG
ADVERTENCIES	AE D V ER T AH N S IY Z
ADVOCACIES	AE D V AH K AH S IY Z
AECIA	EH SH IY AH
AECIAL	EH SH AH L
AECIDIA	AH S IH D IY AH
AECIDIAL	AH S IH D IY AH L
AECIDIUM	AH S IH D IY AH M
AECIOSPORE	EH S IY AA S AH R
AECIOSPORES	EH S IY AA S AH R Z
AECIUM	EH S IY AH M
AEROBICIZE	AE ER OW B IH K AY Z
AEROBICIZED	AE ER OW B IH K AY Z D
AEROBICIZES	AE ER OW B IH K AY Z IH Z
AEROBICIZING	AE ER OW B IH K AY Z IH NG
AERODYNAMICIST	EH R OW D AY N AE M IH S IH S T
AERODYNAMICISTS	EH R OW D AY N AE M IH S IH S T S
AERODYNAMICISTS(2)	EH R OW D AY N AE M IH S IH S
AEROELASTICITIES	AH R OW AH L AE S T IH S AH T AY Z
AEROELASTICITY	AH R OW AH L AE S T IH S AH T IY
AEROMEDICINE	AH R AH M EH D AH S AY N
AEROMEDICINES	AH R AH M EH D AH S AY N Z
AESTHETICIAN	EH S TH AH T IH S IY AH N
AESTHETICIANS	EH S TH AH T IH S IY AH N Z
AESTHETICISM	EH S TH EH T IH K IH Z AH M
AESTHETICISMS	EH S TH EH T IH K IH Z AH M Z
AESTHETICIZE	EH S TH EH T IH K AY Z
AESTHETICIZED	EH S TH EH T IH K AY Z D
AESTHETICIZES	EH S TH EH T IH K AY Z IH Z
AESTHETICIZING	EH S TH EH T IH K AY Z IH NG
AFFIANCING	AH F AY AH N S IH NG
AFFICIONADO	AE F IH K S IY AH N AH D UW
AFFICIONADOS	AE F IH K S IY AH N AH D UW Z
AFFLUENCIES	AE F L UW AH N S IY Z
AFICIONADA	AE F AH S IY AA N AH D AH
AFICIONADAS	AE F AH S IY AA N AH D AH Z
AFICIONADO	AH F IY SH Y AH N AA D OW
AFICIONADOS	AH F IH SH AH N AA D OW Z
AGENCIES	EY JH AH N S IY Z
AGNOSTICISM	AE G N AA S T IH K IH Z AH M
AGNOSTICISMS	AE G N AA S T IH K IH Z AH M Z
ALCID	AE L S AH D
ALCIDINE	AE L S AH D AY N
ALCIDS	AE L S IH D Z
ALGAECIDE	AE L G AH S AY D
ALGAECIDES	AE L G AH S AY D Z
ALGICIDAL	AE L JH IH S AH D AH L
ALGICIDE	AE L JH AH S AY D
ALGICIDES	AE L JH AH S AY D Z
ALITERACIES	AH L IH T ER AH S IY Z
ALLERGENICITIES	AO L ER JH IY N IH K S AH T IY Z
ALLERGENICITY	AO L ER JH IY N IH K S AH T IY
ALLICIN	AO L IH K S IH N
ALLICINS	AO L IH K S IH N Z
ALLOWANCING	AH L AW AH N S IH NG
ALOPECIA	AE L AH P IY SH IY AH
ALOPECIAS	AE L AH P IY S IY AH Z
ALOPECIC	AE L AH P AH S AH K
ALTRICIAL	AE L T R IH S IY AH L
AMERCIABLE	AH M ER S IY AH B AH L
AMERCING	AH M AH R S AH NG
AMERICIUM	AE M AH R IH S IY AH M
AMERICIUMS	AE M AH R IH S IY AH M Z
AMICI	AE M AH S IY
AMINOACIDURIA	AH M AH N OW S AH D Y UH R IY AH
AMINOACIDURIAS	AH M AH N OW S AH D Y UH R IY AH Z
AMOXICILLIN	AH M AO K S AH S IH L IH N
AMOXICILLINS	AH M AA K S AH S IH L AH N Z
AMOXYCILLIN	AH M AA K S AH S IH L AH N
AMOXYCILLINS	AH M AA K S AH S IH L AH N Z
AMPICILLIN	AE M P AH S IH L AH N
AMPICILLINS	AE M P AH S IH L AH N Z
ANALCIME	AE N AH L S AY M
ANALCIMES	AE N AH L S AY M Z
ANALCITE	AE N AH L S AY T
ANALCITES	AE N AH L S AY T S
ANALYTICITIES	AE N AH L AH T IH S AH T IY Z
ANALYTICITY	AE N AH L AH T IH S AH T IY
ANCIENT	EY N CH AH N T
ANCIENT(2)	EY N SH AH N T
ANCIENTER	EY N SH AH N T ER
ANCIENTEST	EY N SH AH N T AH S T
ANCIENTLY	EY N SH AH N T L IY
ANCIENTNESS	EY N SH AH N T N AH S
ANCIENTNESSES	EY N SH AH N T N AH S IH Z
ANCIENTRIES	EY N SH AH N T R IY Z
ANCIENTRY	EY N SH AH N T R IY
ANCIENTS	EY N CH AH N T S
ANCIENTS(2)	EY N SH AH N T S
ANCILLA	AE N S IH L AH
ANCILLAE	AE N S IH L IY
ANCILLARIES	AE N S AH L EH R IY Z
ANCILLARY	AE N S AH L EH R IY
ANCILLAS	AE N S IH L AH Z
ANDROECIA	AE N D R OW EH SH IY AH
ANDROECIUM	AE N D R OW EH S IY AH M
ANELASTICITIES	AE N AH L AE S T IH S AH T AY Z
ANELASTICITY	AE N AH L AE S T IH S AH T IY
ANGLICISE	AE N G L AH S AY Z
ANGLICISED	AE NG G AH L IH K S IY Z D
ANGLICISES	AE NG G AH L IH K S IY Z IH Z
ANGLICISING	AE NG G AH L IH K S IY Z IH NG
ANGLICISM	AE NG G AH L IH K S IH Z AH M
ANGLICISMS	AE NG G AH L IH K S IH Z AH M Z
ANGLICIZATION	AE NG G AH L IH K S AH Z EY SH AH N
ANGLICIZATIONS	AE NG G AH L IH K S AH Z EY SH AH N Z
ANGLICIZE	AE NG L IH S AY Z
ANGLICIZED	AE NG L IH S AY Z D
ANGLICIZES	AE NG G AH L IH K S AY Z IH Z
ANGLICIZING	AE NG G AH L IH K S AY Z IH NG
ANNOUNCING	AH N AW N S IH NG
ANNUNCIATE	AH N AH N S IY AH T
ANNUNCIATED	AH N AH N S IY EY T IH D
ANNUNCIATES	AH N AH N S IY AH T S
ANNUNCIATING	AH N AH N S IY EY T IH NG
ANNUNCIATION	AH N AH N S IY EY SH AH N
ANNUNCIATIONS	AH N AH N S IY EY SH AH N Z
ANNUNCIATOR	AH N AH N S IY AH T ER
ANNUNCIATORS	AH N AH N S IY AH T ER Z
ANNUNCIATORY	AH N AH N S IY AH T OW R IY
ANTACID	AE N T AE S AH D
ANTACIDS	AE N T AE S AH D Z
ANTHRACITE	AE N TH R AH S AY T
ANTHRACITES	AE N TH R AH S AY T S
ANTHRACITIC	AE N TH R AH S AH T AH K
ANTHROPOCENTRICITIES	AE N TH R AA P AH S EH N T R IH S AH T AY Z
ANTHROPOCENTRICITY	AE N TH R AA P AH S EH N T R IH S AH T IY
ANTICARCINOGEN	AE N T AH K AA R S IH N AH JH AH N
ANTICARCINOGENIC	AE N T AH K AA R S IH N AH JH AH N AH K
ANTICARCINOGENS	AE N T AH K AA R S IH N AH JH AH N Z
ANTICIGARETTE	AE N T AY S IH G AH R EH T
ANTICIPANT	AE N T IH S AH P AH N T
ANTICIPANTS	AE N T IH S AH P AH N T S
ANTICIPATABLE	AE N T IH S AH P AH T AH B AH L
ANTICIPATE	AE N T IH S AH P EY T
ANTICIPATED	AE N T IH S AH P EY T AH D
ANTICIPATED(2)	AE N T IH S AH P EY T IH D
ANTICIPATES	AE N T IH S AH P EY T S
ANTICIPATING	AE N T IH S AH P EY T IH NG
ANTICIPATION	AE N T IH S AH P EY SH AH N
ANTICIPATIONS	AE N T IH S AH P EY SH AH N Z
ANTICIPATOR	AE N T IH S AH P AH T ER
ANTICIPATORS	AE N T IH S AH P AH T ER Z
ANTICIPATORY	AE N T IH S AH P AH T AO R IY
ANTICITY	AE N T AY S IH T IY
ANTICOMMERCIAL	AE N T AY K AH M ER SH AH L
ANTICOMMERCIALISM	AE N T AY K AH M ER SH AH L IH Z AH M
ANTICOMMERCIALISMS	AE N T AY K AH M ER SH AH L IH Z AH M Z
ANTIFASCISM	AE N T AY F AE SH IH Z AH M
ANTIFASCISMS	AE N T AY F AE SH IH Z AH M Z
ANTIFASCIST	AE N T AY F AE SH AH S T
ANTIFASCISTS	AE N T AY F AE SH AH S T S
ANTIGENICITIES	AE N T IH JH AH N IH K S AH T IY Z
ANTIGENICITY	AE N T IH JH AH N IH K S AH T IY
ANTIMYCIN	AE N T AH M IH S AH N
ANTIMYCINS	AE N T AH M IH S AH N Z
ANTIPESTICIDE	AE N T AY P EH S T AH S AY D
ANTIPIRACIES	AE N T AY P AY R AH S IY Z
ANTIRACISM	AE N T AY R EY S IH Z AH M
ANTIRACISMS	AE N T AY R EY S IH Z AH M Z
ANTIRACIST	AE N T AY R EY S IH S T
ANTIRACISTS	AE N T AY R EY S IH S T S
ANTIROMANTICISM	AE N T AY R OW M AE N T AH S IH Z AH M
ANTIROMANTICISMS	AE N T AY R OW M AE N T AH S IH Z AH M Z
ANTISCIENCE	AE N T AY S AY AH N S
ANTISCIENCES	AE N T AY S AY AH N S IH Z
ANTISCIENTIFIC	AE N T AY S AY AH N T IH F IH K
ANTISOCIAL	AE N T IH S OW SH AH L
ANTISOCIAL(2)	AE N T AY S OW SH AH L
ANTISOCIALIST	AE N T AY S OW SH AH L IH S T
ANTISOCIALISTS	AE N T AY S OW SH AH L IH S T S
ANTISOCIALLY	AE N T AY S OW SH AH L IY
ANTISUICIDE	AE N T AY S UW AH S AY D
APERIODICITIES	AH P IH R IY AH D IH S AH T IY Z
APERIODICITY	AH P IH R IY AH D IH S AH T IY
APOCALYPTICISM	AH P AA K AH L IH P T IH K IH Z AH M
APOCALYPTICISMS	AH P AA K AH L IH P T IH K IH Z AH M Z
APOSTACIES	AH P OW S T AH S IY Z
APOSTOLICITIES	AE P AH S T AA L IH K AH T IY Z
APOSTOLICITY	AE P AH S T AA L IH K AH T IY
APOTHECIA	AE P AH TH IY SH IY AH
APOTHECIAL	AE P AH TH IY SH AH L
APOTHECIUM	AE P AH TH IY S IY AH M
APPENDICITIS	AH P EH N D IH S AY T IH Z
APPENDICITISES	AH P EH N D IH K S AH T IY Z IH Z
APPETENCIES	AE P AH T EH N S AY Z
APPRECIABLE	AH P R IY SH AH B AH L
APPRECIABLY	AH P R IY SH AH B L IY
APPRECIATE	AH P R IY SH IY EY T
APPRECIATED	AH P R IY SH IY EY T IH D
APPRECIATES	AH P R IY SH IY EY T S
APPRECIATING	AH P R IY SH IY EY T IH NG
APPRECIATION	AH P R IY SH IY EY SH AH N
APPRECIATIONS	AH P R IY SH IY EY SH AH N Z
APPRECIATIVE	AH P R IY SH IY EY T IH V
APPRECIATIVE(2)	AH P R IY SH Y AH T IH V
APPRECIATIVELY	AH P R IY SH IY EY T IH V L IY
APPRECIATIVELY(2)	AH P R IY SH Y AH T IH V L IY
APPRECIATIVENESS	AH P R IY SH IY EY T IH V N AH S
APPRECIATIVENESSES	AH P R IY SH IY EY T IH V N AH S IH Z
APPRECIATOR	AH P R IY SH IY EY T ER
APPRECIATORS	AH P R IY SH IY EY T ER Z
APPRECIATORY	AH P R IY SH IY EY T ER IY
APPRENTICING	AH P R EH N T AH S IH NG
ARABICIZATION	AE R AH B IH S AH Z EY SH AH N
ARABICIZATIONS	AH R AE B AH S AH Z EY T IY AH N Z
ARABICIZE	AH R AE B AH S AY Z
ARABICIZED	AH R AE B AH S AY Z D
ARABICIZES	AH R AE B AH S AY Z AH Z
ARABICIZING	AH R AE B AH S AY Z AH NG
ARCIFORM	AA R S AH F AH R M
ARCING	AA R K IH NG
ARDENCIES	AA R D AH N S IY Z
ARISTOCRACIES	AE R AH S T AA K R AH S IY Z
ARITHMETICIAN	AH R IH TH M AH T IH S IY AH N
ARITHMETICIANS	AH R IH TH M AH T IH S IY AH N Z
AROMATICITIES	AE R AH M AE T IH K AH T IY Z
AROMATICITY	AE R AH M AE T IH K AH T IY
ARTICULACIES	AA R T IH K Y AH L AH S IY Z
ARTIFICIAL	AA R T AH F IH SH AH L
ARTIFICIALITIES	AA R T AH F IH SH IY AE L AH T IY Z
ARTIFICIALITY	AA R T AH F IH SH IY AE L AH T IY
ARTIFICIALLY	AA R T AH F IH SH AH L IY
ARTIFICIALNESS	AA R T AH F IH SH AH L N AH S
ARTIFICIALNESSES	AA R T AH F IH SH AH L N AH S IH Z
ASCENDANCIES	AH S EH N D AH N S IY Z
ASCENDENCIES	AH S EH N D AH N S IY Z
ASCETICISM	AH S EH T AH S IH Z AH M
ASCETICISMS	AH S EH T AH S IH Z AH M Z
ASCI	AE S IY
ASCIDIA	AE S IH D IY AH
ASCIDIAN	AE S IH D IY AH N
ASCIDIANS	AE S IH D IY AH N Z
ASCIDIUM	AE S IH D IY AH M
ASCITES	AH Z S AY T S
ASCITIC	AH Z S AY T IH K
ASOCIAL	EY S OW SH AH L
ASSOCIATE	AH S OW S IY AH T
ASSOCIATE(2)	AH S OW S IY EY T
ASSOCIATE(3)	AH S OW SH IY AH T
ASSOCIATE(4)	AH S OW SH IY EY T
ASSOCIATED	AH S OW S IY EY T AH D
ASSOCIATED(2)	AH S OW SH IY EY T AH D
ASSOCIATES	AH S OW S IY AH T S
ASSOCIATES(2)	AH S OW S IY EY T S
ASSOCIATES(3)	AH S OW SH IY AH T S
ASSOCIATES(4)	AH S OW SH IY EY T S
ASSOCIATESHIP	AH S OW S IY AH T SH IH P
ASSOCIATESHIPS	AH S OW S IY AH T SH IH P S
ASSOCIATING	AH S OW S IY EY T IH NG
ASSOCIATION	AH S OW S IY EY SH AH N
ASSOCIATION(2)	AH S OW SH IY EY SH AH N
ASSOCIATIONAL	AH S OW S IY EY SH AH N AH L
ASSOCIATIONISM	AH S OW S IY EY SH AH N IH Z AH M
ASSOCIATIONISMS	AH S OW S IY EY SH AH N IH Z AH M Z
ASSOCIATIONIST	AH S OW S IY EY SH AH N IH S T
ASSOCIATIONISTIC	AH S OW S IY EY SH AH N IH S T IH K
ASSOCIATIONISTS	AH S OW S IY EY SH AH N IH S T S
ASSOCIATIONS	AH S OW S IY EY SH AH N Z
ASSOCIATIONS(2)	AH S OW SH IY EY SH AH N Z
ASSOCIATIVE	AH S OW S IY AH T IH V
ASSOCIATIVELY	AH S OW S IY AH T IH V L IY
ASSOCIATIVITIES	AH S OW S IY AH T IH V AH T IY Z
ASSOCIATIVITY	AH S OW S IY AH T IH V AH T IY
ASTRINGENCIES	AH S T R IH N JH AH N S IY Z
ASTROPHYSICIST	AE S T R OW F IH S IH S IH S T
ASTROPHYSICISTS	AH S T R OW F IY IY S IH K IH S T S
ATHLETICISM	AE TH L EH T IH S IH Z M
ATHLETICISMS	AE TH L EH T AH S IH Z AH M Z
ATROCIOUS	AH T R OW SH AH S
ATROCIOUSLY	AH T R OW SH AH S L IY
ATROCIOUSNESS	AH T R OW SH AH S N AH S
ATROCIOUSNESSES	AH T R OW SH AH S N AH S IH Z
ATROCITIES	AH T R AA S AH T IY Z
ATROCITY	AH T R AA S AH T IY
ATTICISM	AE T IH K IH Z AH M
ATTICISMS	AE T IH K IH Z AH M Z
ATTICIST	AE T IH K IH S T
ATTICISTS	AE T IH K IH S T S
ATTRACTANCIES	AH T R AE K T AH N S IY Z
AUDACIOUS	AA D EY SH AH S
AUDACIOUSLY	AO D AH S IY AH S L IY
AUDACIOUSNESS	AO D AH S IY AH S N AH S
AUDACIOUSNESSES	AO D AH S IY AH S N AH S IH Z
AUDACITIES	AO D AE S AH T IY Z
AUDACITY	AA D AE S AH T IY
AUSPICIOUS	AA S P IH SH AH S
AUSPICIOUSLY	AO S P IH SH AH S L IY
AUSPICIOUSNESS	AO S P IH SH AH S N AH S
AUSPICIOUSNESSES	AO S P IH SH AH S N AH S IH Z
AUSTRALOPITHECINE	AO S T R EY L OW P IH TH AH S AY N
AUSTRALOPITHECINES	AO S T R AH L AH P IH TH AH S AY N Z
AUTECISM	AO T AH S IH Z AH M
AUTECISMS	AO T AH S AH Z AH M Z
AUTHENTICITIES	AO TH EH N T IH S AH T IY Z
AUTHENTICITY	AO TH AH N T IH S IH T IY
AUTOCRACIES	AO T AA K R AH S IY Z
AUTOECIOUS	AH T OW AH SH AH S
AUTOECIOUSLY	AO T OW AH S IY OW AH S L IY
AUTOECISM	AO T OW AH S IH Z AH M
AUTOECISMS	AH T OW AH S AH Z AH M Z
AUTOEROTICISM	AO T OW IH R AA T IH K IH Z AH M
AUTOEROTICISMS	AO T OW IH R AA T IH K IH Z AH M Z
AUTOMATICITIES	AO T AH M AE T IH K AH T IY Z
AUTOMATICITY	AO T AH M AE T IH K AH T IY
AVARICIOUS	AE V AH R IH SH AH S
AVARICIOUSLY	AE V AH R IH SH AH S L IY
AVARICIOUSNESS	AE V AH R IH SH AH S N AH S
AVARICIOUSNESSES	AE V AH R IH SH AH S N AH S IH Z
BACILLAR	B AH S IH L AH R
BACILLARY	B AE S AH L EH R IY
BACILLI	B AH S IH L IY
BACILLUS	B AH S IH L AH S
BACITRACIN	B AH S IH T R AH S AH N
BACITRACINS	B AH S IH T R AH S AH N Z
BACKSPACING	B AE K S P EY S IH NG
BACTERICIDAL	B AE K T AH R IH S AH D AH L
BACTERICIDALLY	B AE K T AH R IH S AH D AE L IY
BACTERICIDE	B AE K T EH R AH S AY D
BACTERICIDES	B AE K T EH R AH S AY D Z
BACTERIOCIN	B AE K T AH R IY AH S AH N
BACTERIOCINS	B AE K T AH R IY AH S AH N Z
BALANCING	B AE L AH N S IH NG
BANKRUPTCIES	B AE NG K R AH P T S IY Z
BARONETCIES	B AE R AH N EH T S AY Z
BASICITIES	B EY S IH K S AH T IY Z
BASICITY	B EY S IH K S AH T IY
BEAUTICIAN	B Y UW T IH SH AH N
BEAUTICIANS	B AH AH T IH S IY AH N Z
BECHANCING	B IH CH AE N S IH NG
BEDUNCING	B AH D AH N S AH NG
BELLIGERENCIES	B AH L IH JH ER AH N S IY Z
BENEFICIAL	B EH N AH F IH SH AH L
BENEFICIALLY	B EH N AH F IH SH AH L IY
BENEFICIALNESS	B EH N AH F IH SH AH L N AH S
BENEFICIALNESSES	B EH N AH F IH SH AH L N AH S IH Z
BENEFICIARIES	B EH N AH F IH SH IY EH R IY Z
BENEFICIARY	B EH N AH F IH SH IY EH R IY
BENEFICIATE	B AH N AH F IH S AY EY T
BENEFICIATED	B AH N AH F IH S AY EY T AH D
BENEFICIATES	B AH N AH F IH S AY EY T S
BENEFICIATING	B AH N AH F IH S AY EY T AH NG
BENEFICIATION	B AH N AH F IH S AY EY SH AH N
BENEFICIATIONS	B AH N EH F AH S IY EY T IY AH N Z
BENEFICING	B AH N AH F IH S AH NG
BENIGNANCIES	B IH N AY N AH N S IY Z
BIBLICISM	B AY B AH L IH K S IH Z AH M
BIBLICISMS	B AY B AH L IH K S IH Z AH M Z
BIBLICIST	B AY B AH L IH K S IH S T
BIBLICISTS	B AY B AH L IH K S IH S T S
BICIPITAL	B AY S IH P AH T AH L
BIFACIAL	B AY F EY SH AH L
BIFACIALLY	B AY F EY SH AH L IY
BIOCIDAL	B AY AA S AH D AH L
BIOCIDE	B AY AH S AY D
BIOCIDES	B AY AH S AY D Z
BIOELECTRICITIES	B AY OW AH L EH K T R IH S AH T AY Z
BIOELECTRICITY	B AY OW AH L EH K T R IH S AH T IY
BIOETHICIST	B AY OW AH TH IH S AH S T
BIOETHICISTS	B AY OW EH TH AH S AH S T S
BIOMATHEMATICIAN	B AY AH M AH TH EH M AH T IH S IY AH N
BIOMATHEMATICIANS	B AY AH M AE TH AH M AH T IH S IY AH N Z
BIOMEDICINE	B AY AH M EH D AH S AY N
BIOMEDICINES	B AY AH M EH D AH S AY N Z
BIOMETRICIAN	B AY AH M EH T R IH S IY AH N
BIOMETRICIANS	B AY AA M AH T R IH S IY AH N Z
BIOPHYSICIST	B AY AA F AH Z IH S AH S T
BIOPHYSICISTS	B AY AH F IH S AH S AH S T S
BIOSCIENCE	B AY OW S AY AH N S
BIOSCIENCES	B AY OW S AY AH N S IH Z
BIOSCIENTIFIC	B AY AA S IY N T IH F AH K
BIOSCIENTIST	B AY AA S IY N T AH S T
BIOSCIENTISTS	B AY AA S IY N T AH S T S
BIOSOCIAL	B AY AH S OW SH AH L
BIOSOCIALLY	B AY AH S OW S IY AE L IY
BIOSTATISTICIAN	B AY AA S T AH T IH S T IH S IY AH N
BIOSTATISTICIANS	B AY AA S T AH T AH S T IH S IY AH N Z
BIRACIAL	B AY R EY SH AH L
BIRACIALISM	B AY R EY SH AH L IH Z AH M
BIRACIALISMS	B AY R EY SH AH L IH Z AH M Z
BLATANCIES	B L EY T AH N S IY Z
BOCACCIO	B AH K AE K S IY OW
BOCACCIOS	B AH K AE K S IY AH Z
BOCCI	B AA K S IY
BOCCIA	B OW CH AH
BOCCIAS	B AA K S IY AH Z
BOCCIE	B AA K S AY
BOCCIES	B AA K S AY Z
BOCCIS	B AA K S AH S
BODACIOUS	B OW D AH S IY AH S
BODACIOUSLY	B OW D AH S IY AH S L IY
BOLDFACING	B OW L D F EY S IH NG
BOMBYCID	B AA M B AH S AH D
BOMBYCIDS	B AA M B AH S AH D Z
BONACI	B AA N AH S IY
BONACIS	B OW N AH S IY Z
BORACIC	B IY ER EY S IH K
BORACITE	B IY ER AH S AY T
BORACITES	B IY ER AH S AY T S
BOUNCIER	B AW N S IY ER
BOUNCIEST	B AW N S IY AH S T
BOUNCILY	B AW N S IY L IY
BOUNCING	B AW N S IH NG
BOUNCINGLY	B AW N S IH NG L IY
BRACING	B R EY S IH NG
BRACINGLY	B R EY S IH NG G L IY
BRACINGS	B R EY S IH NG Z
BRACIOLA	B R EY S IY AH L AH
BRACIOLAS	B R EY S IY AH L AH Z
BRACIOLE	B R EY S IY OW L
BRACIOLES	B R EY S IY OW L Z
BRAGGADOCIO	B R AE G AH D OW SH IY OW
BRAGGADOCIOS	B R AE G AH D OW SH IY OW Z
BRATTICING	B R AE T IH S AH NG
BRECCIA	B R EH K S IY AH
