CO	K OW
ACCOUNTABLY	AH K AW N T AH B L IY
ACCOUNTANCIES	AH K AW N T AH N S IY Z
ACCOUNTANCY	AH K AW N T AH N T S IY
ACCOUNTANT	AH K AW N T AH N T
ACCOUNTANTS	AH K AW N T AH N T S
ACCOUNTANTSHIP	AH K AW N T AH N T SH IH P
ACCOUNTANTSHIPS	AH K AW N T AH N T SH IH P S
ACCOUNTED	AH K AW N T IH D
ACCOUNTING	AH K AW N T IH NG
ACCOUNTING(2)	AH K AW N IH NG
ACCOUNTINGS	AH K AW N T IH NG Z
ACCOUNTS	AH K AW N T S
ACCOUTER	AH K UW T ER
ACCOUTERED	AH K UW T ER D
ACCOUTERING	AH K UW T ER IH NG
ACCOUTERMENT	AH K UW T ER M AH N T
ACCOUTERMENTS	AH K UW T ER M AH N T S
ACCOUTERS	AH K UW T ER Z
ACCOUTRE	AE K AW T AH R
ACCOUTRED	AE K AW T AH R D
ACCOUTREMENT	AH K UW T ER M AH N T
ACCOUTREMENTS	AH K UW T ER M AH N T S
ACCOUTRES	AE K AW T AH R Z
ACCOUTRING	AE K AW T R AH NG
ACOCK	AH K AA K
ACOELOMATE	AH K OW EH L AH M EY T
ACOELOMATES	AH K OW EH L AH M EY T S
ACOLD	AH K OW L D
ACOLYTE	AE K AH L AY T
ACOLYTES	AE K AH L AY T S
ACONITE	AE K AH N AY T
ACONITES	AE K AH N AY T S
ACONITIC	AE K AH N AH T AH K
ACONITUM	AH K AA N AH T AH M
ACONITUMS	AH K AA N AH T AH M Z
ACORN	EY K AO R N
ACORNS	EY K AO R N Z
ACOUSTIC	AH K UW S T IH K
ACOUSTICAL	AH K UW S T IH K AH L
ACOUSTICALLY	AH K UW S T IH K L IY
ACOUSTICIAN	AH K AW S T IH S IY AH N
ACOUSTICIANS	AE K AW S T IH S IY AH N Z
ACOUSTICS	AH K UW S T IH K S
ACTINOMYCOSES	AE K T AH N AA M AH K OW Z AH Z
ACTINOMYCOSIS	AE K T IH N OW M AY K OW S IH S
ACTINOMYCOTIC	AE K T AH N AA M AH K AH T AH K
ADRENOCORTICAL	AE D R EH N AH K AO R T IH S AH L
ADRENOCORTICOSTEROID	AE D R AH N AH K AO R T AH K AA S T AH R OY D
ADRENOCORTICOSTEROIDS	AE D R AH N AH K AH R T AH K AA S T AH R OY D Z
ADRENOCORTICOTROPHIC	AE D R AH N AH K AO R T AH K AA T R AH F AH K
ADRENOCORTICOTROPHIN	AE D R AH N AH K AO R T AH K AA T R AH F AH N
ADRENOCORTICOTROPHINS	AE D R AH N AH K AO R T AH K AA T R AH F AH N Z
ADRENOCORTICOTROPIC	AE D R AH N AH K AO R T AH K AA T R AH P AH K
ADRENOCORTICOTROPIN	AE D R AH N AH K AO R T AH K AA T R AH P AH N
ADRENOCORTICOTROPINS	AE D R AH N AH K AO R T AH K AA T R AH P AH N Z
ADUNCOUS	AH D AH NG K AH S
AGLYCON	EY JH L IY K AA N
AGLYCONE	EY JH L IY K OW N
AGLYCONES	EY JH L IY K OW N Z
AGLYCONS	EY JH L IY K AA N Z
AIRCOACH	AH IH R K OW CH
AIRCOACHES	AH IH R K OW CH IH Z
ALBACORE	AE L B AH K AO R
ALBACORES	AE L B AH K OW R Z
ALBICORE	AE L B AH K AH R
ALBICORES	AE L B AH K AH R Z
ALCOHOL	AE L K AH HH AA L
ALCOHOLIC	AE L K AH HH AA L IH K
ALCOHOLICALLY	AE L K AH HH AO L IH K AH L IY
ALCOHOLICS	AE L K AH HH AA L IH K S
ALCOHOLISM	AE L K AH HH AO L IH Z AH M
ALCOHOLISMS	AE L K AH HH AO L IH Z AH M Z
ALCOHOLS	AE L K AH HH AO L Z
ALCOVE	AE L K OW V
ALCOVED	AE L K OW V D
ALCOVES	AE L K OW V Z
ALENCON	EY L AH N K AA N
ALENCONS	EY L AH N K AA N Z
ALFRESCO	AE L F R EH S K OW
ALNICO	AE L N AH K OW
ALNICOES	AE L N AH K OW Z
ALNICOS	AE L N AH K AH Z
AMELCORN	AH M EH L K AH R N
AMELCORNS	AH M EH L K AH R N Z
ANACOLUTHA	AE N AH K AA L AH TH AH
ANACOLUTHIC	AH N AE K AH L AH TH AH K
ANACOLUTHICALLY	AE N AH K AH L AH TH AH K AE L IY
ANACOLUTHON	AE N AH K AA L AH TH AH N
ANACOLUTHONS	AE N AH K AA L AH TH AH N Z
ANACONDA	AE N AH K AA N D AH
ANACONDAS	AE N AH K AA N D AH Z
ANASARCOUS	AE N AH S AA R K AH S
ANCON	AE NG K AH N
ANCONAL	AE NG K AH N AH L
ANCONE	AE NG K OW N
ANCONEAL	AE NG K OW N IY AH L
ANCONES	AE NG K OW N Z
ANCONOID	AE NG K AH N OY D
ANTIALCOHOL	AE N T AY AE L K AH HH AO L
ANTIALCOHOLISM	AE N T AY AE L K AH HH AO L IH Z AH M
ANTIALCOHOLISMS	AE N T AY AE L K AH HH AO L IH Z AH M Z
ANTIBOYCOTT	AE N T AY B OY K AA T
ANTIBOYCOTTS	AE N T AY B OY K AA T S
ANTICOAGULANT	AE N T AY K OW AE G Y AH L AH N T
ANTICOAGULANTS	AE N T AY K OW AE G Y AH L AH N T S
ANTICODON	AE N T AY K OW D AA N
ANTICODONS	AE N T AY K OW D AA N Z
ANTICOLD	AE N T AY K OW L D
ANTICOLLISION	AE N T AY K AH L IH ZH AH N
ANTICOLONIAL	AE N T AY K AH L OW N IY AH L
ANTICOLONIALISM	AE N T AY K AH L OW N IY AH L IH Z AH M
ANTICOLONIALISMS	AE N T AY K AH L OW N IY AH L IH Z AH M Z
ANTICOLONIALIST	AE N T AY K AH L OW N IY AH L IH S T
ANTICOLONIALISTS	AE N T AY K AH L OW N IY AH L IH S T S
ANTICOLONIALS	AE N T AY K AH L OW N IY AH L Z
ANTICOMMERCIAL	AE N T AY K AH M ER SH AH L
ANTICOMMERCIALISM	AE N T AY K AH M ER SH AH L IH Z AH M
ANTICOMMERCIALISMS	AE N T AY K AH M ER SH AH L IH Z AH M Z
ANTICOMMUNISM	AE N T AY K AH M Y UW N IH Z AH M
ANTICOMMUNISMS	AE N T AY K AH M Y UW N IH Z AH M Z
ANTICOMMUNIST	AE N T IY K AA M Y AH N IH S T
ANTICOMMUNISTS	AE N T AY K AH M Y UW N IH S T S
ANTICOMPETITIVE	AE N T IH K AH M P EH T IH T IH V
ANTICONGLOMERATE	AE N T AY K AH N G L AA M ER AH T
ANTICONSERVATION	AE N T AY K AH N S ER V EY SH AH N
ANTICONSERVATIONIST	AE N T AY K AH N S ER V EY SH AH N IH S T
ANTICONSERVATIONISTS	AE N T AY K AH N S ER V EY SH AH N IH S T S
ANTICONSERVATIONS	AE N T AY K AH N S ER V EY SH AH N Z
ANTICONSUMER	AE N T AY K AH N S UW M ER
ANTICONSUMERS	AE N T AY K AH N S UW M ER Z
ANTICONVENTIONAL	AE N T AY K AA N V AH N CH AH N AH L
ANTICONVULSANT	AE N T AY K AH N V AH L S AH N T
ANTICONVULSANTS	AE N T AY K AH N V AH L S AH N T S
ANTICONVULSIVE	AE N T AY K AH N V AH L S IH V
ANTICONVULSIVES	AE N T AY K AH N V AH L S IH V Z
ANTICORPORATE	AE N T AY K AO R P ER AH T
ANTICORROSION	AE N T AY K AH R OW ZH AH N
ANTICORROSIVE	AE N T AY K AH R OW S IH V
ANTICORROSIVES	AE N T AY K AH R OW S IH V Z
ANTICORRUPTION	AE N T AY K ER AH P SH AH N
ANTICORRUPTION(2)	AE N T IY K ER AH P SH AH N
ANTICORRUPTIONS	AE N T AY K AH R AH P SH AH N Z
ANTICOUNTERFEITING	AE N T AY K AW N T ER F IH T IH NG
ANTIECONOMIC	AE N T AY EH K AH N AA M IH K
ANTISCORBUTIC	AE N T AY S AO R B Y UW T AH K
ANTISCORBUTICS	AE N T AY S AO R B Y UW T AH S Z
ANTITOBACCO	AE N T AY T AH B AE K OW
APOCOPE	AE P AH K OW P
APOCOPES	AE P AH K OW P S
APOCOPIC	AE P AH K AH P AH K
APRICOT	EY P R AH K AA T
APRICOTS	AE P R AH K AA T S
ARCCOSINE	AA R K OW S AY N
ARCCOSINES	AA R K OW S AY N Z
ARCHCONSERVATIVE	AA R CH K AH N S ER V AH T IH V
ARCHCONSERVATIVES	AA R CH K AH N S ER V AH T IH V Z
ARCHDEACON	AA R CH D IY K AH N
ARCHDEACONRIES	AA R CH D IY K AH N R IY Z
ARCHDEACONRY	AA R CH D IY K AH N R IY
ARCHDEACONS	AA R CH D IY K AH N Z
ARCHIDIACONAL	AA R K AH D IY AE K AH N AH L
ARCHIEPISCOPAL	AA R K AH P IH S AH P AH L
ARCHIEPISCOPALLY	AA R K AH P IH S AH P AE L IY
ARCHIEPISCOPATE	AA R K AH P IH S AH P EY T
ARCHIEPISCOPATES	AA R K AH P IH S AH P EY T S
ARCO	AA R K OW
ARECOLINE	AH R IY K OW L AY N
ARECOLINES	AH R IY K OW L AY N Z
ARENICOLOUS	AE R AH N IH K AH L AH S
ARTHROSCOPE	AA R TH R AH S OW P
ARTHROSCOPES	AA R TH R AH S OW P S
ARTHROSCOPIC	AA R TH R AA S AH P AH K
ARTHROSCOPIES	AA R TH R AA S AH P AY Z
ARTHROSCOPY	AA R TH R AA S AH P IY
ASCOCARP	AH Z K OW K AA R P
ASCOCARPIC	AH Z K OW K AA R P IH K
ASCOCARPS	AH Z K OW K AA R P S
ASCOGONIA	AE S AH G OW N Y AH
ASCOGONIUM	AE S AH G OW N IY AH M
ASCOMYCETE	AE S AA M AH S IY T
ASCOMYCETES	AE S AA M AH S IY T S
ASCOMYCETOUS	AE S AH M IH S AH T AH S
ASCORBATE	AE S AH R B EY T
ASCORBATES	AE S AH R B EY T S
ASCORBIC	AH S K AO R B IH K
ASCOSPORE	AH Z K OW S P OW R
ASCOSPORES	AH Z K OW S P OW R Z
ASCOSPORIC	AH Z K OW S P OW R IH K
ASCOT	AE S K AA T
ASCOTS	AH S K AA T S
ATAMASCO	AE T AH M AE S OW
ATAMASCOS	AE T AH M AE S AH Z
AUTACOID	EY Y UW T AH S OY D
AUTACOIDS	AO T AH K OY D Z
AUTECOLOGICAL	AO T AH K AA L AH JH IH S AH L
AUTECOLOGIES	AO T AH K AA L AH JH AY Z
AUTECOLOGY	AO T AH K AA L AH JH IY
AUTOCOID	AO T AH K OY D
AUTOCOIDS	AO T AH K OY D Z
AUTOCORRELATION	AO T OW K AO R AH L EY SH AH N
AUTOCORRELATIONS	AO T OW K AO R AH L EY SH AH N Z
BACKCOUNTRIES	B AE K AH N T R IY Z
BACKCOUNTRY	B AE K AH N T R IY
BACKCOURT	B AE K OW R T
BACKCOURTMAN	B AE K OW R T M AE N
BACKCOURTMEN	B AE K OW R T M EH N
BACKCOURTS	B AE K OW R T S
BACON	B EY K AH N
BACONS	B EY K AH N Z
BALCONIED	B AE L K AH N IY D
BALCONIES	B AE L K AH N IY Z
BALCONY	B AE L K AH N IY
BANCO	B AE NG K OW
BANCOS	B AE NG K AH Z
BANDICOOT	B AE N D IH K UW T
BANDICOOT(2)	B AE N D IY K UW T
BANDICOOTS	B AE N D IH K UW T S
BANDICOOTS(2)	B AE N D IY K UW T S
BARBASCO	B AA R B AE S OW
BARBASCOES	B AA R B AE S OW Z
BARBASCOS	B AA R B AE S AH Z
BARLEYCORN	B AA R L IY K AO R N
BARLEYCORNS	B AA R L IY K AO R N Z
BARRACOON	B AE R AH S UW N
BARRACOONS	B AE R AH K UW N Z
BARRACOUTA	B AE R AH K AW T AH
BARRACOUTAS	B AE R AH K AW T AH Z
BARRANCO	B AA R AA N K OW
BARRANCOS	B AE R AE NG K AH Z
BAWCOCK	B AO K AH K
BAWCOCKS	B AO K AH K S
BEACHCOMB	B IY CH K OW M
BEACHCOMBED	B IY CH K OW M D
BEACHCOMBER	B IY CH K OW M ER
BEACHCOMBERS	B IY CH K OW M ER Z
BEACHCOMBING	B IY CH K OW M IH NG
BEACHCOMBS	B IY CH K OW M Z
BEACON	B IY K AH N
BEACONED	B IY K AH N D
BEACONING	B IY K AH N IH NG
BEACONS	B IY K AH N Z
BEAUCOUP	B OW K UW
BECOME	B IH K AH M
BECOMES	B IH K AH M Z
BECOMING	B IH K AH M IH NG
BECOMINGLY	B IH K AH M IH NG L IY
BECOMINGS	B IH K AH M IH NG Z
BECOWARD	B IH K AW ER D
BECOWARDED	B IH K AW ER D IH D
BECOWARDING	B IH K AW ER D IH NG
BECOWARDS	B IH K AW ER D Z
BEDCOVER	B EH D K AH V ER
BEDCOVERING	B EH D K AH V ER IH NG
BEDCOVERINGS	B EH D K AH V ER IH NG Z
BEDCOVERS	B EH D K AH V ER Z
BELLICOSE	B EH L AH K OW S
BELLICOSELY	B IH L AH K OW Z L IY
BELLICOSITIES	B EH L IH K AA S AH T IY Z
BELLICOSITY	B EH L IH K AA S AH T IY
BESCORCH	B IH S K AO R CH
BESCORCHED	B IH S K AO R CH T
BESCORCHES	B IH S K AO R CH IH Z
BESCORCHING	B IH S K AO R CH IH NG
BESCOUR	B IH S K AW ER
BESCOURED	B IH S K AW ER D
BESCOURING	B IH S K AW ER IH NG
BESCOURS	B IH S K AW ER Z
BIBCOCK	B IH B K AA K
BIBCOCKS	B IH B K AA K S
BICOASTAL	B IH K OW S T AH L
BICOLOR	B AY K AH L ER
BICOLORED	B AY K AH L ER D
BICOLORS	B AY K AH L ER Z
BICOLOUR	B AY K AH L ER
BICOLOURS	B AY K AH L ER Z
BICOMPONENT	B AY K AH M P OW N AH N T
BICONCAVE	B AY K AA N K EY V
BICONCAVITIES	B AY K AH N K AE V AH T IY Z
BICONCAVITY	B AY K AH N K AE V AH T IY
BICONDITIONAL	B AY K AH N D IH SH AH N AH L
BICONDITIONALS	B AY K AH N D IH SH AH N AH L Z
BICONVEX	B AY K AA N V EH K S
BICONVEXITIES	B AY K AA N V EH K S AH T IY Z
BICONVEXITY	B AY K AA N V EH K S AH T IY
BICORN	B AY K AO R N
BICORNE	B AY K AH R N IY
BICORNES	B AY K AO R N Z
BILLYCOCK	B IH L IY K AA K
BILLYCOCKS	B IH L IY K AA K S
BIOACOUSTICS	B AY AH K AW S T AH S Z
BIOCOENOSES	B AY AA K OW AH N OW Z AH Z
BIOCOENOSIS	B AY AA K OW AH N OW S AH S
BIOCOMPATIBILITIES	B AY AH K AA M P AH T AH B IH L AH T AY Z
BIOCOMPATIBILITY	B AY AA K AH M P EY T AH B IH L AH T IY
BIOCOMPATIBLE	B AY AA K AH M P EY T AH B AH L
BIOCONTROL	B AY AH K AA N T R AA L
BIOCONTROLS	B AY AH K AA N T R AH L Z
BIOCONVERSION	B AY AH K AA N V EH R Z IY AH N
BIOCONVERSIONS	B AY AA K AH N V AH R S IY AH N Z
BIOSCOPE	B AY AA S K OW P
BIOSCOPES	B AY AA S K OW P S
BIOSCOPIES	B AY AA S K AA P IY Z
BIOSCOPY	B AY AA S K AA P IY
BLACKCOCK	B L AE K AA K
BLACKCOCKS	B L AE K AA K S
BLASTOCOEL	B L AE S T AA K OW AH L
BLASTOCOELE	B L AE S T AA K OW AH L
BLASTOCOELES	B L AE S T AA K OW AH L Z
BLASTOCOELIC	B L AE S T AA K OW AH L AH K
BLASTOCOELS	B L AE S T AA K OW AH L Z
BLASTOMYCOSES	B L AE S T AA M AH K OW Z AH Z
BLASTOMYCOSIS	B L AE S T AH M AH K OW S AH S
BLUECOAT	B L UW K OW T
BLUECOATS	B L UW K OW T S
BORECOLE	B AO R K OW L
BORECOLES	B AO R K OW L Z
BORESCOPE	B AO R S K OW P
BORESCOPES	B AO R S K OW P S
BOYCOTT	B OY K AA T
BOYCOTTED	B OY K AA T IH D
BOYCOTTER	B OY K AA T ER
BOYCOTTERS	B OY K AA T ER Z
BOYCOTTING	B OY K AA T IH NG
BOYCOTTS	B OY K AA T S
BRACONID	B R AE K AH N AH D
BRACONIDS	B R AE K AH N AH D Z
BRICOLAGE	B R IH K AH L AH JH
BRICOLAGES	B R AH K AA L AH JH AH Z
BRICOLE	B R AH K OW L
BRICOLES	B R AH K OW L Z
BROCCOLI	B R AA K AH L IY
BROCCOLI(2)	B R AA K L IY
BROCCOLIS	B R AA K L IY Z
BROCOLI	B R AA K AH L IY
BROCOLIS	B R AA K AH L AH S
BRONCHOSCOPE	B R AA N K AH S K OW P
BRONCHOSCOPES	B R AO NG K AH S OW P S
BRONCHOSCOPIC	B R AO NG K AA S AH P AH K
BRONCHOSCOPIES	B R AO NG K AA S AH P AY Z
BRONCHOSCOPIST	B R AO NG K AA S AH P AH S T
BRONCHOSCOPISTS	B R AO NG K AA S AH P AH S T S
BRONCHOSCOPY	B R AO NG K AA S AH P IY
BRONCO	B R AA NG K OW
BRONCOBUSTER	B R AA NG K OW B AH S T ER
BRONCOBUSTERS	B R AA NG K OW B AH S T ER Z
BRONCOS	B R AA NG K OW Z
BROOMCORN	B R UW M K AO R N
BROOMCORNS	B R UW M K AO R N Z
BUCOLIC	B Y UW K AA L IH K
BUCOLICALLY	B Y UW K AA L IH K AH L IY
BUCOLICS	B Y UW K AA L IH K S
BUNCO	B AH NG K OW
BUNCOED	B AH NG K OW D
BUNCOES	B AH NG K OW Z
BUNCOING	B AH NG K OW AH NG
BUNCOMBE	B AH N K OW M
BUNCOMBES	B AH N K OW M Z
BUNCOS	B AH NG K AH Z
BUTTERSCOTCH	B AH T ER S K AA CH
BUTTERSCOTCHES	B AH T ER S K AA CH IH Z
CACODEMON	K AH K AA D AH M AH N
CACODEMONIC	K AH K AA D AH M AH N AH K
CACODEMONS	K AH K AA D AH M AH N Z
CACODYL	K AE K AH D AH L
CACODYLS	K AE K AH D AH L Z
CACOETHES	K AE K OW AH DH Z
CACOGRAPHICAL	K AH K AA G R AH F IH S AH L
CACOGRAPHIES	K AH K AA G R AH F AY Z
CACOGRAPHY	K AH K AA G R AH F IY
CACOMISTLE	K AE K AH M AH S AH L
CACOMISTLES	K AE K AH M AH S T AH L Z
CACOMIXL	K AE K AH M AH K S L
CACOMIXLS	K AE K AH M AH K S L Z
CACOPHONIES	K AE K AA F AH N IY Z
CACOPHONOUS	K AE K AA F AH N AH S
CACOPHONOUSLY	K AE K AA F AH N AH S L IY
CACOPHONY	K AE K AA F AH N IY
CADUCOUS	K AE D Y UW K AH S
CALCICOLE	K AE L S AH K OW L
CALCICOLES	K AE L S AH K OW L Z
CALCICOLOUS	K AE L S IH K AH L AH S
CALICO	K AE L AH K OW
CALICOES	K AE L IH K OW Z
CALICOS	K AE L IH K OW Z
CAMCORDER	K AE M K AO R D ER
CAMCORDERS	K AE M K AO R D ER Z
CARACOL	K AE R AH K AH L
CARACOLE	K AA R AH K OW L
CARACOLED	K AA R AH K OW L D
CARACOLES	K AA R AH K OW L Z
CARACOLING	K AA R AH K OW L IH NG
CARACOLLED	K AE R AH K AH L D
CARACOLLING	K AE R AH K AA L AH NG
CARACOLS	K AE R AH K AH L Z
CARCINOSARCOMA	K AA R S AH N AH S AA R K AH M AH
CARCINOSARCOMAS	K AA R S AH N AH S AA R K AH M AH Z
CARCINOSARCOMATA	K AA R S IH N AH S AH R K AA M AH T AH
CATACOMB	K AE T AH K OW M
CATACOMBS	K AE T AH K OW M Z
CATERCORNER	K EY T ER K AO R N ER
CATERCORNERED	K EY T ER K AO R N ER D
CATHOLICOI	K AH TH AA L AH K OY
CATHOLICON	K AE TH L IH K AO N
CATHOLICONS	K AE TH L IH K AO N Z
CATHOLICOS	K AE TH L IH K AA S
CATHOLICOSES	K AE TH L IH K AA S IH Z
CAVERNICOLOUS	K AH V AH R N IH K AH L AH S
CAVICORN	K AE V AH K AH R N
CHACONNE	CH AE K AH N
CHACONNES	CH AE K AH N Z
CHALCOCITE	CH AE L K AH S AY T
CHALCOCITES	CH AE L K AH S AY T S
CHALCOGEN	CH AE L K AH JH AH N
CHALCOGENIDE	CH AE L K AA JH AH N AY D
CHALCOGENIDES	CH AE L K AA JH AH N AY D Z
CHALCOGENS	CH AE L K AH JH AH N Z
CHALCOPYRITE	CH AE L K AA P AH R AY T
CHALCOPYRITES	CH AE L K AA P AH R AY T S
CHARCOAL	CH AA R K OW L
CHARCOALED	CH AA R K OW L D
CHARCOALING	CH AA R K OW L IH NG
CHARCOALS	CH AA R K OW L Z
CHAWBACON	CH AO B EY K AH N
CHAWBACONS	CH AO B EY K AH N Z
CHICCORIES	SH IY K ER IY Z
CHICCORY	SH IY K ER IY
CHICO	CH IY K OW
CHICORIES	CH IY K OW R IY Z
CHICORY	CH IY K OW R IY
CHICOS	CH IY K OW Z
CHLORAMPHENICOL	K L AO R AH M F EH N AH K AH L
CHLORAMPHENICOLS	K L AO R AH M F EH N AH K AH L Z
CHOCOHOLIC	CH AA K AH HH AH L AH K
CHOCOHOLICS	CH AH K AA HH AH L AH S Z
CHOCOLATE	CH AO K L AH T
CHOCOLATES	CH AO K L AH T S
CHOCOLATEY	CH AA K L AH T IY
CHOCOLATIER	CH AA K L AH T IY ER
CHOCOLATIERS	CH AA K L AH T IY ER Z
CHOCOLATY	CH AA K L AH T IY
CHUBASCO	CH UW B AE S OW
CHUBASCOS	CH UW B AE S AH Z
CICOREE	S IH K AH R IY IY
CICOREES	S IH K AH R IY Z
CISCO	S IH S K OW
CISCOES	S IH S OW Z
CISCOS	S IH S AH Z
CLASSICO	K L AE S AH K OW
CLINICOPATHOLOGIC	K L IH N AH K AH P AE TH AH L AH JH AH K
CLINICOPATHOLOGICAL	K L AH N IH K AH P AH TH AA L AH JH IH S AH L
CLINICOPATHOLOGICALLY	K L AH N AH K AA P AH TH AH L AA JH AH K AE L IY
COACERVATE	K OW AE S AH R V EY T
COACERVATES	K OW AE S AH R V EY T S
COACERVATION	K OW AE S AH R V EY SH AH N
COACERVATIONS	K OW AE S AH R V EY T IY AH N Z
COACH	K OW CH
COACHABLE	K OW CH AH B AH L
COACHED	K OW CH T
COACHER	K OW CH ER
COACHERS	K OW CH ER Z
COACHES	K OW CH IH Z
COACHING	K OW CH IH NG
COACHMAN	K OW CH M AH N
COACHMEN	K OW CH M EH N
COACHWORK	K OW CH W ER K
COACHWORKS	K OW CH W ER K S
COACT	K OW AE K T
COACTED	K OW AE K T IH D
COACTING	K OW AE K T IH NG
COACTION	K OW AE K SH AH N
COACTIONS	K OW AE K SH AH N Z
COACTIVE	K OW AE K T IH V
COACTOR	K OW AE K T ER
COACTORS	K OW AE K T ER Z
COACTS	K OW AE K T S
COADAPTATION	K OW AE D AE P T EY SH AH N
COADAPTATIONS	K OW AE D AE P T EY SH AH N Z
COADAPTED	K OW AH D AE P T IH D
COADJUTOR	K OW AE JH Y UW T AH R
COADJUTORS	K OW AE JH UW T AH R Z
COADJUTRICES	K OW AE JH AH T R AH S
COADJUTRIX	K OW AE JH AH T R AH K S
COADMINISTRATION	K OW AH D M IH N AH S T R EY SH AH N
COADMINISTRATIONS	K OW AH D M IH N AH S T R EY SH AH N Z
COADMIRE	K OW AH D M AY ER
COADMIRED	K OW AH D M AY ER D
COADMIRES	K OW AH D M AY ER Z
COADMIRING	K OW AH D M AY ER IH NG
COADMIT	K OW AH D M IH T
COADMITS	K OW AH D M IH T S
COADMITTED	K OW AH D M IH T IH D
COADMITTING	K OW AH D M IH T IH NG
COAEVAL	K OW AH IY V AH L
COAEVALS	K OW AH IY V AH L Z
COAGENCIES	K OW EY JH AH N S IY Z
COAGENCY	K OW EY JH AH N S IY
COAGENT	K OW EY JH AH N T
COAGENTS	K OW EY JH AH N T S
COAGULA	K OW AE G Y UW L AH
COAGULABILITIES	K OW AE G Y AH L AH B IH L AH T EH Z
COAGULABILITY	K OW AE G Y AH L AH B IH L AH T EH
COAGULABLE	K OW AE G Y AH L AH B AH L
COAGULANT	K OW AE G Y AH L AH N T
COAGULANTS	K OW AE G Y AH L AH N T S
COAGULASE	K OW AE G Y AH L EY Z
COAGULASES	K OW AE G Y AH L EY Z AH Z
COAGULATE	K OW AE G Y AH L EY T
COAGULATED	K OW AE G Y AH L EY T IH D
COAGULATES	K OW AE G Y AH L AH T S
COAGULATING	K OW AE G Y AH L EY T IH NG
COAGULATION	K OW AE G Y AH L EY SH AH N
