DE	D IY
ACRYLAMIDE	AE K R IH L AH M AY D
ACRYLAMIDES	AE K R IH L AH M AY D Z
ACTINIDE	AE K T IH N AY D
ACTINIDES	AE K T AH N AY D Z
ADDED	AE D IH D
ADDEDLY	AE D AH D L IY
ADDEND	AE D EH N D
ADDENDA	AE D EH N D AH
ADDENDS	AE D EH N D Z
ADDENDUM	AH D EH N D AH M
ADDER	AE D ER
ADDERS	AE D ER Z
ADEEM	AH D IY M
ADEEMED	AH D IY M D
ADEEMING	AH D IY M IH NG
ADEEMS	AH D IY M Z
ADENINE	AE D AH N IY N
ADENINES	AH D IY N AY N Z
ADENITIS	AH D EH N AH T IY Z
ADENITISES	AH D EH N AH T IY Z IH Z
ADENOCARCINOMA	AH D EH N AH K AH R S IH N AH M AH
ADENOCARCINOMAS	AH D EH N AH K AH R S IH N AH M AH Z
ADENOCARCINOMATA	AH D AH N AH K AA R S AH N AA M AH T AH
ADENOCARCINOMATOUS	AH D EH N AH K AA R S AH N AA M AH T AH S
ADENOHYPOPHYSEAL	AE D AH N AH HH IH P AH F IH Z IY AH L
ADENOHYPOPHYSES	AH D AH N AH HH IH P AH F AY Z AH Z
ADENOHYPOPHYSIAL	AE D AH N AH HH IH P AH F IH Z IY AH L
ADENOHYPOPHYSIS	AH D EH N AH HH AH P AA F AH S AH S
ADENOID	AE D AH N OY D
ADENOIDAL	AE D AH N OY D AH L
ADENOIDS	AE D AH N OY D Z
ADENOMA	AE D AH N OW M AH
ADENOMAS	AE D AH N OW M AH Z
ADENOMATA	AE D AH N AA M AH T AH
ADENOMATOUS	AE D AH N AA M AH T AH S
ADENOSES	AH D IY N OW Z IH Z
ADENOSINE	AH D EH N AH S IY N
ADENOSINES	AH D EH N AH S AY N Z
ADENOSIS	AH D IY N OW Z IY Z
ADENOVIRAL	AE D AH N AA V AH R AH L
ADENOVIRUS	AH D EH N AH V AY R AH S
ADENOVIRUSES	AH D AH N AA V AH R UW Z AH Z
ADENYL	AE D AH N AH L
ADENYLS	AE D AH N AH L Z
ADEPT	AH D EH P T
ADEPTER	AE D EH P T ER
ADEPTEST	AE D EH P T AH S T
ADEPTLY	AE D EH P T L IY
ADEPTNESS	AE D EH P T N AH S
ADEPTNESSES	AE D EH P T N AH S IH Z
ADEPTS	AE D EH P T S
ADEQUACIES	AE D IH K W AH S IY Z
ADEQUACY	AE D AH K W AH S IY
ADEQUATE	AE D AH K W AH T
ADEQUATE(2)	AE D AH K W EY T
ADEQUATELY	AE D AH K W IH T L IY
ADEQUATENESS	AE D IH K W AH T N AH S
ADEQUATENESSES	AE D IH K W AH T N AH S IH Z
AEDES	EH D Z
AFFORDED	AH F AO R D AH D
AFTERDECK	AE F T ER D EH K
AFTERDECKS	AE F T ER D EH K S
AGGRADE	AE G R EY D
AGGRADED	AE G R EY D AH D
AGGRADES	AE G R EY D Z
AIDE	EY D
AIDED	EY D IH D
AIDER	EY D ER
AIDERS	EY D ER Z
AIDES	EY D Z
AIRHEADED	AH IH R HH EH D IH D
ALAMODE	AE L AH M OW D
ALAMODES	AE L AH M OW D Z
ALCADE	AE L K EY D
ALCADES	AE L K EY D Z
ALCAIDE	AE L K EY D
ALCAIDES	AE L K EY D Z
ALCALDE	AE L K AH L D
ALCALDES	AE L K AH L D Z
ALCAYDE	AE L K EY D
ALCAYDES	AE L K EY D Z
ALDEHYDE	AE L D AH HH AY D
ALDEHYDES	AE L D AH HH AY D Z
ALDEHYDIC	AE L D AH HH AH D AH K
ALDER	AO L D ER
ALDERFLIES	AE L D AH R F L AY Z
ALDERFLY	AE L D AH R F L IY
ALDERMAN	AO L D ER M AH N
ALDERMAN(2)	AE L D ER M AH N
ALDERMANIC	AO L D ER M AH N IH K
ALDERMEN	AO L D ER M IH N
ALDERS	AE L D AH R Z
ALDERWOMAN	AE L D AH R W AH M AH N
ALDERWOMEN	AE L D AH R W AH M AH N
ALEXANDER	AE L IH G Z AE N D ER
ALEXANDERS	AE L IH G Z AE N D ER Z
ALGAECIDE	AE L G AH S AY D
ALGAECIDES	AE L G AH S AY D Z
ALGICIDE	AE L JH AH S AY D
ALGICIDES	AE L JH AH S AY D Z
ALIDADE	AH L IH D EY D
ALIDADES	AH L IH D EY D Z
ALIUNDE	EY L IY AH N D
ALKOXIDE	AE L K AH K S AY D
ALKOXIDES	AE L K AH K S AY D Z
ALLANTOIDES	AE L AH N T OY D Z
ALLEMANDE	AE L AH M AH N D
ALLEMANDES	AE L AH M AH N D Z
ALLUDE	AH L UW D
ALLUDED	AH L UW D AH D
ALLUDES	AH L UW D Z
ALMUDE	AE L M Y UW D
ALMUDES	AE L M Y UW D Z
ALONGSIDE	AH L AO NG S AY D
ALTITUDE	AE L T AH T UW D
ALTITUDES	AE L T IH T UW D Z
ALUDEL	AH L UW D AH L
ALUDELS	AH L UW D AH L Z
AMBIDEXTERITIES	AE M B AH D EH K S T EH R AH T AY Z
AMBIDEXTERITY	AE M B AH D EH K S T EH R AH T IY
AMBIDEXTROUS	AE M B IH D EH K S T R AH S
AMBIDEXTROUSLY	AE M B IH D EH K S T R AH S L IY
AMBUSCADE	AE M B AH S K EY D
AMBUSCADED	AE M B AH S K EY D IH D
AMBUSCADER	AE M B AH S K EY D ER
AMBUSCADERS	AE M B AH S K EY D ER Z
AMBUSCADES	AE M B AH S K EY D Z
AMENDED	AH M EH N D IH D
AMENDER	AH M EH N D ER
AMENDERS	AH M EH N D ER Z
AMIDE	AE M AY D
AMIDES	AE M AY D Z
AMPLITUDE	AE M P L AH T UW D
AMPLITUDES	AE M P L AH T UW D Z
ANADEM	AE N AH D AH M
ANADEMS	AE N AH D AH M Z
ANDESITE	AE N D IH S AY T
ANDESITES	AE N D AH S AY T S
ANDESITIC	AE N D AH S AH T AH K
ANDESYTE	AE N D AH S AY T
ANDESYTES	AE N D AH S AY T S
ANHYDRIDE	AE N HH AY D R IH D
ANHYDRIDES	AE N HH AH D R AY D Z
ANODE	AE N OW D
ANODES	AE N OW D Z
ANTECEDE	AE N T AH S IY D
ANTECEDED	AE N T AH S IY D AH D
ANTECEDENCE	AE N T EH S AH D AH N S
ANTECEDENCES	AE N T EH S AH D EH N S AH Z
ANTECEDENT	AE N T EH S AH D AH N T
ANTECEDENT(2)	AE N T IH S IY D AH N T
ANTECEDENTLY	AE N T AH S IY D AH N T L IY
ANTECEDENTS	AE N T IH S IY D AH N T S
ANTECEDENTS(2)	AE N T EH S AH D AH N T S
ANTECEDES	AE N T AH S IY D Z
ANTIACADEMIC	AE N T AY AE K AH D EH M IH K
ANTIACADEMICS	AE N T AY AE K AH D EH M IH K S
ANTICATHODE	AE N T AY K AE TH OW D
ANTICATHODES	AE N T AY K AE TH OW D Z
ANTIDEFAMATION	AE N T AY D IY F EY M EY SH AH N
ANTIDEMOCRATIC	AE N T AY D EH M AH K R AE T IH K
ANTIDEPRESSANT	AE N T IY D IH P R EH S AH N T
ANTIDEPRESSANTS	AE N T AY D IH P R EH S AH N T S
ANTIDEPRESSANTS(2)	AE N T IY D IH P R EH S AH N T S
ANTIDEPRESSION	AE N T AY D IY P R EH SH AH N
ANTIDEPRESSIONS	AE N T AY D IY P R EH SH AH N Z
ANTIDERIVATIVE	AE N T AY D IH R IH V AH T IH V
ANTIDERIVATIVES	AE N T AY D IH R IH V AH T IH V Z
ANTIDESEGREGATION	AE N T AY D IY S EH G R IH G EY SH AH N
ANTIDESERTIFICATION	AE N T AY D EH Z ER T AH F AH K EY SH AH N
ANTIDESICCANT	AE N T AY D IY S IH K AH N T
ANTIDESICCANTS	AE N T AY D IY S IH K AH N T S
ANTIDEVELOPMENT	AE N T AY D IH V EH L AH P M AH N T
ANTIFEDERALIST	AE N T AY F EH D ER AH L IH S T
ANTIFEDERALISTS	AE N T AY F EH D ER AH L IH S T S
ANTIMODERN	AE N T AY M AA D ER N
ANTIMODERNIST	AE N T AY M AA D ER N IH S T
ANTIMODERNISTS	AE N T AY M AA D ER N IH S T S
ANTIMODERNS	AE N T AY M AA D ER N Z
ANTIMONIDE	AE N T AH M AH N AY D
ANTIMONIDES	AE N T AH M AH N AY D Z
ANTINODE	AE N T AY N OW D
ANTINODES	AE N T AY N OW D Z
ANTIPESTICIDE	AE N T AY P EH S T AH S AY D
ANTIPODE	AE N T AH P OW D
ANTIPODEAN	AE N T AH P OW D IY AH N
ANTIPODEANS	AE N T AH P AH D IY N Z
ANTIPODES	AE N T IH P AH D IY Z
ANTISTUDENT	AE N T AY S T UW D AH N T
ANTISUICIDE	AE N T AY S UW AH S AY D
ANTITRADES	AE N T AY T R EY D Z
APHIDES	AH F AY D Z
APOAPSIDES	AE P OW P S AY D Z
APODEICTIC	AE P AH D IY K T AH K
APPENDECTOMIES	AE P AH N D EH K T AH M IY Z
APPENDECTOMY	AE P IH N D EH K T AH M IY
APPENDED	AH P EH N D IH D
APPLAUDED	AH P L AO D IH D
APPLAUDER	AH P L AO D ER
APPLAUDERS	AH P L AO D ER Z
APPREHENDED	AE P R IH HH EH N D AH D
APSIDES	AE P S AY D Z
APTITUDE	AE P T AH T UW D
APTITUDES	AE P T AH T UW D Z
AQUACADE	AE K W AH K EY D
AQUACADES	AE K W AH K EY D Z
ARABINOSIDE	AH R AH B IH N AH S AY D
ARABINOSIDES	AH R AH B IH N AH S AY D Z
ARCADE	AA R K EY D
ARCADED	AA R K EY D IH D
ARCADES	AA R K EY D Z
ARCHDEACON	AA R CH D IY K AH N
ARCHDEACONRIES	AA R CH D IY K AH N R IY Z
ARCHDEACONRY	AA R CH D IY K AH N R IY
ARCHDEACONS	AA R CH D IY K AH N Z
ARDEB	AA R D AH B
ARDEBS	AA R D AH B Z
ARDENCIES	AA R D AH N S IY Z
ARDENCY	AA R D AH N S IY
ARDENT	AA R D AH N T
ARDENTLY	AA R D AH N T L IY
ARIDER	AE R AH D ER
ARIDEST	AE R AH D AH S T
ARILLODE	AE R AH L OW D
ARILLODES	AE R AH L OW D Z
ARSENIDE	AA R S AH N AY D
ARSENIDES	AA R S AH N AY D Z
ARTERITIDES	AA R T EH R AH T AY D Z
ARTHRITIDES	AA R TH R AH T AY D Z
ARTHRODESES	AA R TH R AH D IY Z AH Z
ARTHRODESIS	AA R TH R OW D AH S AH S
ASCARIDES	AE S AH R AY D Z
ASCENDED	AH S EH N D AH D
ASCENDENCE	AH S EH N D AH N S
ASCENDENCES	AH S EH N D AH N S IH Z
ASCENDENCIES	AH S EH N D AH N S IY Z
ASCENDENCY	AH S EH N D AH N S IY
ASCENDENT	AH S EH N D AH N T
ASCENDENTS	AH S EH N D AH N T S
ASCENDER	AH S EH N D ER
ASCENDERS	AH S EH N D ER Z
ASIDE	AH S AY D
ASIDES	AH S AY D Z
ASPHODEL	AE S AH D AH L
ASPHODELS	AE S AH D AH L Z
ASTOUNDED	AH S T AW N D IH D
ASTRIDE	AH S T R AY D
ASUNDER	AH S AH N D ER
ASYNDETA	AH S IH N D AH T AH
ASYNDETIC	AH S IH N D AH T AH K
ASYNDETICALLY	AH S IH N D EH T AH K AE L IY
ASYNDETON	AH S IH N D AH T AH N
ASYNDETONS	AH S IH N D AH T AH N Z
ATTAINDER	AH T EY N D ER
ATTAINDERS	AE T EY N D AH R Z
ATTENDED	AH T EH N D AH D
ATTENDEE	AH T EH N D IY
ATTENDEES	AH T EH N D IY Z
ATTENDER	AH T EH N D ER
ATTENDERS	AH T EH N D ER Z
ATTITUDE	AE T AH T UW D
ATTITUDES	AE T AH T UW D Z
AUBADE	AH B EY D
AUBADES	AH B EY D Z
AULDER	AO L D AH R
AULDEST	AO L D AH S T
AUSLANDER	AW S L AH N D ER
AUSLANDERS	AO Z L AE N D AH R Z
AUTOCADE	AO T AH K EY D
AUTOCADES	AO T AH K EY D Z
AUTOSTRADE	AO T OW Z T R EY D
AVOIDED	AH V OY D IH D
AVOIDER	AH V OY D ER
AVOIDERS	AH V OY D ER Z
AWARDED	AH W AO R D IH D
AWARDEE	AH W AO R D IY
AWARDEES	AH W AO R D IY Z
AWARDER	AH W AO R D ER
AWARDERS	AH W AO R D ER Z
AWKWARDER	AO K W ER D ER
AWKWARDEST	AO K W ER D AH S T
AZIDE	AH Z AY D
AZIDES	AE Z AY D Z
BACKGROUNDED	B AE K G R AW N D IH D
BACKGROUNDER	B AE K G R AW N D ER
BACKGROUNDERS	B AE K G R AW N D ER Z
BACKHANDED	B AE K HH AE N D IH D
BACKHANDEDLY	B AE K HH AE N D AH D L IY
BACKHANDER	B AE K HH AE N D ER
BACKHANDERS	B AE K HH AE N D ER Z
BACKSIDE	B AE K S AY D
BACKSIDES	B AE K S AY D Z
BACKSLIDDEN	B AE K S L IH D AH N
BACKSLIDE	B AE K S L AY D
BACKSLIDER	B AE K S L AY D ER
BACKSLIDERS	B AE K S L AY D ER Z
BACKSLIDES	B AE K S L AY D Z
BACTERICIDE	B AE K T EH R AH S AY D
BACTERICIDES	B AE K T EH R AH S AY D Z
BADDER	B AE D ER
BADDEST	B AE D AH S T
BADE	B EY D
BALDED	B AO L D IH D
BALDER	B AO L D ER
BALDERDASH	B AO L D ER D AE SH
BALDERDASHES	B AO L D ER D AE SH IH Z
BALDEST	B AO L D AH S T
BALDHEADED	B AO L D HH EH D IH D
BALLADE	B AH L AA D
BALLADEER	B AE L AH D IH R
BALLADEERS	B AE L AH D IH R Z
BALLADES	B AO L EY D Z
BALUSTRADE	B AE L AH S T R EY D
BALUSTRADED	B AE L AH S T R EY D IH D
BALUSTRADES	B AE L AH S T R EY D Z
BANDEAU	B AE N D IY UW
BANDEAUS	B AE N D IY AH S
BANDEAUX	B AE N D IY AH K S
BANDED	B AE N D IH D
BANDER	B AE N D ER
BANDERILLA	B AE N D AH R IH L AH
BANDERILLAS	B AE N D AH R IH L AH Z
BANDERILLERO	B AE N D AH R IH L AH R OW
BANDERILLEROS	B AE N D ER IH L ER AA S
BANDEROL	B AE N D AH R AH L
BANDEROLE	B AE N D IY R OW L
BANDEROLES	B AE N D IY R OW L Z
BANDEROLS	B AE N D AH R AH L Z
BANDERS	B AE N D ER Z
BANDLEADER	B AE N D L IY D ER
BANDLEADERS	B AE N D L IY D ER Z
BANKSIDE	B AE NG K S AY D
BANKSIDES	B AE NG K S AY D Z
BARDE	B AA R D
BARDED	B AA R D IH D
BARDES	B AA R D Z
BAREHANDED	B EH R HH AE N D IH D
BAREHEADED	B EH R HH EH D IH D
BARRICADE	B AE R AH K EY D
BARRICADE(2)	B EH R AH K EY D
BARRICADED	B AE R AH K EY D IH D
BARRICADED(2)	B EH R AH K EY D IH D
BARRICADES	B AE R AH K EY D Z
BARRICADES(2)	B EH R AH K EY D Z
BARTENDED	B AA R T EH N D IH D
BARTENDER	B AA R T EH N D ER
BARTENDERS	B AA R T EH N D ER Z
BASTINADE	B AE S T IH N EY D
BASTINADES	B AE S T IH N EY D Z
BAUDEKIN	B AO D AH K AH N
BAUDEKINS	B AO D AH K AH N Z
BAYADEER	B EY EY D IH R
BAYADEERS	B EY EY D IH R Z
BAYADERE	B EY EY D AH R
BAYADERES	B EY AH D IY R Z
BDELLIUM	B D EH L IY AH M
BDELLIUMS	B D EH L IY AH M Z
BEACHSIDE	B IY CH S AY D
BEADED	B IY D IH D
BEARDED	B IH R D AH D
BEARDEDNESS	B IH ER D AH D N AH S
BEARDEDNESSES	B IH ER D AH D N AH S IH Z
BEATITUDE	B IY AE T AH T UW D
BEATITUDES	B IY AE T AH T UW D Z
BEBLOODED	B IH B L AH D IH D
BECLOUDED	B IH K L AW D IH D
BECOWARDED	B IH K AW ER D IH D
BECROWDED	B IH K R AW D IH D
BEDDED	B EH D IH D
BEDDER	B EH D ER
BEDDERS	B EH D ER Z
BEDEAFEN	B IH D EH F AH N
BEDEAFENED	B IH D EH F AH N D
BEDEAFENING	B IH D EH F AH N IH NG
BEDEAFENS	B IH D EH F AH N Z
BEDECK	B IH D EH K
BEDECKED	B IH D EH K T
BEDECKING	B IH D EH K IH NG
BEDECKS	B IH D EH K S
BEDEL	B IH D EH L
BEDELL	B EH D AH L
BEDELLS	B IH D EH L Z
BEDELS	B AH D EH L Z
BEDEMAN	B IH D IY M AE N
BEDEMEN	B IH D IY M EH N
BEDESMAN	B AH D EH Z M AH N
BEDESMEN	B AH D EH Z M AH N
BEDEVIL	B IH D EH V AH L
BEDEVILED	B IH D EH V AH L D
BEDEVILING	B IH D IY V IY L IH NG
BEDEVILLED	B IH D EH V AH L D
BEDEVILLING	B IH D IY V IH L IH NG
BEDEVILMENT	B IH D IY V IH L M AH N T
BEDEVILMENTS	B IH D IY V IH L M AH N T S
BEDEVILS	B IH D EH V AH L Z
BEDEW	B IH D UW
BEDEWED	B IH D IY W EH D
BEDEWING	B IH D IY W IH NG
BEDEWS	B IH D UW Z
BEDRIDDEN	B EH D R IH D AH N
BEDSIDE	B EH D S AY D
BEDSIDES	B EH D S AY D Z
BEFRIENDED	B IH F R EH N D IH D
BEGIRDED	B IH G ER D IH D
BEGLADDED	B IH G L AE D IH D
BEHEADED	B IH HH EH D IH D
BEHOLDEN	B IH HH OW L D AH N
BEHOLDER	B IY HH OW L D ER
BEHOLDERS	B IH HH OW L D ER Z
BELAUDED	B IH L AO D IH D
BELOWDECKS	B IH L OW D EH K S
BELVEDERE	B EH L V AH D IH R
BELVEDERE(2)	B EH L V IH D IH R
BELVEDERES	B EH L V AH D IH ER Z
BEMADDEN	B IH M AE D AH N
BEMADDENED	B IH M AE D AH N D
BEMADDENING	B IH M AE D AH N IH NG
BEMADDENS	B IH M AE D AH N Z
BENDED	B EH N D IH D
BENDEE	B EH N D IY
BENDEES	B EH N D IY Z
BENDER	B EH N D ER
BENDERS	B EH N D ER Z
BENZALDEHYDE	B IH N Z AE L D AH HH AY D
BENZALDEHYDES	B IH N Z AE L D AH HH AY D Z
BESHROUDED	B IH SH R AW D IH D
BESIDE	B IH S AY D
BESIDE(2)	B IY S AY D
BESIDES	B IH S AY D Z
BESIDES(2)	B IY S AY D Z
BESTEADED	B IH S T EH D IH D
BESTRIDDEN	B EH S T R IH D AH N
BESTRIDE	B IH S T R AY D
BESTRIDES	B IH S T R AY D Z
BESTRODE	B IH S T R OW D
BESTUDDED	B IH S T AH D IH D
BETIDE	B IH T AY D
BETIDED	B IH T AY D IH D
BETIDES	B IH T AY D Z
BEWILDER	B IH W IH L D ER
BEWILDERED	B IH W IH L D ER D
BEWILDEREDLY	B IH W IH L D ER AH D L IY
BEWILDEREDNESS	B IH W IH L D ER AH D N AH S
BEWILDEREDNESSES	B IH W IH L D ER AH D N AH S IH Z
BEWILDERING	B IH W IH L D ER IH NG
BEWILDERINGLY	B IH W IH L D ER IH NG L IY
BEWILDERMENT	B IH W IH L D ER M AH N T
BEWILDERMENTS	B IH W IH L D ER M AH N T S
BEWILDERS	B IH W IH L D ER Z
BIDDEN	B IH D IH N
BIDDER	B IH D ER
BIDDERS	B IH D ER Z
BIDE	B AY D
BIDED	B AY D IH D
BIDENTAL	B AY D EH N T AH L
BIDER	B AY D ER
BIDERS	B AY D ER Z
BIDES	B AY D Z
BIDET	B AY D EH T
BIDETS	B AY D EH T S
BIELDED	B AY EH L D IH D
BIGARADE	B IH G ER EY D
BIGARADES	B IH G ER EY D Z
BIGHEADED	B IH G HH EH D IH D
BILANDER	B AY L AE N D ER
BILANDERS	B AY L AE N D ER Z
BILLBOARDED	B IH L B OW R D IH D
BINDER	B AY N D ER
BINDERIES	B AY N D AH R IY Z
BINDERS	B AY N D ER Z
BINDERY	B AY N D AH R IY
BIOCIDE	B AY AH S AY D
BIOCIDES	B AY AH S AY D Z
BIODEGRADABILITIES	B AY AH D EH G R AH D AH B IH L AH T AY Z
BIODEGRADABILITY	B AY AH D EH G R AH D AH B IH L AH T IY
BIODEGRADABLE	B AY OW D AH G R EY D AH B AH L
BIODEGRADATION	B AY AH D EH G R AH D EY SH AH N
BIODEGRADATIONS	B AY AH D EH G R AH D EY T IY AH N Z
BIODEGRADE	B AY AA D AH G R EY D
BIODEGRADED	B AY AA D AH G R EY D AH D
BIODEGRADES	B AY AA D AH G R EY D Z
BIODEGRADING	B AY AA D AH G R EY D AH NG
BIODETERIORATION	B AY AA D AH T IY R IY AH R EY SH AH N
BIODETERIORATIONS	B AY AH D AH T IY R IY AH R EY T IY AH N Z
BIRDED	B ER D IH D
BIRDER	B ER D ER
BIRDERS	B ER D ER Z
BISULFIDE	B AY S AH L F AY D
BISULFIDES	B AY S AH L F AY D Z
BLACKBIRDED	B L AE K B ER D IH D
BLACKBIRDER	B L AE K B ER D ER
BLACKBIRDERS	B L AE K B ER D ER Z
BLACKGUARDED	B L AE K G AA R D IH D
BLACKHANDER	B L AE K HH AE N D ER
BLACKHANDERS	B L AE K HH AE N D ER Z
BLADDER	B L AE D ER
BLADDERLIKE	B L AE D ER L AY K
BLADDERNUT	B L AE D ER N AH T
BLADDERNUTS	B L AE D ER N AH T S
BLADDERS	B L AE D ER Z
BLADDERWORT	B L AE D AH R W AH R T
BLADDERWORTS	B L AE D AH R W AH R T S
BLADDERY	B L AE D ER IY
BLADE	B L EY D
BLADED	B L EY D IH D
BLADELIKE	B L EY D L AY K
BLADES	B L EY D Z
BLANDER	B L AE N D ER
BLANDEST	B L AE N D AH S T
BLASTODERM	B L AE S T AH D ER M
BLASTODERMS	B L AE S T AH D AH R M Z
BLEEDER	B L IY D ER
BLEEDERS	B L IY D ER Z
BLENDE	B L EH N D
BLENDED	B L EH N D IH D
BLENDER	B L EH N D ER
BLENDERS	B L EH N D ER Z
BLENDES	B L EH N D Z
BLESSEDER	B L EH S T ER
BLESSEDEST	B L EH S T AH S T
BLINDED	B L AY N D IH D
BLINDER	B L AY N D ER
BLINDERS	B L AY N D ER Z
BLINDEST	B L AY N D AH S T
BLINDFOLDED	B L AY N D F OW L D IH D
BLINDSIDE	B L AY N D S AY D
BLINDSIDED	B L AY N D S AY D IH D
BLINDSIDES	B L AY N D S AY D Z
BLOCKADE	B L AA K EY D
BLOCKADED	B L AA K EY D IH D
BLOCKADER	B L AA K EY D ER
BLOCKADERS	B L AA K EY D ER Z
BLOCKADES	B L AA K EY D Z
BLONDE	B L AA N D
BLONDER	B L AA N D ER
BLONDES	B L AA N D Z
BLONDEST	B L AA N D AH S T
BLOODED	B L AH D IH D
BLUNDER	B L AH N D ER
BLUNDERBUSS	B L AH N D ER B AH S
BLUNDERBUSSES	B L AH N D ER B AH S IH Z
BLUNDERED	B L AH N D ER D
BLUNDERER	B L AH N D ER ER
BLUNDERERS	B L AH N D ER ER Z
BLUNDERING	B L AH N D ER IH NG
BLUNDERINGLY	B L AH N D ER IH NG L IY
BLUNDERS	B L AH N D ER Z
BOARDED	B AO R D AH D
BOARDED(2)	B AO R D IH D
BOARDER	B AO R D ER
BOARDERS	B AO R D ER Z
BOATBUILDER	B OW T B IH L D ER
BOATBUILDERS	B OW T B IH L D ER Z
BOBSLEDDED	B AA B S L EH D IH D
BOBSLEDDER	B AA B S L EH D ER
BOBSLEDDERS	B AA B S L EH D ER Z
BODE	B OW D
BODED	B OW D IH D
BODEGA	B OW D EY G AH
BODEGAS	B OW D EY G AH S
BODEMENT	B OW D M AH N T
BODEMENTS	B OW D M AH N T S
BODES	B OW D Z
BODYBUILDER	B AA D IY B IH L D ER
BODYBUILDERS	B AA D IY B IH L D ER Z
BOLDER	B OW L D ER
BOLDEST	B OW L D IH S T
BOLIDE	B AH L AY D
BOLIDES	B AH L AY D Z
BOMBARDED	B AA M B AA R D IH D
BONDED	B AA N D AH D
BONDED(2)	B AA N D IH D
BONDER	B AA N D ER
BONDERS	B AA N D ER Z
BONDHOLDER	B AA N D HH OW L D ER
BONDHOLDERS	B AA N D HH OW L D ER Z
BONEHEADED	B OW N HH EH D IH D
BONEHEADEDNESS	B OW N HH EH D AH D N AH S
BONEHEADEDNESSES	B OW N HH EH D AH D N AH S IH Z
BOOKBINDER	B UH K B AY N D ER
BOOKBINDERIES	B UH K B AY N D AH R IY Z
BOOKBINDERS	B UH K B AY N D ER Z
BOOKBINDERY	B UH K B AY N D AH R IY
BORDEAUX	B AO R D OW
BORDEL	B AO R D AH L
