TIO	T AY OW
ACCENTUATION	AE K S EH N CH AH W EY SH AH N
ACCENTUATIONS	AE K S EH N CH AH W EY SH AH N Z
ACCEPTATION	AE K S EH P T EY SH AH N
ACCEPTATIONS	AE K S EH P T EY SH AH N Z
ACCLAMATION	AE K L AH M EY SH AH N
ACCLAMATIONS	AE K L AH M EY SH AH N Z
ACCLIMATION	AE K L AH M EY SH AH N
ACCLIMATIONS	AE K L AH M EY SH AH N Z
ACCLIMATIZATION	AE K L AH M EY T AH Z EY SH AH N
ACCLIMATIZATIONS	AE K L AH M EY T AH Z EY SH AH N Z
ACCOMMODATION	AH K AA M AH D EY SH AH N
ACCOMMODATIONAL	AH K AA M AH D EY SH AH N AH L
ACCOMMODATIONIST	AH K AA M AH D EY SH AH N IH S T
ACCOMMODATIONISTS	AH K AA M AH D EY SH AH N IH S T S
ACCOMMODATIONS	AH K AA M AH D EY SH AH N Z
ACCREDITATION	AH K R EH D AH T EY SH AH N
ACCREDITATIONS	AH K R EH D AH T EY SH AH N Z
ACCRETION	AH K R IY SH AH N
ACCRETIONARY	AH K R IY SH AH N EH R IY
ACCRETIONS	AH K R IY SH AH N Z
ACCULTURATION	AH K AH L CH AH R EY SH AH N
ACCULTURATIONAL	AH K AH L CH AH R EY SH AH N AH L
ACCULTURATIONS	AH K AH L CH AH R EY SH AH N Z
ACCUMULATION	AH K Y UW M Y AH L EY SH AH N
ACCUMULATIONS	AH K Y UW M Y AH L EY SH AH N Z
ACCUSATION	AE K Y AH Z EY SH AH N
ACCUSATION(2)	AE K Y UW Z EY SH AH N
ACCUSATIONS	AE K Y AH Z EY SH AH N Z
ACCUSATIONS(2)	AE K Y UW Z EY SH AH N Z
ACCUSTOMATION	AH K AH S T AH M EY SH AH N
ACCUSTOMATIONS	AH K AH S T AH M EY SH AH N Z
ACETIFICATION	AH S EH T AH F AH K EY SH AH N
ACETIFICATIONS	AH S EH T AH F AH K EY T IY AH N Z
ACETYLATION	AH S EH T AH L EY SH AH N
ACETYLATIONS	AE S AH T AH L EY T IY AH N Z
ACIDIFICATION	AH S IH D AH F AH K EY SH AH N
ACIDIFICATIONS	AE S AH D AH F AH K EY SH AH N Z
ACIDULATION	AH S IH D Y AH L EY SH AH N
ACIDULATIONS	AH S IH D Y AH L EY T IY AH N Z
ACQUISITION	AE K W AH Z IH SH AH N
ACQUISITIONAL	AE K W AH Z IH SH AH N AH L
ACQUISITIONS	AE K W AH Z IH SH AH N Z
ACTION	AE K SH AH N
ACTIONABLE	AE K SH AH N AH B AH L
ACTIONABLY	AE K SH AH N AH B L IY
ACTIONLESS	AE K SH AH N L AH S
ACTIONS	AE K SH AH N Z
ACTIVATION	AE K T AH V EY SH AH N
ACTIVATIONS	AE K T IH V EY SH AH N Z
ACTUALIZATION	AE K CH AH W AH L AH Z EY SH AH N
ACTUALIZATIONS	AE K CH AH W AH L AH Z EY SH AH N Z
ACTUATION	AE K CH AH W EY SH AH N
ACTUATIONS	AE K CH AH W EY SH AH N Z
ACYLATION	EY S IY L EY SH AH N
ACYLATIONS	EY S IY L EY SH AH N Z
ADAPTATION	AE D AH P T EY SH AH N
ADAPTATIONAL	AE D AE P T EY SH AH N AH L
ADAPTATIONALLY	AE D AE P T EY SH AH N AH L IY
ADAPTATIONS	AE D AE P T EY SH AH N Z
ADAPTATIONS(2)	AE D AH P T EY SH AH N Z
ADAPTION	AH D AE P SH AH N
ADAPTIONS	AH D AE P SH AH N Z
ADDICTION	AH D IH K SH AH N
ADDICTIONS	AH D IH K SH AH N Z
ADDITION	AH D IH SH AH N
ADDITIONAL	AH D IH SH AH N AH L
ADDITIONALLY	AH D IH SH AH N AH L IY
ADDITIONS	AH D IH SH AH N Z
ADDUCTION	AE D AH K AH N
ADDUCTIONS	AE D AH K T IY AH N Z
ADJUDICATION	AH JH UW D AH K EY SH AH N
ADJUDICATIONS	AH JH UW D IH K EY SH AH N Z
ADJUNCTION	AE JH AH NG K SH AH N
ADJUNCTIONS	AE JH AH NG K SH AH N Z
ADJURATION	AE JH Y AH R EY SH AH N
ADJURATIONS	AE JH AH R EY T IY AH N Z
ADMINISTRATION	AE D M IH N IH S T R EY SH AH N
ADMINISTRATIONS	AE D M IH N IH S T R EY SH AH N Z
ADMIRATION	AE D M ER EY SH AH N
ADMIRATIONS	AE D M ER EY SH AH N Z
ADMONITION	AE D M AH N IH SH AH N
ADMONITIONS	AE D M AH N IH SH AH N Z
ADNATION	AE D N EY SH AH N
ADNATIONS	AE D N EY T IY AH N Z
ADOPTION	AH D AA P SH AH N
ADOPTIONISM	AH D AA P SH AH N IH Z AH M
ADOPTIONISMS	AH D AA P SH AH N IH Z AH M Z
ADOPTIONIST	AH D AA P SH AH N IH S T
ADOPTIONISTS	AH D AA P SH AH N IH S T S
ADOPTIONS	AH D AA P SH AH N Z
ADORATION	AE D ER EY SH AH N
ADORATIONS	AH D OW R EY SH AH N Z
ADSCITITIOUS	AE D Z S AY T AH T IY AH S
ADSORPTION	AE D S AO R P AH N
ADSORPTIONS	AE D S AO R P T IY AH N Z
ADULATION	AE JH AH L EY SH AH N
ADULATIONS	AE JH AH L EY SH AH N Z
ADULTERATION	AH D AH L T ER EY SH AH N
ADULTERATIONS	AH D AH L T ER EY SH AH N Z
ADUMBRATION	AH D AH M R AE SH AH N
ADUMBRATIONS	AH D AH M R AE SH AH N Z
ADVECTION	AE D V EH K SH AH N
ADVECTIONS	AE D EH K T IY AH N Z
ADVENTITIOUS	AE D V AH N T IH SH AH S
ADVENTITIOUSLY	AE D V AH N T IH SH AH S L IY
ADVOCATION	AE D V AH K EY SH AH N
ADVOCATIONS	AE D V AH K EY SH AH N Z
AERATION	AE ER EY SH AH N
AERATIONS	AE ER EY SH AH N Z
AEROSOLIZATION	AE R AH S AO L AH Z EY SH AH N
AEROSOLIZATIONS	AE R AH S AO L AH Z EY SH AH N Z
AESTIVATION	EY EH S T AH V EY SH AH N
AESTIVATIONS	EH S T AH V EY T IY AH N Z
AETIOLOGIES	AH T IY AA L AH JH AY Z
AETIOLOGY	AH T IY AA L AH JH IY
AFFECTATION	AE F EH K T EY SH AH N
AFFECTATIONS	AH F EH K T EY SH AH N Z
AFFECTION	AH F EH K SH AH N
AFFECTIONAL	AH F EH K SH AH N AH L
AFFECTIONALLY	AH F EH K SH AH N AH L IY
AFFECTIONATE	AH F EH K SH AH N AH T
AFFECTIONATELY	AH F EH K SH AH N AH T L IY
AFFECTIONED	AH F EH K SH AH N D
AFFECTIONLESS	AH F EH K SH AH N L AH S
AFFECTIONS	AH F EH K SH AH N Z
AFFILIATION	AH F IH L IY EY SH AH N
AFFILIATIONS	AH F IH L IY EY SH AH N Z
AFFIRMATION	AE F ER M EY SH AH N
AFFIRMATIONS	AE F ER M EY SH AH N Z
AFFIXATION	AH F IH K S EY SH AH N
AFFIXATIONS	AH F IH K S EY SH AH N Z
AFFLICTION	AH F L IH K SH AH N
AFFLICTIONS	AH F L IH K SH AH N Z
AFFORESTATION	AE F ER AH S T EY SH AH N
AFFORESTATIONS	AE F ER AH S T EY SH AH N Z
AFOREMENTIONED	AH F AO R M EH N SH AH N D
AGGLOMERATION	AH G L AA M ER EY SH AH N
AGGLOMERATIONS	AH G L AA M AH R EY SH AH N Z
AGGLUTINATION	AH G L UW T AH N EY SH AH N
AGGLUTINATIONS	AH G L UW T AH N EY SH AH N Z
AGGRADATION	AE G R AH D EY SH AH N
AGGRADATIONS	AE G R AH D EY T IY AH N Z
AGGRAVATION	AE G R AH V EY SH AH N
AGGRAVATIONS	AE G R AH V EY SH AH N Z
AGGREGATION	AE G R AH G EY SH AH N
AGGREGATIONAL	AE G R IH G AH SH AH N AH L
AGGREGATIONS	AE G R IH G AH SH AH N Z
AGITATION	AE JH AH T EY SH AH N
AGITATIONAL	AE JH AH T EY SH AH N AH L
AGITATIONS	AE JH AH T EY SH AH N Z
AGNATION	AE G N EY SH AH N
AGNATIONS	AE G N EY T IY AH N Z
ALATION	AH L EY SH AH N
ALATIONS	AH L EY SH AH N Z
ALDOLIZATION	AE L D AH L AH Z EY SH AH N
ALDOLIZATIONS	AE L D AH L AH Z EY T IY AH N Z
ALIENATION	EY L IY AH N EY SH AH N
ALIENATIONS	EY L IY AH N EY SH AH N Z
ALIMENTATION	AH L AY M AH N T EY SH AH N
ALIMENTATIONS	AH L AY M AH N T EY SH AH N Z
ALKALINIZATION	AE L K AH L AY N AH Z EY SH AH N
ALKALINIZATIONS	AE L K AH L AY N AH Z EY SH AH N Z
ALKYLATION	AE L K AH L EY SH AH N
ALKYLATIONS	AE L K AH L EY T IY AH N Z
ALLEGATION	AE L AH G EY SH AH N
ALLEGATIONS	AE L AH G EY SH AH N Z
ALLEGORIZATION	AH L EH JH ER AH Z EY SH AH N
ALLEGORIZATIONS	AH L EH JH ER AH Z EY SH AH N Z
ALLEVIATION	AH L IY V IY EY SH AH N
ALLEVIATIONS	AH L IY V IY EY SH AH N Z
ALLITERATION	AH L IH T ER EY SH AH N
ALLITERATIONS	AH L IH T AH R EY SH AH N Z
ALLOCATION	AE L AH K EY SH AH N
ALLOCATIONS	AE L AH K EY SH AH N Z
ALLOCUTION	AE L AH K Y UW SH AH N
ALLOCUTIONS	AE L AH K Y UW T IY AH N Z
ALPHABETIZATION	AE L F AH B EH T AH Z EY SH AH N
ALPHABETIZATIONS	AE L F AH B EH T AH Z EY SH AH N Z
ALTERATION	AO L T ER EY SH AH N
ALTERATIONS	AO L T ER EY SH AH N Z
ALTERCATION	AA L T ER K EY SH AH N
ALTERCATIONS	AA L T ER K EY SH AH N Z
ALTERNATION	AO L T ER N EY SH AH N
ALTERNATIONS	AO L T ER N AH SH AH N Z
AMALGAMATION	AH M AE L G AH M EY SH AH N
AMALGAMATIONS	AH M AE L G AH M EY SH AH N Z
AMBITION	AE M B IH SH AH N
AMBITIONED	AE M B IH SH AH N D
AMBITIONING	AE M B IH SH AH N IH NG
AMBITIONLESS	AE M B IH SH AH N L AH S
AMBITIONS	AE M B IH SH AH N Z
AMBITIOUS	AE M B IH SH AH S
AMBITIOUSLY	AE M B IH SH AH S L IY
AMBITIOUSNESS	AE M B IH SH AH S N AH S
AMBITIOUSNESSES	AE M B IH SH AH S N AH S IH Z
AMBULATION	AE M B Y AH L EY SH AH N
AMBULATIONS	AE M B Y AH L EY SH AH N Z
AMELIORATION	AH M IY L Y ER EY SH AH N
AMELIORATIONS	AH M IY L Y AH R EY SH AH N Z
AMMONIATION	AE M AA N AY EY SH AH N
AMMONIATIONS	AE M OW N IY EY T IY AH N Z
AMMONIFICATION	AE M AA N AH F AH K EY SH AH N
AMMONIFICATIONS	AE M AA N AH F AH K EY T IY AH N Z
AMMUNITION	AE M Y AH N IH SH AH N
AMMUNITIONS	AE M Y AH N IH SH AH N Z
AMORTIZATION	AE M ER T IH Z EY SH AH N
AMORTIZATIONS	AH M AO R T AH Z EY SH AH N Z
AMOTION	AH M OW SH AH N
AMOTIONS	AH M OW SH AH N Z
AMPLIFICATION	AE M P L AH F AH K EY SH AH N
AMPLIFICATIONS	AE M P L AH F AH K EY SH AH N Z
AMPUTATION	AE M P Y AH T EY SH AH N
AMPUTATIONS	AE M P Y UW T EY SH AH N Z
ANAGRAMMATIZATION	AE N AH G R AE M AH T AH Z EY SH AH N
ANAGRAMMATIZATIONS	AE N AH G R AE M AH T AH Z EY SH AH N Z
ANALYZATION	AE N AH L AY Z EY SH AH N
ANALYZATIONS	AE N AH L AY Z EY SH AH N Z
ANGLICIZATION	AE NG G AH L IH K S N AH Z EY SH AH N
ANGLICIZATIONS	AE NG G AH L IH K S AH Z EY SH AH N Z
ANGULATION	AE N G Y AH L EY SH AH N
ANGULATIONS	AE N G Y AH L EY T IY AH N Z
ANIMALIZATION	AE N AH M AH L AH Z EY SH AH N
ANIMALIZATIONS	AE N AH M AH L AH Z EY SH AH N Z
ANIMATION	AE N AH M EY SH AH N
ANIMATIONS	AE N AH M EY SH AH N Z
ANNEXATION	AE N EH K S EY SH AH N
ANNEXATIONAL	AH N EH K S EY SH AH N AH L
ANNEXATIONIST	AH N EH K S EY SH AH N IH S T
ANNEXATIONISTS	AH N EH K S EY SH AH N IH S T S
ANNEXATIONS	AH N EH K S EY SH AH N Z
ANNIHILATION	AH N AY AH L EY SH AH N
ANNIHILATIONS	AH N AY AH L EY SH AH N Z
ANNOTATION	AE N AH T EY SH AH N
ANNOTATIONS	AE N AH T EY SH AH N Z
ANNULATION	AE N Y AH L EY SH AH N
ANNULATIONS	AE N Y AH L EY T IY AH N Z
ANNUNCIATION	AH N AH N S IY EY SH AH N
ANNUNCIATIONS	AH N AH N S IY EY SH AH N Z
ANODIZATION	AE N OW D AH Z EY SH AH N
ANODIZATIONS	AE N OW D AH Z EY SH AH N Z
ANTHROPOMORPHIZATION	AE N TH R AH P AH M AO R F AH Z EY SH AH N
ANTHROPOMORPHIZATIONS	AE N TH R AH P AH M AO R F AH Z EY T IY AH N Z
ANTIABORTION	AE N T IY AH B AO R SH AH N
ANTIABORTION(2)	AE N T AY AH B AO R SH AH N
ANTIABORTIONIST	AE N T AY AH B AO R SH AH N IH S T
ANTIABORTIONISTS	AE N T AY AH B AO R SH AH N IH S T S
ANTIADMINISTRATION	AE N T AY AH D M IH N AH S T R EY SH AH N
ANTIASSIMILATION	AE N T AY AH S IH M AH L EY SH AH N
ANTIASSIMILATIONS	AE N T AY AH S IH M AH L EY SH AH N Z
ANTICIPATION	AE N T IH S AH P EY SH AH N
ANTICIPATIONS	AE N T IH S AH P EY SH AH N Z
ANTICONSERVATION	AE N T AY K AH N S ER V EY SH AH N
ANTICONSERVATIONIST	AE N T AY K AH N S ER V EY SH AH N IH S T
ANTICONSERVATIONISTS	AE N T AY K AH N S ER V EY SH AH N IH S T S
ANTICONSERVATIONS	AE N T AY K AH N S ER V EY SH AH N Z
ANTICONVENTIONAL	AE N T AY K AA N V AH N CH AH N AH L
ANTICORRUPTION	AE N T AY K ER AH P SH AH N
ANTICORRUPTION(2)	AE N T IY K ER AH P SH AH N
ANTICORRUPTIONS	AE N T AY K AH R AH P SH AH N Z
ANTIDEFAMATION	AE N T AY D IY F EY M EY SH AH N
ANTIDESEGREGATION	AE N T AY D IY S EH G R IH G EY SH AH N
ANTIDESERTIFICATION	AE N T AY D EH Z ER T AH F AH K EY SH AH N
ANTIDILUTION	AE N T AY D AH L UW SH AH N
ANTIDISCRIMINATION	AE N T IY D IH S K R IH M AH N EY SH AH N
ANTIDISCRIMINATION(2)	AE N T AY D IH S K R IH M AH N EY SH AH N
ANTIEDUCATIONAL	AE N T AY EH JH AH K EY SH AH N AH L
ANTIEVOLUTION	AE N T AY EH V AH L UW SH AH N
ANTIEVOLUTIONARY	AE N T AY EH V AH L UW SH AH N EH R IY
ANTIEVOLUTIONISM	AE N T AY EH V AH L UW SH AH N IH Z AH M
ANTIEVOLUTIONISMS	AE N T AY EH V AH L UW SH AH N IH Z AH M Z
ANTIEVOLUTIONIST	AE N T AY EH V AH L UW SH AH N IH S T
ANTIEVOLUTIONISTS	AE N T AY EH V AH L UW SH AH N IH S T S
ANTIFLUORIDATIONIST	AE N T AY F L UH R AY D EY SH AH N IH S T
ANTIFLUORIDATIONISTS	AE N T AY F L UH R AY D EY SH AH N IH S T S
ANTIFRICTION	AE N T AY F R IH K SH AH N
ANTIFRICTIONS	AE N T AY F R IH K SH AH N Z
ANTIMISCEGENATION	AE N T AY M IH S EH JH AH N EY SH AH N
ANTINATIONAL	AE N T AY N AE SH AH N AH L
ANTINATIONALIST	AE N T AY N AE SH AH N AH L IH S T
ANTINATIONALISTS	AE N T AY N AE SH AH N AH L IH S T S
ANTIOBESITIES	AE N T AY OW B IY S AH T IY Z
ANTIOBESITY	AE N T AY OW B IY S AH T IY
ANTIOBSCENITIES	AE N T AY AA B S EH N AH T IY Z
ANTIOBSCENITY	AE N T AY AA B S EH N AH T IY
ANTIORGANIZATION	AE N T AY AO R G AH N AH Z EY SH AH N
ANTIORGANIZATIONS	AE N T AY AO R G AH N AH Z EY SH AH N Z
ANTIOXIDANT	AE N T IY AA K S AH D AH N T
ANTIOXIDANTS	AE N T IY AA K S AH D AH N T S
ANTIOZONANT	AE N T AY OW Z OW N AH N T
ANTIOZONANTS	AE N T AY OW Z OW N AH N T S
ANTIPOLLUTION	AE N T AY P AH L UW SH AH N
ANTIPOLLUTIONS	AE N T AY P AH L UW SH AH N Z
ANTIPROSTITUTION	AE N T AY P R AA S T AH T UW SH AH N
ANTIQUATION	AE N T IY K EY SH AH N
ANTIQUATIONS	AE N T IY K EY SH AH N Z
ANTIRATIONAL	AE N T AY R AE SH AH N AH L
ANTIRATIONALISM	AE N T AY R AE SH AH N AE L IH Z AH M
ANTIRATIONALISMS	AE N T AY R AE SH AH N AE L IH Z AH M Z
ANTIRATIONALIST	AE N T AY R AE SH AH N AE L IH S T
ANTIRATIONALISTS	AE N T AY R AE SH AH N AE L IH S T S
ANTIRATIONALITIES	AE N T AY R AE SH AH N AE L AH T IY Z
ANTIRATIONALITY	AE N T AY R AE SH AH N AE L AH T IY
ANTIREDUCTIONISM	AE N T AY R IY D AH K SH AH N IH Z AH M
ANTIREDUCTIONISMS	AE N T AY R IY D AH K SH AH N IH Z AH M Z
ANTIREDUCTIONIST	AE N T AY R IY D AH K SH AH N IH S T
ANTIREDUCTIONISTS	AE N T AY R IY D AH K SH AH N IH S T S
ANTIREFLECTION	AE N T AY R IH F L EH K SH AH N
ANTIREJECTION	AE N T AY R IH JH EH K SH AH N
ANTIREVOLUTIONARIES	AE N T AY R EH V AH L UW SH AH N EH R IY Z
ANTIREVOLUTIONARY	AE N T AY R EH V AH L UW SH AH N EH R IY
ANTISEGREGATION	AE N T AY S EH G R IH G EY SH AH N
ANTISPECULATION	AE N T AY S P EH K Y AH L EY SH AH N
ANTITRADITIONAL	AE N T AY T R AH D IH SH AH N AH L
ANTIVIVISECTION	AE N T AH V IH V AH S EH K AH N
ANTIVIVISECTIONIST	AE N T AH V IH V AH S EH K T IY AH N AH S T
ANTIVIVISECTIONISTS	AE N T AH V IH V AH S AH K T IY AH N AH S T S
APPARITION	AE P ER IH SH AH N
APPARITIONAL	AE P AH R IH SH AH N AH L
APPARITIONS	AE P ER IH SH AH N Z
APPELLATION	AE P AH L EY SH AH N
APPELLATIONS	AE P AH L EY SH AH N Z
APPERCEPTION	AE P AH R S EH P AH N
APPERCEPTIONS	AE P AH R S EH P T IY AH N Z
APPLICATION	AE P L AH K EY SH AH N
APPLICATIONS	AE P L AH K EY SH AH N Z
APPORTION	AH P AO R SH AH N
APPORTIONABLE	AH P OW R SH AH N AH B AH L
APPORTIONED	AH P AO R SH AH N D
APPORTIONING	AH P AO R SH AH N IH NG
APPORTIONMENT	AH P AO R SH AH N M AH N T
APPORTIONMENTS	AH P OW R SH AH N M AH N T S
APPORTIONS	AH P OW R SH AH N Z
APPOSITION	AE P AH Z IH SH AH N
APPOSITIONAL	AE P AH S AH T IY AH N AH L
APPOSITIONS	AE P AH S IH T IY AH N Z
APPRECIATION	AH P R IY SH IY EY SH AH N
APPRECIATIONS	AH P R IY SH IY EY SH AH N Z
APPROBATION	AE P R AH B EY SH AH N
APPROBATIONS	AE P R AH B EY SH AH N Z
APPROPRIATION	AH P R OW P R IY EY SH AH N
APPROPRIATIONS	AH P R OW P R IY EY SH AH N Z
APPROXIMATION	AH P R AA K S AH M EY SH AH N
APPROXIMATIONS	AH P R AA K S AH M EY SH AH N Z
ARABICIZATION	AE R AH B IH S AH Z EY SH AH N
ARABICIZATIONS	AH R AE B AH S AH Z EY T IY AH N Z
ARBITRATION	AA R B IH T R EY SH AH N
ARBITRATIONAL	AA R B AH T R EY SH AH N AH L
ARBITRATIONS	AA R B IH T R EY SH AH N Z
ARBORIZATION	AA R B ER AH Z EY SH AH N
ARBORIZATIONS	AA R B ER AH Z EY SH AH N Z
ARGUMENTATION	AA R G Y AH M EH N T EY SH AH N
ARGUMENTATIONS	AA R G Y AH M AH N T EY SH AH N Z
AROMATIZATION	AE R AH M AH T AH Z EY SH AH N
AROMATIZATIONS	AH R AA M AH T AH Z EY T IY AH N Z
ARROGATION	AE R AH G EY SH AH N
ARROGATIONS	AE R AH G EY SH AH N Z
ARTICULATION	AA R T IH K Y AH L EY SH AH N
ARTICULATIONS	AA R T IH K Y AH L EY SH AH N Z
ARTIODACTYL	AA R T IY OW D AE K T AH L
ARTIODACTYLS	AA R T IY OW D AE K T AH L Z
ASCRIPTION	AH S K R IH P SH AH N
ASCRIPTIONS	AH S K R IH P SH AH N Z
ASPHYXIATION	AE S IH K S AY EY SH AH N
ASPHYXIATIONS	AE S IH K S IY EY T IY AH N Z
ASPIRATION	AE S P ER EY SH AH N
ASPIRATIONAL	AE S P AH R EY SH AH N AH L
ASPIRATIONS	AE S P ER EY SH AH N Z
ASSASSINATION	AH S AE S AH N EY SH AH N
ASSASSINATIONS	AH S AE S AH N EY SH AH N Z
ASSENTATION	AH S EH N T EY SH AH N
ASSENTATIONS	AH S EH N T EY SH AH N Z
ASSERTION	AH S ER SH AH N
ASSERTIONS	AH S ER SH AH N Z
ASSEVERATION	AE S EH V ER EY SH AH N
ASSEVERATIONS	AE S EH V ER EY SH AH N Z
ASSIGNATION	AH S AY N EY SH AH N
ASSIGNATIONS	AH S AY N EY SH AH N Z
ASSIMILATION	AH S IH M AH L EY SH AH N
ASSIMILATIONISM	AH S IH M AH L EY SH AH N IH Z AH M
ASSIMILATIONISMS	AH S IH M AH L EY SH AH N IH Z AH M Z
ASSIMILATIONIST	AH S IH M AH L EY SH AH N IH S T
ASSIMILATIONISTS	AH S IH M AH L EY SH AH N IH S T S
ASSIMILATIONS	AH S IH M AH L EY SH AH N Z
ASSOCIATION	AH S OW S IY EY SH AH N
ASSOCIATION(2)	AH S OW SH IY EY SH AH N
ASSOCIATIONAL	AH S OW S IY EY SH AH N AH L
ASSOCIATIONISM	AH S OW S IY EY SH AH N IH Z AH M
ASSOCIATIONISMS	AH S OW S IY EY SH AH N IH Z AH M Z
ASSOCIATIONIST	AH S OW S IY EY SH AH N IH S T
ASSOCIATIONISTIC	AH S OW S IY EY SH AH N IH S T IH K
ASSOCIATIONISTS	AH S OW S IY EY SH AH N IH S T S
ASSOCIATIONS	AH S OW S IY EY SH AH N Z
ASSOCIATIONS(2)	AH S OW SH IY EY SH AH N Z
ASSUMPTION	AH S AH M P SH AH N
ASSUMPTIONS	AH S AH M P SH AH N Z
ATOMIZATION	AE T AH M AH Z EY SH AH N
ATOMIZATIONS	AE T AH M AH Z EY SH AH N Z
ATTENTION	AH T EH N SH AH N
ATTENTIONAL	AH T EH N CH AH N AH L
ATTENTIONS	AH T EH N SH AH N Z
ATTENUATION	AE T EH N Y UW EY SH AH N
ATTENUATIONS	AE T EH N Y UW EY T IY AH N Z
ATTESTATION	AH T EH S T EY SH AH N
ATTESTATIONS	AH T EH S T EY SH AH N Z
ATTRACTION	AH T R AE K SH AH N
ATTRACTIONS	AH T R AE K SH AH N Z
ATTRIBUTION	AE T R IH B Y UW SH AH N
ATTRIBUTIONAL	AE T R AH B Y UW SH AH N AH L
ATTRIBUTIONS	AE T R AH B Y UW SH AH N Z
ATTRITION	AH T R IH SH AH N
ATTRITIONAL	AH T R IH SH AH N AH L
ATTRITIONS	AH T R IH SH AH N Z
AUCTION	AA K SH AH N
AUCTION(2)	AO K SH AH N
AUCTIONED	AO K SH AH N D
AUCTIONEER	AA K SH AH N IH R
AUCTIONEERS	AO K SH AH N IH R Z
AUCTIONING	AO K SH AH N IH NG
AUCTIONS	AA K SH AH N Z
AUCTIONS(2)	AO K SH AH N Z
AUDITION	AA D IH SH AH N
AUDITIONED	AO D IH SH AH N D
AUDITIONING	AA D IH SH AH N IH NG
AUDITIONS	AO D IH SH AH N Z
AUGMENTATION	AA G M EH N T EY SH AH N
AUGMENTATIONS	AO G M EH N T EY SH AH N Z
AUSCULTATION	AO S AH L T EY SH AH N
AUSCULTATIONS	AO S AH L T EY T IY AH N Z
AUTHENTICATION	AO TH EH N T AH K EY SH AH N
AUTHENTICATIONS	AO TH EH N T AH K EY SH AH N Z
AUTHORIZATION	AO TH ER AH Z EY SH AH N
AUTHORIZATIONS	AO TH ER AH Z EY SH AH N Z
AUTOCORRELATION	AO T OW K AO R AH L EY SH AH N
AUTOCORRELATIONS	AO T OW K AO R AH L EY SH AH N Z
AUTOIMMUNIZATION	AO T OW IH M Y UW N AH Z EY SH AH N
AUTOIMMUNIZATIONS	AO T OW IH M Y UW N AH Z EY SH AH N Z
