EE	IY
ASSIGNEES	AH S AY N IY Z
ATTENDEE	AH T EH N D IY
ATTENDEES	AH T EH N D IY Z
ATWEEN	AE T W IY AH N
AUCTIONEER	AA K SH AH N IH R
AUCTIONEERS	AO K SH AH N IH R Z
AWARDEE	AH W AO R D IY
AWARDEES	AH W AO R D IY Z
AWEE	AH W IY
AXLETREE	AE K S AH L T R IY
AXLETREES	AE K S AH L T R IY Z
AXSEED	AE K S IY D
AXSEEDS	AE K S IY D Z
BACKSTREET	B AE K S T R IY T
BACKSTREETS	B AE K S T R IY T S
BAILEE	B EY L IY
BAILEES	B EY L IY Z
BAKSHEESH	B AE K IY SH
BAKSHEESHES	B AE K IY SH AH Z
BALEEN	B AH L IY N
BALEENS	B EY L AH N Z
BALLADEER	B AE L AH D IH R
BALLADEERS	B AE L AH D IH R Z
BANDOLEER	B AE N D AH L IH ER
BANDOLEERS	B AE N D AH L IH ER Z
BANSHEE	B AE N SH IY
BANSHEES	B AE N SH IY Z
BARGEE	B AA R JH IY
BARGEES	B AA R JH IY Z
BARKEEP	B AA R K IY P
BARKEEPER	B AA R K IY P ER
BARKEEPERS	B AA R K IY P ER Z
BARKEEPS	B AA R K IY P S
BAUBEE	B AH B IY IY
BAUBEES	B AH B IY Z
BAWBEE	B AH B IY IY
BAWBEES	B AH B IY Z
BAYADEER	B EY EY D IH R
BAYADEERS	B EY EY D IH R Z
BEBEERU	B AH B AH EH R UW
BEBEERUS	B IH B AH IY R AH S
BEDSHEET	B EH D SH IY T
BEDSHEETS	B EH D SH IY T S
BEE	B IY
BEEBEE	B IY B IY
BEEBEES	B IY B IY Z
BEEBREAD	B IY B R EH D
BEEBREADS	B IY B R EH D Z
BEECH	B IY CH
BEECHDROPS	B IY CH D R AA P S
BEECHEN	B IY CH AH N
BEECHES	B IY CH IH Z
BEECHIER	B IY CH IY ER
BEECHIEST	B IY CH IY AH S T
BEECHNUT	B IY CH N AH T
BEECHNUTS	B IY CH N AH T S
BEECHY	B IY CH IY
BEEF	B IY F
BEEFALO	B AH EH F AH L OW
BEEFALOES	B IY F AE L OW Z
BEEFALOS	B IY F AH L AA S
BEEFCAKE	B IY F K EY K
BEEFCAKES	B IY F K EY K S
BEEFEATER	B IY F IY T ER
BEEFEATERS	B IY F IY T ER Z
BEEFED	B IY F T
BEEFIER	B IY F IY ER
BEEFIEST	B IY F IY AH S T
BEEFILY	B IY F IY L IY
BEEFING	B IY F IH NG
BEEFLESS	B IY F L AH S
BEEFS	B IY F S
BEEFSTEAK	B IY F S T EY K
BEEFSTEAKS	B IY F S T EY K S
BEEFWOOD	B IY F W UH D
BEEFWOODS	B IY F W UH D Z
BEEFY	B IY F IY
BEEHIVE	B IY HH AY V
BEEHIVES	B IY HH AY V Z
BEEKEEPER	B IY K IY P ER
BEEKEEPERS	B IY K IY P ER Z
BEEKEEPING	B IY K IY P IH NG
BEEKEEPINGS	B IY K IY P IH NG Z
BEELIKE	B IY L AY K
BEELINE	B IY L AY N
BEELINED	B IY L AY N D
BEELINES	B IY L AY N Z
BEELINING	B IY L AY N IH NG
BEEN	B IH N
BEEN(2)	B AH N
BEEP	B IY P
BEEPED	B IY P T
BEEPER	B IY P ER
BEEPERS	B IY P ER Z
BEEPING	B IY P IH NG
BEEPS	B IY P S
BEER	B IH R
BEERIER	B IY AH R IY ER
BEERIEST	B IY AH R IY AH S T
BEERS	B IH R Z
BEERY	B IH R IY
BEES	B IY Z
BEESTINGS	B IY AH S T IH NG Z
BEESWAX	B IY Z W AE K S
BEESWAXES	B IY Z W AE K S IH Z
BEESWING	B IY S W IH NG
BEESWINGS	B IY S W IH NG Z
BEET	B IY T
BEETLE	B IY T AH L
BEETLED	B IY T AH L D
BEETLER	B IY T AH L ER
BEETLERS	B IY T AH L ER Z
BEETLES	B IY T AH L Z
BEETLING	B IY T L IH NG
BEETROOT	B IY T R UW T
BEETROOTS	B IY T R UW T S
BEETS	B IY T S
BEEVES	B IH IY V Z
BEEYARD	B IY Y AA R D
BEEYARDS	B IY Y AA R D Z
BEEZER	B AH IY Z AH R
BEEZERS	B AH EH Z AH R Z
BEGGARWEED	B EH G ER W IY D
BEGGARWEEDS	B EH G ER W IY D Z
BEJEEZUS	B AH JH IY Z AH S
BELLEEK	B IH L IY K
BELLEEKS	B IH L IY K S
BENDEE	B EH N D IY
BENDEES	B EH N D IY Z
BERSEEM	B IY ER S IY M
BERSEEMS	B IY ER S IY M Z
BESCREEN	B IH S K R IY N
BESCREENED	B IH S K R IY N D
BESCREENING	B IH S K R IY N IH NG
BESCREENS	B IH S K R IY N Z
BESEECH	B IY S IY CH
BESEECHED	B IY S IY CH T
BESEECHES	B IH S IY CH IH Z
BESEECHING	B IY S IY CH IH NG
BESEECHINGLY	B IH S IY CH IH NG L IY
BESEEM	B IH S IY M
BESEEMED	B IH S IY M D
BESEEMING	B IH S IY M IH NG
BESEEMS	B IH S IY M Z
BETWEEN	B IH T W IY N
BETWEEN(2)	B IY T W IY N
BETWEENBRAIN	B IH T W IY N B R EY N
BETWEENBRAINS	B IH T W IY N B R EY N Z
BETWEENNESS	B IH T W IY N AH S
BETWEENNESSES	B IH T W IY N EH S AH Z
BETWEENTIMES	B IH T W IY N T AY M Z
BETWEENWHILES	B IH T W IY N W AH L Z
BEWEEP	B IH W IY P
BEWEEPING	B IH W IY P IH NG
BEWEEPS	B IH W IY P S
BHEESTIE	B HH IY S T AY
BHEESTIES	B HH IY S T AY Z
BHEESTY	B HH IY S T IY
BIDARKEE	B AY D AA R K IY
BIDARKEES	B AY D AA R K IY Z
BIGFEET	B IH G F IY T
BINDWEED	B AY N D W IY D
BINDWEEDS	B AY N D W IY D Z
BIOENGINEER	B AY OW EH N JH AH N IH R
BIOENGINEERED	B AY OW EH N JH AH N IH R D
BIOENGINEERING	B AY OW EH N JH AH N IH R IH NG
BIOENGINEERINGS	B AY OW AH N JH IH N AH R AH NG Z
BIOENGINEERS	B AY OW EH N JH AH N AH R Z
BIOFEEDBACK	B AY OW F IY D B AE K
BIOFEEDBACKS	B AY AH F IY D AH K S
BIOGRAPHEE	B AY AA G R AH F IY IY
BIOGRAPHEES	B AY AA G R AH F IY Z
BIRDSEED	B ER D S IY D
BIRDSEEDS	B ER D S IY D Z
BITTERSWEET	B IH T ER S W IY T
BITTERSWEETLY	B IH T ER S W IY T L IY
BITTERSWEETNESS	B IH T ER S W IY T N AH S
BITTERSWEETNESSES	B IH T ER S W IY T N AH S IH Z
BITTERSWEETS	B IH T ER S W IY T S
BITTERWEED	B IH T ER W IY D
BITTERWEEDS	B IH T ER W IY D Z
BIWEEKLIES	B AY W IY K L IY Z
BIWEEKLY	B AY W IY K L IY
BLEED	B L IY D
BLEEDER	B L IY D ER
BLEEDERS	B L IY D ER Z
BLEEDING	B L IY D IH NG
BLEEDINGS	B L IY D IH NG Z
BLEEDS	B L IY D Z
BLEEP	B L IY P
BLEEPED	B L IY P T
BLEEPING	B L IY P IH NG
BLEEPS	B L IY P S
BLUEWEED	B L UW W IY D
BLUEWEEDS	B L UW W IY D Z
BOOKKEEPER	B UH K K IY P ER
BOOKKEEPERS	B UH K K IY P ER Z
BOOKKEEPING	B UH K K IY P IH NG
BOOKKEEPINGS	B UH K IY P IH NG Z
BOOTEE	B UW T IY
BOOTEES	B UW T IY Z
BOPEEP	B OW P IY P
BOPEEPS	B OW P IY P S
BOREEN	B AO R AH N
BOREENS	B AO R AH N Z
BOTONEE	B AA T AH N IY IY
BOTONNEE	B AA T AH N IY IY
BOUCHEE	B AW CH IY IY
BOUCHEES	B AW CH IY Z
BOURREE	B AH R IY IY
BOURREES	B OW R IY Z
BOURTREE	B AH R T R IY IY
BOURTREES	B AH R T R IY Z
BREE	B R IY
BREECH	B R IY CH
BREECHBLOCK	B R IY CH B L AA K
BREECHBLOCKS	B R IY CH B L AA K S
BREECHCLOTH	B R IY CH K L AO TH
BREECHCLOTHS	B R IY CH K L AO TH S
BREECHCLOUT	B R IY CH K L AW T
BREECHCLOUTS	B R IY CH K L AW T S
BREECHED	B R IY CH T
BREECHES	B R IY CH IH Z
BREECHING	B R IY CH IH NG
BREECHINGS	B R IY CH IH NG Z
BREECHLOADER	B R IY CH L OW D ER
BREECHLOADERS	B R IY CH L OW D ER Z
BREED	B R IY D
BREEDER	B R IY D ER
BREEDERS	B R IY D ER Z
BREEDING	B R IY D IH NG
BREEDINGS	B R IY D IH NG Z
BREEDS	B R IY D Z
BREEKS	B R IY K S
BREES	B R IY Z
BREEZE	B R IY Z
BREEZED	B R IY Z D
BREEZELESS	B R IY Z L AH S
BREEZES	B R IY Z IH Z
BREEZEWAY	B R IY Z W EY
BREEZEWAYS	B R IY Z W EY Z
BREEZIER	B R IY Z IY ER
BREEZIEST	B R IY Z IY AH S T
BREEZILY	B R IY Z IY L IY
BREEZINESS	B R IY Z IY N AH S
BREEZINESSES	B R IY Z IY N AH S IH Z
BREEZING	B R IY Z IH NG
BREEZY	B R IY Z IY
BRIBEE	B R AY B IY
BRIBEES	B R AY B IY Z
BROADSHEET	B R AO D SH IY T
BROADSHEETS	B R AO D SH IY T S
BUCCANEER	B AH K AH N IY R
BUCCANEERED	B AH K EY N AH R D
BUCCANEERING	B AH K EY N AH R AH NG
BUCCANEERISH	B AH K EY N AH R AH SH
BUCCANEERS	B AH K AH N IY R Z
BUCKEEN	B AH K IY AH N
BUCKEENS	B AH K IY N Z
BUCKSHEE	B AH K IY IY
BUCKSHEES	B AH K IY Z
BUCKTEETH	B AH K T IY TH
BUDGETEER	B AH JH IH T IH R
BUDGETEERS	B AH JH IH T IH R Z
BUGLEWEED	B Y UW G AH L W IY D
BUGLEWEEDS	B Y UW G AH L W IY D Z
BUGSEED	B AH G S IY D
BUGSEEDS	B AH G S IY D Z
BULLWEED	B UH L W IY D
BULLWEEDS	B UH L W IY D Z
BUMBLEBEE	B AH M B AH L B IY
BUMBLEBEES	B AH M B AH L B IY Z
BUNGEE	B AH N JH IY
BUNGEES	B AH NG IY Z
BURGEE	B ER G IY
BURGEES	B AH R JH IY Z
BURSEED	B ER S T
BURSEEDS	B ER S T S
BURWEED	B AH R W IY D
BURWEEDS	B AH R W IY D Z
BUTTERWEED	B AH T ER W IY D
BUTTERWEEDS	B AH T ER W IY D Z
BYSTREET	B AY S T R IY T
BYSTREETS	B AY S T R IY T S
CALIPEE	K AE L AH P IY IY
CALIPEES	K AE L AH P IY Z
CALLIPEE	K AE L AH P IY IY
CALLIPEES	K AE L AH P IY Z
CAMELEER	K AE M AH L IH R
CAMELEERS	K AE M AH L IH R Z
CAMPOREE	K AE M P ER IY
CAMPOREES	K AE M P ER IY Z
CANNONEER	K AE N AH N IH R
CANNONEERS	K AE N AH N IH R Z
CANTEEN	K AE N T IY N
CANTEENS	K AE N T IY N Z
CARABINEER	K AA R AH B IH N IH R
CARABINEERS	K AA R AH B IH N IH R Z
CARAGEEN	K EH R IH JH AH N
CARAGEENS	K EH R IH JH AH N Z
CAREEN	K ER IY N
CAREENED	K ER IY N D
CAREENER	K AH R IY N ER
CAREENERS	K AH R IY N ER Z
CAREENING	K ER IY N IH NG
CAREENS	K ER IY N Z
CAREER	K ER IH R
CAREERED	K AH R IH ER D
CAREERER	K AH R IH ER ER
CAREERERS	K AH R IH ER ER Z
CAREERING	K ER IH R IH NG
CAREERISM	K ER IY R IH Z AH M
CAREERISMS	K AH R IH ER IH Z AH M Z
CAREERIST	K ER IH R IH S T
CAREERISTS	K ER IH R IH S T S
CAREERS	K ER IH R Z
CAREFREE	K EH R F R IY
CARPETWEED	K AA R P AH T W IY D
CARPETWEEDS	K AA R P AH T W IY D Z
CARRAGEEN	K AA R IH JH AH N
CARRAGEENAN	K AE R AH JH IY N AH N
CARRAGEENANS	K AE R AH JH IY N AH N Z
CARRAGEENIN	K AA R IH JH AH N IH N
CARRAGEENINS	K AA R IH JH AH N IH N Z
CARRAGEENS	K AA R IH JH AH N Z
CARRAGHEEN	K AE R AE IY AH N
CARRAGHEENS	K AE R AH IY N Z
CARTWHEEL	K AA R T W IY L
CARTWHEELED	K AA R T W IY L D
CARTWHEELER	K AA R T W IY L ER
CARTWHEELERS	K AA R T W IY L ER Z
CARTWHEELING	K AA R T W IY L IH NG
CARTWHEELS	K AA R T W IY L Z
CEE	S IY
CEES	S IY Z
CHAINWHEEL	CH EY N W IY L
CHAINWHEELS	CH EY N W IY L Z
CHANTICLEER	CH AE N T IH K L IH ER
CHANTICLEERS	CH AE N T IH K L IH ER Z
CHARIOTEER	CH AE R IY AH T IH R
CHARIOTEERS	CH AE R IY AH T IH R Z
CHEECHAKO	CH IY CH AH K OW
CHEECHAKOS	CH IY CH AH K AH Z
CHEEK	CH IY K
CHEEKBONE	CH IY K B OW N
CHEEKBONES	CH IY K B OW N Z
CHEEKED	CH IY K T
CHEEKFUL	CH IY K F AH L
CHEEKFULS	CH IY K F AH L Z
CHEEKIER	CH IY K IY ER
CHEEKIEST	CH IY K IY AH S T
CHEEKILY	CH IY K IY L IY
CHEEKINESS	CH IY K IY N AH S
CHEEKINESSES	CH IY K IY N AH S IH Z
CHEEKING	CH IY K IH NG
CHEEKS	CH IY K S
CHEEKY	CH IY K IY
CHEEP	CH IY P
CHEEPED	CH IY P T
CHEEPER	CH IY P AH R
CHEEPERS	CH IY P AH R Z
CHEEPING	CH IY P AH NG
CHEEPS	CH IY P S
CHEER	CH IH R
CHEERED	CH IH R D
CHEERER	CH IH ER ER
CHEERERS	CH IH ER ER Z
CHEERFUL	CH IH R F AH L
CHEERFULLER	CH IH ER F AH L ER
CHEERFULLEST	CH IH ER F AH L AH S T
CHEERFULLY	CH IH R F AH L IY
CHEERFULLY(2)	CH IH R F L IY
CHEERFULNESS	CH IH R F AH L N AH S
CHEERFULNESSES	CH IH ER F AH L N AH S IH Z
CHEERIER	CH IH R IY ER
CHEERIEST	CH IH R IY AH S T
CHEERILY	CH IH ER IY L IY
CHEERINESS	CH IH ER IY N AH S
CHEERINESSES	CH IH ER IY N AH S IH Z
CHEERING	CH IH R IH NG
CHEERIO	CH IH R IY OW
CHEERIOS	CH IH R IY OW S
CHEERLEAD	CH IH ER L IY D
CHEERLEADER	CH IH R L IY D ER
CHEERLEADERS	CH IH R L IY D ER Z
CHEERLEADING	CH IH R L IY D IH NG
CHEERLEADS	CH IH ER L IY D Z
CHEERLED	CH IH ER L EH D
CHEERLESS	CH IH ER L AH S
CHEERLESSLY	CH IH ER L AH S L IY
CHEERLESSNESS	CH IH ER L AH S N AH S
CHEERLESSNESSES	CH IH ER L AH S N AH S IH Z
CHEERLY	CH IH ER L IY
CHEERO	CH IH R OW
CHEEROS	CH IH ER AA S
CHEERS	CH IH R Z
CHEERY	CH IH R IY
CHEESE	CH IY Z
CHEESEBURGER	CH IY Z B ER G ER
CHEESEBURGERS	CH IY Z B ER G ER Z
CHEESECAKE	CH IY Z K EY K
CHEESECAKES	CH IY Z K EY K S
CHEESECLOTH	CH IY Z K L AO TH
CHEESECLOTHS	CH IY Z K L AO TH S
CHEESED	CH IY Z D
CHEESEPARING	CH IY Z P EH R IH NG
CHEESEPARINGS	CH IY Z P EH R IH NG Z
CHEESES	CH IY Z IH Z
CHEESIER	CH IY Z IY ER
CHEESIEST	CH IY Z IY IH S T
CHEESILY	CH IY Z IY L IY
CHEESINESS	CH IY Z IY N AH S
CHEESINESSES	CH IY Z IY N AH S IH Z
CHEESING	CH IY Z IH NG
CHEESY	CH IY Z IY
CHEETAH	CH IY T AH
CHEETAHS	CH IY T AH Z
CHICKADEE	CH IH K EY D IY
CHICKADEES	CH IH K EY D IY Z
CHICKAREE	CH IH K ER IY
CHICKAREES	CH IH K ER IY Z
CHICKEE	CH IH K IY
CHICKEES	CH IH K IY Z
CHICKWEED	CH IH K W IY D
CHICKWEEDS	CH IH K W IY D Z
CHIMPANZEE	CH IH M P AE N Z IY
CHIMPANZEES	CH IH M P AE N Z IY Z
CHINCHERINCHEE	CH IH NG K AH R AH N CH IY IY
CHINCHERINCHEES	CH IH NG K AH R IH NG K IY Z
CHIVAREE	CH AY V ER IY
CHIVAREED	CH IH V AH R IY D
CHIVAREEING	CH AY V ER IY IH NG
CHIVAREES	CH AY V ER IY Z
CHUTNEE	CH AH T N IY IY
CHUTNEES	CH AH T N IY Z
CICOREE	S IH K AH R IY IY
CICOREES	S IH K AH R IY Z
CLEEK	K L IY K
CLEEKED	K L IY K T
CLEEKING	K L IY K AH NG
CLEEKS	K L IY K S
CLIPSHEET	K L IH P SH IY T
CLIPSHEETS	K L IH P SH IY T S
CLUBFEET	K L AH B F IY T
COATEE	K OW T IY
COATEES	K OW T IY Z
COFFEE	K AA F IY
COFFEE(2)	K AO F IY
COFFEECAKE	K AO F IY K EY K
COFFEECAKES	K AO F IY K EY K S
COFFEEHOUSE	K AO F IY HH AW S
COFFEEHOUSES	K AO F IY HH AW S IH Z
COFFEEMAKER	K AO F IY M EY K ER
COFFEEMAKERS	K AO F IY M EY K ER Z
COFFEEPOT	K AO F IY P AA T
COFFEEPOTS	K AO F IY P AA T S
COFFEES	K AO F IY Z
COGWHEEL	K AA G W IY L
COGWHEELS	K AA G W IY L Z
COLESEED	K OW L S IY D
COLESEEDS	K OW L S IY D Z
COLESSEE	K OW L EH S IY
COLESSEES	K OW L EH S IY Z
COLLEEN	K AA L IY N
COLLEENS	K AA L IY N Z
COMMANDEER	K AA M AH N D IH R
COMMANDEERED	K AA M AH N D IH R D
COMMANDEERING	K AA M AH N D IH ER IH NG
COMMANDEERS	K AA M AH N D IH ER Z
COMMITTEE	K AH M IH T IY
COMMITTEEMAN	K AH M IH T IY M AH N
COMMITTEEMEN	K AH M IH T IY M EH N
COMMITTEES	K AH M IH T IY Z
COMMITTEEWOMAN	K AH M IH T IY W UH M AH N
COMMITTEEWOMEN	K AH M IH T IY W IH M AH N
COMMUNICATEE	K AH M Y UW N AH K AH T IY
COMMUNICATEES	K AH M Y UW N AH K AH T IY Z
COMPEER	K AH M P IH ER
COMPEERED	K AH M P IH ER D
COMPEERING	K AH M P IH ER IH NG
COMPEERS	K AH M P IH ER Z
CONFEREE	K AA N F ER IY
CONFEREES	K AA N F ER IY Z
CONGEE	K AA N JH IY IY
CONGEED	K AA N JH IY D
CONGEEING	K AA N JH IY AH NG
CONGEES	K AA N JH IY Z
CONOMINEE	K OW N AA M AH N IY
CONOMINEES	K OW N AA M AH N IY Z
CONSIGNEE	K AH N S AY N IY
CONSIGNEES	K AH N S AY N IY Z
CONTACTEE	K AA N T AE K T IY
CONTACTEES	K AA N T AE K T IY Z
CONVENTIONEER	K AH N V EH N SH AH N IH R
CONVENTIONEERS	K AH N V EH N SH AH N IH R Z
COOEE	K UW IY
COOEED	K OW OW AH T
COOEEING	K UW IY IH NG
COOEES	K UW IY Z
COREDEEM	K OW R IY D IY M
COREDEEMED	K OW R IY D IY M D
COREDEEMING	K OW R IY D IY M IH NG
COREDEEMS	K OW R IY D IY M Z
CORROBOREE	K AH R AA B AH R IY
CORROBOREES	K AH R AA B AH R IY Z
CORVEE	K AO R V IY IY
CORVEES	K AA R V IY Z
CORYPHEE	K OW R AH F IY IY
CORYPHEES	K OW R AH F IY Z
COTRUSTEE	K OW T R AH S T IY
COTRUSTEES	K OW T R AH S T IY Z
COTTONSEED	K AA T AH N S IY D
COTTONSEEDS	K AA T AH N S IY D Z
COTTONWEED	K AA T AH N W IY D
COTTONWEEDS	K AA T AH N W IY D Z
COULEE	K UW L IY
COULEES	K OW Y AH L IY Z
COUNSELEE	K AW N S AH L IY
COUNSELEES	K AW N S AH L IY Z
COVENANTEE	K AH V AH N AH N T IY
COVENANTEES	K AH V AH N AH N T IY Z
CRAZYWEED	K R EY Z IY W IY D
CRAZYWEEDS	K R EY Z IY W IY D Z
CREED	K R IY D
CREEDAL	K R IY D AH L
CREEDS	K R IY D Z
CREEK	K R IY K
CREEKS	K R IY K S
CREEL	K R IY L
CREELED	K R IY L D
CREELING	K R IY L AH NG
CREELS	K R IY L Z
CREEP	K R IY P
CREEPAGE	K R IY P IH JH
CREEPAGES	K R IY P IH JH IH Z
CREEPER	K R IY P ER
CREEPERS	K R IY P ER Z
CREEPIE	K R IY P IY
CREEPIER	K R IY P IY ER
CREEPIES	K R IY P IY Z
CREEPIEST	K R IY P IY AH S T
CREEPILY	K R IY P IY L IY
CREEPINESS	K R IY P IY N IH S
CREEPINESSES	K R IY P IY N AH S IH Z
CREEPING	K R IY P IH NG
CREEPS	K R IY P S
CREEPY	K R IY P IY
CREESE	K R IY Z
CREESES	K R IY Z AH Z
CREESH	K R IY SH
CREESHED	K R IY SH T
CREESHES	K R IY SH AH Z
CREESHING	K R IY SH AH NG
CROSSBREED	K R AO S B R IY D
CROSSBREEDING	K R AO S B R IY D IH NG
CROSSBREEDS	K R AO S B R IY D Z
CROSSTREES	K R AO S T R IY Z
CROWFEET	K R OW F IY T
CROWKEEPER	K R OW K IY P ER
CROWKEEPERS	K R OW K IY P ER Z
CUDWEED	K AH D W IY D
CUDWEEDS	K AH D W IY D Z
DANEWEED	D AE N Y UW IY D
DANEWEEDS	D AE N Y UW IY D Z
DASHEEN	D AE SH IY AH N
DASHEENS	D AH SH IY N Z
DEBAUCHEE	D AH B AO CH IY
DEBAUCHEES	D AH B AO CH IY Z
DECREE	D IH K R IY
DECREED	D IH K R IY D
DECREEING	D IH K R IY IH NG
DECREER	D EH K R IH R
DECREERS	D IH K R IH R Z
DECREES	D IH K R IY Z
DEDICATEE	D EH D IH K AH T IY
DEDICATEES	D EH D IH K AH T IY Z
DEE	D IY
DEED	D IY D
DEEDED	D IY D AH D
DEEDED(2)	D IY D IH D
DEEDIER	D IY D IY ER
DEEDIEST	D IY D IY AH S T
DEEDING	D IY D IH NG
DEEDLESS	D IY D L AH S
DEEDS	D IY D Z
DEEDY	D IY D IY
DEEJAY	D IY EH JH EY IY
DEEJAYS	D IY AH JH EY Z
DEEM	D IY M
DEEMED	D IY M D
DEEMING	D IY M IH NG
DEEMPHASIZE	D IY EH M F AH S AY Z
DEEMPHASIZED	D IY EH M F AH S AY Z D
DEEMPHASIZES	D IY EH M F AH S AY Z IH Z
DEEMPHASIZING	D IY EH M F AH S AY Z IH NG
DEEMS	D IY M Z
DEEMSTER	D IY M S T ER
DEEMSTERS	D IY M S T ER Z
DEEP	D IY P
DEEPEN	D IY P AH N
DEEPENED	D IY P AH N D
DEEPENER	D IY P AH N ER
DEEPENERS	D IY P AH N ER Z
DEEPENING	D IY P AH N IH NG
DEEPENS	D IY P AH N Z
DEEPER	D IY P ER
DEEPEST	D IY P AH S T
DEEPLY	D IY P L IY
DEEPNESS	D IY P N AH S
DEEPNESSES	D IY P N AH S IH Z
DEEPS	D IY P S
DEEPWATER	D IY P W AO T ER
DEER	D IH R
DEERBERRIES	D IH ER B EH R IY Z
DEERBERRY	D IH ER B EH R IY
DEERFLIES	D IH ER F L AY Z
DEERFLY	D IH ER F L AY
DEERHOUND	D IH ER HH AW N D
DEERHOUNDS	D IH ER HH AW N D Z
DEERLIKE	D IH ER L AY K
DEERS	D IH ER Z
DEERSKIN	D IH R S K IH N
DEERSKINS	D IH ER S K IH N Z
DEERSTALKER	D IH ER S T AO K ER
DEERSTALKERS	D IH ER S T AO K ER Z
DEERWEED	D IH ER W IY D
DEERWEEDS	D IH ER W IY D Z
DEERYARD	D IH ER Y AA R D
DEERYARDS	D IH ER Y AA R D Z
DEES	D IY Z
DEESCALATE	D IY EH S K AH L EY T
DEESCALATED	D IY EH S K AH L EY T IH D
DEESCALATES	D IY EH S K AH L EY T S
DEESCALATING	D IY EH S K AH L EY T IH NG
DEESCALATION	D IY EH S K AH L EY SH AH N
DEESCALATIONS	D IY EH S K AH L EY SH AH N Z
DEET	D IY T
DEETS	D IY T S
DEEWAN	D IY Y UW AH N
DEEWANS	D IY Y UW AH N Z
DEGREE	D IH G R IY
DEGREED	D IH G R IY D
DEGREES	D IH G R IY Z
DELEGATEE	D IY L EH G AH T IY
DELEGATEES	D IY L EH G AH T IY Z
DEPARTEE	D IY P AA R T IY
DEPARTEES	D IY P AA R T IY Z
DEPORTEE	D IY P AO R T IY
DEPORTEES	D IY P AO R T IY Z
DESIGNEE	D EH Z IH G N IY
DESIGNEES	D EH Z IH G N IY Z
DETAINEE	D IY T EY N IY
DETAINEES	D IH T EY N IY Z
DEVISEE	D IY V IH Z IY
DEVISEES	D IY V IH Z IY Z
DEVOTEE	D EH V AH T IY
DEVOTEES	D EH V AH T IY Z
DISAGREE	D IH S AH G R IY
DISAGREEABLE	D IH S AH G R IY AH B AH L
DISAGREEABLENESS	D IH S AH G R IY AH B AH L N AH S
