TT	T IY T
BUTTSTOCK	B AH T S T AA K
BUTTSTOCKS	B AH T S T AA K S
BUTTY	B AH T IY
CABALETTA	K AE B AH L EH T AH
CABALETTAS	K AE B AH L EH T AH Z
CABRETTA	K AE B R EH T AH
CABRETTAS	K AE B R EH T AH Z
CALOTTE	K AE L AH T
CALOTTES	K AE L AH T S
CAPPELLETTI	K AA P EH L EH T IY
CARBURETTED	K AA R B IY Y ER EH T IH D
CARBURETTER	K AA R B IY Y ER EH T ER
CARBURETTERS	K AA R B IY Y ER EH T ER Z
CARBURETTING	K AA R B IY Y ER EH T IH NG
CARBURETTOR	K AA R B IY Y ER EH T ER
CARBURETTORS	K AA R B IY Y ER EH T ER Z
CARROTTOP	K AE R AH T AA P
CARROTTOPPED	K AE R AH T AA P T
CARROTTOPS	K AE R AH T AA P S
CASETTE	K EY S EH T
CASETTES	K EY S EH T S
CASSETTE	K AH S EH T
CASSETTES	K AH S EH T S
CATTAIL	K AE T EY L
CATTAILS	K AE T EY L Z
CATTALO	K AE T AH L OW
CATTALOES	K AE T AH L OW Z
CATTALOS	K AE T AH L AA S
CATTED	K AE T IH D
CATTERIES	K AE T AH R IY Z
CATTERY	K AE T AH R IY
CATTIE	K AE T IY
CATTIER	K AE T IY ER
CATTIES	K AE T IY Z
CATTIEST	K AE T IY AH S T
CATTILY	K AE T IY L IY
CATTINESS	K AE T IY N AH S
CATTINESSES	K AE T IY N AH S IH Z
CATTING	K AE T IH NG
CATTISH	K AE T IH SH
CATTLE	K AE T AH L
CATTLEMAN	K AE T AH L M AE N
CATTLEMEN	K AE T AH L M AH N
CATTLEMEN(2)	K AE T AH L M IH N
CATTLEYA	K AE T L EY AH
CATTLEYAS	K AE T L EY AH Z
CATTY	K AE T IY
CAVALETTI	K AE V AH L EH T IY
CAVALLETTI	K AE V AH L EH T IY
CAVETTI	K AH V EH T IY
CAVETTO	K AH V EH T OW
CAVETTOS	K AH V EH T AH Z
CELLARETTE	S EH L ER EH T
CELLARETTES	S EH L ER EH T S
CHAPATTI	CH AH P AE T IY
CHAPATTIES	CH AH P AE T AY Z
CHAPATTIS	CH AH P AE T AH S
CHARLOTTE	SH AA R L AH T
CHARLOTTES	SH AA R L AH T S
CHATTED	CH AE T AH D
CHATTED(2)	CH AE T IH D
CHATTEL	CH AE T AH L
CHATTELS	CH AE T AH L Z
CHATTER	CH AE T ER
CHATTERBOX	CH AE T ER B AA K S
CHATTERBOXES	CH AE T ER B AA K S IH Z
CHATTERED	CH AE T ER D
CHATTERER	CH AE T ER ER
CHATTERERS	CH AE T ER ER Z
CHATTERING	CH AE T ER IH NG
CHATTERS	CH AE T ER Z
CHATTERY	CH AE T AH R IY
CHATTIER	CH AE T IY ER
CHATTIEST	CH AE T IY AH S T
CHATTILY	CH AE T IY L IY
CHATTINESS	CH AE T IY N AH S
CHATTINESSES	CH AE T IY N AH S IH Z
CHATTING	CH AE T IH NG
CHATTY	CH AE T IY
CHEMISETTE	SH AH M IY Z EH T
CHEMISETTES	SH AH M IY Z EH T S
CHITCHATTED	CH AH CH AE T AH D
CHITCHATTING	CH AH CH AE T AH NG
CHITTER	CH IH T ER
