GE	JH IY
AGELONG	EY JH L AO NG
AGENCIES	EY JH AH N S IY Z
AGENCY	EY JH AH N S IY
AGENDA	AH JH EH N D AH
AGENDALESS	AH JH EH N D AH L AH S
AGENDAS	AH JH EH N D AH Z
AGENDUM	AH JH EH N D AH M
AGENDUMS	AH JH EH N D AH M Z
AGENE	AH JH IY N
AGENES	AH JH IY N Z
AGENESES	AH JH IY N Z IH Z
AGENESIA	AE JH AH N IY ZH IY AH
AGENESIAS	AE JH AH N IY S IY AH Z
AGENESIS	AH JH EH N AH S AH S
AGENETIC	AH JH AH N EH T IH K
AGENIZE	EY JH AH N AY Z
AGENIZED	EY JH AH N AY Z D
AGENIZES	EY JH AH N AY Z IH Z
AGENIZING	EY JH AH N AY Z IH NG
AGENT	EY JH AH N T
AGENTIAL	EY JH AH N T IY AH L
AGENTING	EY JH AH N T IH NG
AGENTINGS	EY JH AH N T IH NG Z
AGENTIVE	EY JH AH N T IH V
AGENTIVES	EY JH AH N T IH V Z
AGENTRIES	EY JH AH N T R IY Z
AGENTRY	EY JH AH N T R IY
AGENTS	EY JH AH N T S
AGER	EY JH ER
AGERATUM	AH JH EH R AH T AH M
AGERATUMS	AH JH EH R AH T AH M Z
AGERS	EY JH ER Z
AGES	EY JH IH Z
AGGER	EY JH ER
AGGERS	EY JH ER Z
AGGLUTINOGEN	AE G L AH T IH N AH JH AH N
AGGLUTINOGENIC	AE G L AH T IH N AH JH AH N AH K
AGGLUTINOGENS	AE G L AH T IH N AH JH AH N Z
AGIOTAGE	EY JH IY AH T AH JH
AGIOTAGES	EY JH IY AA T AH JH AH Z
ALGEBRA	AE L JH AH B R AH
ALGEBRAIC	AE L JH AH B R EY IH K
ALGEBRAICALLY	AE L JH AH B R EY IH K L IY
ALGEBRAIST	AE L JH AH B R AH IH S T
ALGEBRAISTS	AE L JH AH B R AH IH S T S
ALGEBRAS	AE L JH AH B R AH Z
ALGERINE	AE L JH AH R AY N
ALGERINES	AE L JH AH R AY N Z
ALIENAGE	EY L IY AH N IH JH
ALIENAGES	EY L IY AH N IH JH IH Z
ALLEGE	AH L EH JH
ALLEGED	AH L EH JH D
ALLEGEDLY	AH L EH JH AH D L IY
ALLEGER	AH L EH JH ER
ALLEGERS	AH L EH JH ER Z
ALLEGES	AH L EH JH IH Z
ALLERGEN	AE L ER JH AH N
ALLERGENIC	AO L ER JH IY N IH K
ALLERGENICITIES	AO L ER JH IY N IH K S AH T IY Z
ALLERGENICITY	AO L ER JH IY N IH K S AH T IY
ALLERGENS	AE L ER JH AH N Z
ALLOANTIGEN	AE L OW N T AH JH AH N
ALLOANTIGENS	AE L OW N T AH JH AH N Z
ALLOGENEIC	AE L AH JH IY N IY AH K
ALLOGENIC	AE L AH JH AH N AH K
ALLONGE	AE L AH N JH
ALLONGES	AE L AA N JH AH Z
ALMAGEST	AE L M AH JH EH S T
ALMAGESTS	AE L M AH JH EH S T S
ALTOGETHER	AO L T AH G EH DH ER
ALTOGETHERS	AO L T AH G EH DH ER Z
AMBAGE	AE M B AH JH
AMBAGES	AE M B AH JH AH Z
AMIDOGEN	AH M IH D AH JH AH N
AMIDOGENS	AH M IH D AH JH AH N Z
AMPERAGE	AE M P ER IH JH
AMPERAGES	AE M P EH R AH JH AH Z
AMYLOGEN	AH M IH L AH JH AH N
AMYLOGENS	AH M IH L AH JH AH N Z
ANAGENESES	AH N AE JH AH N IY Z AH Z
ANAGENESIS	AE N AH JH IY N AH S AH S
ANAGOGE	AE N AH G OW JH
ANAGOGES	AE N AH G OW JH AH Z
ANALGESIA	AE N AH L JH IY ZH IY AH
ANALGESIAS	AE N AH L JH IY S IY AH Z
ANALGESIC	AE N AH L JH IY S IH K
ANALGESICS	AE N AH L JH IY Z IH K S
ANALGETIC	AH N AE L JH AH T AH K
ANALGETICS	AH N AE L JH AH T AH S Z
ANCHORAGE	AE NG K AH R IH JH
ANCHORAGES	AE NG K ER IH JH IH Z
ANDROGEN	AE N D R AH JH AH N
ANDROGENESES	AE N D R AA JH AH N IY Z AH Z
ANDROGENESIS	AE N D R AH JH IY N AH S AH S
ANDROGENETIC	AE N D R AA JH AH N AH T AH K
ANDROGENIC	AE N D R AH JH AH N AH K
ANDROGENS	AE N D R AH JH AH N Z
ANECDOTAGE	AE N IH K D OW T IH JH
ANECDOTAGES	AE N IH K D OW T IH JH IH Z
ANGEL	EY N JH AH L
ANGELED	EY N JH AH L D
ANGELFISH	EY N JH AH L F IH SH
ANGELFISHES	EY N JH AH L F IH SH IH Z
ANGELIC	AE N JH EH L IH K
ANGELICA	AE N JH EH L IH K AH
ANGELICA(2)	AE N JH AH L IY K AH
ANGELICAL	AE N JH EH L IH K AH L
ANGELICALLY	AE N JH EH L IH K L IY
ANGELICAS	AE N JH EH L IH K AH Z
ANGELING	EY N JH AH L IH NG
ANGELOLOGIES	EY N JH AH L AA L AH JH IY Z
ANGELOLOGIST	EY N JH AH L AA L AH JH AH S T
ANGELOLOGISTS	EY N JH AH L AA L AH JH AH S T S
ANGELOLOGY	EY N JH AH L AA L AH JH IY
ANGELS	EY N JH AH L Z
ANGELUS	AE N JH AH L AH S
ANGELUSES	EY N JH AH L Y UW S IH Z
ANGER	AE NG G ER
ANGERED	AE NG G ER D
ANGERING	AE NG G ER IH NG
ANGERLESS	AE NG G ER L AH S
ANGERLY	AE NG G ER L IY
ANGERS	AE NG G ER Z
ANGIOGENESES	AE N JH IY AA JH AH N IY Z AH Z
ANGIOGENESIS	AE N JH IY OW JH EH N IH S AH S
ANGIOGENIC	AE N JH IY AH JH AH N AH K
ANLAGE	AE N L AH JH
ANLAGEN	AE N L AH JH AH N
ANLAGES	AE N L AH JH AH Z
ANOREXIGENIC	AE N AH R EH K S AH JH AH N AH K
ANTHROPOGENIC	AE N TH R AH P AH JH EH N IH K
ANTIALLERGENIC	AE N T AY AO L ER JH IY N IH K
ANTIALLERGENICS	AE N T AY AO L ER JH IY N IH K S
ANTIBOURGEOIS	AE N T AY B UW R ZH W AA
ANTICARCINOGEN	AE N T AH K AA R S IH N AH JH AH N
ANTICARCINOGENIC	AE N T AH K AA R S IH N AH JH AH N AH K
ANTICARCINOGENS	AE N T AH K AA R S IH N AH JH AH N Z
ANTIESTROGEN	AE N T AY EH S T R AH JH AH N
ANTIESTROGENS	AE N T AY EH S T R AH JH AH N Z
ANTIGEN	AE N T AH JH AH N
ANTIGENE	AE N T AY JH IY N
ANTIGENES	AE N T AY JH IY N Z
ANTIGENIC	AE N T IH JH AH N IH K
ANTIGENICALLY	AE N T IH JH AH N IH K AH L IY
ANTIGENICITIES	AE N T IH JH AH N IH K S AH T IY Z
ANTIGENICITY	AE N T IH JH AH N IH K S AH T IY
ANTIGENS	AE N T IH JH AH N Z
ANTIMANAGEMENT	AE N T AY M AE N IH JH M AH N T
ANTIMANAGEMENTS	AE N T AY M AE N IH JH M AH N T S
ANTIMERGER	AE N T AY M ER JH ER
ANTIMISCEGENATION	AE N T AY M IH S EH JH AH N EY SH AH N
APAGOGE	AE P AH G OW JH
APAGOGES	AE P AH G OW JH AH Z
APANAGE	AH P EY N IH JH
APANAGES	AH P EY N IH JH IH Z
APOGEAL	AH P OW JH IY AH L
APOGEAN	AH P OW JH IY AH N
APOGEE	AE P AH JH IY
APOGEES	AE P AH JH IY Z
APOGEIC	AH P OW JH IY AH K
APOLOGETIC	AH P AA L AH JH EH T IH K
APOLOGETICALLY	AH P AA L AH JH EH T IH K L IY
APOLOGETICS	AH P AA L AH JH EH T IH K S
APOPHYGE	AE P AH F AY JH
APOPHYGES	AE P AH F AY JH AH Z
APPANAGE	AE P AH N IH JH
APPANAGES	AE P AH N IH JH IH Z
APPENDAGE	AH P EH N D IH JH
APPENDAGES	AH P EH N D IH JH IH Z
ARBITRAGE	AA R B IH T R AA ZH
ARBITRAGED	AA R B AH T R IH JH D
ARBITRAGER	AA R B IH T R AA ZH ER
ARBITRAGERS	AA R B IH T R AA ZH ER Z
ARBITRAGES	AA R B AH T R IH JH IH Z
ARBITRAGEUR	AA R B IH T R AA ZH ER
ARBITRAGEURS	AA R B AH T R AA ZH ER Z
ARCHANGEL	AA R K EY N JH AH L
ARCHANGELIC	AA R K EY N JH AH L IH K
ARCHANGELS	AA R K EY N JH AH L Z
ARCTANGENT	AA R K T AE N JH AH N T
ARCTANGENTS	AA R K T AE N JH AH N T S
ARGENT	AA R JH IH N T
ARGENTAL	AA R JH EH N T AH L
ARGENTIC	AA R JH AH N T AH K
ARGENTIFEROUS	AA R JH EH N T IH F AH R AH S
ARGENTINE	AA R JH AH N T IY N
ARGENTINES	AA R JH AH N T IY N Z
ARGENTITE	AA R JH AH N T AY T
ARGENTITES	AA R JH AH N T AY T S
ARGENTS	AA R JH AH N T S
ARGENTUM	AA R JH EH N T AH M
ARGENTUMS	AA R JH EH N T AH M Z
ARMIGER	AA R M IH G ER
ARMIGERAL	AA R M IH JH AH R AH L
ARMIGERO	AA R M IH JH AH R OW
ARMIGEROS	AA R M IH JH AH R AH Z
ARMIGEROUS	AA R M IH JH AH R AH S
ARMIGERS	AA R M AH JH AH R Z
ARRANGE	ER EY N JH
ARRANGED	ER EY N JH D
ARRANGEMENT	ER EY N JH M AH N T
ARRANGEMENTS	ER EY N JH M AH N T S
ARRANGER	ER EY N JH ER
ARRANGERS	AH R EY N JH ER Z
ARRANGES	ER EY N JH IH Z
ARREARAGE	ER IY R IH JH
ARREARAGES	ER IH R IH JH IH Z
ASPERGES	AE S AH R JH AH Z
ASSEMBLAGE	AH S EH M B L AH JH
ASSEMBLAGE(2)	AH S EH M B L IH JH
ASSEMBLAGES	AH S EH M B L IH JH IH Z
ASSUAGE	AH S W EY JH
ASSUAGED	AH S W EY JH D
ASSUAGEMENT	AH S W EY JH M AH N T
ASSUAGEMENTS	AH S W EY JH M AH N T S
ASSUAGES	AH S W EY JH IH Z
ASSURGENT	AE S ER JH AH N T
ASSWAGE	AE S W EY JH
ASSWAGED	AE S W EY JH D
ASSWAGES	AE S W EY JH IH Z
ASTRINGE	AE S T R AH N JH
ASTRINGED	AH S T R IH NG D
ASTRINGENCIES	AH S T R IH N JH AH N S IY Z
ASTRINGENCY	AH S T R IH N JH AH N S IY
ASTRINGENT	AH S T R IH N JH AH N T
ASTRINGENTLY	AH S T R IH N JH AH N T L IY
ASTRINGENTS	AH S T R IH N JH AH N T S
ASTRINGES	AH S T R IH NG Z
ASTROLOGER	AH S T R AA L AH JH ER
ASTROLOGERS	AH S T R AA L AH JH ER Z
ATHEROGENESES	AH TH AH R AA JH AH N IY Z AH Z
ATHEROGENESIS	AE TH AH R AH JH IY N AH S AH S
ATHEROGENIC	AH TH EH R AH JH AH N AH K
AUBERGE	AO B AH R JH
AUBERGES	AH B AH R JH AH Z
AUDIOGENIC	AO D IY OW JH IY N IH K
AUGEND	AO JH AH N D
AUGENDS	AO JH AH N D Z
AUGER	AO G ER
AUGERS	AO G ER Z
AUTOGENIC	AO T OW JH IY N IH K
AUTOGENIES	AO T OW JH IY N IY Z
AUTOGENOUS	AO T OW JH IY N AH S
AUTOGENOUSLY	AO T OW JH IY N AH S L IY
AUTOGENY	AO T OW JH IY N IY
AUTOSUGGEST	AO T OW S AH G JH EH S T
AUTOSUGGESTED	AO T OW S AH G JH EH S T IH D
AUTOSUGGESTING	AO T OW S AH G JH EH S T IH NG
AUTOSUGGESTION	AO T OW S AH G JH EH S SH AH N
AUTOSUGGESTIONS	AO T OW S AH G JH EH S SH AH N Z
AUTOSUGGESTS	AO T OW S AH G JH EH S T S
AVENGE	AH V EH N JH
AVENGED	AH V EH N JH D
AVENGER	AH V EH N JH ER
AVENGERS	AH V EH N JH ER Z
AVENGES	AH V EH N JH IH Z
AVERAGE	AE V ER IH JH
AVERAGE(2)	AE V R IH JH
AVERAGED	AE V R IH JH D
AVERAGELY	AE V R IH JH L IY
AVERAGENESS	AE V R IH JH N AH S
AVERAGENESSES	AE V R IH JH N AH S IH Z
AVERAGES	AE V R IH JH IH Z
AWNINGED	AO N IH NG D
BACKLOGGED	B AE K L AA G D
BACKSTAGE	B AE K S T EY JH
BACTERIOPHAGE	B AE K T AH R IY AH F AH JH
BACTERIOPHAGES	B AE K T AH R IY AA F AH JH AH Z
BADGE	B AE JH
BADGED	B AE JH D
BADGER	B AE JH ER
BADGERED	B AE JH ER D
BADGERING	B AE JH ER IH NG
BADGERLY	B AE JH ER L IY
BADGERS	B AE JH ER Z
BADGES	B AE JH IH Z
BADINAGE	B AE D AH N AA ZH
BADINAGED	B AE D AH N AA ZH D
BADINAGES	B AE D AH N AA ZH IH Z
BAGEL	B EY G AH L
BAGELS	B EY G AH L Z
BAGGAGE	B AE G IH JH
BAGGAGES	B AE G IH JH IH Z
BAGGED	B AE G D
BAGGER	B AE G ER
BAGGERS	B AE G ER Z
BALLYRAGGED	B AO L IY R AE G AH D
BANDAGE	B AE N D IH JH
BANDAGED	B AE N D AH JH D
BANDAGER	B AE N D IH JH ER
BANDAGERS	B AE N D IH JH ER Z
BANDAGES	B AE N D AH JH AH Z
BANDAGES(2)	B AE N D IH JH IH Z
BANGED	B AE NG D
BANGER	B AE NG ER
BANGERS	B AE NG ER Z
BAREGE	B AH R IY JH
BAREGES	B AH R IY JH AH Z
BARGE	B AA R JH
BARGEBOARD	B AA R JH B OW R D
BARGEBOARDS	B AA R JH B OW R D Z
BARGED	B AA R JH D
BARGEE	B AA R JH IY
BARGEES	B AA R JH IY Z
BARGELLO	B AA R JH EH L OW
BARGELLOS	B AA R JH EH L AH Z
BARGEMAN	B AA R JH M AE N
BARGEMEN	B AA R JH EH M AH N
BARGES	B AA R JH AH Z
BARGES(2)	B AA R JH IH Z
BARONAGE	B AE R AH N IH JH
BARONAGES	B AE R AH N IH JH IH Z
BARONETAGE	B AH R AA N AH T AH JH
BARONETAGES	B AE R AH N EH T AH JH AH Z
BARRAGE	B ER AA ZH
BARRAGED	B ER AA ZH D
BARRAGES	B ER AA ZH IH Z
BARRELAGE	B AE R AH L IH JH
BARRELAGES	B AE R AH L IH JH IH Z
BECLOGGED	B IH K L AA G D
BECUDGEL	B IH K AH JH AH L
BECUDGELED	B IH K AH JH AH L D
BECUDGELING	B IH K AH JH AH L IH NG
BECUDGELLED	B IH K AH JH AH L D
BECUDGELLING	B IH K AH JH AH L IH NG
BECUDGELS	B IH K AH JH AH L Z
BEDRUGGED	B IH D R AH G D
BEFINGER	B IH F IH NG G ER
BEFINGERED	B IH F IH NG G ER D
BEFINGERING	B IH F IH NG G ER IH NG
BEFINGERS	B IH F IH NG G ER Z
BEFLAGGED	B IH F L AE G D
BEFOGGED	B IH F AA G D
BEFRINGE	B IH F R IH N JH
BEFRINGED	B IH F R IH N JH D
BEFRINGES	B IH F R IH N JH IH Z
BEGET	B IH G EH T
BEGETS	B IH G EH T S
BEGETTER	B IH G EH T ER
BEGETTERS	B IH G EH T ER Z
BEGETTING	B IH G EH T IH NG
BEGGED	B EH G D
BEGRUDGE	B IH G R AH JH
BEGRUDGED	B IH G R AH JH D
BEGRUDGES	B IH G R AH JH IH Z
BEIGE	B EY ZH
BEIGES	B EY ZH AH Z
BELLIGERENCE	B AH L IH JH ER AH N S
BELLIGERENCES	B AH L IH JH ER AH N S IH Z
BELLIGERENCIES	B AH L IH JH ER AH N S IY Z
BELLIGERENCY	B AH L IH JH ER AH N S IY
BELLIGERENT	B AH L IH JH ER AH N T
BELLIGERENTLY	B AH L IH JH ER AH N T L IY
BELLIGERENTS	B AH L IH JH ER AH N T S
BELONGED	B IH L AO NG D
BERGERE	B IH R JH IH R
BERGERES	B IH R JH IY R Z
BERINGED	B IH R IH NG D
BEROUGED	B IH R UW ZH D
BESIEGE	B IH S IY JH
BESIEGED	B IH S IY JH D
BESIEGER	B IH S IY JH ER
BESIEGERS	B IH S IY JH ER Z
BESIEGES	B IH S IY JH IH Z
BESMUDGE	B IH S M AH JH
BESMUDGED	B IH S M AH JH D
BESMUDGES	B IH S M AH JH IH Z
BEVERAGE	B EH V ER IH JH
BEVERAGE(2)	B EH V R IH JH
BEVERAGES	B EH V R IH JH IH Z
BEWIGGED	B IH W IH G D
BEWINGED	B IH W IH NG D
BIFLAGELLATE	B AY F L AE JH AH L AH T
BIGEMINAL	B IH G EH M AH N AH L
BIGEMINIES	B IH G EH M AH N IY Z
BIGEMINY	B IH G EH M AH N IY
BIGENERIC	B AY JH EH N ER IH K
BIGEYE	B IH G AY
BIGEYES	B IH G AY Z
BIGGER	B IH G ER
BIGGEST	B IH G AH S T
BIGGETY	B IH G EH T IY
BILGE	B IH L JH
BILGED	B IH L JH D
BILGES	B IH L JH IH Z
BILGEWATER	B IH L JH W AO T ER
BILGEWATERS	B IH L JH W AO T ER Z
BINGE	B IH N JH
BINGED	B IH N JH D
BINGEING	B IH N JH IH NG
BINGER	B IH NG JH ER
BINGER(2)	B IH NG G ER
BINGERS	B IH N JH ER Z
BINGES	B IH N JH IH Z
BIOENERGETIC	B AY OW AH N AH R JH AH T AH K
BIOENERGETICS	B AY OW AH N AH R JH AH T AH S Z
BIOGEN	B AY OW JH EH N
BIOGENESES	B AY AA JH AH N IY Z AH Z
BIOGENESIS	B AY AH JH IY N AH S AH S
BIOGENETIC	B AY AA JH AH N AH T AH K
BIOGENETICALLY	B AY AH JH AH N EH T AH K AE L IY
BIOGENIC	B AY AA JH AH N AH K
BIOGENIES	B AY AA JH AH N AY Z
BIOGENOUS	B AY AA JH AH N AH S
BIOGENS	B AY AA JH AH N Z
BIOGENY	B AY AA JH AH N IY
BIOGEOCHEMICAL	B AY AH JH IY AA K AH M IH S AH L
BIOGEOCHEMICALS	B AY OW JH IY AH K EH M AH K AH L Z
BIOGEOCHEMISTRIES	B AY AH JH IY AH K AH M IH S T R AY Z
BIOGEOCHEMISTRY	B AY AH JH IY AA K AH M IH S T R IY
BIOGEOGRAPHER	B AY OW JH IY AA G R AH F AH R
BIOGEOGRAPHERS	B AY OW JH IY AA G R AH F AH R Z
BIOGEOGRAPHIC	B AY OW JH IY AA G R AH F AH K
BIOGEOGRAPHICAL	B AY OW JH IY AA G R AH F IH S AH L
BIOGEOGRAPHIES	B AY OW JH IY AA G R AH F AY Z
BIOGEOGRAPHY	B AY OW JH IY AA G R AH F IY
BIRDCAGE	B ER D K EY JH
BIRDCAGES	B ER D K EY JH IH Z
BIREFRINGENCE	B AY R IH F R IH N JH AH N S
BIREFRINGENCES	B AY R IH F R IH N JH AH N S IH Z
BIREFRINGENT	B AY R IY F R IH N JH AH N T
BLANCMANGE	B L AE NG K M AH N JH
BLANCMANGES	B L AE NG K M AE N JH AH Z
BLINDAGE	B L AY N D IH JH
BLINDAGES	B L AY N D IH JH IH Z
BLOCKAGE	B L AA K IH JH
BLOCKAGES	B L AA K IH JH IH Z
BLUDGEON	B L AH JH AH N
BLUDGEONED	B L AH JH AH N D
BLUDGEONING	B L AH JH AH N IH NG
BLUDGEONS	B L AH JH AH N Z
BLUDGER	B L AH JH AH R
BLUDGERS	B L AH JH AH R Z
BLUNGE	B L AH N JH
BLUNGED	B L AH NG D
BLUNGER	B L AH NG AH R
BLUNGERS	B L AH N JH AH R Z
BLUNGES	B L AH N JH AH Z
BOGEY	B OW G IY
BOGEYED	B OW G IY D
BOGEYING	B OW G IY IH NG
BOGEYMAN	B OW G IY M AE N
BOGEYMAN(2)	B UH G IY M AE N
BOGEYMEN	B OW G IY M IH N
BOGEYMEN(2)	B UH G IY M IH N
BOGEYS	B OW G IY Z
BOGGED	B AA G D
BOGGED(2)	B AO G D
BONDAGE	B AA N D IH JH
BONDAGES	B AA N D IH JH IH Z
BONGED	B AA NG D
BOOGER	B UW JH AH R
BOOGERMAN	B UW JH ER M AH N
BOOGERMEN	B UW JH ER M AH N
BOOGERS	B UW JH AH R Z
BOOGEY	B UW JH IY
BOOGEYED	B UW JH EY D
BOOGEYING	B UW JH EY AH NG
BOOGEYMAN	B UW JH EY M AH N
BOOGEYMEN	B UW JH EY M AH N
BOOGEYS	B UW JH EY Z
BOOMERANGED	B UW M ER AE NG D
BOOTLEGGED	B UW T L EH G D
BOOTLEGGER	B UW T L EH G ER
BOOTLEGGERS	B UW T L EH G ER Z
BORAGE	B AO R IH JH
BORAGES	B AO R IH JH IH Z
BOSCAGE	B AA S AH JH
BOSCAGES	B AA S AH JH AH Z
BOSKAGE	B AA S AH JH
BOSKAGES	B AA S AH JH AH Z
BOURGEOIS	B UH R ZH W AA
BOURGEOISE	B AH R JH IY OY Z
BOURGEOISES	B UW R ZH W AA Z
BOURGEOISIE	B UH R ZH W AA Z IY
BOURGEOISIES	B UW R ZH W AA IY Z
BOURGEOISIFICATION	B UW R ZH W AA AH F AH K EY SH AH N
BOURGEOISIFICATIONS	B UW R ZH W AA AH F AH K EY SH AH N Z
BOURGEOISIFIED	B UW R ZH W AA AH F AY D
BOURGEOISIFIES	B UW R ZH W AA AH F AY Z
BOURGEOISIFY	B UW R ZH W AA AH F AY
BOURGEOISIFYING	B UW R ZH W AA AH F AY IH NG
BOURGEON	B AH R JH AH N
BOURGEONED	B AH R JH IY OW N D
BOURGEONING	B AH R JH IY OW N AH NG
BOURGEONS	B AH R JH IY AH N Z
BOWLEGGED	B OW L EH G D
BRAGGED	B R AE G D
BRAGGER	B R AE G ER
BRAGGERS	B R AE G ER Z
BRAGGEST	B R AE G AH S T
BRAKEAGE	B R EY K IH JH
BRAKEAGES	B R EY K IH JH IH Z
BRASSAGE	B R AE S IH JH
BRASSAGES	B R AE S IH JH IH Z
BRAUNSCHWEIGER	B R AO N S W EY JH AH R
BRAUNSCHWEIGERS	B R AO N S W EY JH AH R Z
BREAKAGE	B R EY K IH JH
BREAKAGES	B R EY K IH JH IH Z
BREWAGE	B R UW IH JH
BREWAGES	B R UW IH JH IH Z
BRICOLAGE	B R IH K AH L AH JH
BRICOLAGES	B R AH K AA L AH JH AH Z
BRIDGE	B R IH JH
BRIDGEABLE	B R IH JH AH B AH L
BRIDGED	B R IH JH D
BRIDGEHEAD	B R IH JH HH EH D
BRIDGEHEADS	B R IH JH HH EH D Z
BRIDGELESS	B R IH JH L AH S
BRIDGES	B R IH JH AH Z
BRIDGES(2)	B R IH JH IH Z
BRIDGEWORK	B R IH JH W ER K
BRIDGEWORKS	B R IH JH W ER K S
BRIGANDAGE	B R AH G AE N D AH JH
BRIGANDAGES	B R AH G AE N D AH JH AH Z
BRINGER	B R IH NG ER
BRINGERS	B R IH NG ER Z
BROCKAGE	B R AA K AH JH
BROCKAGES	B R AA K AH JH AH Z
BROKAGE	B R OW K IH JH
BROKAGES	B R OW K IH JH IH Z
BROKERAGE	B R OW K ER IH JH
BROKERAGE(2)	B R OW K R IH JH
BROKERAGES	B R OW K ER IH JH IH Z
BROKERAGES(2)	B R OW K R IH JH IH Z
BRONCHOGENIC	B R AA NG K HH AA G AH N IH K
BROWRIDGE	B R AW R IH JH
BROWRIDGES	B R AW R IH JH IH Z
BRUMMAGEM	B R AH M AH JH AH M
BRUMMAGEMS	B R AH M AH JH AH M Z
BUDGE	B AH JH
BUDGED	B AH JH D
BUDGER	B AH JH ER
BUDGERIGAR	B AH JH R IH G ER
BUDGERIGARS	B AH JH R IH G ER Z
BUDGERS	B AH JH ER Z
BUDGES	B AH JH IH Z
BUDGET	B AH JH IH T
BUDGETARY	B AH JH IH T EH R IY
BUDGETED	B AH JH IH T AH D
BUDGETED(2)	B AH JH IH T IH D
BUDGETEER	B AH JH IH T IH R
BUDGETEERS	B AH JH IH T IH R Z
BUDGETER	B AH JH AH T ER
BUDGETERS	B AH JH AH T ER Z
BUDGETING	B AH JH IH T IH NG
BUDGETS	B AH JH IH T S
BUGEYE	B AH G AY
BUGEYES	B AH G AY Z
BUGGED	B AH G D
BUGGER	B AH G ER
BUGGERED	B UH G ER D
BUGGERIES	B AH G AH R IY Z
BUGGERING	B UH G ER IH NG
BUGGERS	B AH G ER Z
BUGGERY	B AH G AH R IY
BULGE	B AH L JH
BULGED	B AH L JH D
BULGER	B AH L G ER
BULGERS	B AH L JH ER Z
BULGES	B AH L JH IH Z
BULKAGE	B AH L K IH JH
BULKAGES	B AH L K IH JH IH Z
BULLDOGGED	B UH L D AO G AH D
BULLDOGGER	B UH L D AO G ER
BULLDOGGERS	B UH L D AO G ER Z
BULLYRAGGED	B UH L IY R AE G AH D
BUNGED	B AH NG D
BUNGEE	B AH N JH IY
BUNGEES	B AH NG IY Z
BUOYAGE	B OY IH JH
BUOYAGES	B OY IH JH IH Z
BURGAGE	B AH R G AH JH
BURGAGES	B AH R G AH JH AH Z
BURGEE	B ER G IY
BURGEES	B AH R JH IY Z
BURGEON	B ER JH AH N
BURGEONED	B ER JH AH N D
BURGEONING	B ER JH AH N IH NG
BURGEONS	B ER JH AH N Z
BURGER	B ER G ER
BURGERS	B ER G ER Z
BURGESS	B ER JH AH S
BURGESSES	B ER JH AH S IH Z
BUSHRANGER	B UH SH R EY N JH ER
BUSHRANGERS	B UH SH R EY N JH ER Z
BUTTERFINGERED	B AH T ER F IH NG G ER D
