CR	S IY R
BECROWDED	B IH K R AW D IH D
BECROWDING	B IH K R AW D IH NG
BECROWDS	B IH K R AW D Z
BECRUST	B IH K R AH S T
BECRUSTED	B IH K R AH S T IH D
BECRUSTING	B IH K R AH S T IH NG
BECRUSTS	B IH K R AH S T S
BESCREEN	B IH S K R IY N
BESCREENED	B IH S K R IY N D
BESCREENING	B IH S K R IY N IH NG
BESCREENS	B IH S K R IY N Z
BICRON	B AY K R AA N
BICRONS	B AY K R AA N Z
BREADCRUMB	B R EH D K R AH M
BREADCRUMBS	B R EH D K R AH M Z
BROMOCRIPTINE	B R AH M AA K R AH P T AY N
BROMOCRIPTINES	B R AH M AA K R AH P T AY N Z
BUREAUCRACIES	B Y UH R AA K R AH S IY Z
BUREAUCRACY	B Y UH R AA K R AH S IY
BUREAUCRAT	B Y UH R AH K R AE T
BUREAUCRAT(2)	B Y UH R OW K R AE T
BUREAUCRATESE	B Y UH R AH K R AE T IY Z
BUREAUCRATESES	B Y UH R OW K R EY T S IH Z
BUREAUCRATIC	B Y UH R AH K R AE T IH K
BUREAUCRATICALLY	B Y UH R AH K R AE T IH K AH L IY
BUREAUCRATISE	B Y AH R IY AH K R AH T AY Z
BUREAUCRATISED	B Y UH R AH K R AE T IY Z D
BUREAUCRATISES	B Y UH R AH K R AE T IY Z IH Z
BUREAUCRATISING	B Y UH R AH K R AE T IY Z IH NG
BUREAUCRATISM	B Y UH R AH K R AE T IH Z AH M
BUREAUCRATISMS	B Y UH R AH K R AE T IH Z AH M Z
BUREAUCRATIZATION	B Y UH R AH K R AE T AH Z EY SH AH N
BUREAUCRATIZATIONS	B Y UH R AH K R AE T AH Z EY SH AH N Z
BUREAUCRATIZE	B Y UH R AH K R AE T AY Z
BUREAUCRATIZED	B Y UH R AH K R AE T AY Z D
BUREAUCRATIZES	B Y UH R AH K R AE T AY Z IH Z
BUREAUCRATIZING	B Y UH R AH K R AE T AY Z IH NG
BUREAUCRATS	B Y UH R AH K R AE T S
BUREAUCRATS(2)	B Y UH R OW K R AE T S
CAMPCRAFT	K AE M P K R AE F T
CAMPCRAFTS	K AE M P K R AE F T S
CANCROID	K AE NG K R OY D
CANCROIDS	K AE NG K R OY D Z
CARVACROL	K AA R V AE K R AH L
CARVACROLS	K AA R V AE K R AH L Z
CHANCRE	CH AE NG K AH R
CHANCRES	CH AE NG K AH R Z
CHANCROID	CH AE NG K R OY D
CHANCROIDAL	CH AE NG K R OY D AH L
CHANCROIDS	CH AE NG K R OY D Z
CHANCROUS	CH AE NG K R AH S
CHLOROPICRIN	K L AO R AH P IH K R AH N
CHLOROPICRINS	K L AO R AH P IH K R AH N Z
CHONDROCRANIA	CH AA N D R AH K R EY N Y AH
CHONDROCRANIUM	CH AA N D R AH K R EY N IY AH M
CHONDROCRANIUMS	CH AA N D R AH K R EY N IY AH M Z
CHYLOMICRON	CH IH L AH M IH K R AH N
CHYLOMICRONS	CH IH L AH M IH K R AH N Z
CIRCUMSCRIBE	S ER K AH M S K R AY B
CIRCUMSCRIBED	S ER K AH M S K R AY B D
CIRCUMSCRIBES	S ER K AH M S K R AY B Z
CIRCUMSCRIBING	S ER K AH M S K R AY B IH NG
CIRCUMSCRIPTION	S ER K AH M S K R IH P SH AH N
CIRCUMSCRIPTIONS	S ER K AH M S K R IH P SH AH N Z
COCKCROW	K AA K R OW
COCKCROWS	K AA K R OW Z
COCREATE	K OW K R IY EY T
COCREATED	K OW K R IY EY T IH D
COCREATES	K OW K R IY EY T S
COCREATING	K OW K R IY EY T IH NG
COCREATOR	K OW K R IY EY T ER
COCREATORS	K OW K R IY EY T ER Z
COLICROOT	K OW L IH K R UW T
COLICROOTS	K OW L IH K R UW T S
CONCRESCENCE	K AH N K R EH S AH N S
CONCRESCENCES	K AH N K R EH S AH N S IH Z
CONCRESCENT	K AH N K R EH S AH N T
CONCRETE	K AH N K R IY T
CONCRETE(2)	K AA N K R IY T
CONCRETED	K AA N K R IY T IH D
CONCRETELY	K AA N K R IY T L IY
CONCRETENESS	K AA N K R IY T N AH S
CONCRETENESSES	K AA N K R IY T N AH S IH Z
CONCRETES	K AA N K R IY T S
CONCRETING	K AA N K R IY T IH NG
CONCRETION	K AA N K R IY SH AH N
CONCRETIONARY	K AA N K R IY SH AH N EH R IY
CONCRETIONS	K AA N K R IY SH AH N Z
CONCRETISM	K AA N K R IY T IH Z AH M
CONCRETISMS	K AA N K R IY T IH Z AH M Z
CONCRETIST	K AA N K R IY T IH S T
CONCRETISTS	K AA N K R IY T IH S T S
CONCRETIZATION	K AA N K R IY T AH Z EY SH AH N
CONCRETIZATIONS	K AA N K R IY T AH Z EY SH AH N Z
CONCRETIZE	K AA N K R IY T AY Z
CONCRETIZED	K AA N K R IY T AY Z D
CONCRETIZES	K AA N K R IY T AY Z IH Z
CONCRETIZING	K AA N K R IY T AY Z IH NG
CONSCRIBE	K AH N S K R AY B
CONSCRIBED	K AH N S K R AY B D
CONSCRIBES	K AH N S K R AY B Z
CONSCRIBING	K AH N S K R AY B IH NG
CONSCRIPT	K AA N S K R IH P T
CONSCRIPT(2)	K AH N S K R IH P T
CONSCRIPTED	K AH N S K R IH P T IH D
CONSCRIPTING	K AH N S K R IH P T IH NG
CONSCRIPTION	K AH N S K R IH P SH AH N
CONSCRIPTIONS	K AH N S K R IH P SH AH N Z
CONSCRIPTS	K AA N S K R IH P T S
CONSECRATE	K AA N S AH K R EY T
CONSECRATED	K AA N S AH K R EY T AH D
CONSECRATED(2)	K AA N S AH K R EY T IH D
CONSECRATES	K AA N S AH K R EY T S
CONSECRATING	K AA N S AH K R EY T IH NG
CONSECRATION	K AA N S AH K R EY SH AH N
CONSECRATIONS	K AA N S AH K R EY SH AH N Z
CONSECRATIVE	K AA N S AH K R EY T IH V
CONSECRATOR	K AA N S AH K R EY T ER
CONSECRATORS	K AA N S AH K R EY T ER Z
CONSECRATORY	K AA N S AH K R EY T ER IY
CORKSCREW	K AO R K S K R UW
CORKSCREWED	K AO R K S K R UW D
CORKSCREWING	K AO R K S K R UW IH NG
CORKSCREWS	K AO R K S K R UW Z
CORNCRAKE	K AA R NG K R EY K
CORNCRAKES	K AA R NG K R EY K S
CORNCRIB	K AO R N K R IH B
CORNCRIBS	K AO R N K R IH B Z
COSCRIPT	K OW S K R IH P T
COSCRIPTED	K OW S K R IH P T IH D
COSCRIPTING	K OW S K R IH P T IH NG
COSCRIPTS	K OW S K R IH P T S
COUNTERCRIES	K AW N T ER K R AY Z
COUNTERCRITICISM	K AW N T ER K R IH T AH S IH Z AH M
COUNTERCRITICISMS	K AW N T ER K R IH T AH S IH Z AH M Z
COUNTERCRY	K AW N T ER K R AY
CRAAL	K R EY AH L
CRAALED	K R AA L D
CRAALING	K R AA L AH NG
CRAALS	K R AA L Z
CRAB	K R AE B
CRABBED	K R AE B D
CRABBEDNESS	K R AE B AH D N AH S
CRABBEDNESSES	K R AE B AH D N AH S IH Z
CRABBER	K R AE B ER
CRABBERS	K R AE B ER Z
CRABBIER	K R AE B IY ER
CRABBIEST	K R AE B IY AH S T
CRABBILY	K R AE B IY L IY
CRABBING	K R AE B IH NG
CRABBY	K R AE B IY
CRABGRASS	K R AE B G R AE S
CRABGRASSES	K R AE B G R AE S IH Z
CRABMEAT	K R AE B M IY T
CRABMEATS	K R AE B M IY T S
CRABS	K R AE B Z
CRABSTICK	K R AE B S T IH K
CRABSTICKS	K R AE B S T IH K S
CRABWISE	K R AE B W AY Z
CRACK	K R AE K
CRACKAJACK	K R AE K AH JH AE K
CRACKAJACKS	K R AE K AH JH AE K S
CRACKBACK	K R AE K B AE K
CRACKBACKS	K R AE K B AE K S
CRACKBRAIN	K R AE K B R EY N
CRACKBRAINED	K R AE K B R EY N D
CRACKBRAINS	K R AE K B R EY N Z
CRACKDOWN	K R AE K D AW N
CRACKDOWNS	K R AE K D AW N Z
CRACKED	K R AE K T
CRACKER	K R AE K ER
CRACKERJACK	K R AE K ER JH AE K
CRACKERJACKS	K R AE K ER JH AE K S
CRACKERS	K R AE K ER Z
CRACKING	K R AE K IH NG
CRACKINGS	K R AE K IH NG Z
CRACKLE	K R AE K AH L
CRACKLED	K R AE K AH L D
CRACKLES	K R AE K AH L Z
CRACKLEWARE	K R AE K AH L W EH R
CRACKLEWARES	K R AE K AH L W EH R Z
CRACKLIER	K R AE K L IY ER
CRACKLIEST	K R AE K L IY AH S T
CRACKLING	K R AE K L IH NG
CRACKLINGS	K R AE K L IH NG Z
CRACKLY	K R AE K L IY
CRACKNEL	K R AE K N AH L
CRACKNELS	K R AE K N AH L Z
CRACKPOT	K R AE K P AA T
CRACKPOTS	K R AE K P AA T S
CRACKS	K R AE K S
CRACKSMAN	K R AE K S M AE N
CRACKSMEN	K R AE K S M EH N
CRACKUP	K R AE K AH P
CRACKUPS	K R AE K AH P S
CRACKY	K R AE K IY
CRADLE	K R EY D AH L
CRADLED	K R EY D AH L D
CRADLER	K R EY D AH L ER
CRADLERS	K R EY D AH L ER Z
CRADLES	K R EY D AH L Z
CRADLESONG	K R EY D AH L S AO NG
CRADLESONGS	K R EY D AH L S AO NG Z
CRADLING	K R EY D AH L IH NG
CRADLING(2)	K R EY D L IH NG
CRAFT	K R AE F T
CRAFTED	K R AE F T IH D
CRAFTIER	K R AE F T IY ER
CRAFTIEST	K R AE F T IY AH S T
CRAFTILY	K R AE F T IY L IY
CRAFTINESS	K R AE F T IY N AH S
CRAFTINESSES	K R AE F T IY N AH S IH Z
CRAFTING	K R AE F T IH NG
CRAFTS	K R AE F T S
CRAFTS(2)	K R AE F S
CRAFTSMAN	K R AE F T S M AH N
CRAFTSMAN(2)	K R AE F S M AH N
CRAFTSMANLIKE	K R AE F T S M AE N L AY K
CRAFTSMANLY	K R AE F T S M AE N L IY
CRAFTSMANSHIP	K R AE F T S M AH N SH IH P
CRAFTSMANSHIP(2)	K R AE F S M AH N SH IH P
CRAFTSMANSHIPS	K R AE F T S M AE N SH IH P S
CRAFTSMEN	K R AE F T S M EH N
CRAFTSMEN(2)	K R AE F S M EH N
CRAFTSPEOPLE	K R AE F T S P IY P AH L
CRAFTSPEOPLE(2)	K R AE F S P IY P AH L
CRAFTSPERSON	K R AE F T S P ER S AH N
CRAFTSPERSONS	K R AE F T S P ER S AH N Z
CRAFTSWOMAN	K R AE F T S W UH M AH N
CRAFTSWOMEN	K R AE F T S W IH M AH N
CRAFTY	K R AE F T IY
CRAG	K R AE G
CRAGGED	K R AE G D
CRAGGIER	K R AE G IY ER
CRAGGIEST	K R AE G IY AH S T
CRAGGILY	K R AE G IY L IY
CRAGGINESS	K R AE G IY N AH S
CRAGGINESSES	K R AE G IY N AH S IH Z
CRAGGY	K R AE G IY
CRAGS	K R AE G Z
CRAGSMAN	K R AE G Z M AE N
CRAGSMEN	K R AE G Z M EH N
CRAKE	K R EY K
CRAKES	K R EY K S
CRAM	K R AE M
CRAMBE	K R AE M B IY
CRAMBES	K R AE M B IY Z
CRAMBO	K R AE M B OW
CRAMBOES	K R AE M B OW Z
CRAMBOS	K R AE M B AH Z
CRAMMED	K R AE M D
CRAMMER	K R AE M ER
CRAMMERS	K R AE M ER Z
CRAMMING	K R AE M IH NG
CRAMOISIE	K R AH M OY S AY
CRAMOISIES	K R AE M OY S AY Z
CRAMOISY	K R AH M OW AH S IY
CRAMP	K R AE M P
CRAMPED	K R AE M P T
CRAMPING	K R AE M P IH NG
CRAMPIT	K R AE M P IH T
CRAMPITS	K R AE M P IH T S
CRAMPON	K R AE M P AO N
CRAMPONS	K R AE M P AO N Z
CRAMPOON	K R AE M P UW N
CRAMPOONS	K R AE M P UW N Z
CRAMPS	K R AE M P S
CRAMS	K R AE M Z
CRANBERRIES	K R AE N B EH R IY Z
CRANBERRY	K R AE N B EH R IY
CRANCH	K R AE N CH
CRANCHED	K R AE N CH T
CRANCHES	K R AE N CH AH Z
CRANCHING	K R AE N CH AH NG
CRANE	K R EY N
CRANED	K R EY N D
CRANES	K R EY N Z
CRANESBILL	K R EY N Z B IH L
CRANESBILLS	K R EY N Z B IH L Z
CRANIA	K R EY N Y AH
CRANIAL	K R EY N IY AH L
CRANIALLY	K R EY N IY AH L IY
CRANIATE	K R EY N IY AH T
CRANIATES	K R EY N IY AH T S
CRANING	K R EY N IH NG
CRANIOCEREBRAL	K R EY N IY AA S AH R EH B R AH L
CRANIOFACIAL	K R EY N IY AH F AH S IY AH L
CRANIOLOGIES	K R EY N IY AA L AH JH IY Z
CRANIOLOGY	K R EY N IY AA L AH JH IY
CRANIOMETRIES	K R EY N IY AH M EH T R AY Z
CRANIOMETRY	K R EY N IY AH M EH T R IY
CRANIOSACRAL	K R EY N IY AH S AE K R AH L
CRANIOTOMIES	K R EY N IY AA T AH M AY Z
CRANIOTOMY	K R EY N IY AA T AH M IY
CRANIUM	K R EY N IY AH M
CRANIUMS	K R EY N IY AH M Z
CRANK	K R AE NG K
CRANKCASE	K R AE NG K EY S
CRANKCASES	K R AE NG K EY S IH Z
CRANKED	K R AE NG K T
CRANKER	K R AE NG K ER
CRANKEST	K R AE NG K AH S T
CRANKIER	K R AE NG K IY ER
CRANKIEST	K R AE NG K IY AH S T
CRANKILY	K R AE NG K IY L IY
CRANKINESS	K R AE NG K IY N AH S
CRANKINESSES	K R AE NG K IY N AH S IH Z
CRANKING	K R AE NG K IH NG
CRANKISH	K R AE NG K IH SH
CRANKLE	K R AE NG K AH L
CRANKLED	K R AE NG K L EH D
CRANKLES	K R AE NG K AH L Z
CRANKLING	K R AE NG K L IH NG
CRANKLY	K R AE NG K L IY
CRANKOUS	K R AE NG K AH S
CRANKPIN	K R AE NG K P IH N
CRANKPINS	K R AE NG K P IH N Z
CRANKS	K R AE NG K S
CRANKSHAFT	K R AE NG K SH AE F T
CRANKSHAFTS	K R AE NG K SH AE F T S
CRANKY	K R AE NG K IY
CRANNIED	K R AE N IY D
CRANNIES	K R AE N IY Z
CRANNOG	K R AE N AH G
CRANNOGE	K R AE N OW JH
CRANNOGES	K R AE N OW JH AH Z
CRANNOGS	K R AE N AH G Z
CRANNY	K R AE N IY
CRANREUCH	K R AE N R UW CH
CRANREUCHS	K R AE N R UW CH S
CRAP	K R AE P
CRAPE	K R EY P
CRAPED	K R AE P T
CRAPES	K R EY P S
CRAPING	K R AE P IH NG
CRAPPED	K R AE P T
CRAPPER	K R AE P ER
CRAPPERS	K R AE P ER Z
CRAPPIE	K R AE P IY
CRAPPIER	K R AE P IY ER
CRAPPIES	K R AE P IY Z
CRAPPIEST	K R AE P IY AH S T
CRAPPING	K R AE P IH NG
CRAPPY	K R AE P IY
CRAPS	K R AE P S
CRAPSHOOT	K R AE P SH UW T
CRAPSHOOTER	K R AE P SH UW T ER
CRAPSHOOTERS	K R AE P SH UW T ER Z
CRAPSHOOTS	K R AE P SH UW T S
CRAPULOUS	K R AE P Y AH L AH S
CRASES	K R EY Z AH Z
CRASH	K R AE SH
CRASHED	K R AE SH T
CRASHER	K R AE SH ER
CRASHERS	K R AE SH ER Z
CRASHES	K R AE SH IH Z
CRASHING	K R AE SH IH NG
CRASHINGLY	K R AE SH IH NG L IY
CRASHWORTHINESS	K R AE SH W ER DH IY N AH S
CRASHWORTHINESSES	K R AE SH W ER DH IY N AH S IH Z
CRASHWORTHY	K R AE SH W ER DH IY
CRASIS	K R AE S AH S
CRASS	K R AE S
CRASSER	K R AE S ER
CRASSEST	K R AE S AH S T
CRASSITUDE	K R AE S AH T UW D
CRASSITUDES	K R AE S AH T UW D Z
CRASSLY	K R AE S L IY
CRASSNESS	K R AE S N AH S
CRASSNESSES	K R AE S N AH S IH Z
CRATCH	K R AE CH
CRATCHES	K R AE CH AH Z
CRATE	K R EY T
CRATED	K R EY T IH D
CRATER	K R EY T ER
CRATERED	K R EY T ER D
CRATERING	K R EY T ER IH NG
CRATERLET	K R EY T ER L AH T
CRATERLETS	K R EY T ER L AH T S
CRATERLIKE	K R EY T ER L AY K
CRATERS	K R EY T ER Z
CRATES	K R EY T S
CRATING	K R EY T IH NG
CRATON	K R AE T AH N
CRATONIC	K R AE T AH N AH K
CRATONS	K R AE T AH N Z
CRAUNCH	K R AO N CH
CRAUNCHED	K R AO N CH T
CRAUNCHES	K R AO N CH AH Z
CRAUNCHING	K R AO N CH AH NG
CRAVAT	K R AE V AH T
CRAVATS	K R EY V EY T S
CRAVE	K R EY V
CRAVED	K R EY V D
CRAVEN	K R EY V AH N
CRAVENED	K R EY V AH N D
CRAVENING	K R EY V AH N IH NG
CRAVENLY	K R EY V AH N L IY
CRAVENNESS	K R EY V AH N AH S
CRAVENNESSES	K R EY V AH N AH S IH Z
CRAVENS	K R EY V AH N Z
CRAVER	K R EY V ER
CRAVERS	K R EY V ER Z
CRAVES	K R EY V Z
CRAVING	K R EY V IH NG
CRAVINGS	K R EY V IH NG Z
CRAW	K R AO
CRAWDAD	K R AO D AH D
CRAWDADS	K R AO D AH D Z
CRAWFISH	K R AO F IH SH
CRAWFISHED	K R AO F AH SH T
CRAWFISHES	K R AO F AH SH AH Z
CRAWFISHING	K R AO F AH SH AH NG
CRAWL	K R AO L
CRAWLED	K R AO L D
CRAWLER	K R AO L ER
CRAWLERS	K R AO L ER Z
CRAWLIER	K R AO L IY ER
CRAWLIEST	K R AO L IY AH S T
CRAWLING	K R AO L IH NG
CRAWLS	K R AO L Z
CRAWLSPACE	K R AO L S P EY S
CRAWLSPACES	K R AO L S P EY S IH Z
CRAWLWAY	K R AO L W EY
CRAWLWAYS	K R AO L W EY Z
CRAWLY	K R AO L IY
CRAWS	K R AO Z
CRAYFISH	K R EY F IH SH
CRAYFISHES	K R EY F AH SH AH Z
CRAYOLA	K R EY AH L AH
CRAYOLAS	K R EY AH L AH Z
CRAYON	K R EY AA N
CRAYONED	K R EY AA N D
CRAYONING	K R EY AA N IH NG
CRAYONIST	K R EY AA N IH S T
CRAYONISTS	K R EY AA N IH S T S
CRAYONS	K R EY AA N Z
CRAZE	K R EY Z
CRAZED	K R EY Z D
CRAZES	K R EY Z IH Z
CRAZIER	K R EY Z IY ER
CRAZIES	K R EY Z IY Z
CRAZIEST	K R EY Z IY AH S T
CRAZILY	K R EY Z AH L IY
CRAZINESS	K R EY Z IY N AH S
CRAZINESSES	K R EY Z IY N AH S IH Z
CRAZING	K R EY Z IH NG
CRAZY	K R EY Z IY
CRAZYWEED	K R EY Z IY W IY D
CRAZYWEEDS	K R EY Z IY W IY D Z
CREAK	K R IY K
CREAKED	K R IY K T
CREAKIER	K R IY K IY ER
CREAKIEST	K R IY K IY AH S T
CREAKILY	K R IY K IY L IY
CREAKINESS	K R IY K IY N AH S
CREAKINESSES	K R IY K IY N AH S IH Z
CREAKING	K R IY K IH NG
CREAKS	K R IY K S
CREAKY	K R IY K IY
CREAM	K R IY M
CREAMCUPS	K R IY M K AH P S
CREAMED	K R IY M D
CREAMER	K R IY M ER
CREAMERIES	K R IY M AH R IY Z
CREAMERS	K R IY M ER Z
CREAMERY	K R IY M ER IY
CREAMIER	K R IY M IY ER
CREAMIEST	K R IY M IY IH S T
CREAMILY	K R IY M IY L IY
CREAMINESS	K R IY M IY N AH S
CREAMINESSES	K R IY M IY N AH S IH Z
CREAMING	K R IY M IH NG
CREAMPUFF	K R IY M P AH F
CREAMPUFFS	K R IY M P AH F S
