SH	EH S
AMBASSADORSHIPS	AE M B AE S AH D ER SH IH P S
AMBUSH	AE M B UH SH
AMBUSHED	AE M B UH SH T
AMBUSHER	AE M B UH SH ER
AMBUSHERS	AE M B UH SH ER Z
AMBUSHES	AE M B UH SH IH Z
AMBUSHING	AE M B UH SH IH NG
AMBUSHMENT	AE M B UH SH M AH N T
AMBUSHMENTS	AE M B UH SH M AH N T S
AMIDSHIP	AH M IH D SH IH P
AMIDSHIPS	AH M IH D SH IH P S
ANGELFISH	EY N JH AH L F IH SH
ANGELFISHES	EY N JH AH L F IH SH IH Z
ANGLERFISH	AE NG G AH L ER F IH SH
ANGLERFISHES	AE NG G AH L ER F IH SH IH Z
ANGUISH	AE NG G W IH SH
ANGUISHED	AE NG G W IH SH T
ANGUISHES	AE NG G W IH SH IH Z
ANGUISHING	AE NG G W IH SH IH NG
ANKUSH	AE NG K AH SH
ANKUSHES	AE NG K AH SH AH Z
ANTIBACKLASH	AE N T AY B AE K L AE SH
ANTICENSORSHIP	AE N T AY S EH N S ER SH IH P
ANTIESTABLISHMENT	AE N T AY IH S T AE B L IH SH M AH N T
ANTIFASHION	AE N T AY F AE SH AH N
ANTIFASHIONABLE	AE N T AY F AE SH AH N AH B AH L
ANTIFASHIONS	AE N T AY F AE SH AH N Z
ANTISHARK	AE N T AY SH AA R K
ANTISHIP	AE N T AY SH IH P
ANTISHOCK	AE N T AY SH AA K
ANTISHOPLIFTING	AE N T AY SH AA P L IH F T IH NG
ANTITARNISH	AE N T AY T AA R N IH SH
APISH	EY P IH SH
APISHLY	EY P IH SH L IY
APISHNESS	EY P IH SH N AH S
APISHNESSES	EY P IH SH N AH S IH Z
APOSTLESHIP	AH P AA S AH L SH IH P
APOSTLESHIPS	AH P AA S AH L SH IH P S
APPRENTICESHIP	AH P R EH N T AH S SH IH P
APPRENTICESHIPS	AH P R EH N T AH S SH IH P S
ARCHBISHOP	AA R CH B IH SH AH P
ARCHBISHOPRIC	AA R K B AH SH AH P R AH K
ARCHBISHOPRICS	AA R K B AH SH AA P R AH S Z
ARCHBISHOPS	AA R CH B IH SH AH P S
ARCHERFISH	AA R CH ER F IH SH
ARCHERFISHES	AA R CH ER F IH SH IH Z
ARHATSHIP	AA R HH AH T SH IH P
ARHATSHIPS	AA R HH AH T SH IH P S
ARSHIN	AA R SH AH N
ARSHINS	AA R SH AH N Z
ARTISANSHIP	AA R T AH Z AH N SH IH P
ARTISANSHIPS	AA R T AH Z AH N SH IH P S
ASH	AE SH
ASHAMED	AH SH EY M D
ASHAMEDLY	AH SH EY M AH D L IY
ASHCAN	AE SH K AE N
ASHCANS	AE SH K AE N Z
ASHED	AH SH EH D
ASHEN	AE SH AH N
ASHES	AE SH IH Z
ASHFALL	AE SH F AO L
ASHFALLS	AE SH F AO L Z
ASHIER	AH SH AY ER
ASHIEST	AH SH AY AH S T
ASHINESS	AH SH AY N AH S
ASHINESSES	AH SH AY N AH S IH Z
ASHING	AE SH IH NG
ASHLAR	AE SH L AH R
ASHLARED	AE SH L AH R D
ASHLARING	AE SH L AH R AH NG
ASHLARS	AE SH L AH R Z
ASHLER	AE SH L AH R
ASHLERED	AE SH L IY R D
ASHLERING	AE SH L IY R AH NG
ASHLERS	AE SH L AH R Z
ASHLESS	AE SH L AH S
ASHMAN	AE SH M AH N
ASHMEN	AE SH M EH N
ASHORE	AH SH AO R
ASHPLANT	AE SH P L AE N T
ASHPLANTS	AE SH P L AE N T S
ASHRAM	AE SH R AE M
ASHRAMS	AE SH R AE M Z
ASHTRAY	AE SH T R EY
ASHTRAYS	AE SH T R EY Z
ASHY	AE SH IY
ASPISH	AE S AH SH
ASSHOLE	AE S HH OW L
ASSHOLES	AE S HH OW L Z
ASSISTANTSHIP	AH S IH S T AH N T SH IH P
ASSISTANTSHIPS	AH S IH S T AH N T SH IH P S
ASSOCIATESHIP	AH S OW S IY AH T SH IH P
ASSOCIATESHIPS	AH S OW S IY AH T SH IH P S
ASTONISH	AH S T AA N IH SH
ASTONISHED	AH S T AA N IH SH T
ASTONISHES	AH S T AA N IH SH IH Z
ASTONISHING	AH S T AA N IH SH IH NG
ASTONISHINGLY	AH S T AA N IH SH IH NG L IY
ASTONISHMENT	AH S T AA N IH SH M AH N T
ASTONISHMENTS	AH S T AA N IH SH M AH N T S
ATHWARTSHIP	AH TH W AO R T SH IH P
ATHWARTSHIPS	AH TH W AO R T SH IH P S
ATTORNEYSHIP	AH T ER N IY SH IH P
ATTORNEYSHIPS	AH T ER N IY SH IH P S
AUTHORSHIP	AO TH ER SH IH P
AUTHORSHIPS	AO TH ER SH IH P S
AWASH	AH W AA SH
BABUSHKA	B AH B UH SH K AH
BABUSHKAS	B AH B UH SH K AH Z
BABYISH	B EY B IY IH SH
BACKLASH	B AE K L AE SH
BACKLASHED	B AE K L AE SH T
BACKLASHER	B AE K L AE SH ER
BACKLASHERS	B AE K L AE SH ER Z
BACKLASHES	B AE K L AE SH AH Z
BACKLASHING	B AE K L AE SH IH NG
BACKRUSH	B AE K R AH SH
BACKRUSHES	B AE K R AH SH IH Z
BACKSLASH	B AE K S L AE SH
BACKSLASHES	B AE K S L AE SH AH Z
BACKSPLASH	B AE K S P L AE SH
BACKSPLASHES	B AE K S P L AE SH IH Z
BACKWASH	B AE K W AA SH
BACKWASHED	B AE K W AA SH T
BACKWASHES	B AE K W AA SH IH Z
BACKWASHING	B AE K W AA SH IH NG
BAILIFFSHIP	B EY L AH F SH IH P
BAILIFFSHIPS	B EY L AH F SH IH P S
BAIRNISH	B AE AH R N AH SH
BAKESHOP	B EY K SH AA P
BAKESHOPS	B EY K SH AA P S
BAKSHEESH	B AE K IY SH
BAKSHEESHES	B AE K IY SH AH Z
BAKSHISH	B AE K AH SH
BAKSHISHED	B AE K AH SH T
BAKSHISHES	B AE K AH SH AH Z
BAKSHISHING	B AE K AH SH AH NG
BALDERDASH	B AO L D ER D AE SH
BALDERDASHES	B AO L D ER D AE SH IH Z
BALDISH	B AO L D IH SH
BANISH	B AE N IH SH
BANISHED	B AE N IH SH T
BANISHER	B AE N IH SH ER
BANISHERS	B AE N IH SH ER Z
BANISHES	B AE N IH SH IH Z
BANISHING	B AE N IH SH IH NG
BANISHMENT	B AE N IH SH M AH N T
BANISHMENTS	B AE N IH SH M AH N T S
BANSHEE	B AE N SH IY
BANSHEES	B AE N SH IY Z
BANSHIE	B AE N SH AY
BANSHIES	B AE N SH AY Z
BARBERSHOP	B AA R B ER SH AA P
BARBERSHOPS	B AA R B ER SH AA P S
BASH	B AE SH
BASHAW	B AH SH AO
BASHAWS	B AH SH AO Z
BASHED	B AE SH T
BASHER	B AE SH ER
BASHERS	B AE SH ER Z
BASHES	B AE SH IH Z
BASHFUL	B AE SH F AH L
BASHFULLY	B AE SH F AH L IY
BASHFULNESS	B AE SH F AH L N AH S
BASHFULNESSES	B AE SH F AH L N AH S IH Z
BASHING	B AE SH IH NG
BASHLYK	B AE SH L AH K
BASHLYKS	B AE SH L AH K S
BATFISH	B AE T F IH SH
BATFISHES	B AE T F IH SH IH Z
BATTLESHIP	B AE T AH L SH IH P
BATTLESHIPS	B AE T AH L SH IH P S
BEAMISH	B IY M IH SH
BEAMISHLY	B IY M IH SH L IY
BEARISH	B EH R IH SH
BEARISHLY	B EH R IH SH L IY
BEARISHNESS	B EH R IH SH N AH S
BEARISHNESSES	B AE ER IH SH N AH S IH Z
BEAUISH	B OW IH SH
BEDSHEET	B EH D SH IY T
BEDSHEETS	B EH D SH IY T S
BESHADOW	B IH SH AE D OW
BESHADOWED	B IH SH AE D OW D
BESHADOWING	B IH SH AE D OW IH NG
BESHADOWS	B IH SH AE D OW Z
BESHAME	B IH SH EY M
BESHAMED	B IH SH EY M D
BESHAMES	B IH SH EY M Z
BESHAMING	B IH SH EY M IH NG
BESHIVER	B IH SH IH V ER
BESHIVERED	B IH SH IH V ER D
BESHIVERING	B IH SH IH V ER IH NG
BESHIVERS	B IH SH IH V ER Z
BESHOUT	B IH SH AW T
BESHOUTED	B IH SH AW T IH D
BESHOUTING	B IH SH AW T IH NG
BESHOUTS	B IH SH AW T S
BESHREW	B IH SH R UW
BESHREWED	B IH SH R UW D
BESHREWING	B IH SH R UW IH NG
BESHREWS	B IH SH R UW Z
BESHROUD	B IH SH R AW D
BESHROUDED	B IH SH R AW D IH D
BESHROUDING	B IH SH R AW D IH NG
BESHROUDS	B IH SH R AW D Z
BIGGISH	B IH G IH SH
BIGSHOT	B IH G SH AA T
BIGSHOTS	B IH G SH AA T S
BILLFISH	B IH L F IH SH
BILLFISHES	B IH L F IH SH IH Z
BIPARTISANSHIP	B AY P AA R T AH Z AH N SH IH P
BIPARTISANSHIPS	B AY P AA R T AH Z AH N SH IH P S
BIRDSHOT	B ER D SH AA T
BIRDSHOTS	B ER D SH AA T S
BISHOP	B IH SH AH P
BISHOPED	B IH SH AH P T
BISHOPING	B IH SH AH P IH NG
BISHOPRIC	B AY SH AA P R AH K
BISHOPRICS	B IH SH AH P R IH K S
BISHOPS	B IH SH AH P S
BITTERBRUSH	B IH T ER B R AH SH
BITTERBRUSHES	B IH T ER B R AH SH IH Z
BITTERISH	B IH T ER IH SH
BLACKFISH	B L AE K F IH SH
BLACKFISHES	B L AE K F IH SH IH Z
BLACKISH	B L AE K IH SH
BLANDISH	B L AE N D IH SH
BLANDISHED	B L AE N D IH SH T
BLANDISHER	B L AE N D IH SH ER
BLANDISHERS	B L AE N D IH SH ER Z
BLANDISHES	B L AE N D IH SH IH Z
BLANDISHING	B L AE N D IH SH IH NG
BLANDISHMENT	B L AE N D IH SH M AH N T
BLANDISHMENTS	B L AE N D IH SH M AH N T S
BLEAKISH	B L IY K IH SH
BLEMISH	B L EH M IH SH
BLEMISHED	B L EH M IH SH T
BLEMISHES	B L EH M IH SH IH Z
BLEMISHING	B L EH M IH SH IH NG
BLIMPISH	B L IH M P IH SH
BLIMPISHLY	B L IH M P IH SH L IY
BLIMPISHNESS	B L IH M P IH SH N AH S
BLIMPISHNESSES	B L IH M P IH SH N AH S IH Z
BLINDFISH	B L AY N D F IH SH
BLINDFISHES	B L AY N D F IH SH IH Z
BLOCKISH	B L AA K IH SH
BLONDISH	B L AA N D IH SH
BLOODSHED	B L AH D SH EH D
BLOODSHEDS	B L AH D SH EH D Z
BLOODSHOT	B L AH D SH AA T
BLOWFISH	B L OW F IH SH
BLOWFISHES	B L OW F IH SH IH Z
BLUEFISH	B L UW F IH SH
BLUEFISHES	B L UW F IH SH IH Z
BLUEISH	B L UW IH SH
BLUESHIFT	B L UW SH IH F T
BLUESHIFTED	B L UW SH IH F T IH D
BLUESHIFTS	B L UW SH IH F T S
BLUISH	B L UW IH SH
BLUISHNESS	B L UW IH SH N AH S
BLUISHNESSES	B L UW IH SH N AH S IH Z
BLUSH	B L AH SH
BLUSHED	B L AH SH T
BLUSHER	B L AH SH ER
BLUSHERS	B L AH SH ER Z
BLUSHES	B L AH SH AH Z
BLUSHES(2)	B L AH SH IH Z
BLUSHFUL	B L AH SH F AH L
BLUSHING	B L AH SH IH NG
BLUSHINGLY	B L AH SH IH NG L IY
BOARFISH	B OW R F IH SH
BOARFISHES	B OW R F IH SH IH Z
BOARISH	B OW R IH SH
BOGGISH	B AO G IH SH
BOLSHEVISM	B OW L SH AH V IH Z AH M
BOLSHEVISMS	B OW L SH AH V IH Z AH M Z
BOLSHEVIZE	B OW L SH AH V AY Z
BOLSHEVIZED	B OW L SH AH V AY Z D
BOLSHEVIZES	B OW L SH AH V AY Z AH Z
BOLSHEVIZING	B OW L SH AH V AY Z AH NG
BOLSHIE	B OW L SH AY
BOLSHIES	B OW L SH AY Z
BOLSHY	B OW L SH IY
BOMBSHELL	B AA M SH EH L
BOMBSHELLS	B AA M SH EH L Z
BONEFISH	B OW N F IH SH
BONEFISHES	B OW N F IH SH IH Z
BONEFISHING	B OW N F IH SH IH NG
BONEFISHINGS	B OW N F IH SH IH NG Z
BOOBISH	B UW B IY IH SH
BOOKISH	B UH K IH SH
BOOKISHLY	B UH K IH SH L IY
BOOKISHNESS	B UH K IH SH N AH S
BOOKISHNESSES	B UH K IH SH N AH S IH Z
BOOKSHELF	B UH K SH EH L F
BOOKSHELVES	B UH K SH EH L V Z
BOOKSHOP	B UH K SH AA P
BOOKSHOPS	B UH K SH AA P S
BOORISH	B UH R IH SH
BOORISHLY	B UH R IH SH L IY
BOORISHNESS	B UH R IH SH N AH S
BOORISHNESSES	B UH R IH SH N AH S IH Z
BORSHT	B AO R SH T
BORSHTS	B AO R SH T S
BOSH	B AA SH
BOSHBOK	B AA SH B AH K
BOSHBOKS	B AA SH B AH K S
BOSHES	B AA SH AH Z
BOSHVARK	B AA SH V AH R K
BOSHVARKS	B AA SH V AH R K S
BOTTLEBRUSH	B AA T AH L B R AH SH
BOTTLEBRUSHES	B AA T AH L B R AH SH IH Z
BOUNDERISH	B AW N D ER IH SH
BOWSHOT	B AW SH AA T
BOWSHOTS	B AW SH AA T S
BOXFISH	B AA K S F IH SH
BOXFISHES	B AA K S F IH SH IH Z
BOYISH	B OY IH SH
BOYISHLY	B OY IH SH L IY
BOYISHNESS	B OY IH SH N AH S
BOYISHNESSES	B OY IH SH N AH S IH Z
BRACKISH	B R AE K IH SH
BRACKISHNESS	B R AE K IH SH N AH S
BRACKISHNESSES	B R AE K IH SH N AH S IH Z
BRAINISH	B R EY N IH SH
BRAINWASH	B R EY N W AA SH
BRAINWASHED	B R EY N W AA SH T
BRAINWASHER	B R EY N W AA SH ER
BRAINWASHERS	B R EY N W AA SH ER Z
BRAINWASHES	B R EY N W AA SH AH Z
BRAINWASHING	B R EY N W AA SH IH NG
BRAINWASHINGS	B R EY N W AA SH IH NG Z
BRANDISH	B R AE N D IH SH
BRANDISHED	B R AE N D IH SH T
BRANDISHES	B R AE N D IH SH IH Z
BRANDISHING	B R AE N D IH SH IH NG
BRASH	B R AE SH
BRASHER	B R AE SH ER
BRASHES	B R AE SH IH Z
BRASHEST	B R AE SH AH S T
BRASHIER	B R AE SH IY ER
BRASHIEST	B R AE SH IY AH S T
BRASHLY	B R AE SH L IY
BRASHNESS	B R AE SH N AH S
BRASHNESSES	B R AE SH N AH S IH Z
BRASHY	B R AE SH IY
BRASSISH	B R AE S IH SH
BRATTISH	B R AE T AH SH
BRINISH	B R AY N AH SH
BRINKMANSHIP	B R IH NG K M AH N SH IH P
BRINKMANSHIPS	B R IH NG K M AE N SH IH P S
BRINKSMANSHIP	B R IH NG K S M AH N SH IH P
BRINKSMANSHIPS	B R IH NG K S M AE N SH IH P S
BROADISH	B R AO D IH SH
BROADSHEET	B R AO D SH IY T
BROADSHEETS	B R AO D SH IY T S
BROGUISH	B R AA G Y UW AH SH
BROWNISH	B R AW N IH SH
BROWNSHIRT	B R AW N SH ER T
BROWNSHIRTS	B R AW N SH ER T S
BRUSH	B R AH SH
BRUSHABILITIES	B R AH SH AH B IH L AH T EH Z
BRUSHABILITY	B R AH SH AH B IH L AH T EH
BRUSHBACK	B R AH SH B AE K
BRUSHBACKS	B R AH SH B AE K S
BRUSHED	B R AH SH T
BRUSHER	B R AH SH ER
BRUSHERS	B R AH SH ER Z
BRUSHES	B R AH SH IH Z
BRUSHFIRE	B R AH SH F AY R
BRUSHFIRES	B R AH SH F AY R Z
BRUSHIER	B R AH SH IY ER
BRUSHIEST	B R AH SH IY AH S T
BRUSHING	B R AH SH IH NG
BRUSHLAND	B R AH SH L AE N D
BRUSHLANDS	B R AH SH L AE N D Z
BRUSHOFF	B R AH SH AO F
BRUSHOFFS	B R AH SH AO F S
BRUSHUP	B R AH SH AH P
BRUSHUPS	B R AH SH AH P S
BRUSHWOOD	B R AH SH W UH D
BRUSHWOODS	B R AH SH W UH D Z
BRUSHWORK	B R AH SH W ER K
BRUSHWORKS	B R AH SH W ER K S
BRUSHY	B R AH SH IY
BRUTISH	B R UW T IH SH
BRUTISHLY	B R UW T IH SH L IY
BRUTISHNESS	B R UW T IH SH N AH S
BRUTISHNESSES	B R UW T IH SH N AH S IH Z
BUCCANEERISH	B AH K EY N AH R AH SH
BUCKISH	B AH K IH SH
BUCKSHEE	B AH K IY IY
BUCKSHEES	B AH K IY Z
BUCKSHOT	B AH K SH AA T
BUCKSHOTS	B AH K SH AA T S
BUFFALOFISH	B AH F AH L OW F IH SH
BUFFALOFISHES	B AH F AH L OW F IH SH IH Z
BUFFOONISH	B AH F UW N IH SH
BUGSHA	B AH G SH AH
BUGSHAS	B AH G SH AH Z
BULLISH	B UH L IH SH
BULLISHLY	B UH L IH SH L IY
BULLISHNESS	B UH L IH SH N AH S
BULLISHNESSES	B UH L IH SH N AH S IH Z
BULLRUSH	B UH L R AH SH
BULLRUSHES	B UH L R AH SH IH Z
BULLSHIT	B UH L SH IH T
BULLSHITS	B UH L SH IH T S
BULLSHITTED	B UH L SH IH T IH D
BULLSHITTING	B UH L SH IH T IH NG
BULLSHOT	B UH L SH AA T
BULLSHOTS	B UH L SH AA T S
BULRUSH	B UH L R AH SH
BULRUSHES	B UH L R AH SH AH Z
BUMBERSHOOT	B AH M B IY ER SH UW T
BUMBERSHOOTS	B AH M B IY ER SH UW T S
BUMPKINISH	B AH M P K IH N IH SH
BUQSHA	B AH K AH
BUQSHAS	B AH K AH Z
BURNISH	B ER N IH SH
BURNISHED	B ER N IH SH T
BURNISHER	B ER N IH SH ER
BURNISHERS	B ER N IH SH ER Z
BURNISHES	B ER N IH SH IH Z
BURNISHING	B ER N IH SH IH NG
BURNISHINGS	B ER N IH SH IH NG Z
BUSH	B UH SH
BUSHBUCK	B UH SH B AH K
BUSHBUCKS	B UH SH B AH K S
BUSHED	B UH SH T
BUSHEL	B UH SH AH L
BUSHELED	B UH SH AH L D
BUSHELER	B UH SH AH L ER
BUSHELERS	B UH SH AH L ER Z
BUSHELING	B UH SH AH L IH NG
BUSHELLED	B UH SH AH L D
BUSHELLING	B UH SH AH L IH NG
BUSHELS	B UH SH AH L Z
BUSHER	B UH SH ER
BUSHERS	B UH SH ER Z
BUSHES	B UH SH AH Z
BUSHFIRE	B UH SH F AY ER
BUSHFIRES	B UH SH F AY ER Z
BUSHGOAT	B UH SH G OW T
BUSHGOATS	B UH SH G OW T S
BUSHIDO	B AH SH AH D OW
BUSHIDOS	B UH SH AH D AA S
BUSHIER	B UH SH IY ER
BUSHIEST	B UH SH IY AH S T
BUSHILY	B UH SH IY L IY
BUSHINESS	B UH SH IY N AH S
BUSHINESSES	B UH SH IY N AH S IH Z
BUSHING	B UH SH IH NG
BUSHINGS	B UH SH IH NG Z
BUSHLAND	B UH SH L AE N D
BUSHLANDS	B UH SH L AE N D Z
BUSHLESS	B UH SH L AH S
BUSHLIKE	B UH SH L AY K
BUSHMAN	B UH SH M AH N
BUSHMASTER	B UH SH M AE S T ER
BUSHMASTERS	B UH SH M AE S T ER Z
BUSHMEN	B UH SH M EH N
BUSHPIG	B UH SH P IH G
BUSHPIGS	B UH SH P IH G Z
BUSHRANGER	B UH SH R EY N JH ER
BUSHRANGERS	B UH SH R EY N JH ER Z
BUSHRANGING	B UH SH R EY N JH IH NG
BUSHRANGINGS	B UH SH R EY N JH IH NG Z
BUSHTIT	B UH SH T IH T
BUSHTITS	B UH SH T IH T S
BUSHWA	B AH SH W AH
BUSHWAH	B AH SH W AH
BUSHWAHS	B AH SH W AH Z
BUSHWAS	B AH SH W AH Z
BUSHWHACK	B UH SH W AE K
BUSHWHACKED	B UH SH W AE K T
BUSHWHACKER	B UH SH W AE K ER
BUSHWHACKERS	B UH SH W AE K ER Z
BUSHWHACKING	B UH SH W AE K IH NG
BUSHWHACKS	B UH SH W AE K S
BUSHY	B UH SH IY
BUTTERFISH	B AH T ER F IH SH
BUTTERFISHES	B AH T ER F IH SH IH Z
BUTTONBUSH	B AH T AH N B UH SH
BUTTONBUSHES	B AH T AH N B UH SH IH Z
CABOSHED	K AE B AH SH T
CADDISH	K EY D IH SH
CADDISHLY	K EY D IH SH L IY
CADDISHNESS	K EY D IH SH N AH S
CADDISHNESSES	K EY D IH SH N AH S IH Z
CADETSHIP	K AH D EH T SH IH P
CADETSHIPS	K AH D EH T SH IH P S
CALABASH	K AE L AH B AH SH
CALABASHES	K AH L AE B AH SH AH Z
CALASH	K AE L AH SH
CALASHES	K AE L AH SH AH Z
CALIPASH	K AE L AH P AH SH
CALIPASHES	K AH L IH P AH SH AH Z
CAMSHAFT	K AE M SH AE F T
CAMSHAFTS	K AE M SH AE F T S
CANDLEFISH	K AE N D AH L F IH SH
CANDLEFISHES	K AE N D AH L F IH SH IH Z
CAPTAINSHIP	K AE P T AH N SH IH P
CAPTAINSHIPS	K AE P T AH N SH IH P S
CARDINALSHIP	K AA R D AH N AH L SH IH P
CARDINALSHIPS	K AA R D AH N AH L SH IH P S
CARDSHARP	K AA R D SH AA R P
CARDSHARPER	K AA R D SH AA R P ER
CARDSHARPERS	K AA R D SH AA R P ER Z
CARDSHARPS	K AA R D SH AA R P S
CARLISH	K AA R L IH SH
CARTOONISH	K AA R T UW N IH SH
CARTOONISHLY	K AA R T UW N IH SH L IY
CARWASH	K AA R W AA SH
CARWASHES	K AA R W AA SH IH Z
CASH	K AE SH
CASHABLE	K AE SH AH B AH L
CASHAW	K AE SH AH
CASHAWS	K AE SH AH Z
CASHBOOK	K AE SH B UH K
CASHBOOKS	K AE SH B UH K S
CASHBOX	K AE SH B AA K S
CASHBOXES	K AE SH B AA K S IH Z
CASHED	K AE SH T
CASHES	K AE SH IH Z
CASHEW	K AE SH UW
CASHEWS	K AE SH UW Z
CASHIER	K AE SH IH R
CASHIERED	K AE SH IH R D
CASHIERING	K AE SH IY ER IH NG
CASHIERS	K AE SH IH R Z
CASHING	K AE SH IH NG
CASHLESS	K AE SH L AH S
CASHMERE	K AE ZH M IH R
CASHMERES	K AE ZH M IH R Z
CASHOO	K AE SH UW
CASHOOS	K AH SH UW Z
CATFISH	K AE T F IH SH
CATFISHES	K AE T F IH SH IH Z
CATTISH	K AE T IH SH
CAVEFISH	K EY V F IH SH
CAVEFISHES	K EY V F IH SH IH Z
CENSORSHIP	S EH N S ER SH IH P
CENSORSHIPS	S EH N S ER SH IH P S
CEORLISH	S IY AO R L AH SH
CHAIRMANSHIP	CH EH R M AH N SH IH P
CHAIRMANSHIPS	CH EH R M AH N SH IH P S
CHAMPIONSHIP	CH AE M P IY AH N SH IH P
CHAMPIONSHIPS	CH AE M P IY AH N SH IH P S
CHANCELLORSHIP	CH AE N S AH L ER SH IH P
CHANCELLORSHIPS	CH AE N S AH L ER SH IH P S
CHEAPISH	CH IY P IH SH
CHEAPISHLY	CH IY P IH SH L IY
CHERISH	CH EH R IH SH
CHERISHABLE	CH EH R IH SH AH B AH L
CHERISHED	CH EH R IH SH T
CHERISHER	CH EH R IH SH ER
CHERISHERS	CH EH R IH SH ER Z
CHERISHES	CH EH R IH SH IH Z
CHERISHING	CH EH R IH SH IH NG
CHICKENSHIT	CH IH K AH N SH IH T
CHICKENSHITS	CH IH K AH N SH IH T S
CHIEFSHIP	CH IY F SH IH P
CHIEFSHIPS	CH IY F SH IH P S
CHIEFTAINSHIP	CH IY F T AH N SH IH P
CHIEFTAINSHIPS	CH IY F T AH N SH IH P S
CHILDISH	CH AY L D IH SH
CHILDISHLY	CH AY L D IH SH L IY
CHILDISHNESS	CH AY L D IH SH N AH S
CHILDISHNESSES	CH AY L D IH SH N AH S IH Z
CHOUSH	CH AW SH
CHOUSHES	CH AW SH AH Z
CHUMSHIP	CH AH M SH IH P
CHUMSHIPS	CH AH M SH IH P S
CHURCHMANSHIP	CH ER CH M AE N SH IH P
CHURCHMANSHIPS	CH ER CH M AE N SH IH P S
CHURLISH	CH ER L IH SH
CHURLISHLY	CH AH R L IH SH L IY
CHURLISHNESS	CH AH R L IH SH N AH S
CHURLISHNESSES	CH AH R L IH SH N EH S AH Z
CITIZENSHIP	S IH T IH Z AH N SH IH P
CITIZENSHIPS	S IH T AH Z AH N SH IH P S
CLAMSHELL	K L AE M SH EH L
CLAMSHELLS	K L AE M SH EH L Z
CLANNISH	K L AE N IH SH
CLANNISHLY	K L AE N IH SH L IY
CLANNISHNESS	K L AE N IH SH N AH S
CLANNISHNESSES	K L AE N IH SH N AH S IH Z
CLASH	K L AE SH
CLASHED	K L AE SH T
CLASHER	K L AE SH ER
CLASHERS	K L AE SH ER Z
CLASHES	K L AE SH IH Z
CLASHING	K L AE SH IH NG
CLAYISH	K L EY IH SH
CLERKISH	K L ER K IH SH
CLERKSHIP	K L ER K SH IH P
CLERKSHIPS	K L ER K SH IH P S
CLEVERISH	K L EH V ER IH SH
CLIPSHEET	K L IH P SH IY T
CLIPSHEETS	K L IH P SH IY T S
