EI	IY
APPLIQUEING	AE P L AH K EY IH NG
ARANEID	AE R AH N IY D
ARANEIDS	AE R AH N IY D Z
AREIC	AE R IY AH K
ATHEISM	AH TH AY S AH M
ATHEISM(2)	EY TH IY IH Z AH M
ATHEISMS	AH TH IY Z AH M Z
ATHEIST	EY TH IY AH S T
ATHEISTIC	EY TH IY IH S T IH K
ATHEISTICAL	EY TH IY IH S T IH K AH L
ATHEISTICALLY	EY TH IY IH S T IH K AH L IY
ATHEISTS	EY TH IY AH S T S
AUREI	AO R IY
AWEIGH	AH W EY
AWEING	AO IH NG
BANTAMWEIGHT	B AE N T AH M W EY T
BANTAMWEIGHTS	B AE N T AH M W EY T S
BEIGE	B EY ZH
BEIGES	B EY ZH AH Z
BEIGNET	B AH IH G N AH T
BEIGNETS	B AH IH G N AH T S
BEIGY	B EY ZH IY
BEING	B IY IH NG
BEINGS	B IY IH NG Z
BINGEING	B IH N JH IH NG
BIRDIEING	B ER D IY IH NG
BLUEING	B L UW IH NG
BLUEINGS	B L UW IH NG Z
BLUEISH	B L UW IH SH
BOOGIEING	B UW JH IY AH NG
BRAUNSCHWEIGER	B R AO N S W EY JH AH R
BRAUNSCHWEIGERS	B R AO N S W EY JH AH R Z
BUDDLEIA	B AH D L IY AH
BUDDLEIAS	B AH D L IY AH Z
CADUCEI	K AE D Y AH S IY
CAFFEIN	K AE F IY N
CAFFEINATED	K AE F IH N EY T AH D
CAFFEINE	K AE F IY N
CAFFEINES	K AE F IY N Z
CAFFEINS	K AE F IY N Z
CALCANEI	K AE L K AH N IY
CANOEING	K AH N UW IH NG
CANOEIST	K AH N UW AH S T
CANOEISTS	K AH N UW IH S T S
CASEIC	K EY S IH K
CASEIN	K EY S IY N
CASEINATE	K EY S IY N AH T
CASEINATES	K EY S IY N AH T S
CASEINS	K EY S IY N Z
CASTEISM	K AE S T IH Z AH M
CASTEISMS	K AE S T IH Z AH M Z
CEIBA	S IY B AH
CEIBAS	S IY B AH Z
CEIL	S IY L
CEILED	S IY AH L D
CEILER	S IY AH L AH R
CEILERS	S IY L AH R Z
CEILING	S IY L IH NG
CEILINGED	S EH L IH NG D
CEILINGS	S IY L IH NG Z
CEILOMETER	S IY AH L AA M AH T AH R
CEILOMETERS	S IY L AA M AH T AH R Z
CEILS	S IY AH L Z
CEINTURE	S IY N T Y AH R
CEINTURES	S IY N T Y AH R Z
CEPHEID	S AH F IY D
CEPHEIDS	S AH F IY D Z
CHASSEING	CH AE S IY AH NG
CHECKREIN	CH EH K R EY N
CHECKREINS	CH EH K R EY N Z
CHIVAREEING	CH AY V ER IY IH NG
CHOREIC	CH OW R IH K
CHOREIFORM	CH AH R IY F AH R M
CHROMOPROTEIN	K R AH M AA P R AH T IY N
CHROMOPROTEINS	K R AH M AA P R AH T IY N Z
CICISBEI	S AH S IH Z IY
CICISBEISM	S AH S IH Z IY IH Z AH M
CICISBEISMS	S IH S AH Z IY Z AH M Z
CLEIDOIC	K L IY D OW AH K
CLEISTOGAMIC	K L IY S T AH G AH M AH K
CLEISTOGAMIES	K L IY S T AA G AH M AY Z
CLEISTOGAMOUS	K L IY S T AA G AH M AH S
CLEISTOGAMOUSLY	K L IY S T AH G AE M OW AH S L IY
CLEISTOGAMY	K L IY S T AA G AH M IY
CLEVEITE	K L IY V EY T
CLEVEITES	K L IY V EY T S
CLUEING	K L UW IH NG
CLUPEID	K L UW P IY D
CLUPEIDS	K L UW P IY D Z
CLYPEI	K L IH P IY
CODEIA	K OW D IY IY AH
CODEIAS	K OW D IY AY AH Z
CODEIN	K OW D IY IH N
CODEINA	K OW D IY AH N AA
CODEINAS	K OW D IY AH N AE Z
CODEINE	K OW D IY IH N
CODEINES	K OW D IY AY N Z
CODEINS	K OW D IY IH N Z
COHEIR	K OW EH R
COHEIRESS	K OW EH R AH S
COHEIRESSES	K OW EH R AH S IH Z
COHEIRS	K OW EH R Z
CONCEIT	K AH N S IY T
CONCEITED	K AH N S IY T AH D
CONCEITEDLY	K AH N S IY T AH D L IY
CONCEITEDNESS	K AH N S IY T AH D N AH S
CONCEITEDNESSES	K AH N S IY T AH D N AH S IH Z
CONCEITING	K AH N S IY T IH NG
CONCEITS	K AH N S IY T S
CONCEIVABILITIES	K AH N S IY V AH B IH L AH T EH Z
CONCEIVABILITY	K AH N S IY V AH B IH L AH T EH
CONCEIVABLE	K AH N S IY V AH B AH L
CONCEIVABLENESS	K AH N S IY V AH B AH L N AH S
CONCEIVABLENESSES	K AH N S IY V AH B AH L N AH S IH Z
CONCEIVABLY	K AH N S IY V AH B L IY
CONCEIVE	K AH N S IY V
CONCEIVED	K AH N S IY V D
CONCEIVER	K AH N S IY V ER
CONCEIVERS	K AH N S IY V ER Z
CONCEIVES	K AH N S IY V Z
CONCEIVING	K AH N S IY V IH NG
CONCERTMEISTER	K AA N S AH R T M IY S T AH R
CONCERTMEISTERS	K AA N S AH R T M IY S T AH R Z
CONGEEING	K AA N JH IY AH NG
CONTEMPORANEITIES	K AA N T EH M P AH R AH N AH T AY Z
CONTEMPORANEITY	K AA N T EH M P AH R AH N IY AH T IY
COOEEING	K UW IY IH NG
CORBEIL	K AO R B AY L
CORBEILLE	K AA R B IY L
CORBEILLES	K AA R B IY L Z
CORBEILS	K AA R B IY AH L Z
COREIGN	K OW R EY N
COREIGNS	K OW R EY N Z
CORPOREITIES	K AA R P AH R AH T AY Z
CORPOREITY	K AA R P AH R IY AH T IY
CORYPHAEI	K OW R IH F IY IY
COUNTERFEIT	K AW N T ER F IH T
COUNTERFEIT(2)	K AW N ER F IH T
COUNTERFEITED	K AW N T ER F IH T IH D
COUNTERFEITED(2)	K AW N ER F IH T IH D
COUNTERFEITER	K AW N T ER F IH T ER
COUNTERFEITER(2)	K AW N ER F IH T ER
COUNTERFEITERS	K AW N T ER F IH T ER Z
COUNTERFEITERS(2)	K AW N ER F IH T ER Z
COUNTERFEITING	K AW N T ER F IH T IH NG
COUNTERFEITING(2)	K AW N ER F IH T IH NG
COUNTERFEITS	K AW N T ER F IH T S
COUNTERFEITS(2)	K AW N ER F IH T S
COUNTERSURVEILLANCE	K AW N T ER S ER V EY L AH N S
COUNTERSURVEILLANCES	K AW N T ER S ER V EY L AH N S IH Z
COUNTERWEIGHT	K AW N T ER W EY T
COUNTERWEIGHTED	K AW N T ER W EY T IH D
COUNTERWEIGHTING	K AW N T ER W EY T IH NG
COUNTERWEIGHTS	K AW N T ER W EY T S
CROCEIN	K R OW S IY N
CROCEINE	K R OW S IY N
CROCEINES	K R OW S IY N Z
CROCEINS	K R OW S IY N Z
CRUISERWEIGHT	K R UW Z ER W EY T
CRUISERWEIGHTS	K R UW Z ER W EY T S
CRUZEIRO	K R UW Z IY R OW
CRUZEIROS	K R UW Z IY R AH Z
CUEING	K Y UW IH NG
CUNEIFORM	K Y UW N IY AH F AO R M
CUNEIFORMS	K Y UW N IY F AH R M Z
CYSTEIN	S IH S T IY N
CYSTEINE	S IH S T IY N
CYSTEINES	S IH S T IY N Z
CYSTEINS	S IH S T IY N Z
DEADWEIGHT	D EH D W EY T
DEADWEIGHTS	D EH D W EY T S
DECAFFEINATE	D IY K AE F AH N EY T
DECAFFEINATED	D IY K AE F AH N EY T IH D
DECAFFEINATES	D AH K AE F AH N EY T S
DECAFFEINATING	D IY K AE F AH N EY T IH NG
DECAFFEINATION	D IY K AE F AH N EY SH AH N
DECAFFEINATIONS	D AH K AE F AH N EY T IY AH N Z
DECEIT	D IH S IY T
DECEITFUL	D IH S IY T F AH L
DECEITFULLY	D AH S IY T F AH L IY
DECEITFULNESS	D AH S IY T F AH L N AH S
DECEITFULNESSES	D AH S IY T F AH L N AH S IH Z
DECEITS	D IH S IY T S
DECEIVABLE	D IH S IY V AH B AH L
DECEIVE	D IH S IY V
DECEIVED	D IH S IY V D
DECEIVER	D IH S IY V ER
DECEIVERS	D IH S IY V ER Z
DECEIVES	D IH S IY V Z
DECEIVING	D IH S IY V IH NG
DECEIVINGLY	D IH S IY V IH NG L IY
DECREEING	D IH K R IY IH NG
DEICE	D IY AY S
DEICED	D IY AY S T
DEICER	D IY AY S ER
DEICERS	D IY AY S ER Z
DEICES	D IY AY S IH Z
DEICIDAL	D IY AY S AH D AH L
DEICIDE	D IY AH S AY D
DEICIDES	D IY AH S AY D Z
DEICING	D IY AY S IH NG
DEICTIC	D IY IH K T AH K
DEIFIC	D IY IH F AH K
DEIFICAL	D IY AH F IH S AH L
DEIFICATION	D IY AH F AH K EY SH AH N
DEIFICATIONS	D IY AH F AH K EY SH AH N Z
DEIFIED	D IY AH F AY D
DEIFIER	D IY IH F AY AH R
DEIFIERS	D IY AH F IY R Z
DEIFIES	D IY AH F AY Z
DEIFORM	D IY IH F AH R M
DEIFY	D IY AH F AY
DEIFYING	D IY IH F AY AH NG
DEIGN	D EY N
DEIGNED	D EY N D
DEIGNING	D EY N IH NG
DEIGNS	D EY N Z
DEIL	D IY IH L
DEILS	D IY AH L Z
DEINDUSTRIALIZATION	D IY IH N D AH S T R IY AH L AH Z EY SH AH N
DEINDUSTRIALIZATIONS	D IY IH N D AH S T R IY AH L AH Z EY SH AH N Z
DEINDUSTRIALIZE	D IY IH N D AH S T R IY AH L AY Z
DEINDUSTRIALIZED	D IY IH N D AH S T R IY AH L AY Z D
DEINDUSTRIALIZES	D IY IH N D AH S T R IY AH L AY Z IH Z
DEINDUSTRIALIZING	D IY IH N D AH S T R IY AH L AY Z IH NG
DEINONYCHUS	D IY AH N AA N AH CH AH S
DEINONYCHUSES	D IY AH N AA N AH CH UW Z AH Z
DEINSTITUTIONALIZATION	D IY IH N S T IH T UW SH AH N AH L AH Z EY SH AH N
DEINSTITUTIONALIZATIONS	D IY IH N S T AH T UW SH AH N AH L AH Z EY SH AH N Z
DEINSTITUTIONALIZE	D IY IH N S T IH T UW SH AH N AH L AY Z
DEINSTITUTIONALIZED	D IY IH N S T AH T UW SH AH N AH L AY Z D
DEINSTITUTIONALIZES	D IY IH N S T AH T UW SH AH N AH L AY Z IH Z
DEINSTITUTIONALIZING	D IY IH N S T AH T UW SH AH N AH L AY Z IH NG
DEIONIZATION	D IY IY AH N AH Z EY SH AH N
DEIONIZATIONS	D IY IY AH N AH Z EY SH AH N Z
DEIONIZE	D IY IY AH N AY Z
DEIONIZED	D IY IY AH N AY Z D
DEIONIZER	D IY IY AH N AY Z ER
DEIONIZERS	D IY IY AH N AY Z ER Z
DEIONIZES	D IY IY AH N AY Z IH Z
DEIONIZING	D IY IY AH N AY Z IH NG
DEISM	D IY IH Z AH M
DEISMS	D IY IH Z AH M Z
DEIST	D IY IH S T
DEISTIC	D IY IH S T AH K
DEISTICAL	D IY IH S T IH S AH L
DEISTICALLY	D IY IH S T AH K AE L IY
DEISTS	D IY IH S T S
DEITIES	D IY AH T IY Z
DEITY	D IY AH T IY
DEIXIS	D IY IH K S AH S
DEIXISES	D IY IH K S AY Z AH Z
DELEING	D AH L IY AH NG
DELTOIDEI	D IH L T OY D IY
DEVEIN	D IY V EY N
DEVEINED	D IY V EY N D
DEVEINING	D IY V EY N IH NG
DEVEINS	D IY V EY N Z
DIAPHANEITIES	D AY AH F AH N AH T AY Z
DIAPHANEITY	D AY AH F AH N IY AH T IY
DIARRHEIC	D AY AE R IY AH K
DIEING	D AY IH NG
DISAGREEING	D IH S AH G R IY IH NG
DISSEISE	D IH S AY Z
DISSEISED	D IH S IY AH S T
DISSEISES	D IH S AY Z AH Z
DISSEISIN	D IH S AY S AH N
DISSEISING	D IH S AY Z AH NG
DISSEISINS	D IH S AY S AH N Z
DISSEISOR	D IH S AY Z AH R
DISSEISORS	D IH S AY S AH R Z
DISSEIZE	D IH S IY Z
DISSEIZED	D IH S IY Z D
DISSEIZES	D IH S IY Z IH Z
DISSEIZIN	D IH S AY Z AH N
DISSEIZING	D IH S IY Z IH NG
DISSEIZINS	D IH S AY Z AH N Z
DITHEISM	D AY DH IY IH Z AH M
DITHEISMS	D AH TH IY Z AH M Z
DITHEIST	D AY DH IY AH S T
DITHEISTS	D AH TH IY S T S
DREEING	D R IY AH NG
DREICH	D R IY CH
DREIDEL	D R IY D AH L
DREIDELS	D R IY D AH L Z
DREIDL	D R IY D L
DREIDLS	D R IY D L Z
DREIGH	D R EY
DYEING	D AY IH NG
DYEINGS	D AY IH NG Z
DYNEIN	D AH N IY N
DYNEINS	D AH N IY N Z
DYSMENORRHEIC	D IH Z M AH N AO R IY AH K
DYSPNEIC	D IH S N IY AH K
EDELWEISS	EY D AH L V AY S
EDELWEISSES	EH D AH L W IY S AH Z
EICOSANOID	IY K AA S AH N OY D
EICOSANOIDS	IY K AA S AH N OY D Z
EIDE	AY D
EIDER	IY D AH R
EIDERDOWN	IY D AH R D OW N
EIDERDOWNS	IY D AH R D OW N Z
EIDERS	IY D AH R Z
EIDETIC	AY D EH T IH K
EIDETICALLY	AY D EH T IH K AH L IY
EIDOLA	IY D AH L AH
EIDOLIC	IY D AH L AH K
EIDOLON	IY D AH L AH N
EIDOLONS	IY D AH L AH N Z
EIDOS	IY D AH Z
EIGENMODE	EY JH AH N M OW D
EIGENMODES	EY JH AH N M OW D Z
EIGENVALUE	AY G AH N V AE L Y UW
EIGENVALUES	AY G AH N V AE L Y UW Z
EIGENVECTOR	EY JH EH N V EH K T AH R
EIGENVECTORS	EY JH AH N V EH K T AH R Z
EIGHT	EY T
EIGHTBALL	EY T B AO L
EIGHTBALLS	EY T B AO L Z
EIGHTEEN	EY T IY N
EIGHTEENS	EY T IY N Z
EIGHTEENTH	EY T IY N TH
EIGHTEENTHS	EY T IY N TH S
EIGHTFOLD	EY T F OW L D
EIGHTH	EY T TH
EIGHTH(2)	EY TH
EIGHTHLY	EY T TH L IY
EIGHTHS	EY T TH S
EIGHTIES	EY T IY Z
EIGHTIETH	EY T IY IH TH
EIGHTIETHS	EY T IY IH TH S
EIGHTS	EY T S
EIGHTVO	EY T V OW
EIGHTVOS	EY T V AH Z
EIGHTY	EY T IY
EIKON	IY K AH N
EIKONES	IY K OW N Z
EIKONS	IY K AH N Z
EINKORN	IY NG K AH R N
EINKORNS	IY NG K AH R N Z
EINSTEIN	AY N S T AY N
EINSTEINIUM	IY N S T IY N IY AH M
EINSTEINIUMS	IY N S T IY N IY AH M Z
EINSTEINS	IY N S T IY N Z
EIRENIC	IY R AH N AH K
EISEGESES	IY S AH JH IY Z AH Z
EISEGESIS	IY S IY JH AH S AH S
EISTEDDFOD	IY S T EH D F AH D
EISTEDDFODAU	IY S T EH D F AH D AH
EISTEDDFODIC	IY S T EH D F AH D AH K
EISTEDDFODS	IY S T EH D F AH D Z
EISWEIN	IY S W IY N
EISWEINS	IY S W IY N Z
EITHER	IY DH ER
EITHER(2)	AY DH ER
EMCEEING	EH M S IY IH NG
ENCEINTE	IH N S IY N T
ENCEINTES	IH N S IY N T S
EPEEIST	IY P IY AH S T
EPEEISTS	IY P IY AH S T S
EPEIRIC	IY P IY R AH K
EPEIROGENIC	IY P IY R AH JH AH N AH K
EPEIROGENICALLY	IY P AH R AH JH EH N AH K AE L IY
EPEIROGENIES	IY P AH R AA JH AH N AY Z
EPEIROGENY	IY P AH R AA JH AH N IY
EPIGEIC	AH P AY JH IY AH K
EPOPOEIA	EH P AH P OW EH IY AH
EPOPOEIAS	EH P AH P OW EH IY AH Z
EUPNEIC	Y UW P N IY AH K
EUPNOEIC	Y UW P N OW AH AH K
EXTEMPORANEITIES	IH K S T EH M P AH R AH N AH T AY Z
EXTEMPORANEITY	IH K S T EH M P AH R AH N IY AH T IY
EYEING	AY IH NG
FADEIN	F EY D IH N
FADEINS	F EY D IH N Z
FARSEEING	F AA R S IY IH NG
FEATHERWEIGHT	F EH DH ER W EY T
FEATHERWEIGHTS	F EH DH ER W EY T S
FEEING	F IY IH NG
FEIGN	F EY N
FEIGNED	F EY N D
FEIGNER	F EY N ER
FEIGNERS	F EY N ER Z
FEIGNING	F EY N IH NG
FEIGNS	F EY N Z
FEIJOA	F IY JH OW AH
FEIJOAS	F IY JH OW Z
FEINT	F EY N T
FEINTED	F EY N T IH D
FEINTING	F EY N T IH NG
FEINTS	F EY N T S
FEIRIE	F IY R AY
FEIST	F AY S T
FEISTIER	F IY S T AY AH R
FEISTIEST	F IY S T AY AH S T
FEISTINESS	F IY S T AH N AH S
FEISTINESSES	F IY S T AH N EH S AH Z
FEISTS	F IY S T S
FEISTY	F AY S T IY
FETOPROTEIN	F AH T AA P R AH T IY N
FETOPROTEINS	F AH T AA P R AH T IY N Z
FIDEISM	F AY D IY IH Z AH M
FIDEISMS	F AH D IY Z AH M Z
FIDEIST	F AY D IY AH S T
FIDEISTIC	F AH D IY S T AH K
FIDEISTS	F AH D IY S T S
FILAGREEING	F AH L AE G R IY AH NG
FILIGREEING	F IH L AH G R IY IH NG
FLAMBEING	F L AE M IY AH NG
FLAVOPROTEIN	F L AH V AA P R AH T IY N
FLAVOPROTEINS	F L AH V AA P R AH T IY N Z
FLEEING	F L IY IH NG
FLEISHIG	F L IY SH AH G
FLUORESCEIN	F L UH R EH S IY AH N
FLUORESCEINS	F L UH R EH S IY AH N Z
FLYWEIGHT	F L AY W EY T
FLYWEIGHTS	F L AY W EY T S
FOREIGN	F AO R AH N
FOREIGN(2)	F AA R AH N
FOREIGNER	F AO R AH N ER
FOREIGNER(2)	F AA R AH N ER
FOREIGNER(3)	F AO R N ER
FOREIGNER(4)	F AA R N ER
FOREIGNERS	F AO R AH N ER Z
FOREIGNERS(2)	F AA R AH N ER Z
FOREIGNERS(3)	F AO R N ER Z
FOREIGNERS(4)	F AA R N ER Z
FOREIGNISM	F AO R AH N IH Z AH M
FOREIGNISMS	F AO R AH N IH Z AH M Z
FOREIGNNESS	F AO R AH N AH S
FOREIGNNESSES	F AO R AH N AH S IH Z
FORESEEING	F AO R S IY IH NG
FORFEIT	F AO R F IH T
FORFEITABLE	F AO R F AH T AH B AH L
FORFEITED	F AO R F IH T IH D
FORFEITER	F AO R F AH T ER
FORFEITERS	F AO R F AH T ER Z
FORFEITING	F AO R F AH T IH NG
FORFEITS	F AO R F IH T S
FORFEITURE	F AO R F AH CH ER
FORFEITURES	F AO R F AH CH ER Z
FRAULEIN	F R AH L IY N
FRAULEINS	F R AH L IY N Z
FREEING	F R IY IH NG
FREIGHT	F R EY T
FREIGHTAGE	F R EY T IH JH
FREIGHTAGES	F R EY T IH JH IH Z
FREIGHTED	F R EY T IH D
FREIGHTER	F R EY T ER
FREIGHTERS	F R EY T ER Z
FREIGHTING	F R EY T IH NG
FREIGHTS	F R EY T S
FRICASSEEING	F R AH K AE S IY AH NG
GAEING	G IY AH NG
GALLEIN	G AE L IY N
GALLEINS	G AE L IY N Z
GARNISHEEING	G AA R N IH SH IY AH NG
GEEING	JH IY IH NG
GEGENSCHEIN	G EY G AH N SH AY N
GEGENSCHEINS	G EY G AH N SH AY N Z
GEISHA	G EY SH AH
GEISHAS	G IY SH AH Z
GEMEINSCHAFT	JH IY M IY N S AH F T
GEMEINSCHAFTEN	JH IY M IY N S AE F T AH N
GEMEINSCHAFTS	JH IY M IY N S AH F T S
GEMUTLICHKEIT	JH AH M AH T L AH CH IY T
GEMUTLICHKEITS	JH AH M AH T L AH CH IY T S
GESUNDHEIT	G AH Z UH N D HH AY T
GIEING	JH IY AH NG
GLACEING	G L EY S IY AH NG
GLEIZATION	G L IY AH Z EY SH AH N
GLEIZATIONS	G L IY Z EY T IY AH N Z
GLUEING	G L UW IH NG
GLUTEI	G L UW T IY
GLYCOPROTEIN	G L AH K AA P R AH T IY N
GLYCOPROTEINS	G L AH K AA P R AH T IY N Z
GNEISS	N AY S
GNEISSES	N IY S AH Z
GNEISSIC	N IY S AH K
GNEISSOID	N IY S OY D
GNEISSOSE	N IY S OW Z
GRATINEEING	G R AH T IH N IY AH NG
GREEING	G R IY AH NG
GREIGE	G R EY JH
GREIGES	G R EY JH AH Z
GREISEN	G R EY Z AH N
GREISENS	G R EY Z AH N Z
GUARANTEEING	G EH R AH N T IY IH NG
GUMSHOEING	G AH M SH UW IH NG
GYPSEIAN	JH IH P S IY IY AH N
HAECCEITIES	HH IY K S AH T AY Z
HAECCEITY	HH IY K S IY AH T IY
HAEING	HH IY AH NG
HEAVYWEIGHT	HH EH V IY W EY T
HEAVYWEIGHTS	HH EH V IY W EY T S
HEIFER	HH AY F ER
HEIFER(2)	HH EH F ER
HEIFERS	HH EH F ER Z
HEIFERS(2)	HH AY F ER Z
HEIGH	HH EY
HEIGHT	HH AY T
HEIGHTEN	HH AY T AH N
HEIGHTENED	HH AY T AH N D
HEIGHTENING	HH AY T AH N IH NG
HEIGHTENING(2)	HH AY T N IH NG
HEIGHTENS	HH AY T AH N Z
HEIGHTH	HH AY TH
HEIGHTHS	HH EY TH S
HEIGHTS	HH AY T S
HEIL	HH AY L
HEILED	HH IY AH L D
HEILING	HH EY L IH NG
HEILS	HH IY AH L Z
HEIMISH	HH IY M AH SH
HEINIE	HH IY N AY
HEINIES	HH IY N AY Z
HEINOUS	HH EY N AH S
HEINOUSLY	HH IY N OW AH S L IY
HEINOUSNESS	HH IY N AW Z N AH S
HEINOUSNESSES	HH IY N AW Z N EH S AH Z
HEIR	EH R
HEIRDOM	EH R D AH M
HEIRDOMS	EH R D AH M Z
HEIRED	EH R D
HEIRESS	EH R AH S
HEIRESSES	EH R AH S IH Z
HEIRING	EH R IH NG
HEIRLESS	EH R L AH S
HEIRLOOM	EH R L UW M
HEIRLOOMS	EH R L UW M Z
HEIRS	EH R Z
HEIRSHIP	EH R SH IH P
HEIRSHIPS	EH R SH IH P S
HEISHI	HH IY SH IY
HEIST	HH AY S T
HEISTED	HH AY S T IH D
HEISTER	HH AY S T ER
HEISTERS	HH EY S T ER Z
HEISTING	HH AY S T IH NG
HEISTS	HH AY S T S
HEMATEIN	HH EH M AH T IH N
HEMATEINS	HH EH M AH T IH N Z
HEMOPROTEIN	HH AH M AA P R AH T IY N
HEMOPROTEINS	HH AH M AA P R AH T IY N Z
HENOTHEISM	HH AH N OW DH IY IH Z AH M
HENOTHEISMS	HH EH N AH TH IY Z AH M Z
HENOTHEIST	HH AH N OW DH IY AH S T
HENOTHEISTIC	HH EH N AH TH IY S T AH K
HENOTHEISTS	HH EH N AH TH IY S T S
HEREIN	HH IH R IH N
HEREINABOVE	HH IY R IY N AH B OW V
HEREINAFTER	HH IH R AH N AE F T ER
HEREINBEFORE	HH IY R IY N B AH F AH R
HEREINBELOW	HH IY R IY N B AH L OW
HEREINTO	HH IY R IY N T OW
HETEROGENEITIES	HH AH T EH R AH JH AH N AH T AY Z
HETEROGENEITY	HH EH T ER AH JH IH N IY AH T IY
HETEROGENEITY(2)	HH EH T ER AH JH IH N EY AH T IY
HEXEREI	HH EH K S AH R IY
HEXEREIS	HH EH K S IH R IY AH S
HIEING	HH IY AH NG
HOEING	HH OW IH NG
HOGTIEING	HH AA G T AY IH NG
HOLSTEIN	HH OW L S T IY N
HOLSTEINS	HH OW L S T IY N Z
HOMOGENEITIES	HH OW M AH JH AH N IY AH T IY Z
HOMOGENEITY	HH AA M AH JH AH N IY AH T IY
HORDEIN	HH OW R D IH N
HORDEINS	HH OW R D IH N Z
HORSESHOEING	HH AO R S SH UW IH NG
HOWBEIT	HH OW B IY T
HUNDREDWEIGHT	HH AH N D R AH D W EY T
HUNDREDWEIGHTS	HH AH N D R AH D W EY T S
HYGEIST	HH AY JH IY AH S T
HYGEISTS	HH AH JH IY S T S
HYGIEIST	HH IH JH IY AH S T
HYGIEISTS	HH IH JH IY AH S T S
HYPERPNEIC	HH AY P AH R N IY AH K
IDONEITIES	IH D AH N AH T AY Z
IDONEITY	IH D AH N IY AH T IY
ILEITIDES	IH L AH T AY D Z
ILEITIS	AY L IY AY T AH S
IMPERCEIVABLE	IH M P ER S IY V AH B AH L
INBEING	IH N B IY IH NG
INBEINGS	IH N B IY IH NG Z
INCONCEIVABILITIES	IH N K AH N S IY V AH B IH L AH T EH Z
INCONCEIVABILITY	IH N K AH N S IY V AH B IH L AH T EH
INCONCEIVABLE	IH N K AH N S IY V AH B AH L
INCONCEIVABLENESS	IH N K AH N S IY V AH B AH L N AH S
INCONCEIVABLENESSES	IH N K AH N S IY V AH B AH L N AH S IH Z
INCONCEIVABLY	IH N K AH N S IY V AH B L IY
INCORPOREITIES	IH N K AH R P AH R AH T AY Z
INCORPOREITY	IH N K AH R P AH R IY AH T IY
INHOMOGENEITIES	IH N HH OW M AH JH AH N IY AH T IY Z
INHOMOGENEITY	IH N HH OW M AH JH AH N IY AH T IY
INSTANTANEITIES	IH N S T AE N T AH N AH T AY Z
INSTANTANEITY	IH N S T AE N T AH N IY AH T IY
INVEIGH	IH N V EY
INVEIGHED	IH N V EY D
INVEIGHER	IH N V EY ER
INVEIGHERS	IH N V EY ER Z
INVEIGHING	IH N V EY IH NG
INVEIGHS	IH N V EY Z
INVEIGLE	IH N V EY G AH L
INVEIGLED	IH N V EY G AH L D
INVEIGLEMENT	IH N V EY G L M AH N T
INVEIGLEMENTS	IH N V EY G L AH M AH N T S
INVEIGLER	IH N V EY G L AH R
INVEIGLERS	IH N V EY G L AH R Z
INVEIGLES	IH N V EY G AH L Z
INVEIGLING	IH N V EY G L AH NG
ISOCHEIM	IH S AH CH IY M
ISOCHEIMS	IH S AH CH IY M Z
ISOGENEIC	IH S AH JH IY N IY AH K
ISSEI	IH S IY
ISSEIS	IH S IY AH S
JADEITE	JH EY D AY T
JADEITES	JH EY D IY T S
JEEING	JH IY AH NG
KALEIDOSCOPE	K AH L AY D AH S K OW P
KALEIDOSCOPES	K AH L AY D AH S K OW P S
