OU	UW
AMOUNTED(2)	AH M AW N IH D
AMOUNTING	AH M AW N T IH NG
AMOUNTING(2)	AH M AW N IH NG
AMOUNTS	AH M AW N T S
AMOUR	AA M UW R
AMOURS	AH M OW Y AH R Z
AMPHIBIOUS	AE M F IH B IY AH S
AMPHIBIOUSLY	AE M F IH B IY AH S L IY
AMPHIBIOUSNESS	AE M F IH B IY AH S N AH S
AMPHIBIOUSNESSES	AE M F IH B IY AH S N AH S IH Z
AMPOULE	AE M P OW UW L
AMPOULES	AE M P OW AH L Z
ANACHRONOUS	AH N AE K R AH N AH S
ANACHRONOUSLY	AH N AE K R AA N OW AH S L IY
ANADROMOUS	AH N AE D R AH M AH S
ANALOGOUS	AH N AE L AH G AH S
ANALOGOUSLY	AH N AE L AH G AH S L IY
ANALOGOUSNESS	AH N AE L AH G AH S N AH S
ANALOGOUSNESSES	AH N AE L AH G AH S N AH S IH Z
ANASARCOUS	AE N AH S AA R K AH S
ANATROPOUS	AH N AE T R AH P AH S
ANDOUILLE	AE N D AW AH L
ANDOUILLES	AE N D AW AH L Z
ANDOUILLETTE	AE N D AW AH L EH T
ANDOUILLETTES	AE N D AW IH L EH T S
ANDROGYNOUS	AE N D R AO JH AH N AH S
ANEMOPHILOUS	AH N EH M AH F AY L AH S
ANESTROUS	AH N EH S T R AH S
ANFRACTUOUS	AE N F R AE K T Y AH W AH S
ANGINOUS	AE N JH AH N AH S
ANGIOMATOUS	AE N JH IY AA M AH T AH S
ANGIOSPERMOUS	AE N JH IY AA S AH R M AH S
ANGULOUS	AE N G Y AH L AH S
ANHYDROUS	AE N HH AY D R AH S
ANISOGAMOUS	AE N AH S AA G AH M AH S
ANNOUNCE	AH N AW N S
ANNOUNCED	AH N AW N S T
ANNOUNCEMENT	AH N AW N S M EH N T
ANNOUNCEMENTS	AH N AW N S M EH N T S
ANNOUNCER	AH N AW N S ER
ANNOUNCERS	AH N AW N S ER Z
ANNOUNCES	AH N AW N S IH Z
ANNOUNCING	AH N AW N S IH NG
ANOMALOUS	AH N AA M AH L AH S
ANOMALOUSLY	AH N AA M AH L AH S L IY
ANOMALOUSNESS	AH N AA M AH L AH S N AH S
ANOMALOUSNESSES	AH N AA M AH L AH S N AH S IH Z
ANONYMOUS	AH N AA N AH M AH S
ANONYMOUSLY	AH N AA N AH M AH S L IY
ANONYMOUSNESS	AH N AA N AH M AH S N AH S
ANONYMOUSNESSES	AH N AA N AH M AH S N AH S IH Z
ANSEROUS	AE N Z ER AH S
ANTHOPHILOUS	AE N TH AH F AY L AH S
ANTHROPOPHAGOUS	AE N TH R AA P AH F EY JH AH S
ANTIBOURGEOIS	AE N T AY B UW R ZH W AA
ANTICOUNTERFEITING	AE N T AY K AW N T ER F IH T IH NG
ANTIFOULING	AE N T AY F AW L IH NG
ANTIRELIGIOUS	AE N T AY R IH L IH JH AH S
ANTITUBERCULOUS	AE N T AY T Y AH B AH R K Y AH L AH S
ANTONYMOUS	AE N T AA N AH M AH S
ANUROUS	AE N Y AH R AH S
ANXIOUS	AE NG K SH AH S
ANXIOUS(2)	AE NG SH AH S
ANXIOUSLY	AE NG K SH AH S L IY
ANXIOUSNESS	AE NG K SH AH S N AH S
ANXIOUSNESSES	AE NG K SH AH S N AH S IH Z
AOUDAD	EY AW D AH D
AOUDADS	EY AW D AH D Z
APETALOUS	AH P EH T AH L AH S
APHTHOUS	AE F TH AH S
APODOUS	AH P AA D AH S
APOGAMOUS	AH P AA G AH M AH S
APOSPOROUS	AH P AA S AH R AH S
APTEROUS	AE P T ER AH S
AQUEOUS	EY K W IY AH S
AQUIFEROUS	AE K W IH F AH R AH S
ARACEOUS	AH R EY S AH S
ARBOREOUS	AA R B AO R IY AH S
ARBOROUS	AA R B ER AH S
ARBOUR	AA R B ER
ARBOURED	AA R B OW Y AH R D
ARBOURS	AA R B OW Y AH R Z
ARDOUR	AA R D AH R
ARDOURS	AA R D OW Y AH R Z
ARDUOUS	AA R JH UW AH S
ARDUOUSLY	AA R JH AH W AH S L IY
ARDUOUSNESS	AA R JH AH W AH S N AH S
ARDUOUSNESSES	AA R JH AH W AH S N AH S IH Z
ARENACEOUS	AE R AH N AH S IY AH S
ARENICOLOUS	AE R AH N IH K AH L AH S
ARENOUS	AE R AH N AH S
ARGENTIFEROUS	AA R JH EH N T IH F AH R AH S
ARGILLACEOUS	AA R JH IH L AH S IY AH S
ARMIGEROUS	AA R M IH JH AH R AH S
ARMOUR	AA R M ER
ARMOURED	AA R M ER D
ARMOURER	AA R M ER ER
ARMOURERS	AA R M ER ER Z
ARMOURIES	AA R M ER IY Z
ARMOURING	AA R M ER IH NG
ARMOURS	AA R M ER Z
ARMOURY	AA R M ER IY
AROUND	ER AW N D
AROUND(2)	ER AW N
AROUSAL	ER AW Z AH L
AROUSALS	AH R AW Z AH L Z
AROUSE	ER AW Z
AROUSED	ER AW Z D
AROUSER	AH R AW Z ER
AROUSERS	AH R AW Z ER Z
AROUSES	ER AW Z IH Z
AROUSING	ER AW Z IH NG
ARSENIOUS	AA R S IY N IY AH S
ARSENOUS	AA R S AH N AH S
ARSONOUS	AA R S AH N AH S
ARTERIOVENOUS	AA R T AH R IY AA V AH N AH S
ASCOMYCETOUS	AE S AH M IH S AH T AH S
ASSIDUOUS	AH S IH D W AH S
ASSIDUOUSLY	AH S IH D W AH S L IY
ASSIDUOUSNESS	AE S IH D Y UW AW Z N AH S
ASSIDUOUSNESSES	AE S IH D Y UW AW Z N EH S AH Z
ASTOMOUS	AH Z T OW M AH S
ASTOUND	AH S T AW N D
ASTOUNDED	AH S T AW N D IH D
ASTOUNDING	AH S T AW N D IH NG
ASTOUNDINGLY	AH S T AW N D IH NG L IY
ASTOUNDS	AH S T AW N D Z
ASYNCHRONOUS	EY S IH NG K R AH N AH S
ASYNCHRONOUSLY	EY S IH NG K R AH N AH S L IY
ATHEROMATOUS	AE TH AH R AA M AH T AH S
ATRABILIOUS	AE T R AH B IH L IY AH S
ATRABILIOUSNESS	AE T R AH B IH L IY AW Z N AH S
ATRABILIOUSNESSES	AE T R AH B IH L IY AW Z N EH S AH Z
ATROCIOUS	AH T R OW SH AH S
ATROCIOUSLY	AH T R OW SH AH S L IY
ATROCIOUSNESS	AH T R OW SH AH S N AH S
ATROCIOUSNESSES	AH T R OW SH AH S N AH S IH Z
AUDACIOUS	AA D EY SH AH S
AUDACIOUSLY	AO D AH S IY AH S L IY
AUDACIOUSNESS	AO D AH S IY AH S N AH S
AUDACIOUSNESSES	AO D AH S IY AH S N AH S IH Z
AURIFEROUS	AH R IH F AH R AH S
AUROUS	EY Y AH R AH S
AUSPICIOUS	AA S P IH SH AH S
AUSPICIOUSLY	AO S P IH SH AH S L IY
AUSPICIOUSNESS	AO S P IH SH AH S N AH S
AUSPICIOUSNESSES	AO S P IH SH AH S N AH S IH Z
AUTOCEPHALOUS	AO T AH S EH F AH L AH S
AUTOCHTHONOUS	AH T AA CH TH AH N AH S
AUTOCHTHONOUSLY	AH T AA CH TH AA N OW AH S L IY
AUTOECIOUS	AH T OW AH SH AH S
AUTOECIOUSLY	AO T OW AH S IY OW AH S L IY
AUTOGAMOUS	AO T OW G EY M AH S
AUTOGENOUS	AO T OW JH IY N AH S
AUTOGENOUSLY	AO T OW JH IY N AH S L IY
AUTOLOGOUS	AO T OW L AA G AH S
AUTONOMOUS	AO T AA N AH M AH S
AUTONOMOUSLY	AO T AA N OW M AH S L IY
AUTOROUTE	AO T OW R UW T
AUTOROUTES	AO T OW R UW T S
AUTOTOMOUS	AO T OW T OW M AH S
AVARICIOUS	AE V AH R IH SH AH S
AVARICIOUSLY	AE V AH R IH SH AH S L IY
AVARICIOUSNESS	AE V AH R IH SH AH S N AH S
AVARICIOUSNESSES	AE V AH R IH SH AH S N AH S IH Z
AVOUCH	AH V AW CH
AVOUCHED	AH V AW CH T
AVOUCHER	AH V AW CH ER
AVOUCHERS	AH V AW CH ER Z
AVOUCHES	AH V AW CH IH Z
AVOUCHING	AH V AW CH IH NG
AVOUCHMENT	AH V AW CH M AH N T
AVOUCHMENTS	AH V AW CH M AH N T S
AWMOUS	AO M AH S
AZYGOUS	AE Z AH G AH S
BACKCOUNTRIES	B AE K AH N T R IY Z
BACKCOUNTRY	B AE K AH N T R IY
BACKCOURT	B AE K OW R T
BACKCOURTMAN	B AE K OW R T M AE N
BACKCOURTMEN	B AE K OW R T M EH N
BACKCOURTS	B AE K OW R T S
BACKGROUND	B AE K G R AW N D
BACKGROUNDED	B AE K G R AW N D IH D
BACKGROUNDER	B AE K G R AW N D ER
BACKGROUNDERS	B AE K G R AW N D ER Z
BACKGROUNDING	B AE K G R AW N D IH NG
BACKGROUNDS	B AE K G R AW N D Z
BACKHOUSE	B AE K HH AW S
BACKHOUSES	B AE K HH AW S IH Z
BACKOUT	B AE K AW T
BACKOUTS	B AE K AW T S
BADMOUTH	B AE D M AW TH
BADMOUTHED	B AE D M AW TH T
BADMOUTHING	B AE D M AW TH IH NG
BADMOUTHS	B AE D M AW TH S
BAGHOUSE	B AE G HH AW S
BAGHOUSES	B AE G HH AW S IH Z
BAILOUT	B EY L AW T
BAILOUTS	B EY L AW T S
BARBAROUS	B AA R B ER AH S
BARBAROUSLY	B AA R B AH R AH S L IY
BARBAROUSNESS	B AA R B AH R AH S N AH S
BARBAROUSNESSES	B AA R B AH R AH S N AH S IH Z
BAROUCHE	B AH R AW CH
BAROUCHES	B AH R AW CH AH Z
BARRACOUTA	B AE R AH K AW T AH
BARRACOUTAS	B AE R AH K AW T AH Z
BARRELHOUSE	B AE R AH L HH AW S
BARRELHOUSES	B AE R AH L HH AW S IH Z
BASIDIOMYCETOUS	B AH S IH D IY AH M IH S AH T AH S
BATHHOUSE	B AE TH HH AW S
BATHHOUSES	B AE TH AH S IH Z
BATTAILOUS	B AE T EY L AH S
BATTLEGROUND	B AE T AH L G R AW N D
BATTLEGROUNDS	B AE T AH L G R AW N D Z
BAWDYHOUSE	B AO D IY HH AW S
BAWDYHOUSES	B AO D IY HH AW S IH Z
BAYOU	B AY UW
BAYOUS	B AY UW Z
BEAUCOUP	B OW K UW
BEAUTEOUS	B Y UW T IY AH S
BEAUTEOUSLY	B Y UW T IY AH S L IY
BEAUTEOUSNESS	B Y UW T IY AH S N AH S
BEAUTEOUSNESSES	B Y UW T IY AH S N AH S IH Z
BECLOUD	B IH K L AW D
BECLOUDED	B IH K L AW D IH D
BECLOUDING	B IH K L AW D IH NG
BECLOUDS	B IH K L AW D Z
BEDOUIN	B EH D OW AH N
BEDOUIN(2)	B EH D UW IH N
BEDOUIN(3)	B EH D AH W AH N
BEDOUINS	B EH D OW AH N Z
BEDOUINS(2)	B EH D UW IH N Z
BEDOUINS(3)	B EH D AH W AH N Z
BEFOUL	B IH F AW L
BEFOULED	B IH F AW L D
BEFOULER	B IH F AW L ER
BEFOULERS	B IH F AW L ER Z
BEFOULING	B IH F AW L IH NG
BEFOULS	B IH F AW L Z
BEGLAMOUR	B IH G L AE M ER
BEGLAMOURED	B IH G L AE M ER D
BEGLAMOURING	B IH G L AE M ER IH NG
BEGLAMOURS	B IH G L AE M ER Z
BEHAVIOUR	B IH HH EY V Y ER
BEHAVIOURS	B IH HH EY V Y ER Z
BELABOUR	B IH L EY B ER
BELABOURED	B IH L EY B ER D
BELABOURING	B IH L EY B ER IH NG
BELABOURS	B IH L EY B ER Z
BELOWGROUND	B IH L OW G R AW N D
BEROUGED	B IH R UW ZH D
BESCOUR	B IH S K AW ER
BESCOURED	B IH S K AW ER D
BESCOURING	B IH S K AW ER IH NG
BESCOURS	B IH S K AW ER Z
BESHOUT	B IH SH AW T
BESHOUTED	B IH SH AW T IH D
BESHOUTING	B IH SH AW T IH NG
BESHOUTS	B IH SH AW T S
BESHROUD	B IH SH R AW D
BESHROUDED	B IH SH R AW D IH D
BESHROUDING	B IH SH R AW D IH NG
BESHROUDS	B IH SH R AW D Z
BESOUGHT	B IH S AO T
BESPOUSE	B IH S P AW S
BESPOUSED	B IH S P AW S T
BESPOUSES	B IH S P AW S IH Z
BESPOUSING	B IH S P AW S IH NG
BETHOUGHT	B IH TH AO T
BIBLIOLATROUS	B AY B L AY AH L AE T R AH S
BIBULOUS	B IH B Y AH L AH S
BIBULOUSLY	B AY B Y UW L OW AH S L IY
BIBULOUSNESS	B AY B Y AH L AW Z N AH S
BIBULOUSNESSES	B AY B Y AH L AW Z N EH S AH Z
BICOLOUR	B AY K AH L ER
BICOLOURS	B AY K AH L ER Z
BIGAMOUS	B AY G EY M AH S
BIGAMOUSLY	B AY G EY M AH S L IY
BIGMOUTH	B IH G M AW TH
BIGMOUTHED	B IH G M AW TH T
BIGMOUTHS	B IH G M AW TH S
BIHOURLY	B AY AW ER L IY
BIJOU	B AY JH UW
BIJOUS	B AY JH AH S
BIJOUTERIE	B IH ZH UW T AH R IY
BIJOUTERIES	B IH ZH UW T AH R IY Z
BIJOUX	B AY JH AW K S
BIJUGOUS	B AY JH AH G AH S
BILIOUS	B IH L IY AH S
BILIOUSLY	B AY L AY AH S L IY
BILIOUSNESS	B AY L AY AH S N AH S
BILIOUSNESSES	B AY L AY AH S N AH S IH Z
BIMANOUS	B AY M EY N AH S
BIOACOUSTICS	B AY AH K AW S T AH S Z
BIOFOULING	B AY AH F OW AH L AH NG
BIOFOULINGS	B AY AH F AW L AH NG Z
BIOGENOUS	B AY AA JH AH N AH S
BIPAROUS	B AY P EH R AH S
BIRAMOUS	B AY R AE M AH S
BIRDHOUSE	B ER D HH AW S
BIRDHOUSES	B ER D HH AW S IH Z
BISTOURIES	B AY Z T UH R IY Z
BISTOURY	B AY Z T UH R IY
BITUMINOUS	B IH T UW M AH N AH S
BIVOUAC	B IH V W AE K
BIVOUACKED	B IH V AH W AE K T
BIVOUACKING	B IH V AH W AE K IH NG
BIVOUACKS	B AY V AW AH K S
BIVOUACS	B IH V AH W AE K S
BLABBERMOUTH	B L AE B ER M AW TH
BLABBERMOUTHS	B L AE B ER M AW TH S
BLACKOUT	B L AE K AW T
BLACKOUTS	B L AE K AW T S
BLASPHEMOUS	B L AE S F AH M AH S
BLASPHEMOUSLY	B L AE S F AH M AH S L IY
BLASPHEMOUSNESS	B L AE S F AH M AH S N AH S
BLASPHEMOUSNESSES	B L AE S F AH M AH S N AH S IH Z
BLOCKHOUSE	B L AA K HH AW S
BLOCKHOUSES	B L AA K HH AW S AH Z
BLOODHOUND	B L AH D HH AW N D
BLOODHOUNDS	B L AH D HH AW N D Z
BLOODHOUNDS(2)	B L AH D HH AW N Z
BLOUSE	B L AW S
BLOUSED	B L AW S T
BLOUSES	B L AW S AH Z
BLOUSES(2)	B L AW S IH Z
BLOUSIER	B L AW S IY ER
BLOUSIEST	B L AW S IY AH S T
BLOUSILY	B L AW S IY L IY
BLOUSING	B L AW S IH NG
BLOUSON	B L AW S AH N
BLOUSONS	B L AW S AH N Z
BLOUSY	B L AW S IY
BLOWOUT	B L OW AW T
BLOWOUTS	B L OW AW T S
BLUSTEROUS	B L AH S T ER AH S
BOARDINGHOUSE	B AO R D IH NG HH AW S
BOARDINGHOUSES	B AO R D IH NG HH AW S IH Z
BOATHOUSE	B OW T HH AW S
BOATHOUSES	B OW AH TH AH S IH Z
BODACIOUS	B OW D AH S IY AH S
BODACIOUSLY	B OW D AH S IY AH S L IY
BOISTEROUS	B OY S T ER AH S
BOISTEROUS(2)	B OY S T R AH S
BOISTEROUSLY	B OY S T AH R AH S L IY
BOISTEROUSNESS	B OY S T AH R AH S N AH S
BOISTEROUSNESSES	B OY S T AH R AH S N AH S IH Z
BONHOMOUS	B AA N HH AH M AH S
BOOKLOUSE	B UH K L AW S
BOROUGH	B ER OW
BOROUGHS	B ER OW Z
BOUBOU	B AW B UW
BOUBOUS	B AW B AH S
BOUCHEE	B AW CH IY IY
BOUCHEES	B AW CH IY Z
BOUCLE	B UW K L EY
BOUCLES	B UW K L EY Z
BOUDOIR	B UW D OY R
BOUDOIRS	B UW D W AA Z
BOUFFANT	B UW F AA N T
BOUFFANTS	B UW F AA N T S
BOUFFE	B UW F
BOUFFES	B UW F S
BOUGAINVILLAEA	B AW G EY N V IH L IY AH
BOUGAINVILLAEAS	B AW G EY N V IH L IY AH Z
BOUGAINVILLEA	B UW G EY N V IH L IY AH
BOUGAINVILLEAS	B AW G EY N V IH L IY Z
BOUGH	B AW
BOUGHED	B AW D
BOUGHPOT	B AW P AA T
BOUGHPOTS	B AW P AA T S
BOUGHS	B AW Z
BOUGHT	B AA T
BOUGHT(2)	B AO T
BOUGHTEN	B AO T AH N
BOUGIE	B UW ZH IY
BOUGIES	B UW ZH IY Z
BOUILLABAISSE	B AW IH L AH B EY S
BOUILLABAISSES	B AW IH L AH B EY S AH Z
BOUILLON	B UW W IH L AH N
BOUILLONS	B AW IH L AH N Z
BOULDER	B OW L D ER
BOULDERED	B OW L D ER D
BOULDERS	B OW L D ER Z
BOULDERY	B OW L D ER IY
BOULE	B UW L
BOULES	B OW AH L Z
BOULEVARD	B UH L AH V AA R D
BOULEVARDIER	B UH L AH V AA R D IY ER
BOULEVARDIERS	B UH L AH V AA R D IY ER Z
BOULEVARDS	B UH L AH V AA R D Z
BOULEVERSEMENT	B AW L AH V AH R S M AH N T
BOULEVERSEMENTS	B AW L AH V AH R S AH M AH N T S
BOULLE	B UW L
BOULLES	B UW L Z
BOUNCE	B AW N S
BOUNCED	B AW N S T
BOUNCER	B AW N S ER
BOUNCERS	B AW N S ER Z
BOUNCES	B AW N S IH Z
BOUNCIER	B AW N S IY ER
BOUNCIEST	B AW N S IY AH S T
BOUNCILY	B AW N S IY L IY
BOUNCING	B AW N S IH NG
BOUNCINGLY	B AW N S IH NG L IY
BOUNCY	B AW N S IY
BOUND	B AW N D
BOUNDARIES	B AW N D ER IY Z
BOUNDARIES(2)	B AW N D R IY Z
BOUNDARY	B AW N D ER IY
BOUNDARY(2)	B AW N D R IY
BOUNDED	B AW N D AH D
BOUNDED(2)	B AW N D IH D
BOUNDEDNESS	B AW N D AH D N AH S
BOUNDEDNESSES	B AW N D AH D N AH S IH Z
BOUNDEN	B AW N D AH N
BOUNDER	B AW N D ER
BOUNDERISH	B AW N D ER IH SH
BOUNDERS	B AW N D ER Z
BOUNDING	B AW N D IH NG
BOUNDLESS	B AW N D L AH S
BOUNDLESSLY	B AW N D L AH S L IY
BOUNDLESSNESS	B AW N D L AH S N AH S
BOUNDLESSNESSES	B AW N D L AH S N AH S IH Z
BOUNDS	B AW N D Z
BOUNTEOUS	B AW N T IY AH S
BOUNTEOUSLY	B AW N T IY OW AH S L IY
BOUNTEOUSNESS	B AW N T IY AW Z N AH S
BOUNTEOUSNESSES	B AW N T IY AW Z N EH S AH Z
BOUNTIED	B AW N T IY D
BOUNTIES	B AW N T IY Z
BOUNTIFUL	B AW N T IH F AH L
BOUNTIFUL(2)	B AW N IH F AH L
BOUNTIFULLY	B AW N T IY F AH L IY
BOUNTIFULNESS	B AW N T IY F AH L N AH S
BOUNTIFULNESSES	B AW N T IY F AH L N AH S IH Z
BOUNTY	B AW N T IY
BOUQUET	B UW K EY
BOUQUETS	B OW K EY Z
BOUQUETS(2)	B UW K EY Z
BOURBON	B ER B AH N
BOURBONISM	B ER B AH N IH Z AH M
BOURBONISMS	B ER B AH N IH Z AH M Z
BOURBONS	B ER B AH N Z
BOURDON	B AH R D AH N
BOURDONS	B AH R D AH N Z
BOURG	B AO R G
BOURGEOIS	B UH R ZH W AA
BOURGEOISE	B AH R JH IY OY Z
BOURGEOISES	B UW R ZH W AA Z
BOURGEOISIE	B UH R ZH W AA Z IY
BOURGEOISIES	B UW R ZH W AA IY Z
BOURGEOISIFICATION	B UW R ZH W AA AH F AH K EY SH AH N
BOURGEOISIFICATIONS	B UW R ZH W AA AH F AH K EY SH AH N Z
BOURGEOISIFIED	B UW R ZH W AA AH F AY D
BOURGEOISIFIES	B UW R ZH W AA AH F AY Z
BOURGEOISIFY	B UW R ZH W AA AH F AY
BOURGEOISIFYING	B UW R ZH W AA AH F AY IH NG
BOURGEON	B AH R JH AH N
BOURGEONED	B AH R JH IY OW N D
BOURGEONING	B AH R JH IY OW N AH NG
BOURGEONS	B AH R JH IY AH N Z
BOURGS	B AH R G Z
BOURGUIGNON	B UH R G IY N Y OW N
BOURGUIGNONNE	B AH R G UW G N AH N
BOURN	B AO R N
BOURNE	B AO R N
BOURNES	B AH R N Z
BOURNS	B AO R N Z
BOURREE	B AH R IY IY
BOURREES	B OW R IY Z
BOURRIDE	B AH R AY D
BOURRIDES	B AH R AY D Z
BOURSE	B AO R S
BOURSES	B AO R S IH Z
BOURTREE	B AH R T R IY IY
BOURTREES	B AH R T R IY Z
BOUSE	B AW S
BOUSED	B IY AH S T
BOUSES	B IY AH S IH Z
BOUSING	B IY AH S IH NG
BOUSOUKI	B AW S AW K IY
BOUSOUKIA	B AW S AW K IY AH
BOUSOUKIS	B AW S AW K AH S
