EA	IY AH
ANTILEAK	AE N T AY L IY K
ANTINAUSEA	AE N T AY N AO Z IY AH
ANTINUCLEAR	AE N T AY N UW K L IY ER
ANTIPLEASURE	AE N T AY P L EH ZH ER
ANTIPLEASURES	AE N T AY P L EH ZH ER Z
ANTIPODEAN	AE N T AH P OW D IY AH N
ANTIPODEANS	AE N T AH P AH D IY N Z
ANTIREALISM	AE N T AY R IY L IH Z AH M
ANTIREALISMS	AE N T AY R IY L IH Z AH M Z
ANTIREALIST	AE N T AY R IY L IH S T
ANTIREALISTS	AE N T AY R IY L IH S T S
ANTIWEAR	AE N T AY W AE ER
APEAK	AH P IY K
APNEA	AE P N IY AH
APNEAL	AE P N IY AH L
APNEAS	AE P N IY Z
APNOEA	AE P N OW AH AH
APNOEAL	AE P N OW IY AH L
APNOEAS	AE P N OW AH AH Z
APOGEAL	AH P OW JH IY AH L
APOGEAN	AH P OW JH IY AH N
APOPHYSEAL	AE P AH F IH Z IY AH L
APPEAL	AH P IY L
APPEALABILITIES	AH P IY L AH B IH L AH T EH Z
APPEALABILITY	AH P IY L AH B IH L AH T EH
APPEALABLE	AH P IY L AH B AH L
APPEALED	AH P IY L D
APPEALER	AH P IY L ER
APPEALERS	AH P IY L ER Z
APPEALING	AH P IY L IH NG
APPEALINGLY	AH P IY L IH NG L IY
APPEALS	AH P IY L Z
APPEAR	AH P IH R
APPEARANCE	AH P IH R AH N S
APPEARANCES	AH P IH R AH N S AH Z
APPEARED	AH P IH R D
APPEARING	AH P IH R IH NG
APPEARS	AH P IH R Z
APPEASABLE	AH P IY Z AH B AH L
APPEASE	AH P IY Z
APPEASED	AH P IY Z D
APPEASEMENT	AH P IY Z M AH N T
APPEASEMENTS	AH P IY Z M AH N T S
APPEASER	AH P IY Z ER
APPEASERS	AH P IY Z ER Z
APPEASES	AH P IY Z IH Z
APPEASING	AH P IY Z IH NG
ARBOREAL	AA R B AO R IY AH L
ARBOREALLY	AA R B OW R IY AH L IY
ARBUTEAN	AA R B Y UW T IY AH N
ARCHAEA	AA R K IY AH
ARCHAEAL	AA R K EY IY AH L
ARCHAEAN	AA R K IY AH N
ARCHAEANS	AA R K IY AH N Z
ARCHDEACON	AA R CH D IY K AH N
ARCHDEACONRIES	AA R CH D IY K AH N R IY Z
ARCHDEACONRY	AA R CH D IY K AH N R IY
ARCHDEACONS	AA R CH D IY K AH N Z
AREA	EH R IY AH
AREAE	AE R IY
AREAL	AH R IY L
AREALLY	AH R IY AH L AY
AREAS	EH R IY AH Z
AREAWAY	AH R IY AH W EY
AREAWAYS	AH R IY AH W EY Z
ARREAR	AH R IH ER
ARREARAGE	ER IY R IH JH
ARREARAGES	ER IH R IH JH IH Z
ARREARS	ER IH R Z
ARROWHEAD	AE R OW HH EH D
ARROWHEAD(2)	EH R OW HH EH D
ARROWHEADS	AE R OW HH EH D Z
ARROWHEADS(2)	EH R OW HH EH D Z
ASEA	AH Z IY AH
ASEA(2)	EY EH S IY EY
AUREATE	AO R IY EY T
AUROREAN	AH R AO R IY AH N
AWEARY	AH W IH R IY
AWEATHER	AH W EH DH ER
AZALEA	AH Z EY L Y AH
AZALEAS	AH Z EY L Y AH Z
BACCALAUREATE	B AE K AH L AO R IY AH T
BACCALAUREATES	B AE K AH L AO R IY EY T S
BACKBEAT	B AE K B IY T
BACKBEATS	B AE K B IY T S
BACKBREAKER	B AE K B R EY K ER
BACKBREAKERS	B AE K B R EY K ER Z
BACKBREAKING	B AE K B R EY K IH NG
BACKSEAT	B AE K S IY T
BACKSEATS	B AE K S IY T S
BAKEMEAT	B EY K M IY T
BAKEMEATS	B EY K M IY T S
BALDHEAD	B AO L D HH EH D
BALDHEADED	B AO L D HH EH D IH D
BALDHEADS	B AO L D HH EH D Z
BALNEAL	B AE L N IY AH L
BANDEAU	B AE N D IY UW
BANDEAUS	B AE N D IY AH S
BANDEAUX	B AE N D IY AH K S
BANDLEADER	B AE N D L IY D ER
BANDLEADERS	B AE N D L IY D ER Z
BARATHEA	B AH R AE TH IY AH
BARATHEAS	B AE R AH TH IY Z
BAREHEAD	B EH R HH EH D
BAREHEADED	B EH R HH EH D IH D
BARRELHEAD	B AE R AH L HH EH D
BARRELHEADS	B AE R AH L HH EH D Z
BATEAU	B AE T OW
BATEAUX	B EY T IY AH K S
BATTEAU	B AE T IY UW
BATTEAUX	B AE T IY AH K S
BEACH	B IY CH
BEACHBOY	B IY CH B OY
BEACHBOYS	B IY CH B OY Z
BEACHCOMB	B IY CH K OW M
BEACHCOMBED	B IY CH K OW M D
BEACHCOMBER	B IY CH K OW M ER
BEACHCOMBERS	B IY CH K OW M ER Z
BEACHCOMBING	B IY CH K OW M IH NG
BEACHCOMBS	B IY CH K OW M Z
BEACHED	B IY CH T
BEACHES	B IY CH AH Z
BEACHES(2)	B IY CH IH Z
BEACHFRONT	B IY CH F R AA N T
BEACHFRONTS	B IY CH F R AA N T S
BEACHGOER	B IY CH G OW ER
BEACHGOERS	B IY CH G OW ER Z
BEACHHEAD	B IY CH HH EH D
BEACHHEADS	B IY CH HH EH D Z
BEACHIER	B IY CH IY ER
BEACHIEST	B IY CH IY AH S T
BEACHING	B IY CH IH NG
BEACHSIDE	B IY CH S AY D
BEACHWEAR	B IY CH W AE ER
BEACHY	B IY CH IY
BEACON	B IY K AH N
BEACONED	B IY K AH N D
BEACONING	B IY K AH N IH NG
BEACONS	B IY K AH N Z
BEAD	B IY D
BEADED	B IY D IH D
BEADIER	B IY D IY ER
BEADIEST	B IY D IY AH S T
BEADILY	B IY D IY L IY
BEADING	B IY D IH NG
BEADINGS	B IY D IH NG Z
BEADLE	B IY D AH L
BEADLES	B IY D AH L Z
BEADLIKE	B IY D L AY K
BEADMAN	B IY D M AE N
BEADMEN	B IY D M EH N
BEADROLL	B IY D R OW L
BEADROLLS	B IY D R OW L Z
BEADS	B IY D Z
BEADSMAN	B IY D Z M AE N
BEADSMEN	B IY D Z M EH N
BEADWORK	B IY D W ER K
BEADWORKS	B IY D W ER K S
BEADY	B IY D IY
BEAGLE	B IY G AH L
BEAGLES	B IY G AH L Z
BEAK	B IY K
BEAKED	B AH EY K T
BEAKER	B IY K ER
BEAKERS	B IY K ER Z
BEAKIER	B AH AE K AY AH R
BEAKIEST	B AH AE K AY AH S T
BEAKLESS	B AH AE K L AH S
BEAKLIKE	B IY K L AY K
BEAKS	B AH AE K S
BEAKY	B AH EY K IY
BEAM	B IY M
BEAMED	B IY M D
BEAMIER	B IH EY M IY ER
BEAMIEST	B IH EY M IY AH S T
BEAMILY	B IH EY M IY L IY
BEAMING	B IY M IH NG
BEAMISH	B IY M IH SH
BEAMISHLY	B IY M IH SH L IY
BEAMLESS	B IY M L AH S
BEAMLIKE	B IY M L AY K
BEAMS	B IY M Z
BEAMY	B IY M IY
BEAN	B IY N
BEANBAG	B IY N B AE G
BEANBAGS	B IY N B AE G Z
BEANBALL	B IY N B AO L
BEANBALLS	B IY N B AO L Z
BEANED	B IY N D
BEANERIES	B IY N AH R IY Z
BEANERY	B IY N AH R IY
BEANIE	B IY N IY
BEANIES	B IY N IY Z
BEANING	B IY N IH NG
BEANLIKE	B IY N L AY K
BEANO	B AH AE N OW
BEANOS	B IY N AA S
BEANPOLE	B IY N P OW L
BEANPOLES	B IY N P OW L Z
BEANS	B IY N Z
BEANSTALK	B IY N S T AO K
BEANSTALKS	B IY N S T AO K S
BEAR	B EH R
BEARABILITIES	B AE ER AH B IH L AH T EH Z
BEARABILITY	B AE ER AH B IH L AH T EH
BEARABLE	B EH R AH B AH L
BEARABLY	B EH R AH B L IY
BEARBAITING	B AE ER B EY T IH NG
BEARBAITINGS	B AE ER B EY T IH NG Z
BEARBERRIES	B AE ER B EH R IY Z
BEARBERRY	B AE ER B EH R IY
BEARCAT	B AE ER K AE T
BEARCATS	B AE ER K AE T S
BEARD	B IH R D
BEARDED	B IH R D AH D
BEARDEDNESS	B IH ER D AH D N AH S
BEARDEDNESSES	B IH ER D AH D N AH S IH Z
BEARDING	B IH ER D IH NG
BEARDLESS	B IH AA R D L AH S
BEARDS	B IH R D Z
BEARDTONGUE	B IH ER D T AH NG
BEARDTONGUES	B IH ER D T AH NG Z
BEARER	B EH R ER
BEARERS	B EH R ER Z
BEARHUG	B AE ER HH AH G
BEARHUGS	B AE ER HH AH G Z
BEARING	B EH R IH NG
BEARINGS	B EH R IH NG Z
BEARISH	B EH R IH SH
BEARISHLY	B EH R IH SH L IY
BEARISHNESS	B EH R IH SH N AH S
BEARISHNESSES	B AE ER IH SH N AH S IH Z
BEARLIKE	B AE ER L AY K
BEARS	B EH R Z
BEARSKIN	B AE ER S K IH N
BEARSKINS	B AE ER S K IH N Z
BEARWOOD	B AE ER W UH D
BEARWOODS	B AE ER W UH D Z
BEAST	B IY S T
BEASTIE	B IY S T IY
BEASTIES	B IY S T IY Z
BEASTINGS	B IY S T IH NG Z
BEASTLIER	B IY S T L IY ER
BEASTLIEST	B IY S T L IY AH S T
BEASTLINESS	B IY S T L IY N AH S
BEASTLINESSES	B IY S T L IY N AH S IH Z
BEASTLY	B IY S T L IY
BEASTS	B IY S T S
BEAT	B IY T
BEATABLE	B IY T AH B AH L
BEATEN	B IY T AH N
BEATER	B IY T ER
BEATERS	B IY T ER Z
BEATIFIC	B IY AH T IH F IH K
BEATIFICALLY	B IY AH T IH F IH K AH L IY
BEATIFICATION	B IY AE T AH F AH K EY SH AH N
BEATIFICATIONS	B IY AE T AH F AH K EY SH AH N Z
BEATIFIED	B IY AE T AH F AY D
BEATIFIES	B IY T AH F AY Z
BEATIFY	B IY AE T AH F AY
BEATIFYING	B IY T AH F AY IH NG
BEATING	B IY T IH NG
BEATINGS	B IY T IH NG Z
BEATITUDE	B IY AE T AH T UW D
BEATITUDES	B IY AE T AH T UW D Z
BEATLESS	B IY T L AH S
BEATNIK	B IY T N IH K
BEATNIKS	B IY T N IH K S
BEATS	B IY T S
BEAU	B OW
BEAUCOUP	B OW K UW
BEAUISH	B OW IH SH
BEAUS	B OW Z
BEAUT	B AH AO T
BEAUTEOUS	B Y UW T IY AH S
BEAUTEOUSLY	B Y UW T IY AH S L IY
BEAUTEOUSNESS	B Y UW T IY AH S N AH S
BEAUTEOUSNESSES	B Y UW T IY AH S N AH S IH Z
BEAUTICIAN	B Y UW T IH SH AH N
BEAUTICIANS	B AH AH T IH S IY AH N Z
BEAUTIES	B Y UW T IY Z
BEAUTIFICATION	B IH AH Y UW T AH F AH K EY SH AH N
BEAUTIFICATIONS	B AH AO T AH F AH K EY T IY AH N Z
BEAUTIFIED	B AH AO T AH F AY D
BEAUTIFIER	B AH AH T IH F AY AH R
BEAUTIFIERS	B AH AO T AH F IY R Z
BEAUTIFIES	B AH AO T AH F AY Z
BEAUTIFUL	B Y UW T AH F AH L
BEAUTIFULER	B Y UW T IY F AH L ER
BEAUTIFULEST	B Y UW T IY F AH L AH S T
BEAUTIFULLY	B Y UW T AH F L IY
BEAUTIFULNESS	B Y UW T IY F AH L N AH S
BEAUTIFULNESSES	B Y UW T IY F AH L N AH S IH Z
BEAUTIFY	B Y UW T IH F AY
BEAUTIFYING	B AH AH T IH F AY AH NG
BEAUTS	B IH AH Y UW T S
BEAUTY	B Y UW T IY
BEAUX	B OW
BEAVER	B IY V ER
BEAVERBOARD	B IY V ER B OW R D
BEAVERBOARDS	B IY V ER B OW R D Z
BEAVERED	B IY V ER D
BEAVERING	B IY V ER IH NG
BEAVERS	B IY V ER Z
BEDEAFEN	B IH D EH F AH N
BEDEAFENED	B IH D EH F AH N D
BEDEAFENING	B IH D EH F AH N IH NG
BEDEAFENS	B IH D EH F AH N Z
BEDSPREAD	B EH D S P R EH D
BEDSPREADS	B EH D S P R EH D Z
BEDSTEAD	B EH D S T EH D
BEDSTEADS	B EH D S T EH D Z
BEEBREAD	B IY B R EH D
BEEBREADS	B IY B R EH D Z
BEEFEATER	B IY F IY T ER
BEEFEATERS	B IY F IY T ER Z
BEEFSTEAK	B IY F S T EY K
BEEFSTEAKS	B IY F S T EY K S
BEFLEA	B IH F L IY
BEFLEAED	B IH F L IY D
BEFLEAING	B IH F L IY IH NG
BEFLEAS	B IH F L IY Z
BEHEAD	B IH HH EH D
BEHEAD(2)	B IY HH EH D
BEHEADED	B IH HH EH D IH D
BEHEADING	B IH HH EH D IH NG
BEHEADINGS	B IH HH EH D IH NG Z
BEHEADS	B IH HH EH D Z
BELEAGUER	B IH L IY G ER
BELEAGUERED	B IH L IY G ER D
BELEAGUERING	B IH L IY G ER IH NG
BELEAGUERMENT	B IH L IY G ER M AH N T
BELEAGUERMENTS	B IH L IY G ER M AH N T S
BELEAGUERS	B IH L IY G ER Z
BELEAP	B IH L IY P
BELEAPED	B IH L IY P T
BELEAPING	B IH L IY P IH NG
BELEAPS	B IH L IY P S
BELEAPT	B IH L EH P T
BEMEAN	B IH M IY N
BEMEANED	B IH M IY N D
BEMEANING	B IH M IY N IH NG
BEMEANS	B IH M IY N Z
BENEATH	B IH N IY TH
BEQUEATH	B IH K W IY TH
BEQUEATHAL	B IH K W IY TH AH L
BEQUEATHALS	B IH K W IY TH AH L Z
BEQUEATHED	B AH K W IY TH T
BEQUEATHING	B IH K W IY TH IH NG
BEQUEATHS	B IH K W IY TH S
BEREAVE	B ER IY V
BEREAVED	B ER IY V D
BEREAVEMENT	B ER IY V M AH N T
BEREAVEMENTS	B IH R IY V M AH N T S
BEREAVER	B IH R IY V ER
BEREAVERS	B IH R IY V ER Z
BEREAVES	B IH R IY V Z
BEREAVING	B IH R IY V IH NG
BESMEAR	B IH S M IH ER
BESMEARED	B IH S M IH ER D
BESMEARING	B IH S M IH ER IH NG
BESMEARS	B IH S M IH ER Z
BESPEAK	B IH S P IY K
BESPEAKING	B IH S P IY K IH NG
BESPEAKS	B IH S P IY K S
BESPREAD	B IH S P R EH D
BESPREADING	B IH S P R EH D IH NG
BESPREADS	B IH S P R EH D Z
BESTEAD	B IH S T EH D
BESTEADED	B IH S T EH D IH D
BESTEADING	B IH S T EH D IH NG
BESTEADS	B IH S T EH D Z
BEWEARIED	B IH W IH R IY D
BEWEARIES	B IH W IH R IY Z
BEWEARY	B IH W IH R IY
BEWEARYING	B IH W IH R IY IH NG
BIGHEAD	B IH G HH EH D
BIGHEADED	B IH G HH EH D IH D
BIGHEADS	B IH G HH EH D Z
BIGHEARTED	B IH G HH AA R T IH D
BIGHEARTEDLY	B IH G HH AA R T AH D L IY
BIGHEARTEDNESS	B IH G HH AA R T AH D N AH S
BIGHEARTEDNESSES	B IH G HH AA R T AH D N AH S IH Z
BILINEAR	B AY L IH N IY ER
BILLHEAD	B IH L HH EH D
BILLHEADS	B IH L HH EH D Z
BINUCLEATE	B AY N UW K L IY AH T
BINUCLEATED	B AY N UW K L IY EY T IH D
BIOCLEAN	B AY AA K L IY AH N
BIOREACTOR	B AY OW R AE K T ER
BIOREACTORS	B AY OW R AE K T ER Z
BITEABLE	B AY T AH B AH L
BIYEARLY	B AY Y IH ER L IY
BLACKHEAD	B L AE K HH EH D
BLACKHEADS	B L AE K HH EH D Z
BLACKHEART	B L AE K HH AA R T
BLACKHEARTS	B L AE K HH AA R T S
BLACKLEAD	B L AE K L IY D
BLACKLEADS	B L AE K L IY D Z
BLEACH	B L IY CH
BLEACHABLE	B L IY CH AH B AH L
BLEACHED	B L IY CH T
BLEACHER	B L IY CH ER
BLEACHERITE	B L IY CH AH R AY T
BLEACHERITES	B L IY CH AH R AY T S
BLEACHERS	B L IY CH ER Z
BLEACHES	B L IY CH IH Z
BLEACHING	B L IY CH IH NG
BLEAK	B L IY K
BLEAKER	B L IY K ER
BLEAKEST	B L IY K AH S T
BLEAKISH	B L IY K IH SH
BLEAKLY	B L IY K L IY
BLEAKNESS	B L IY K N AH S
BLEAKNESSES	B L IY K N AH S IH Z
BLEAKS	B L IY K S
BLEAR	B L IH ER
BLEARED	B L IH ER D
BLEARIER	B L IH ER IY ER
BLEARIEST	B L IH ER IY AH S T
BLEARILY	B L IH ER IY L IY
BLEARINESS	B L IH ER IY N AH S
BLEARINESSES	B L IH ER IY N AH S IH Z
BLEARING	B L IH ER IH NG
BLEARS	B L IH ER Z
BLEARY	B L IH R IY
BLEAT	B L IY T
BLEATED	B L IY T IH D
BLEATER	B L IY T ER
BLEATERS	B L IY T ER Z
BLEATING	B L IY T IH NG
BLEATS	B L IY T S
BLOCKHEAD	B L AA K HH EH D
BLOCKHEADS	B L AA K HH EH D Z
BLOODSTREAM	B L AH D S T R IY M
BLOODSTREAMS	B L AH D S T R IY M Z
BLUEBEARD	B L UW B IY R D
BLUEBEARDS	B L UW B IH ER D Z
BLUEHEAD	B L UW HH EH D
BLUEHEADS	B L UW HH EH D Z
BLUEJEANS	B L UW JH IY N Z
BOGBEAN	B AO G B IY N
BOGBEANS	B AO G B IY N Z
BOHEA	B AA HH IY AH
BOHEAS	B AH HH IY Z
BOLTHEAD	B OW L T HH EH D
BOLTHEADS	B OW L T HH EH D Z
BONEHEAD	B OW N HH EH D
BONEHEADED	B OW N HH EH D IH D
BONEHEADEDNESS	B OW N HH EH D AH D N AH S
BONEHEADEDNESSES	B OW N HH EH D AH D N AH S IH Z
BONEHEADS	B OW N HH EH D Z
BONEMEAL	B OW N M IY L
BONEMEALS	B OW N M IY L Z
BORDEAUX	B AO R D OW
BORDEREAU	B AO R D IY R IY UW
BORDEREAUX	B AO R D IY R IY AH K S
BOREAL	B AO R AH L
BOUGAINVILLAEA	B AW G EY N V IH L IY AH
BOUGAINVILLAEAS	B AW G EY N V IH L IY AH Z
BOUGAINVILLEA	B UW G EY N V IH L IY AH
BOUGAINVILLEAS	B AW G EY N V IH L IY Z
BOWHEAD	B AW HH EH D
BOWHEADS	B AW HH EH D Z
BRACTEAL	B R AE K T IY AH L
BRACTEATE	B R AE K T IY EY T
BRAINTEASER	B R EY N T IY Z ER
BRAINTEASERS	B R EY N T IY Z ER Z
BRAKEAGE	B R EY K IH JH
BRAKEAGES	B R EY K IH JH IH Z
BREACH	B R IY CH
BREACHED	B R IY CH T
BREACHER	B R IY CH ER
BREACHERS	B R IY CH ER Z
BREACHES	B R IY CH IH Z
BREACHING	B R IY CH IH NG
BREAD	B R EH D
BREADBASKET	B R EH D B AE S K AH T
BREADBASKETS	B R EH D B AE S K AH T S
BREADBOARD	B R EH D B OW R D
BREADBOARDED	B R EH D B OW R D IH D
BREADBOARDING	B R EH D B OW R D IH NG
BREADBOARDS	B R EH D B OW R D Z
BREADBOX	B R EH D B AA K S
BREADBOXES	B R EH D B AA K S IH Z
BREADCRUMB	B R EH D K R AH M
BREADCRUMBS	B R EH D K R AH M Z
BREADED	B R EH D IH D
BREADFRUIT	B R EH D F R UW T
BREADFRUITS	B R EH D F R UW T S
BREADING	B R EH D IH NG
BREADLINE	B R EH D L AY N
BREADLINES	B R EH D L AY N Z
BREADNUT	B R EH D N AH T
BREADNUTS	B R EH D N AH T S
BREADS	B R EH D Z
BREADSTICK	B R EH D S T IH K
BREADSTICKS	B R EH D S T IH K S
BREADSTUFF	B R EH D S T AH F
BREADSTUFFS	B R EH D S T AH F S
BREADTH	B R EH D TH
BREADTHS	B R EH D TH S
BREADTHWISE	B R EH D TH W AY Z
BREADWINNER	B R EH D W IH N ER
BREADWINNERS	B R EH D W IH N ER Z
BREADWINNING	B R EH D W IH N IH NG
BREADWINNINGS	B R EH D W IH N IH NG Z
BREADY	B R EH D IY
BREAK	B R EY K
BREAKABLE	B R EY K AH B AH L
BREAKABLES	B R EY K AH B AH L Z
BREAKAGE	B R EY K IH JH
BREAKAGES	B R EY K IH JH IH Z
BREAKAWAY	B R EY K AH W EY
BREAKAWAYS	B R EY K AH W EY Z
BREAKDOWN	B R EY K D AW N
BREAKDOWNS	B R EY K D AW N Z
BREAKER	B R EY K ER
BREAKERS	B R EY K ER Z
BREAKEVEN	B R EY K IY V AH N
BREAKEVENS	B R EY K IY V AH N Z
BREAKFAST	B R EH K F AH S T
BREAKFASTED	B R EH K F AH S T IH D
BREAKFASTER	B R EH K F AH S T ER
BREAKFASTERS	B R EH K F AH S T ER Z
BREAKFASTING	B R EH K F AH S T IH NG
BREAKFASTS	B R EH K F AH S T S
BREAKFRONT	B R EY K F R AH N T
BREAKFRONTS	B R EY K F R AH N T S
BREAKING	B R EY K IH NG
BREAKINGS	B R EY K IH NG Z
BREAKNECK	B R EY K N EH K
BREAKOUT	B R EY K AW T
BREAKOUTS	B R EY K AW T S
BREAKS	B R EY K S
BREAKSAWAY	B R EY K S AH W EY
BREAKTHROUGH	B R EY K TH R UW
BREAKTHROUGHS	B R EY K TH R UW Z
BREAKUP	B R EY K AH P
BREAKUPS	B R EY K AH P S
BREAKWATER	B R EY K W AO T ER
BREAKWATERS	B R EY K W AO T ER Z
BREAM	B R IY M
BREAMED	B R IY M D
BREAMING	B R IY M AH NG
BREAMS	B R IY M Z
BREAST	B R EH S T
BREASTBONE	B R EH S T B OW N
BREASTBONES	B R EH S T B OW N Z
BREASTED	B R EH S T AH D
BREASTED(2)	B R EH S T IH D
BREASTING	B R EH S T IH NG
BREASTPLATE	B R EH S T P L EY T
BREASTPLATES	B R EH S T P L EY T S
BREASTS	B R EH S T S
BREASTSTROKE	B R EH S T S T R OW K
BREASTSTROKER	B R EH S T S T R OW K ER
BREASTSTROKERS	B R EH S T S T R OW K ER Z
BREASTSTROKES	B R EH S T S T R OW K S
BREASTWORK	B R EH S T W ER K
BREASTWORKS	B R EH S T W ER K S
BREATH	B R EH TH
BREATHABILITIES	B R IY DH AH B IH L AH T EH Z
BREATHABILITY	B R IY DH AH B IH L AH T EH
BREATHABLE	B R IY DH AH B AH L
BREATHE	B R IY DH
BREATHED	B R IY DH D
BREATHER	B R IY DH ER
BREATHERS	B R IY DH ER Z
BREATHES	B R IY DH Z
BREATHIER	B R EH TH IY ER
BREATHIEST	B R EH TH IY AH S T
BREATHILY	B R EH TH IY L IY
BREATHINESS	B R EH TH IY N AH S
BREATHINESSES	B R EH TH IY N AH S IH Z
BREATHING	B R IY DH IH NG
BREATHINGS	B R IY DH IH NG Z
BREATHLESS	B R EH TH L AH S
BREATHLESSLY	B R EH TH L AH S L IY
BREATHLESSNESS	B R EH TH L AH S N AH S
BREATHLESSNESSES	B R EH TH L AH S N AH S IH Z
BREATHS	B R EH TH S
BREATHTAKING	B R EH TH T EY K IH NG
BREATHTAKINGLY	B R EH TH T EY K IH NG L IY
BREATHY	B R EH TH IY
BRIDGEABLE	B R IH JH AH B AH L
BRIDGEHEAD	B R IH JH HH EH D
BRIDGEHEADS	B R IH JH HH EH D Z
BROADLEAF	B R AO D L IY F
BROKENHEARTED	B R OW K AH N HH AA R T IH D
BROWBEAT	B R AW B IY T
BROWBEATEN	B R AW B IY T AH N
BROWBEATING	B R AW B IY T IH NG
BROWBEATS	B R AW B IY T S
BUBBLEHEAD	B AH B AH L HH EH D
BUBBLEHEADED	B AH B AH L HH EH D IH D
BUBBLEHEADS	B AH B AH L HH EH D Z
BUCKBEAN	B AH K B IY N
BUCKBEANS	B AH K B IY N Z
BUCKWHEAT	B AH K W IY T
BUCKWHEATS	B AH K W IY T S
BUFFLEHEAD	B AH F L AH HH IY D
BUFFLEHEADS	B AH F L AH HH IY D Z
BUGBEAR	B AH G B AE ER
BUGBEARS	B AH G B AE ER Z
BULKHEAD	B AH L K HH EH D
BULKHEADS	B AH L K HH EH D Z
BULLHEAD	B UH L HH EH D
BULLHEADED	B UH L HH EH D IH D
BULLHEADEDLY	B UH L HH EH D AH D L IY
BULLHEADEDNESS	B UH L HH EH D AH D N AH S
BULLHEADEDNESSES	B UH L HH EH D AH D N AH S IH Z
BULLHEADS	B UH L HH EH D Z
BUREAU	B Y UH R OW
BUREAUCRACIES	B Y UH R AA K R AH S IY Z
BUREAUCRACY	B Y UH R AA K R AH S IY
BUREAUCRAT	B Y UH R AH K R AE T
BUREAUCRAT(2)	B Y UH R OW K R AE T
BUREAUCRATESE	B Y UH R AH K R AE T IY Z
BUREAUCRATESES	B Y UH R OW K R EY T S IH Z
BUREAUCRATIC	B Y UH R AH K R AE T IH K
BUREAUCRATICALLY	B Y UH R AH K R AE T IH K AH L IY
BUREAUCRATISE	B Y AH R IY AH K R AH T AY Z
