CE	S IY
ACCESSIBLENESSES	AE K S EH S AH B AH L N AH S IH Z
ACCESSIBLY	AE K S EH S AH B L IY
ACCESSING	AE K S EH S IH NG
ACCESSION	AH K S EH SH AH N
ACCESSIONAL	AE K S EH SH AH N AH L
ACCESSIONED	AE K S EH SH AH N D
ACCESSIONING	AE K S EH SH AH N IH NG
ACCESSIONS	AE K S EH SH AH N Z
ACCESSORIAL	AE K S EH S AH R IY AH L
ACCESSORIES	AE K S EH S ER IY Z
ACCESSORISE	AE K S EH S AH R AY Z
ACCESSORISED	AE K S EH S AH R IY Z D
ACCESSORISES	AE K S EH S AH R IY Z IH Z
ACCESSORISING	AE K S EH S AH R IY Z IH NG
ACCESSORIZE	AE K S EH S ER AY Z
ACCESSORIZED	AE K S EH S ER AY Z D
ACCESSORIZES	AE K S EH S ER AY Z IH Z
ACCESSORIZING	AE K S EH S ER AY Z IH NG
ACCESSORY	AE K S EH S ER IY
ACCIDENCE	AE K S AH D AH N S
ACCIDENCES	AE K S AH D AH N S IH Z
ACCOMPLICE	AH K AA M P L AH S
ACCOMPLICES	AH K AA M P L AH S AH Z
ACCORDANCE	AH K AO R D AH N S
ACCORDANCES	AH K AO R D AH N S IH Z
ACE	EY S
ACED	EY S T
ACEDIA	AH S IY D IY AH
ACEDIAS	AH S IY D IY AH Z
ACELDAMA	AH S EH L D AH M AH
ACELDAMAS	AH S EH L D AH M AH Z
ACELLULAR	AH S EH L Y AH L ER
ACENTRIC	AH S EH N T R IH K
ACEPHALOUS	AH S EH F AH L AH S
ACEQUIA	AH S EH K W IY AH
ACEQUIAS	AH S EH K W IY AH Z
ACERATE	EY S ER AH T
ACERATED	EY S ER EY T IH D
ACERB	AE S AH R B
ACERBATE	EY S ER B EY T
ACERBATED	EY S ER B EY T IH D
ACERBATES	EY S ER B EY T S
ACERBATING	EY S ER B EY T IH NG
ACERBER	EY S ER B IY ER
ACERBEST	EY S ER B EH S T
ACERBIC	AH S EH R B IH K
ACERBICALLY	EY S ER B AY K AO L IY
ACERBITIES	EY S ER B IY AH T IY Z
ACERBITY	EY S ER B IY AH T IY
ACEROLA	AH S EH R AH L AH
ACEROLAS	AH S EH R AH L AH Z
ACEROSE	EY S R OW Z
ACEROUS	EY S ER AH S
ACERVATE	AE S AH R V EY T
ACERVULI	AE S AH R V Y UW L IY
ACERVULUS	AH S AH R V Y AH L AH S
ACES	EY S IH Z
ACESCENT	EY S EH N T
ACESCENTS	EY S EH N T S
ACETA	AE S AH T AH
ACETABULA	AE S AH T AH B Y UW L AH
ACETABULAR	EY S T AE B Y AH L ER
ACETABULUM	AE S AH T AH B Y UW L AH M
ACETABULUMS	AE S AH T AH B Y UW L AH M Z
ACETAL	AE S AH T AH L
ACETALDEHYDE	AH S AH T AE L D AH HH AY D
ACETALDEHYDES	AH S AH T AE L D AH HH AY D Z
ACETALS	AE S AH T AH L Z
ACETAMID	EY S T EY M AH D
ACETAMIDE	AH S EH T AH M AY D
ACETAMIDES	AH S EH T AH M AY D Z
ACETAMIDS	EY S T EY M AH D Z
ACETAMINOPHEN	AH S IY T AH M IH N AH F AH N
ACETAMINOPHENS	AE S AH T AH M IH N AH F AH N Z
ACETANILID	AE S AH T AE N AH L AH D
ACETANILIDE	AH S AH T AE N AH L AY D
ACETANILIDES	AH S AH T AE N AH L AY D Z
ACETANILIDS	AE S AH T AE N AH L AH D Z
ACETATE	AE S AH T EY T
ACETATED	AE S AH T EY T IH D
ACETATES	AE S AH T EY T S
ACETAZOLAMIDE	AH S AH T AH Z AA L AH M AY D
ACETAZOLAMIDES	AH S AH T AH Z AA L AH M AY D Z
ACETIC	AH S EH T IH K
ACETIC(2)	AH S IY T IH K
ACETIFICATION	AH S EH T AH F AH K EY SH AH N
ACETIFICATIONS	AH S EH T AH F AH K EY T IY AH N Z
ACETIFIED	AH S EH T AH F AY D
ACETIFIES	AH S EH T AH F AY Z
ACETIFY	AH S EH T AH F AY
ACETIFYING	AE S AH T IH F AY AH NG
ACETIN	EY S T IH N
ACETINS	EY S T IH N Z
ACETONE	AE S AH T OW N
ACETONES	AE S AH T OW N Z
ACETONIC	AE S AH T OW N IH K
ACETONITRILE	AH S EH T AH N IH T R AH L
ACETONITRILES	AH S EH T AH N IH T R AH L Z
ACETOPHENETIDIN	AH S EH T AH F AH N EH T AH D AH N
ACETOPHENETIDINS	AH S EH T AH F AH N EH T AH D AH N Z
ACETOSE	AE S AH T OW Z
ACETOUS	AE S AH T AH S
ACETOXYL	AE S AH T AA K S AH L
ACETOXYLS	AE S AH T AA K S AH L Z
ACETUM	AE S AH T AH M
ACETYL	AE S AH T AH L
ACETYLATE	AH S EH T AH L EY T
ACETYLATED	AH S EH T AH L EY T AH D
ACETYLATES	AH S EH T AH L EY T S
ACETYLATING	AH S EH T AH L EY T AH NG
ACETYLATION	AH S EH T AH L EY SH AH N
ACETYLATIONS	AE S AH T AH L EY T IY AH N Z
ACETYLATIVE	AE S AH T AH L EY T AH V
ACETYLCHOLINE	AH S EH T AH L K OW L IY N
ACETYLCHOLINE(2)	AH S IY T AH L K OW L IY N
ACETYLCHOLINES	AH S AH T IH L CH AH L AY N Z
ACETYLCHOLINESTERASE	AH S AH T AH L CH AH L AH N EH S T AH R EY Z
ACETYLCHOLINESTERASES	AH S AH T AH L CH AH L AH N EH S T AH R EY Z AH Z
ACETYLENE	AH S EH T AH L IY N
ACETYLENES	AH S EH T AH L IY N Z
ACETYLENIC	AH S EH T AH L AH N AH K
ACETYLIC	AE S AH T AH L AH K
ACETYLS	AE S AH T AH L Z
ACETYLSALICYLATE	AE S AH T AH L S AH L IH S AH L EY T
ACETYLSALICYLATES	AE S AH T AH L S AH L IH S AH L EY T S
ACQUAINTANCE	AH K W EY N T AH N S
ACQUAINTANCES	AH K W EY N T AH N S IH Z
ACQUAINTANCESHIP	AH K W EY N T AH N S SH IH P
ACQUAINTANCESHIPS	AH K W EY N T AH N S SH IH P S
ACQUIESCE	AE K W IY EH S
ACQUIESCED	AE K W IY EH S T
ACQUIESCENCE	AE K W IY EH S AH N S
ACQUIESCENCES	AE K W IY EH S AH N S IH Z
ACQUIESCENT	AE K W IY EH S AH N T
ACQUIESCENTLY	AE K W IY EH S AH N T L IY
ACQUIESCES	AE K W IY EH S IH Z
ACQUITTANCE	AH K W IH T AH N S
ACQUITTANCES	AH K W IH T AH N S IH Z
ACROCENTRIC	AE K R AH S AH N T R AH K
ACROCENTRICS	AE K R AH S EH N T R AH S Z
ACTINOMYCES	AE K T IH N AH M AY S AH Z
ACTINOMYCETE	AE K T AH N AA M AH S IY T
ACTINOMYCETES	AE K T AH N AA M AH S IY T S
ACTINOMYCETOUS	AE K T AH N AH M IH S AH T AH S
ACUTANCE	AH K Y UW T AH N S
ACUTANCES	AH K Y UW T AH N S IH Z
ADAMANCE	AH D EY M AH N S
ADAMANCES	AH D EY M AH N S IH Z
ADDUCE	AH D UW S
ADDUCED	AH D UW S T
ADDUCENT	AH D UW S AH N T
ADDUCER	AH D UW S ER
ADDUCERS	AH D UW S ER Z
ADDUCES	AH D UW S IH Z
ADHERENCE	AH D HH IH R AH N S
ADHERENCES	AE D HH IH ER AH N S IH Z
ADJACENCIES	AH JH EY S AH N S IY Z
ADJACENCY	AH JH EY S AH N S IY
ADJACENT	AH JH EY S AH N T
ADJACENTLY	AH JH EY S AH N T L IY
ADMINISTRATRICES	AE D M AH N IH S T R AE T R AH S
ADMITTANCE	AH D M IH T AH N S
ADMITTANCES	AH D M IH T AH N S IH Z
ADOLESCENCE	AE D AH L EH S AH N S
ADOLESCENCE(2)	AE D OW L EH S AH N S
ADOLESCENCES	AE D AH L EH S AH N S IH Z
ADOLESCENT	AE D AH L EH S AH N T
ADOLESCENT(2)	AE D OW L EH S AH N T
ADOLESCENTLY	AE D AH L EH S AH N T L IY
ADOLESCENTS	AE D AH L EH S AH N T S
ADOLESCENTS(2)	AE D OW L EH S AH N T S
ADVANCE	AH D V AE N S
ADVANCED	AH D V AE N S T
ADVANCEMENT	AH D V AE N S M AH N T
ADVANCEMENTS	AH D V AE N S M AH N T S
ADVANCER	AH D V AE N S ER
ADVANCERS	AH D V AE N S ER Z
ADVANCES	AH D V AE N S IH Z
ADVERTENCE	AE D V ER T AH N S
ADVERTENCES	AE D V ER T AH N S IH Z
ADVICE	AE D V AY S
ADVICE(2)	AH D V AY S
ADVICES	AH D V AY S IH Z
AEROSPACE	EH R OW S P EY S
AEROSPACES	AE R AH S P EY S IH Z
AFFIANCE	AH F AY AH N S
AFFIANCED	AH F AY AH N S T
AFFIANCES	AH F AY AH N S IH Z
AFFIRMANCE	AH F ER M AH N S
AFFIRMANCES	AH F ER M AH N S IH Z
AFFLUENCE	AE F L UW AH N S
AFFLUENCES	AE F L UW AH N S IH Z
AFTERPIECE	AE F T ER P IY S
AFTERPIECES	AE F T ER P IY S IH Z
AIRSPACE	EH R S P EY S
AIRSPACES	EH R S P EY S IH Z
ALLEGIANCE	AH L IY JH AH N S
ALLEGIANCES	AH L IY JH AH N S IH Z
ALLIACEOUS	AE L IY AH S IY AH S
ALLIANCE	AH L AY AH N S
ALLIANCES	AH L AY AH N S IH Z
ALLOWANCE	AH L AW AH N S
ALLOWANCED	AH L AW AH N S T
ALLOWANCES	AH L AW AH N S IH Z
ALLSPICE	AO L S P AY S
ALLSPICES	AO L S P AY S IH Z
ALMUCE	AE L M Y UW S
ALMUCES	AE L M Y UW S AH Z
ALTARPIECE	AO L T ER P IY S
ALTARPIECES	AO L T ER P IY S IH Z
AMBIANCE	AE M B IY AH N S
AMBIANCES	AE M B IY AH N S IH Z
AMBIENCE	AE M B IY AH N S
AMBIENCES	AE M B IY AH N S IH Z
AMBIVALENCE	AE M B IH V AH L AH N S
AMBIVALENCES	AE M B IH V AH L AH N S IH Z
AMBSACE	AE M B S AH S
AMBSACES	AE M B S AH S AH Z
AMBULANCE	AE M B Y AH L AH N S
AMBULANCES	AE M B Y AH L AH N S IH Z
AMERCE	AE M AH R S
AMERCED	AE M AH R S T
AMERCEMENT	AH M AH R S M AH N T
AMERCEMENTS	AH M AH R S AH M AH N T S
AMERCER	AH M ER S ER
AMERCERS	AH M ER S ER Z
AMERCES	AH M AH R S AH Z
AMESACE	AE M AH Z AH S
AMESACES	AH M EH Z AH S AH Z
AMICE	AH M AY S
AMICES	AH M AY S IH Z
AMMOCETE	AE M AH S IY T
AMMOCETES	AE M AH S IY T S
AMNIOCENTESES	AE M N IY AA S AH N T IY Z AH Z
AMNIOCENTESIS	AE M N IY OW S EH N T IY S IH S
AMPHIMACER	AE M F IH M AH S AH R
AMPHIMACERS	AE M F IH M AH S AH R Z
ANCESTOR	AE N S EH S T ER
ANCESTORED	AE N S EH S T ER D
ANCESTORING	AE N S EH S T ER IH NG
ANCESTORS	AE N S EH S T ER Z
ANCESTRAL	AE N S EH S T R AH L
ANCESTRALLY	AE N S EH S T R AH L IY
ANCESTRESS	AE N S EH S T R AH S
ANCESTRESSES	AE N S EH S T R EH S AH Z
ANCESTRIES	AE N S EH S T R IY Z
ANCESTRY	AE N S EH S T R IY
ANDROCENTRIC	AE N D R AH S AH N T R AH K
ANENCEPHALIC	AE N EH N S EH F AE L IH K
ANENCEPHALIC(2)	AE N IH N S EH F AH L IH K
ANENCEPHALIES	AH N EH N S EH F AH L AY Z
ANENCEPHALY	AE N IH N S EH F AH L IY
ANGLICE	AE N G L AH S
ANLACE	AE N L AH S
ANLACES	AE N L AH S AH Z
ANNOUNCE	AH N AW N S
ANNOUNCED	AH N AW N S T
ANNOUNCEMENT	AH N AW N S M EH N T
ANNOUNCEMENTS	AH N AW N S M EH N T S
ANNOUNCER	AH N AW N S ER
ANNOUNCERS	AH N AW N S ER Z
ANNOUNCES	AH N AW N S IH Z
ANNOYANCE	AH N OY AH N S
ANNOYANCES	AH N OY AH N S IH Z
ANTECEDE	AE N T AH S IY D
ANTECEDED	AE N T AH S IY D AH D
ANTECEDENCE	AE N T EH S AH D AH N S
ANTECEDENCES	AE N T EH S AH D EH N S AH Z
ANTECEDENT	AE N T EH S AH D AH N T
ANTECEDENT(2)	AE N T IH S IY D AH N T
ANTECEDENTLY	AE N T AH S IY D AH N T L IY
ANTECEDENTS	AE N T IH S IY D AH N T S
ANTECEDENTS(2)	AE N T EH S AH D AH N T S
ANTECEDES	AE N T AH S IY D Z
ANTECEDING	AE N T AH S IY D AH NG
ANTECESSOR	AE N T AH S EH S AH R
ANTECESSORS	AE N T AH S EH S AH R Z
ANTHELICES	AE N TH AH L AH S
ANTHRACENE	AE N TH R AH S IY N
ANTHRACENES	AE N TH R AH S IY N Z
ANTHRACES	AE N TH R AH S AH Z
ANTHROPOCENTRIC	AE N TH R AH P AH S EH N T R IH K
ANTHROPOCENTRICALLY	AE N TH R AH P AH S EH N T R AH K AE L IY
ANTHROPOCENTRICITIES	AE N TH R AA P AH S EH N T R IH S AH T AY Z
ANTHROPOCENTRICITY	AE N TH R AA P AH S EH N T R IH S AH T IY
ANTHROPOCENTRISM	AE N TH R AA P AH S AH N T R IH Z AH M
ANTHROPOCENTRISMS	AE N TH R AH P AH S EH N T R AH Z AH M Z
ANTICANCER	AE N T AY K AE N S ER
ANTICANCER(2)	AE N T IY K AE N S ER
ANTICELLULITE	AE N T AH S EH L AH L AY T
ANTICENSORSHIP	AE N T AY S EH N S ER SH IH P
ANTIMISCEGENATION	AE N T AY M IH S EH JH AH N EY SH AH N
ANTIOBSCENITIES	AE N T AY AA B S EH N AH T IY Z
ANTIOBSCENITY	AE N T AY AA B S EH N AH T IY
ANTIPOLICE	AE N T AY P AH L IY S
ANTIRECESSION	AE N T AY R IY S EH SH AH N
ANTIRECESSIONARY	AE N T AY R IY S EH SH AH N EH R IY
ANTIRECESSIONS	AE N T AY R IY S EH SH AH N Z
ANTISCIENCE	AE N T AY S AY AH N S
ANTISCIENCES	AE N T AY S AY AH N S IH Z
ANTIULCER	AE N T AY AH L S ER
ANTIVIOLENCE	AE N T AY V AY AH L AH N S
ANYPLACE	EH N IY P L EY S
APACE	AH P EY S
APICES	EY P IH K S IH Z
APIECE	AH P IY S
APOTHECE	AE P AH TH IY S
APOTHECES	AE P AH TH IY S AH Z
APPEARANCE	AH P IH R AH N S
APPEARANCES	AH P IH R AH N S AH Z
APPENDICECTOMIES	AE P EH N D AH S EH K T AH M AY Z
APPENDICECTOMY	AE P EH N D AH S EH K T AH M IY
APPENDICES	AH P EH N D IH K S IH Z
APPERCEIVE	AE P AH R S IY AH V
APPERCEIVED	AE P AH R S IY AH V D
APPERCEIVES	AE P AH R S IY AH V Z
APPERCEIVING	AE P AH R S IY AH V AH NG
APPERCEPTION	AE P AH R S EH P AH N
APPERCEPTIONS	AE P AH R S EH P T IY AH N Z
APPERCEPTIVE	AE P AH R S EH P T AH V
APPETENCE	AE P AH T AH N S
APPETENCES	AE P AH T EH N S AH Z
APPLESAUCE	AE P AH L S AO S
APPLESAUCES	AE P AH L S AO S IH Z
APPLIANCE	AH P L AY AH N S
APPLIANCES	AH P L AY AH N S IH Z
APPRENTICE	AH P R EH N T AH S
APPRENTICE(2)	AH P R EH N T IH S
APPRENTICED	AH P R EH N T AH S T
APPRENTICES	AH P R EH N T AH S IH Z
APPRENTICESHIP	AH P R EH N T AH S SH IH P
APPRENTICESHIPS	AH P R EH N T AH S SH IH P S
APPURTENANCE	AE P AH R T AH N AH N S
APPURTENANCES	AE P AH R T AH N AE N S AH Z
ARACEOUS	AH R EY S AH S
ARBORESCENCE	AA R B AH R EH S AH N S
ARBORESCENCES	AA R B AH R AH S EH N S AH Z
ARBORESCENT	AA R B AH R EH S AH N T
ARCED	AA R K T
ARCHDIOCESAN	AA R CH D AY AE S AH S AH N
ARCHDIOCESE	AA R CH D AY AH S AH S
ARCHDIOCESE(2)	AA R CH D AY AH S IY Z
ARCHDIOCESES	AA R CH D AY AH S AH S IH Z
ARENACEOUS	AE R AH N AH S IY AH S
AREOCENTRIC	AH R IY AH S AH N T R AH K
ARGILLACEOUS	AA R JH IH L AH S IY AH S
ARMISTICE	AA R M AH S T AH S
ARMISTICES	AA R M AH S T AH S IH Z
ARROGANCE	EH R AH G AH N S
ARROGANCES	AE R AH G AH N S IH Z
ARTIFICE	AA R T AH F IH S
ARTIFICER	AA R T AH F AH S ER
ARTIFICERS	AA R T AH F AH S ER Z
ARTIFICES	AA R T AH F AH S IH Z
ARUSPICES	AH R AH S AH S
ASCEND	AH S EH N D
ASCENDABLE	AH S EH N D AH B AH L
ASCENDANCE	AH S EH N D AH N S
ASCENDANCES	AH S EH N D AH N S IH Z
ASCENDANCIES	AH S EH N D AH N S IY Z
ASCENDANCY	AH S EH N D AH N S IY
ASCENDANT	AH S EH N D AH N T
ASCENDANTLY	AH S EH N D AH N T L IY
ASCENDANTS	AH S EH N D AH N T S
ASCENDED	AH S EH N D AH D
ASCENDENCE	AH S EH N D AH N S
ASCENDENCES	AH S EH N D AH N S IH Z
ASCENDENCIES	AH S EH N D AH N S IY Z
ASCENDENCY	AH S EH N D AH N S IY
ASCENDENT	AH S EH N D AH N T
ASCENDENTS	AH S EH N D AH N T S
ASCENDER	AH S EH N D ER
ASCENDERS	AH S EH N D ER Z
ASCENDIBLE	AH S EH N D AH B AH L
ASCENDING	AH S EH N D IH NG
ASCENDS	AH S EH N D Z
ASCENSION	AH S EH N SH AH N
ASCENSIONAL	AE S EH N S IY AH N AH L
ASCENSIONS	AE S EH N S IY AH N Z
ASCENSIVE	AE S EH N Z AH V
ASCENT	AH S EH N T
ASCENTS	AH S EH N T S
ASCERTAIN	AE S ER T EY N
ASCERTAINABLE	AE S ER T EY N AH B AH L
ASCERTAINED	AE S ER T EY N D
ASCERTAINING	AE S ER T EY N IH NG
ASCERTAINMENT	AE S ER T EY N M AH N T
ASCERTAINMENTS	AE S ER T EY N M AH N T S
ASCERTAINS	AE S ER T EY N Z
ASCESES	AE S IY Z AH Z
ASCESIS	AE S AH S AH S
ASCETIC	AH S EH T IH K
ASCETICAL	AH S EH T IH K AH L
ASCETICALLY	AH S EH T IH K AH L IY
ASCETICISM	AH S EH T AH S IH Z AH M
ASCETICISMS	AH S EH T AH S IH Z AH M Z
ASCETICS	AH S EH T IH K S
ASCOMYCETE	AE S AA M AH S IY T
ASCOMYCETES	AE S AA M AH S IY T S
ASCOMYCETOUS	AE S AH M IH S AH T AH S
ASKANCE	AH S K AE N S
ASSISTANCE	AH S IH S T AH N S
ASSISTANCES	AH S IH S T AH N S IH Z
ASSONANCE	AE S AH N AH N S
ASSONANCES	AE S AH N AH N S IH Z
ASSURANCE	AH SH UH R AH N S
ASSURANCES	AH SH UH R AH N S IH Z
ASSURANCES(2)	AH SH UH R AH N T S IH Z
ATTENDANCE	AH T EH N D AH N S
ATTENDANCES	AH T EH N D AH N S IH Z
ATTRACTANCE	AH T R AE K T AH N S
ATTRACTANCES	AH T R AE K T AH N S IH Z
AUDIENCE	AA D IY AH N S
AUDIENCE(2)	AO D IY AH N S
AUDIENCES	AA D IY AH N S AH Z
AUDIENCES(2)	AO D IY AH N S AH Z
AUSPICE	AO S P IH S
AUSPICES	AO S P IH S IH Z
AUTOCEPHALIES	AO T AH S EH F AH L AY Z
AUTOCEPHALOUS	AO T AH S EH F AH L AH S
AUTOCEPHALY	AO T AH S EH F AH L IY
AVARICE	AE V ER AH S
AVARICES	AE V AH R AH S IH Z
AVIATRICES	EY V IY AE T R AH S
AVOCET	AE V AH S EH T
AVOCETS	AE V AH S AH T S
AVOIDANCE	AH V OY D AH N S
AVOIDANCES	AH V OY D AH N S IH Z
BACKSPACE	B AE K S P EY S
BACKSPACED	B AE K S P EY S T
BACKSPACES	B AE K S P EY S IH Z
BALANCE	B AE L AH N S
BALANCED	B AE L AH N S T
BALANCER	B AE L AH N S ER
BALANCERS	B AE L AH N S ER Z
BALANCES	B AE L AH N S IH Z
BARBICEL	B AA R B AH S AH L
BARBICELS	B AA R B AH S AH L Z
BAREFACED	B EH R F EY S T
BAREFACEDLY	B EH R F EY S AH D L IY
BAREFACEDNESS	B EH R F EY S AH D N AH S
BAREFACEDNESSES	B EH R F EY S AH D N AH S IH Z
BAROCEPTOR	B AE R AH S EH P T AH R
BAROCEPTORS	B AE R AH S EH P T AH R Z
BARORECEPTOR	B AH R AO R AH S EH P T AH R
BARORECEPTORS	B AE R AH R AH S EH P T AH R Z
BASIDIOMYCETE	B AH S AH D IY AA M AH S IY T
BASIDIOMYCETES	B AH S AH D IY AA M AH S IY T S
BASIDIOMYCETOUS	B AH S IH D IY AH M IH S AH T AH S
BECHANCE	B IH CH AE N S
BECHANCED	B IH CH AE N S T
BECHANCES	B IH CH AE N S IH Z
BEDUNCE	B AH D AH N S
BEDUNCED	B AH D AH N S T
BEDUNCES	B AH D AH N S AH Z
BELACED	B IH L EY S T
BELLIGERENCE	B AH L IH JH ER AH N S
BELLIGERENCES	B AH L IH JH ER AH N S IH Z
BENEFICE	B AH N IY F AH S
BENEFICED	B AH N IY F AH S T
BENEFICENCE	B AH N EH F AH S AH N S
BENEFICENCES	B AH N EH F AH S AH N S IH Z
BENEFICENT	B EH N AH F IH SH AH N T
BENEFICENTLY	B AH N EH F AH S EH N T L IY
BENEFICES	B AH N IY F AH S
BENEVOLENCE	B AH N EH V AH L AH N S
BENEVOLENCES	B AH N EH V AH L AH N S IH Z
BENZANTHRACENE	B IH N Z AE N TH R AH S IY N
BENZANTHRACENES	B IH N Z AE N TH R AH S IY N Z
BERCEUSE	B IH R S UW Z
BERCEUSES	B IH R S UW Z AH Z
BIACETYL	B AY AE S AH T AH L
BIACETYLS	B AY AE S AH T AH L Z
BICE	B AY S
BICENTENARIES	B AY S EH N T AH N EH R IY Z
BICENTENARY	B AY S EH N T IH N EH R IY
BICENTENNIAL	B AY S EH N T EH N IY AH L
BICENTENNIALS	B AY S EH N T EH N IY AH L Z
BICEPS	B AY S EH P S
BICEPSES	B AY S EH P S IH Z
BICES	B IY IH K S IH Z
BIFACE	B AY F EY S
BIFACES	B AY F EY S IH Z
BIOCENOSES	B AY AA S AH N OW Z AH Z
BIOCENOSIS	B AY AA S AH N OW S AH S
BIOLUMINESCENCE	B AY AH L AH M AH N EH S AH N S
BIOLUMINESCENCES	B AY AH L AH M AH N AH S EH N S AH Z
BIOLUMINESCENT	B AY AH L AH M AH N EH S AH N T
BIOSCIENCE	B AY OW S AY AH N S
BIOSCIENCES	B AY OW S AY AH N S IH Z
BIREFRINGENCE	B AY R IH F R IH N JH AH N S
