KO	K OW
KOPEK	K OW P AH K
KOPEKS	K OW P AH K S
KOPH	K AA F
KOPHS	K AA F S
KOPJE	K AA P JH
KOPJES	K AA P JH AH Z
KOPPA	K AA P AH
KOPPAS	K AA P AH Z
KOPPIE	K AA P AY
KOPPIES	K AA P AY Z
KOPS	K AA P S
KOR	K AO R
KORAI	K AO R EY
KORAT	K AO R AH T
KORATS	K AH R EY T S
KORE	K AO R
KORS	K AO R Z
KORUN	K AO R AH N
KORUNA	K AO R UW N AA
KORUNAS	K AH R UW N AH Z
KORUNY	K AH R UW N IY
KOS	K AA S
KOSHER	K OW SH ER
KOSHERED	K OW SH ER D
KOSHERING	K OW SH ER IH NG
KOSHERS	K OW SH ER S
KOSS	K AO S
KOTO	K OW T OW
KOTOS	K AA T AH Z
KOTOW	K AA T OW
KOTOWED	K AH T OW D
KOTOWER	K AA T OW AH R
KOTOWERS	K AA T OW AH R Z
KOTOWING	K AA T OW AH NG
KOTOWS	K AH T OW Z
KOUMIS	K AW M AH S
KOUMISES	K AW M AY Z AH Z
KOUMISS	K AW M AH S
KOUMISSES	K AW M IH S AH Z
KOUMYS	K AW M AH Z
KOUMYSES	K AW M AY Z AH Z
KOUMYSS	K AW M AH S
KOUMYSSES	K AW M IH S AH Z
KOUPREY	K UW P R IY
KOUPREYS	K UW P R EY Z
KOUROI	K AH R OY
KOUROS	K AH R AH Z
KOUSSO	K AW S OW
KOUSSOS	K AW S AH Z
KOWTOW	K AW T AW
KOWTOW(2)	K OW T OW
KOWTOWED	K OW T OW D
KOWTOWER	K OW T OW AH R
KOWTOWERS	K OW T OW AH R Z
KOWTOWING	K OW T OW AH NG
KOWTOWS	K OW T OW Z
KWASHIORKOR	K W AA SH IY AO R K AH R
KWASHIORKORS	K W AA SH IY AO R K AH R Z
LEUKOCYTE	L UW K AH S AY T
LEUKOCYTES	L UW K AH S AY T S
LEUKOCYTIC	L UW K AH S AH T AH K
LEUKOCYTOSES	L UW K AA S AH T OW Z AH Z
LEUKOCYTOSIS	L UW K AH S AH T OW S AH S
LEUKODYSTROPHIES	L UW K AH D IH S T R AH F AY Z
LEUKODYSTROPHY	L UW K AH D IH S T R AH F IY
LEUKOMA	L UW K AH M AH
LEUKOMAS	L UW K AH M AH Z
LEUKON	L UW K AH N
LEUKONS	L UW K AH N Z
LEUKOPENIA	L UW K AH P IY N Y AH
LEUKOPENIAS	L UW K AH P IY N Y AH Z
LEUKOPENIC	L UW K AH P AH N AH K
LEUKOPLAKIA	L UW K AH P L EY K IY AH
LEUKOPLAKIAS	L UW K AH P L EY K IY AH Z
LEUKOPLAKIC	L UW K AA P L AH K AH K
LEUKOPOIESES	L UW K AA P OY IY Z AH Z
LEUKOPOIESIS	L UW K AH P OY AH S AH S
LEUKOPOIETIC	L UW K AA P OY AH T AH K
LEUKORRHEA	L UW K AO R IY AH
LEUKORRHEAL	L UW K AO R IY AH L
LEUKORRHEAS	L UW K AO R IY Z
LEUKOSES	L UW K OW Z AH Z
LEUKOSIS	L UW K OW S AH S
LEUKOTIC	L UW K AH T AH K
LEUKOTOMIES	L UW K AA T AH M AY Z
LEUKOTOMY	L UW K AA T AH M IY
LEUKOTRIENE	L UW K AH T R IY N
LEUKOTRIENES	L UW K AH T R IY N Z
LOCKOUT	L AA K AW T
LOCKOUTS	L AA K AW T S
LOOKOUT	L UH K AW T
LOOKOUTS	L UH K AW T S
MAKO	M AA K OW
MAKOS	M EY K OW Z
MISRECKON	M IH S R EH K AH N
MISRECKONED	M IH S R EH K AH N D
MISRECKONING	M IH S R EH K AH N IH NG
MISRECKONS	M IH S R EH K AH N Z
NONKOSHER	N AA N K OW SH ER
PACHINKO	P AH CH IH NG K OW
PACHINKOS	P AH CH IH NG K AH Z
PANLEUKOPENIA	P AE N L UW K AH P IY N Y AH
PANLEUKOPENIAS	P AE N L UW K AH P IY N Y AH Z
PEKOE	P EH K OW
PEKOES	P AH K OW Z
PICKOFF	P IH K AO F
PICKOFFS	P IH K AO F S
PINKO	P IH NG K OW
PINKOES	P IH NG K OW Z
PINKOS	P IH NG K OW Z
RECKON	R EH K AH N
RECKONED	R EH K AH N D
RECKONER	R EH K AH N ER
RECKONERS	R EH K AH N ER Z
RECKONING	R EH K AH N IH NG
RECKONING(2)	R EH K N IH NG
RECKONINGS	R EH K AH N IH NG Z
RECKONS	R EH K AH N Z
ROCKOON	R AA K UW N
ROCKOONS	R AA K UW N Z
SHACKO	SH AE K OW
SHACKOES	SH AE K OW Z
SHACKOS	SH AE K AA S
SHAKO	SH AE K OW
SHAKOES	SH AH K OW Z
SHAKOS	SH AE K AH Z
SHKOTZIM	SH K AA T S AH M
SICKO	S IH K OW
SICKOS	S IH K AA S
SICKOUT	S IH K AW T
SICKOUTS	S IH K AW T S
SILKOLINE	S IH L K AH L AY N
SILKOLINES	S IH L K AH L AY N Z
SKOAL	S K OW L
SKOALED	S K OW L D
SKOALING	S K OW L AH NG
SKOALS	S K OW L Z
SKOOKUM	S K UW K AH M
SKOSH	S K AA SH
SKOSHES	S K AA SH AH Z
SOCKO	S AA K OW
SOKOL	S OW K AH L
SOKOLS	S AA K AH L Z
SPANAKOPITA	S P AE N AH K AA P AH T AH
SPANAKOPITAS	S P AE N AH K AA P AH T AH Z
SPANOKOPITA	S P AE N AH K AA P AH T AH
SPANOKOPITAS	S P AE N AH K AA P AH T AH Z
STICKOUT	S T IH K AW T
STICKOUTS	S T IH K AW T S
STINKO	S T IH NG K OW
SUKKOT	S AH K AH T
SUKKOTH	S AH K AH TH
THYLAKOID	TH IH L AH K OY D
THYLAKOIDS	TH IH L AH K OY D Z
TOKOLOGIES	T AH K AA L AH JH AY Z
TOKOLOGY	T AH K AA L AH JH IY
TOKOMAK	T AA K AH M AH K
TOKOMAKS	T AA K AH M AH K S
TOKONOMA	T AH K AA N AH M AH
TOKONOMAS	T AH K AA N AH M AH Z
TURKOIS	T AH R K OW AH S
TURKOISES	T AH R K OY Z AH Z
UNKOSHER	AH N K OW SH ER
WACKO	W AE K OW
WACKOES	W AE K OW Z
WACKOS	W AE K OW Z
WALKOUT	W AO K AW T
WALKOUTS	W AO K AW T S
WALKOVER	W AO K OW V ER
WALKOVERS	W AO K OW V ER Z
WHACKO	W AE K OW
WHACKOS	W AE K OW Z
WORKOUT	W ER K AW T
WORKOUTS	W ER K AW T S
YOKOZUNA	Y AA K AH Z UW N AH
YOKOZUNAS	Y AA K AH Z UW N AH Z
ZELKOVA	Z EH L K AH V AH
ZELKOVAS	Z EH L K AH V AH Z
NGULTRUM	N G AH L T R AH M
NTH	EH N TH
OUISTITI	AW IH S T AH T IY
EGER	IY G ER
NU	N UW
EEL	IY L
ANAL	EY N AH L
