ME	M IY
ACROSOMES	AE K R AH S AH M Z
ACTINOMETER	AE K T AH N AA M AH T ER
ACTINOMETERS	AE K T AH N AA M AH T ER Z
ACTINOMETRIC	AE K T IH N AH M AH T R AH K
ACTINOMETRIES	AE K T AH N AH M EH T R AY Z
ACTINOMETRY	AE K T AH N AH M EH T R IY
ACUMEN	AH K Y UW M AH N
ACUMENS	AH K Y UW M AH N Z
ADEEMED	AH D IY M D
ADJOURNMENT	AH JH ER N M AH N T
ADJOURNMENTS	AH JH ER N M AH N T S
ADJUSTMENT	AH JH AH S T M AH N T
ADJUSTMENTAL	AH JH AH S T M AH N T AH L
ADJUSTMENTS	AH JH AH S T M AH N T S
ADMEASURE	AE D M IY ZH Y AH R
ADMEASURED	AE D M IY ZH Y AH R D
ADMEASUREMENT	AE D M AH S UH R M AH N T
ADMEASUREMENTS	AE D M AH S UH R AH M AH N T S
ADMEASURES	AE D M IY ZH Y AH R Z
ADMEASURING	AE D M IY ZH Y AH R AH NG
ADMEN	AE D M AH N
ADMONISHMENT	AE D M AA N IH SH M EH N T
ADMONISHMENTS	AE D M AA N IH SH M AH N T S
ADORNMENT	AH D AO R N M AH N T
ADORNMENTS	AH D AO R N M AH N T S
ADRENOCHROME	AE D R EH N AH K R OW M
ADRENOCHROMES	AE D R EH N AH K R OW M Z
ADVANCEMENT	AH D V AE N S M AH N T
ADVANCEMENTS	AH D V AE N S M AH N T S
ADVENTURESOME	AE D V EH N CH ER S AH M
ADVENTURESOMENESS	AH D V EH N CH ER S AH M N AH S
ADVENTURESOMENESSES	AH D V EH N CH ER S AH M N AH S IH Z
ADVERTISEMENT	AE D V ER T AH Z M AH N T
ADVERTISEMENT(2)	AE D V ER T AY Z M AH N T
ADVERTISEMENTS	AE D V ER T AY Z M AH N T S
ADVERTIZEMENT	AE D V ER T AY Z M AH N T
ADVERTIZEMENTS	AE D V ER T AY Z M AH N T S
ADVISEMENT	AH D V AY Z M AH N T
ADVISEMENTS	AH D V AY Z M AH N T S
AERODROME	EH R AH D R OW M
AERODROMES	EH R AH D R OW M Z
AEROGRAMME	AH R AA G R AH M
AEROGRAMMES	AH R AA G R AH M Z
AEROMECHANICS	EH R AH M EH CH AH N AH S Z
AEROMEDICAL	AH R AA M AH D IH S AH L
AEROMEDICINE	AH R AH M EH D AH S AY N
AEROMEDICINES	AH R AH M EH D AH S AY N Z
AEROMETER	AH R AA M AH T AH R
AEROMETERS	AH R AA M AH T AH R Z
AERONOMER	EH R AH N OW M AH R
AERONOMERS	AH R AA N AH M AH R Z
AFFIRMED	AH F ER M D
AFFIRMER	AH F ER M ER
AFFIRMERS	AH F ER M ER Z
AFFIXMENT	AH F IH K S M AH N T
AFFIXMENTS	AH F IH K S M AH N T S
AFLAME	AH F L EY M
AFOREMENTIONED	AH F AO R M EH N SH AH N D
AFTERTIME	AE F T ER T AY M
AFTERTIMES	AE F T ER T AY M Z
AGAMETE	AE G AH M IY T
AGAMETES	AE G AH M IY T S
AGGIORNAMENTO	AE JH IY AO R N AH M EH N T OW
AGGIORNAMENTOS	EY JH IY ER N EY M AH N T AA S
AGGLOMERATE	AH G L AA M ER EY T
AGGLOMERATED	AH G L AA M AH R EY T IH D
AGGLOMERATES	AH G L AA M AH R EY T S
AGGLOMERATING	AH G L AA M AH R EY T IH NG
AGGLOMERATION	AH G L AA M ER EY SH AH N
AGGLOMERATIONS	AH G L AA M AH R EY SH AH N Z
AGGLOMERATIVE	AH G L AA M AH R EY T IH V
AGGRANDIZEMENT	AE G R AH N D AY Z M AH N T
AGGRANDIZEMENT(2)	AH G R AE N D AY Z M AH N T
AGGRANDIZEMENTS	AE G R AH N D IH Z AH M AH N T S
AGGRIEVEMENT	AH G R IY V M AH N T
AGGRIEVEMENTS	AH G R IY V M AH N T S
AGLIMMER	AH G L IH M ER
AGNOMEN	AE G N OW M AH N
AGNOMENS	AE G N OW M AH N Z
AGREEMENT	AH G R IY M AH N T
AGREEMENTS	AH G R IY M AH N T S
AGRIBUSINESSMEN	AE G R AH B Y UW S AH N EH S M AH N
AIDMEN	EY D M EH N
AILMENT	EY L M AH N T
AILMENTS	EY L M AH N T S
AIMED	EY M D
AIMER	EY M ER
AIMERS	EY M ER Z
AIRDROME	AE AH R D R OW M
AIRDROMES	AE AH R D R OW M Z
AIRFRAME	EH R F R EY M
AIRFRAMES	EH R F R EY M Z
AIRMEN	EH R M EH N
AIRTIME	EH R T AY M
AIRTIMES	AH IH R T AY M Z
AIRWOMEN	AH IH R W IH M AH N
ALAMEDA	AE L AH M IY D AH
ALAMEDAS	AH L AE M AH D AH Z
ALARMED	AH L AA R M D
ALARUMED	AE L AH R UW M D
ALBUMEN	AE L B AH M AH N
ALBUMENS	AE L B AH M AH N Z
ALDERMEN	AO L D ER M IH N
ALDERWOMEN	AE L D AH R W AH M AH N
ALIGHTMENT	AH L AY T M AH N T
ALIGHTMENTS	AH L AY T M AH N T S
ALIGNMENT	AH L AY N M AH N T
ALIGNMENTS	AH L AY N M AH N T S
ALIMENT	AH L AY M AH N T
ALIMENTARY	AE L AH M EH N T ER IY
ALIMENTATION	AH L AY M AH N T EY SH AH N
ALIMENTATIONS	AH L AY M AH N T EY SH AH N Z
ALIMENTED	AH L AY M AH N T IH D
ALIMENTING	AH L AY M AH N T IH NG
ALIMENTS	AH L AY M AH N T S
ALINEMENT	AH L AY N M AH N T
ALINEMENTS	AH L AY N M AH N T S
ALKALIMETER	AE L K AH L AY M IY T ER
ALKALIMETERS	AE L K AH L AY M IY T ER Z
ALKALIMETRIES	AE L K AH L AY M IY T ER IY Z
ALKALIMETRY	AE L K AH L AY M IY T ER IY
ALLOMETRIC	AE L AH M AH T R AH K
ALLOMETRIES	AE L AH M EH T R AY Z
ALLOMETRY	AE L AH M EH T R IY
ALLOTMENT	AH L AA T M AH N T
ALLOTMENTS	AH L AA T M AH N T S
ALLUREMENT	AH L UH R M AH N T
ALLUREMENTS	AH L UH R M AH N T S
ALME	AE L M
ALMEH	AE L M
ALMEHS	AE L M AH Z
ALMEMAR	AE L M AH M AH R
ALMEMARS	AE L M AH M AH R Z
ALMES	AE M Z
ALMSMEN	AE L M Z M AH N
ALPHAMERIC	AE L F AH M IH ER IH K
ALPHANUMERIC	AE L F AH N UW M EH R IH K
ALPHANUMERICAL	AE L F AH N UH M EH R IH K AH L
ALPHANUMERICALLY	AE L F AH N UH M EH R IH K AH L IY
ALPHANUMERICS	AE L F AH N UW M ER IH K S
ALTIMETER	AE L T IH M AH T ER
ALTIMETERS	AE L T IH M AH T ER Z
ALTIMETRIES	AE L T AH M EH T R AY Z
ALTIMETRY	AE L T IH M AH T R IY
AMASSMENT	AH M AE S M AH N T
AMASSMENTS	AH M AE S M AH N T S
AMAZEMENT	AH M EY Z M AH N T
AMAZEMENTS	AH M EY Z M AH N T S
AMBUSHMENT	AE M B UH SH M AH N T
AMBUSHMENTS	AE M B UH SH M AH N T S
AMEBA	AE M AH B AH
AMEBAE	AE M AH B IY
AMEBAN	AE M AH B AH N
AMEBAS	AE M AH B AH Z
AMEBEAN	AH M IY B IY AH N
AMEBIASES	AH M IY B IY EY Z AH Z
AMEBIASIS	AE M AH B IY AH S AH S
AMEBIC	AE M AH B AH K
AMEBOCYTE	AH M EH B AH S AY T
AMEBOCYTES	AH M EH B AH S AY T S
AMEBOID	AE M AH B OY D
AMEER	EY M IH R
AMEERATE	EY M AH R EY T
AMEERATES	EY M AH R EY T S
AMEERS	EY M AH R Z
AMELCORN	AH M EH L K AH R N
AMELCORNS	AH M EH L K AH R N Z
AMELIORATE	AH M IY L Y ER EY T
AMELIORATED	AH M IY L IY ER EY T IH D
AMELIORATED(2)	AH M IY L Y ER EY T IH D
AMELIORATES	AH M IY L IY AH R EY T S
AMELIORATING	AH M IY L IY AH R EY T AH NG
AMELIORATION	AH M IY L Y ER EY SH AH N
AMELIORATIONS	AH M IY L Y AH R EY SH AH N Z
AMELIORATIVE	AH M IY L IY AH R EY T AH V
AMELIORATOR	AH M IY L IY AH R EY T AH R
AMELIORATORS	AH M IY L IY AO R AH T AH R Z
AMELIORATORY	AE M AH L IY AH R AH T AO R IY
AMELOBLAST	AE M AH L AA B L AH S T
AMELOBLASTS	AE M AH L AA B L AH S T S
AMEN	EY M EH N
AMEN(2)	AA M EH N
AMENABILITIES	AH M EH N AH B IH L AH T EH Z
AMENABILITY	AH M EH N AH B IH L AH T EH
AMENABLE	AH M EH N AH B AH L
AMENABLE(2)	AH M IY N AH B AH L
AMENABLY	AH M EH N AH B L IY
AMEND	AH M EH N D
AMENDABLE	AH M EH N D AH B AH L
AMENDATORY	AH M EH N D AH T OW R IY
AMENDED	AH M EH N D IH D
AMENDER	AH M EH N D ER
AMENDERS	AH M EH N D ER Z
AMENDING	AH M EH N D IH NG
AMENDMENT	AH M EH N D M AH N T
AMENDMENTS	AH M EH N D M AH N T S
AMENDS	AH M EH N D Z
AMENITIES	AH M EH N AH T IY Z
AMENITY	AH M EH N AH T IY
AMENORRHEA	AH M EH N ER R IY AH
AMENORRHEAS	AH M EH N ER R IY AH Z
AMENORRHEIC	AE M AH N AO R IY AH K
AMENS	AH M EH N Z
AMENT	AE M IH N T
AMENTIA	AH M EH N CH IY AH
AMENTIAS	AH M EH N T IY AH Z
AMENTIFEROUS	AH M EH N T IH F AH R AH S
AMENTS	AE M AH N T S
AMERCE	AE M AH R S
AMERCED	AE M AH R S T
AMERCEMENT	AH M AH R S M AH N T
AMERCEMENTS	AH M AH R S AH M AH N T S
AMERCER	AH M ER S ER
AMERCERS	AH M ER S ER Z
AMERCES	AH M AH R S AH Z
AMERCIABLE	AH M ER S IY AH B AH L
AMERCING	AH M AH R S AH NG
AMERICIUM	AE M AH R IH S IY AH M
AMERICIUMS	AE M AH R IH S IY AH M Z
AMESACE	AE M AH Z AH S
AMESACES	AH M EH Z AH S AH Z
AMETHYST	AE M IH TH IH S T
AMETHYSTINE	AE M AH TH IH S T AH N
AMETHYSTS	AE M AH TH AH S T S
AMETROPIA	AE M AH T R OW P IY AH
AMETROPIAS	AE M AH T R OW P IY AH Z
AMETROPIC	AH M EH T R OW P IH K
AMMETER	AE M IY T ER
AMMETERS	AE M IY T ER Z
AMPEROMETRIC	AE M P EH R AH M AH T R AH K
AMUSEMENT	AH M Y UW Z M AH N T
AMUSEMENTS	AH M Y UW Z M AH N T S
ANAGRAMMED	AE N AH G R AE M D
ANALCIME	AE N AH L S AY M
ANALCIMES	AE N AH L S AY M Z
ANCHORMEN	AE NG K ER M EH N
ANCHORWOMEN	AE NG K ER W IH M AH N
ANDROMEDA	AE N D R AA M AH D AH
ANDROMEDAS	AE N D R AA M AH D AH Z
ANEMOMETER	AE N AH M AA M AH T ER
ANEMOMETERS	AE N AH M AA M AH T AH R Z
ANEMOMETRIES	AE N AH M AH M EH T R AY Z
ANEMOMETRY	AE N AH M AH M EH T R IY
ANIME	AH N AY M
ANIMES	AH N AY M Z
ANISOMETROPIA	AH N IH S AH M AH T R OW P IY AH
ANISOMETROPIAS	AH N IH S AH M AH T R OW P IY AH Z
ANISOMETROPIC	AE N AH S AH M EH T R AH P AH K
ANNOUNCEMENT	AH N AW N S M EH N T
ANNOUNCEMENTS	AH N AW N S M EH N T S
ANNULMENT	AE N AH L M AH N T
ANNULMENTS	AE N AH L M AH N T S
ANOINTMENT	AH N OY N T M AH N T
ANOINTMENTS	AH N OY N T M AH N T S
ANTHEMED	AE N TH AH M D
ANTHROPOMETRIC	AE N TH R AA P AH M AH T R AH K
ANTHROPOMETRIES	AE N TH R AH P AH M EH T R AY Z
ANTHROPOMETRY	AE N TH R AH P AH M EH T R IY
ANTICOMMERCIAL	AE N T AY K AH M ER SH AH L
ANTICOMMERCIALISM	AE N T AY K AH M ER SH AH L IH Z AH M
ANTICOMMERCIALISMS	AE N T AY K AH M ER SH AH L IH Z AH M Z
ANTICONGLOMERATE	AE N T AY K AH N G L AA M ER AH T
ANTICONSUMER	AE N T AY K AH N S UW M ER
ANTICONSUMERS	AE N T AY K AH N S UW M ER Z
ANTICRIME	AE N T IY K R AY M
ANTICRIME(2)	AE N T AY K R AY M
ANTIDEVELOPMENT	AE N T AY D IH V EH L AH P M AH N T
ANTIEMETIC	AE N T IY M IY T IH K
ANTIEMETICS	AE N T IY M IY T IH K S
ANTIESTABLISHMENT	AE N T AY IH S T AE B L IH SH M AH N T
ANTIGOVERNMENT	AE N T IY G AH V ER M AH N T
ANTIGOVERNMENT(2)	AE N T AY G AH V ER M AH N T
ANTIMANAGEMENT	AE N T AY M AE N IH JH M AH N T
ANTIMANAGEMENTS	AE N T AY M AE N IH JH M AH N T S
ANTIMECHANIST	AE N T AY M EH K AH N AH S T
ANTIMECHANISTS	AE N T AY M EH K AH N AH S T S
ANTIMERE	AE N T AY M IH ER
ANTIMERES	AE N T AY M IH ER Z
ANTIMERGER	AE N T AY M ER JH ER
ANTIMETABOLIC	AE N T AY M EH T AH B AA L IH K
ANTIMETABOLICS	AE N T AY M EH T AH B AA L IH K S
ANTIMETABOLITE	AE N T AY M AH T AE B AH L AY T
ANTIMETABOLITES	AE N T AY M AH T AE B AH L AY T S
ANTIMETAPHYSICAL	AE N T AY M EH T AH F IH Z IH K AH L
ANTISENTIMENTAL	AE N T AY S EH N T AH M EH N T AH L
ANTISYMMETRIC	AE N T AY S AH M EH T R IH K
ANTIUNEMPLOYMENT	AE N T AY AH N IH M P L OY M AH N T
ANYTIME	EH N IY T AY M
APARTMENT	AH P AA R T M AH N T
APARTMENTAL	AH P AA R T M AH N T AH L
APARTMENTS	AH P AA R T M AH N T S
APOENZYME	AE P OW AH N Z AY M
APOENZYMES	AE P OW AH N Z AY M Z
APPEASEMENT	AH P IY Z M AH N T
APPEASEMENTS	AH P IY Z M AH N T S
APPOINTMENT	AH P OY N T M AH N T
APPOINTMENTS	AH P OY N T M AH N T S
APPORTIONMENT	AH P AO R SH AH N M AH N T
APPORTIONMENTS	AH P OW R SH AH N M AH N T S
APPRAISEMENT	AH P R EY Z M AH N T
APPRAISEMENTS	AH P R EY Z M AH N T S
ARBITRAMENT	AA R B IH T R AH M AH N T
ARBITRAMENTS	AA R B IH T R AH M AH N T S
ARGUMENT	AA R G Y AH M AH N T
ARGUMENTA	AA R G Y AH M EH N T AH
ARGUMENTATION	AA R G Y AH M EH N T EY SH AH N
ARGUMENTATIONS	AA R G Y AH M AH N T EY SH AH N Z
ARGUMENTATIVE	AA R G Y AH M EH N T AH T IH V
ARGUMENTATIVELY	AA R G Y AH M AH N T AH T IH V L IY
ARGUMENTIVE	AA R G Y AH M AH N T IH V
ARGUMENTS	AA R G Y AH M AH N T S
ARGUMENTUM	AA R G Y AH M EH N T AH M
ARITHMETIC	EH R IH TH M EH T IH K
ARITHMETIC(2)	ER IH TH M AH T IH K
ARITHMETICAL	AE R IH TH M EH T IH K AH L
ARITHMETICALLY	AE R IH TH M EH T IH K AH L IY
ARITHMETICIAN	AH R IH TH M AH T IH S IY AH N
ARITHMETICIANS	AH R IH TH M AH T IH S IY AH N Z
ARITHMETICS	AH R IH TH M AH T IH K S
ARMAMENT	AA R M AH M AH N T
ARMAMENTARIA	AA R M AH M AH N T AE R IY AH
ARMAMENTARIUM	AA R M AH M AH N T AE R IY AH M
ARMAMENTARIUMS	AA R M AH M AH N T AE R IY AH M Z
ARMAMENTS	AA R M AH M AH N T S
ARMED	AA R M D
ARMER	AA R M ER
ARMERS	AA R M ER Z
ARMET	AA R M AH T
ARMETS	AA R M AH T S
ARRAIGNMENT	ER EY N M AH N T
ARRAIGNMENTS	ER EY N M AH N T S
ARRANGEMENT	ER EY N JH M AH N T
ARRANGEMENTS	ER EY N JH M AH N T S
ARRESTMENT	AH R EH S T M AH N T
ARRESTMENTS	AH R EH S T M AH N T S
ARRONDISSEMENT	AE R AA N D IH S M AH N T
ARRONDISSEMENTS	AE R AH N D IH S AH M AH N T S
ARTILLERYMEN	AA R T IH L AH R IY M EH N
ASCERTAINMENT	AE S ER T EY N M AH N T
ASCERTAINMENTS	AE S ER T EY N M AH N T S
ASHAMED	AH SH EY M D
ASHAMEDLY	AH SH EY M AH D L IY
ASHMEN	AE SH M EH N
ASPARTAME	AE S P ER T EY M
ASPARTAMES	AH S P AA R T EY M Z
ASSEMBLYMEN	AH S EH M B L IY M IH N
ASSEMBLYWOMEN	AH S EH M B L IY W IH M AH N
ASSESSMENT	AH S EH S M AH N T
ASSESSMENTS	AH S EH S M AH N T S
ASSIGNMENT	AH S AY N M AH N T
ASSIGNMENTS	AH S AY N M AH N T S
ASSOILMENT	AE S OY L M AH N T
ASSOILMENTS	AE S OY L M AH N T S
ASSORTMENT	AH S AO R T M AH N T
ASSORTMENTS	AH S AO R T M AH N T S
ASSUAGEMENT	AH S W EY JH M AH N T
ASSUAGEMENTS	AH S W EY JH M AH N T S
ASSUME	AH S UW M
ASSUMED	AH S UW M D
ASSUMER	AH S UW M ER
ASSUMERS	AH S UW M ER Z
ASSUMES	AH S UW M Z
ASTONISHMENT	AH S T AA N IH SH M AH N T
ASTONISHMENTS	AH S T AA N IH SH M AH N T S
ASTRODOME	AE S T R AH D OW M
ASTRODOMES	AE S T R AH D OW M Z
ASTROMETRIC	AE S T R AH M AH T R AH K
ASTROMETRIES	AE S T R AH M EH T R AY Z
ASTROMETRY	AE S T R AH M EH T R IY
ASTRONOMER	AH S T R AA N AH M ER
ASTRONOMERS	AH S T R AA N AH M ER Z
ASYMMETRIC	EY S AH M EH T R IH K
ASYMMETRICAL	EY S AH M EH T R IH K AH L
ASYMMETRICALLY	EY S AH M EH T R IH K AH L IY
ASYMMETRIES	EY S IH M AH T R IY Z
ASYMMETRY	EY S IH M AH T R IY
ATMOMETER	AE T M AA M AH T AH R
ATMOMETERS	AE T M AA M AH T AH R Z
ATONEMENT	AH T OW N M AH N T
ATONEMENTS	AH T OW N M AH N T S
ATTACHMENT	AH T AE CH M AH N T
ATTACHMENTS	AH T AE CH M AH N T S
ATTACKMEN	AH T AE K M EH N
ATTAINMENT	AH T EY N M AH N T
ATTAINMENTS	AH T EY N M AH N T S
ATTORNMENT	AE T AO R N M AH N T
ATTORNMENTS	AE T AO R N M AH N T S
ATTUNEMENT	AH T UW N M AH N T
ATTUNEMENTS	AH T UW N M AH N T S
AUDIOMETER	AO D IY OW M IY T ER
AUDIOMETERS	AO D IY OW M IY T ER Z
AUDIOMETRIC	AO D IY OW M EH T R IH K
AUDIOMETRIES	AO D IY OW M IY T ER IY Z
AUDIOMETRY	AO D IY OW M IY T ER IY
AUGMENT	AO G M EH N T
AUGMENTATION	AA G M EH N T EY SH AH N
AUGMENTATIONS	AO G M EH N T EY SH AH N Z
AUGMENTATIVE	AO G M EH N T AH T IH V
AUGMENTATIVES	AO G M EH N T AH T IH V Z
AUGMENTED	AA G M EH N T AH D
AUGMENTER	AO G M EH N T ER
AUGMENTERS	AO G M EH N T ER Z
AUGMENTING	AO G M EH N T IH NG
AUGMENTOR	AO G M EH N T ER
AUGMENTORS	AO G M EH N T ER Z
AUGMENTS	AO G M EH N T S
AUSFORMED	AO S AH R M D
AUTOMEN	AO T OW M EH N
AUTOSOME	AO T OW S AH M
AUTOSOMES	AO T OW S AH M Z
AUTOTRANSFORMER	AO T OW T R AE N S F AO R M ER
AUTOTRANSFORMERS	AO T OW T R AE N S F AO R M ER Z
AVERMENT	AH V EH R M AH N T
AVERMENTS	AH V EH R M AH N T S
AVOUCHMENT	AH V AW CH M AH N T
AVOUCHMENTS	AH V AW CH M AH N T S
AWESOME	AA S AH M
AWESOME(2)	AO S AH M
AWESOMELY	AA S AH M L IY
AWESOMELY(2)	AO S AH M L IY
AWESOMENESS	AO S AH M N AH S
AWESOMENESSES	AO S AH M N AH S IH Z
AXEMEN	AE K S M EH N
AXISYMMETRIC	AE K S AH S IH M AH T R AH K
AXISYMMETRICAL	AE K S AH S IH M EH T R IH S AH L
AXISYMMETRIES	AE K S AH S IH M EH T R AY Z
AXISYMMETRY	AE K S AH S AH M EH T R IY
AXMEN	AE K S M EH N
AXONEME	AE K S AH N IY M
AXONEMES	AE K S AH N IY M Z
AXONOMETRIC	AE K S AA N AH M AH T R AH K
BABBLEMENT	B AE B AH L M AH N T
BABBLEMENTS	B AE B AH L M AH N T S
BACKCOURTMEN	B AE K OW R T M EH N
BACKWOODSMEN	B AE K W UH D Z M EH N
BADMEN	B AE D M EH N
BAFFLEMENT	B AE F AH L M AH N T
BAFFLEMENTS	B AE F AH L M AH N T S
BAGMEN	B AE G M EH N
BAILMENT	B EY L M AH N T
BAILMENTS	B EY L M AH N T S
BAILSMEN	B EY L Z M EH N
BAKEMEAT	B EY K M IY T
BAKEMEATS	B EY K M IY T S
BALLGAME	B AO L G EY M
BALLGAMES	B AO L G EY M Z
BALSAMED	B AO L S AH M D
BAMBOOZLEMENT	B AE M B UW Z L M AH N T
BAMBOOZLEMENTS	B AE M B UW Z L AH M AH N T S
BAMMED	B AE M D
BANDSMEN	B AE N D Z M EH N
BANISHMENT	B AE N IH SH M AH N T
BANISHMENTS	B AE N IH SH M AH N T S
BARGEMEN	B AA R JH EH M AH N
BARMEN	B AA R M EH N
BARNSTORMED	B AA R N S T AO R M D
BARNSTORMER	B AA R N S T AO R M ER
BARNSTORMERS	B AA R N S T AO R M ER Z
BAROMETER	B ER AA M IH T ER
BAROMETERS	B ER AA M IH T ER Z
BAROMETRIC	B AE R AH M EH T R IH K
BAROMETRICALLY	B AE R AH M EH T R IH K AH L IY
BAROMETRIES	B AE R AH M EH T R AY Z
BAROMETRY	B AE R AH M EH T R IY
BASEMEN	B EY S M EH N
BASEMENT	B EY S M AH N T
BASEMENTLESS	B EY S M AH N T L AH S
BASEMENTS	B EY S M AH N T S
BATHYMETRIC	B EY DH IY M EH T R IH K
BATHYMETRICAL	B EY DH IY M EH T R IH K AH L
BATHYMETRICALLY	B EY DH IY M EH T R IH K AH L IY
BATHYMETRIES	B EY DH IY M IY T ER IY Z
BATHYMETRY	B EY DH IY M IY T ER IY
BATMEN	B AE T M EH N
BATSMEN	B AE T S M EH N
BATTEMENT	B AE T M AH N T
BATTEMENTS	B AE T AH M AH N T S
BATTLEMENT	B AE T AH L M AH N T
BATTLEMENT(2)	B AE T AH L M EH N T
BATTLEMENTED	B AE T AH L M AH N T IH D
BATTLEMENTS	B AE T AH L M AH N T S
BAYMEN	B EY M EH N
BEADMEN	B IY D M EH N
BEADSMEN	B IY D Z M EH N
BEAMED	B IY M D
BECALMED	B IH K AA M D
BECAME	B IH K EY M
BECAME(2)	B IY K EY M
BECHAMEL	B AH CH AE M AH L
BECHAMELS	B AH CH AE M AH L Z
BECHARMED	B IH CH AA R M D
BECOME	B IH K AH M
BECOMES	B IH K AH M Z
BECRIME	B IH K R AY M
BECRIMED	B IH K R AY M D
BECRIMES	B IH K R AY M Z
BEDAZZLEMENT	B IH D AE Z AH L M AH N T
BEDAZZLEMENTS	B IH D AE Z AH L M AH N T S
BEDEMEN	B IH D IY M EH N
BEDESMEN	B AH D EH Z M AH N
BEDEVILMENT	B IH D IY V IH L M AH N T
BEDEVILMENTS	B IH D IY V IH L M AH N T S
BEDFRAME	B EH D F R EY M
BEDFRAMES	B EH D F R EY M Z
BEDIMMED	B IH D IH M D
BEDIZENMENT	B EH D AY Z AH N M AH N T
BEDIZENMENTS	B EH D AY Z AH N M AH N T S
BEDROOMED	B EH D R UW M D
BEDTIME	B EH D T AY M
BEDTIMES	B EH D T AY M Z
BEFORETIME	B IH F OW R T AY M
BEFUDDLEMENT	B IH F AH D AH L M AH N T
BEFUDDLEMENTS	B IH F AH D AH L M AH N T S
BEGLOOMED	B IH G L UW M D
BEGRIME	B IH G R AY M
BEGRIMED	B IH G R AY M D
BEGRIMES	B IH G R AY M Z
BEGRIMMED	B IH G R IH M D
BEGUILEMENT	B IH G AY L M AH N T
BEGUILEMENTS	B IH G AY L M AH N T S
BELDAME	B EH L D EY M
BELDAMES	B EH L D EY M Z
BELEAGUERMENT	B IH L IY G ER M AH N T
BELEAGUERMENTS	B IH L IY G ER M AH N T S
BELITTLEMENT	B IH L IH T AH L M AH N T
BELITTLEMENTS	B IH L IH T AH L M AH N T S
BELLMEN	B EH L M EH N
BEMADAMED	B IH M AH D AE M D
BEMEAN	B IH M IY N
BEMEANED	B IH M IY N D
BEMEANING	B IH M IY N IH NG
BEMEANS	B IH M IY N Z
BEMEDALED	B IH M EH D AH L D
BEMEDALLED	B IH M EH D AH L D
BEMUSEMENT	B EH M Y UW S M AH N T
