OUL	AW L
PATCHOULIES	P AE CH AW L AY Z
PATCHOULIS	P AH CH OW AH L AH S
PATCHOULY	P AH CH AW L IY
POULARD	P AW L AH R D
POULARDE	P AW L AH R D
POULARDES	P AW L AH R D Z
POULARDS	P AW L AH R D Z
POULT	P OW L T
POULTER	P OW L T ER
POULTERER	P OW L T IY R AH R
POULTERERS	P OW L T AH R AH R Z
POULTERS	P OW L T AH R Z
POULTICE	P OW L T AH S
POULTICED	P OW L T AH S T
POULTICES	P OW L T AH S IH Z
POULTICING	P OW L T AH S IH NG
POULTRIES	P OW L T R IY Z
POULTRY	P OW L T R IY
POULTRYMAN	P OW L T R IY M AE N
POULTRYMEN	P OW L T R IY M EH N
POULTS	P OW L T S
ROULADE	R AW L EY D
ROULADES	R AW L EY D Z
ROULEAU	R UW L OW
ROULEAUS	R AW L IY AH S
ROULEAUX	R AW L IY AH K S
ROULETTE	R UW L EH T
ROULETTED	R UW L EH T IH D
ROULETTES	R UW L EH T S
ROULETTING	R UW L EH T IH NG
SHOULD	SH UH D
SHOULDER	SH OW L D ER
SHOULDERED	SH OW L D ER D
SHOULDERING	SH OW L D ER IH NG
SHOULDERS	SH OW L D ER Z
SHOULDEST	SH OW L D AH S T
SHOULDST	SH OW L D S T
SMOULDER	S M OW L D AH R
SMOULDERED	S M OW L D IY R D
SMOULDERING	S M OW L D IY R AH NG
SMOULDERS	S M OW L D AH R Z
SOUL	S OW L
SOULED	S OW L D
SOULFUL	S OW L F AH L
SOULFULLY	S OW L F AH L IY
SOULFULNESS	S OW L F AH L N AH S
SOULFULNESSES	S OW L F AH L N AH S IH Z
SOULLESS	S OW L L AH S
SOULLESSLY	S OW L AH S L IY
SOULLESSNESS	S OW L AH S N AH S
SOULLESSNESSES	S OW L AH S N AH S IH Z
SOULLIKE	S OW L AY K
SOULS	S OW L Z
TABBOULEH	T AE B AW L
TABBOULEHS	T AE B AW L AH Z
TABOULI	T AH B AW L IY
TABOULIS	T AH B OW AH L AH S
VERMOULU	V AH R M AW L UW
WOULD	W UH D
WOULDEST	W OW L D AH S T
WOULDST	W OW L D S T
THACK	TH AE K
TMESES	T M IY Z AH Z
ALKY	AE L K IY
CUVETTE	K Y UW V EH T
DHAK	D HH AE K
MRIDANGA	M R AH D AE N G AH
NYALA	N AY AH L AH
